date,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyInterestExpense,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyNetOtherFinancingCharges,quarterlyDilutedEPS,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyTaxProvision,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedAverageShares,quarterlyAccountsPayable,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyBasicEPS,quarterlyEbitda,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyEndCashPosition,quarterlyBasicAverageShares,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyStockBasedCompensation,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyChangeInInventory,quarterlyCashDividendsPaid,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable
2009-03-31,,,15150000.0,,,-63373000.0,0.0827,,,-640231000.0,485527000.0,154547000.0,,610560000.0,485527000.0,,,,,,,,3736945000.0,,4343114500.0,,1296566000.0,629530000.0,0.0827,625710000.0,602884000.0,-1062385000.0,358992000.0,,3096714000.0,4343114500.0,,,,,693682000.0,,,,,-26646000.0,,358992000.0,,456013000.0,14507000.0,-1062385000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,,,20605000.0,,,-1189622000.0,,,,-351638000.0,646185000.0,171557000.0,,689125000.0,646185000.0,,,,,,,,3096714000.0,,,,1472289000.0,689987000.0,,709730000.0,773325000.0,191799000.0,413460000.0,,2745076000.0,,,,,,698964000.0,,,,,83338000.0,,413460000.0,,517568000.0,15723000.0,191799000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,,,17213000.0,,,-960000.0,,,,1622992000.0,913307000.0,207061000.0,,827942000.0,913307000.0,,,,,,,,2745076000.0,,,,1627771000.0,862716000.0,,845155000.0,849860000.0,710645000.0,473348000.0,,4368068000.0,,,,,,777911000.0,,,,,-12856000.0,,473348000.0,,620881000.0,17924000.0,710645000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,478055000.0,0.0,9756000.0,,17342000.0,,,0.0,-705680000.0,680935000.0,949463000.0,306890000.0,1035628000.0,956501000.0,266306000.0,572599000.0,32402781000.0,12910157000.0,14499001000.0,5278397000.0,5850996000.0,4343115000.0,4368068000.0,,,12150303000.0,1639668000.0,936802000.0,,966257000.0,664931000.0,-67840000.0,549688000.0,15337927000.0,5049003000.0,,1741308000.0,17903780000.0,13931561000.0,2633973000.0,974737000.0,86867000.0,50570000.0,14183620000.0,144329000.0,-271871000.0,262037000.0,549688000.0,0.0,649611000.0,21691000.0,39941000.0,1406366000.0,11532284000.0,,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,,14344765000.0,15007000.0,,,,0.0964,13827830000.0,,189528000.0,363449000.0,177814000.0,,704505000.0,363449000.0,,32811926000.0,,14344765000.0,,,4343115000.0,5049003000.0,,4343114500.0,,1500679000.0,724415000.0,0.0964,719512000.0,665317000.0,-173921000.0,418495000.0,15230539000.0,5238531000.0,4343114500.0,,18467161000.0,13827830000.0,,835362000.0,,,14596845000.0,,-59098000.0,,418495000.0,1402709000.0,526691000.0,14354000.0,-173921000.0,1402709000.0,18467161000.0,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,490487000.0,0.0,32000000.0,,21206000.0,,,0.0,,-588909000.0,598671000.0,184783000.0,1037325000.0,707739000.0,598671000.0,697986000.0,31060018000.0,12561195000.0,14197984000.0,4976523000.0,5674509000.0,4343115000.0,5238531000.0,,,11161145000.0,1630223000.0,689625000.0,,739739000.0,709123000.0,-181254000.0,437114000.0,14269464000.0,4649622000.0,,,16862034000.0,12916633000.0,,921100000.0,86867000.0,48018000.0,13943998000.0,101023000.0,19498000.0,251808000.0,437114000.0,0.0,522956000.0,16489000.0,-181254000.0,1352831000.0,10634757000.0,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,,14036893000.0,22310000.0,,,-85447000.0,,11367260000.0,,429510000.0,744312000.0,193244000.0,,768253000.0,744312000.0,,30016489000.0,,14036893000.0,,,4343115000.0,4649622000.0,,,,1663913000.0,844838000.0,,790563000.0,724776000.0,-229355000.0,481860000.0,12728866000.0,5079132000.0,,,15979596000.0,11367260000.0,,939137000.0,,,14441072000.0,,-120062000.0,,481860000.0,1361606000.0,575009000.0,16435000.0,-229355000.0,1361606000.0,15979596000.0,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,822000000.0,0.0,51662000.0,473910000.0,17715000.0,1331247000.0,,1049301000.0,-812165000.0,602921000.0,844065000.0,242944000.0,1120626000.0,930777000.0,529574000.0,955863000.0,33652055000.0,12226517000.0,13978955000.0,6007598000.0,6963461000.0,4343115000.0,5079132000.0,3836194000.0,,12179725000.0,1747619000.0,617760000.0,,982439000.0,682724000.0,-316992000.0,534030000.0,15956940000.0,5682053000.0,,1932791000.0,19673100000.0,14694293000.0,2898217000.0,1064895000.0,86867000.0,50768000.0,14723252000.0,1000000000.0,64964000.0,262647000.0,534030000.0,0.0,687833000.0,35911000.0,108379000.0,1262647000.0,11685951000.0,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,,13804195000.0,19489000.0,,,-180000000.0,0.0979,12086932000.0,,-613859000.0,378600000.0,167366000.0,,666047000.0,378600000.0,,31865811000.0,,13804195000.0,,,4343115000.0,5682053000.0,,4343114500.0,,1627592000.0,684516000.0,0.0979,685536000.0,667033000.0,-812459000.0,425004000.0,13339908000.0,5068194000.0,4343114500.0,,18061616000.0,12086932000.0,,960559000.0,,,15147053000.0,,-17483000.0,,425004000.0,1252976000.0,498681000.0,19680000.0,-812459000.0,1252976000.0,18061616000.0,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,952611000.0,0.0,22363000.0,,21807000.0,-783981000.0,,40000000.0,,-746243000.0,287521000.0,184981000.0,1174377000.0,727867000.0,287521000.0,1421933000.0,30303302000.0,11878359000.0,13673439000.0,5081514000.0,6503447000.0,4343115000.0,5068194000.0,,,9053622000.0,1711775000.0,760617000.0,,750230000.0,685644000.0,-249783000.0,475312000.0,12429603000.0,4321951000.0,,,16629863000.0,11177548000.0,3537946000.0,1026131000.0,86867000.0,47607000.0,14534864000.0,1000000000.0,-74973000.0,252055000.0,475312000.0,0.0,542886000.0,16352000.0,-249783000.0,1252055000.0,8647233000.0,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,,13510180000.0,21066000.0,,,-564549000.0,,9281819000.0,,85004000.0,744774000.0,180730000.0,,727372000.0,744774000.0,,28906592000.0,,13510180000.0,,,4343115000.0,4321951000.0,,,,1749289000.0,558041000.0,,748438000.0,727320000.0,-95221000.0,479726000.0,10520802000.0,4406955000.0,,,15396412000.0,9281819000.0,,1021969000.0,,,15015822000.0,,169279000.0,,479726000.0,1238983000.0,546642000.0,15061000.0,-95221000.0,1238983000.0,15396412000.0,,,,,,,,,,,,,,,,,,,,,,,
