date,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyCapitalExpenditure,quarterlyTaxProvision,quarterlyInventory,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyNetPPE,quarterlyBasicAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyDilutedEPS,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyGrossProfit,quarterlyDilutedAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyBasicEPS,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyPretaxIncome,quarterlyStockholdersEquity,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyCurrentDeferredRevenue
1984-01-31,,,,,,,,,56000000,,,,,,,516208000.0,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,516208000.0,,,1000400000,1000400000,,,,,,1000400000,,,,,0.11,,,,,,,,,,,,,,,,,,
1984-04-30,,,,,,,,,46700000,,,,,,,516208000.0,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,516208000.0,,,933600000,933600000,,,,,,933600000,,,,,0.1,,,,,,,,,,,,,,,,,,
1984-07-31,46900000.0,,,,,,,,41600000,,,602500000.0,458400000.0,,970900000.0,,118000000.0,,283000000.0,,,,,,,,,2210100000.0,146100000.0,146100000.0,,63400000.0,,,,1146800000.0,129000000.0,,,,,,,,,950200000.0,837900000,-2460500000,1744900000.0,,,,,-2460500000,,,,,,1296400000.0,428400000.0,,,,1259900000.0,1063300000.0,,,,521800000.0,,-774000000.0,35800000.0,27400000.0,,,
1984-10-31,,,,,,,,,46600000,,,,,,,516320000.0,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,516320000.0,,,998900000,998900000,,,,,,998900000,,,,,0.09,,,,,,,,,,,,,,,,,,
1985-01-31,,,,,,,,,60200000,,,,,,,516384000.0,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,516384000.0,,,1063200000,1063200000,,,,,,1063200000,,,,,0.12,,,,,,,,,,,,,,,,,,
1985-04-30,,,,,,,,,51600000,,,,,,,516704000.0,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,516704000.0,,,1020100000,1020100000,,,,,,1020100000,,,,,0.1,,,,,,,,,,,,,,,,,,
1985-07-31,126400000.0,,,,,,,,39400000,,,623100000.0,481200000.0,,1027500000.0,,154100000.0,,297100000.0,,,,,,,,,2437500000.0,224900000.0,224900000.0,,92100000.0,,,,1284700000.0,130800000.0,,,,,,,,,1055000000.0,906600000,-2716300000,1856200000.0,,,,,-2716300000,,,,,,1415100000.0,481700000.0,,,,1382500000.0,1152800000.0,,,,573300000.0,,-828700000.0,25000000.0,30500000.0,,,
1985-10-31,,,,,,,,,51800000,,,,,,,517152000.0,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,517152000.0,,,1077600000,1077600000,,,,,,1077600000,,,,,0.1,,,,,,,,,,,,,,,,,,
1986-01-31,,,,,,,,,69700000,,,,,,,517216000.0,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,517216000.0,,,1180500000,1180500000,,,,,,1180500000,,,,,0.14,,,,,,,,,,,,,,,,,,
1986-04-30,,,,,,,,,51000000,,,,,,,517400000.0,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,517400000.0,,,1090000000,1090000000,,,,,,1090000000,,,,,0.1,,,,,,,,,,,,,,,,,,
1986-07-31,129700000.0,,,,,,,,47700000,,,610500000.0,537200000.0,,1168100000.0,,199100000.0,,362300000.0,,,,,,,,,2762800000.0,393800000.0,393800000.0,,88900000.0,,,,1428000000.0,130200000.0,,,,,,,,,1223900000.0,1030500000,-2932400000,2089100000.0,,,,,-2932400000,,,,,,1554000000.0,597800000.0,,,,1538900000.0,1334800000.0,,,,626100000.0,,-921000000.0,31500000.0,36400000.0,,,
1986-10-31,,,,,,,,,58700000,,,,,,,519088000.0,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,519088000.0,,,1114600000,1114600000,,,,,,1114600000,,,,,0.12,,,,,,,,,,,,,,,,,,
1987-01-31,,,,,,,,,70400000,,,,,,,519344000.0,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,519344000.0,,,1248600000,1248600000,,,,,,1248600000,,,,,0.14,,,,,,,,,,,,,,,,,,
1987-04-30,,,,,,,,,48100000,,,,,,,519344000.0,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,519344000.0,,,1128300000,1128300000,,,,,,1128300000,,,,,0.1,,,,,,,,,,,,,,,,,,
1987-07-31,178100000.0,,,,,,,,70100000,,,623600000.0,592900000.0,,1349000000.0,,248000000.0,,380200000.0,,,,,,,,,3090000000.0,425300000.0,425300000.0,,93500000.0,,,,1659500000.0,132400000.0,,,,,,,,,1353900000.0,998800000,-3066600000,2355100000.0,,,,,-3066600000,,,,,,1709600000.0,667500000.0,,,,1736100000.0,1430500000.0,,,,686400000.0,,-1006100000.0,42700000.0,39300000.0,,,
1987-10-31,,,,,,,,,62400000,,,,,,,520096000.0,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,520096000.0,,,1179100000,1179100000,,,,,,1179100000,,,,,0.12,,,,,,,,,,,,,,,,,,
1988-01-31,,,,,,,,,84600000,,,,,,,520024000.0,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,520024000.0,,,1336100000,1336100000,,,,,,1336100000,,,,,0.17,,,,,,,,,,,,,,,,,,
1988-04-30,,,,,,,,,22400000,,,,,,,516116000.0,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,516116000.0,,,1207400000,1207400000,,,,,,1207400000,,,,,0.05,,,,,,,,,,,,,,,,,,
1988-07-31,241200000.0,,,,,,,,72200000,,,664700000.0,725300000.0,,1508900000.0,,,,525800000.0,,,,,,,,,3609600000.0,120800000.0,120800000.0,,138000000.0,,,,2246700000.0,496600000.0,,,,,,,,,1714600000.0,1146300000,-3259300000,2539700000.0,,,,,-3259300000,,,,,,1879100000.0,851300000.0,,,,1895000000.0,1362900000.0,,,,863300000.0,,-1030800000.0,90500000.0,325500000.0,,,
1988-10-31,,,,,,,,,69400000,,,,,,,517272000.0,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,517272000.0,,,1333100000,1333100000,,,,,,1333100000,,,,,0.14,,,,,,,,,,,,,,,,,,
1989-01-31,,,,,,,,,94900000,,,,,,,517272000.0,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,517272000.0,,,1582300000,1582300000,,,,,,1582300000,,,,,0.19,,,,,,,,,,,,,,,,,,
1989-04-30,,,,,,,,,43500000,,,,,,,516156000.0,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,516156000.0,,,1454500000,1454500000,,,,,,1454500000,,,,,0.09,,,,,,,,,,,,,,,,,,
1989-07-31,323100000.0,,,,,,,,-194700000,,,816000000.0,452400000.0,,1540600000.0,,218000000.0,,629200000.0,,,,,,,,,3932100000.0,147100000.0,147100000.0,,271500000.0,,,,2330600000.0,466900000.0,,,508200000.0,,,,,,2098900000.0,1302200000,-3818000000,2543000000.0,,,,,-3818000000,,,,,,1775800000.0,866800000.0,,,,1778300000.0,1601500000.0,,,,1232100000.0,,-1002400000.0,100400000.0,19600000.0,,,
1989-10-31,337000000.0,,3500000.0,224400000.0,,,-128300000.0,83000000.0,83000000,-64300000.0,58600000.0,1026800000.0,530800000.0,18400000.0,1568100000.0,518750000.0,301600000.0,9000000.0,640000000.0,371900000.0,,996000000.0,,120900000.0,,-192600000.0,83000000.0,4377300000.0,139300000.0,139300000.0,4300000.0,518700000.0,,21500000.0,0.16,2376900000.0,471800000.0,,61200000.0,543000000.0,-272500000.0,,527500000.0,518750000.0,,2534100000.0,1523500000,155600000,2570500000.0,,-208800000.0,,,216800000,,0.0,-82100000.0,-29700000.0,0.16,1828900000.0,941600000.0,,,141600000.0,1843200000.0,2000400000.0,310700000.0,-35200000.0,,1592500000.0,,-1002400000.0,122000000.0,0.0,,,
