date,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyOtherIntangibleAssets,quarterlyNetPPE,quarterlyTaxProvision,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyRetainedEarnings,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyFreeCashFlow,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyOperatingIncome,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyEndCashPosition,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyInventory,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyBasicAverageShares,quarterlyDilutedEPS,quarterlyBasicEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherShortTermInvestments,quarterlyDilutedAverageShares,quarterlyChangeInInventory
1998-03-31,,,,,,307900000.0,,45200000,,1800000,1800000,,-99200000.0,,,,0,,54500000,,,1300000,,,,,,-43400000,,600000.0,,-2500000,,1400000,-2000000.0,,,500000.0,-97900000,6300000,,,4400000,,-5200000,315900000,4600000,65600000,4600000,,,250300000,,0.0,,,,0,,-99200000,,,,,,4600000,57000000,,,,,,,,,,
1998-06-30,,,,,,363300000.0,,0,,17200000,17200000,,-53300000.0,,1500000.0,,0,,63500000,,,5200000,,,,,,15400000,,600000.0,,-5500000,,1800000,-2900000.0,,,200000.0,-48100000,7100000,,,4700000,,-1500000,385600000,4700000,136000000,4700000,,,249600000,,0.0,,,,0,,-53300000,,,,,,4700000,126000000,,,,,,,,,,
1998-09-30,,,,,,381000000.0,,0,,6800000,6800000,,-25600000.0,,2400000.0,,-100000,,5500000,,,9800000,,,,,,-10400000,,600000.0,,-8600000,,2000000,-1000000.0,,,600000.0,-15800000,7400000,,,4800000,,2300000,398500000,4900000,149500000,4900000,,,249000000,,0.0,,,,0,,-25600000,,,,,,4900000,140200000,,,,,,,,,,
1998-12-31,,,,,,438300000.0,,0,,2300000,2300000,,-71100000.0,,2700000.0,,0,,63400000,,,3100000,,,,,,-4500000,,300000.0,,-2500000,,2100000,-4000000.0,,,-1200000.0,-68000000,7600000,,,5000000,,-2800000,464400000,5000000,215800000,5000000,,,248600000,,0.0,,,,0,,-71100000,,,,,,5000000,206000000,,,,,,,,,,
1999-03-31,,,,-200000.0,,443700000.0,,2300000,,4300000,4300000,,-9200000.0,,3200000.0,,-100000,,2200000,,,9000000,,,,,,2000000,,600000.0,,-5500000,,2300000,-4400000.0,,,400000.0,-200000,8300000,,,5400000,,900000,472800000,5400000,224600000,5400000,,,248200000,,0.0,,,,0,,-9200000,,,,,,5400000,213700000,,,,,,,,,,
1999-06-30,,,,-400000.0,,463500000.0,,0,,4000000,4000000,,-23000000.0,,3400000.0,,21200000,,14900000,,,7700000,,,,,,-400000,,600000.0,,-5900000,,2500000,-5200000.0,,,-500000.0,-15300000,8600000,,,5600000,,100000,493700000,5500000,225100000,5500000,,,268600000,,0.0,,,,0,,-23000000,,,,,,5500000,213500000,,,,,,,,,,
1999-09-30,,,,-300000.0,,476800000.0,,0,200000.0,4300000,4300000,,-4300000.0,,3300000.0,,100000,,-3500000,,,8100000,,,,-3300000.0,,300000,,500000.0,,-6300000,,2500000,-5300000.0,,,,3800000,9200000,,,6200000,,-600000,496000000,6200000,227400000,6200000,,,268600000,,0.0,,,,4300000,,-4300000,,,,,,6200000,216200000,,,,,,,,,,
1999-12-31,,,,-200000.0,,466400000.0,,4300000,200000.0,22300000,22300000,,-4700000.0,,3400000.0,,-200000,,14100000,,,8600000,,,,-3200000.0,,18000000,,500000.0,,-6300000,,2700000,-5500000.0,,,,3900000,9300000,,,6100000,,-500000,516300000,6100000,249900000,6100000,,,266400000,,0.0,,,,22300000,,-4700000,,,9100000.0,,,6100000,238700000,,,,,,,,,,
2000-03-31,,,,-310000.0,,498317000.0,,22265000,152000.0,7384000,7384000,,,,4437000.0,,0,,13684000,,,8442000,,,,-4438000.0,,-14881000,,494000.0,,-6273000,,2696000,-5920000.0,,,-111000.0,8442000,9439000,,,6249000,,-392000,536135000,6249000,269961000,6249000,,,266174000,,-3156000.0,,,,7384000,,-37007000,,,,,,6249000,258602000,,,,,,,,,,
2000-06-30,,,,-5337000.0,,465535000.0,,7384000,152000.0,17789000,17789000,,,,4619000.0,,0,,-15055000,,,10068000,,,,-4325000.0,,10405000,,495000.0,,-6620000,,2619000,-5991000.0,,,,-26959000,9560000,,,6446000,,893000,527970000,6446000,264852000,6446000,,,263118000,,18568000.0,,,,17789000,,15392000,,,27274000.0,,,6446000,253265000,,,,,,,,,,
2000-09-30,,,,-9344000.0,,463037000.0,,17789000,152000.0,7619000,7619000,,,,4840000.0,,0,,-17171000,,,8251000,,,,-4213000.0,,-10170000,,393000.0,,-6520000,,2571000,-6617000.0,,,,45278000,8820000,,,5856000,,-176000,517466000,5856000,256169000,5856000,,,261297000,,-816000.0,,,,7619000,,-1250000,,,28090000.0,,,5856000,243921000,,,,,,,,,,
2000-12-31,,,,626000.0,,460537000.0,,7619000,152000.0,5948000,5948000,,,,5013000.0,,0,,-5936000,,,3921000,,,,-4100000.0,,-1671000,,468000.0,,-6478000,,2574000,-7474000.0,,,,-33895000,8664000,,,5622000,,-1413000,513534000,5622000,252915000,5622000,,,260619000,,-14596000.0,,,,5948000,,344000,,,27391000.0,,,5622000,244547000,,,,,,,,,,
2001-03-31,,,,-119628000.0,,458924000.0,,5948000,152000.0,5781000,5781000,,,,4998000.0,,-6495000,,-7601000,,,6689000,,,,-4017000.0,,-167000,,563000.0,,-6478000,,2574000,-8292000.0,,,,6689000,8945000,,,5808000,,-1693000,518869000,5808000,258985000,5808000,,,259884000,,,,,,5781000,,745000,,,26193000.0,,,5808000,249919000,,,,,,,,,,
2001-06-30,,,,-4349000.0,,473850000.0,,5781000,152000.0,4430000,4430000,,,,4849000.0,,79000,,9105000,,,6860000,,,,-3935000.0,,-1351000,,1010000.0,,-6625000,,2574000,-9350000.0,,,,6860000,9153000,,,5569000,,-1283000,532430000,5569000,273443000,5569000,,,258987000,,,,,,4430000,,-17316000,,,27590000.0,,,5569000,265570000,,,,,,,,,,
2001-09-30,,,,753000.0,,471351000.0,,4430000,153000.0,10066000,10066000,,,,5102000.0,,0,,-835000,,,8758000,,,,-4685000.0,,5636000,,493000.0,,-6628000,,2574000,-9955000.0,,,,-8657000,9121000,,,6054000,,466000,535913000,6054000,277341000,6054000,,,258572000,,-2287000.0,,,,10066000,,-2287000,,,27698000.0,,,6054000,269505000,,,,,,,,,,
2001-12-31,,,,-2926000.0,,515972000.0,,10066000,153000.0,24590000,24590000,,-4961000.0,,5385000.0,,0,,19411000,,,10522000,,,,-4630000.0,,14524000,,440000.0,,-6662000,,2727000,-10465000.0,,,390000.0,5561000,9316000,,,6149000,,1256000,583351000,6149000,325223000,6149000,,,258128000,,-11893000.0,,,,24590000,,-15409000,,,12479000.0,,,6149000,314766000,,,,,,,,,,
