date,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyDilutedAverageShares,quarterlyCurrentDeferredRevenue,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyIncomeTaxPayable,quarterlyAccumulatedDepreciation,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingCashFlow,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyFreeCashFlow,quarterlyDilutedEPS,quarterlyOtherShortTermInvestments,quarterlyCurrentAccruedExpenses,quarterlyDepreciationAndAmortization,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyBasicAverageShares,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyEndCashPosition,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment
2006-09-30,489086446,8124703,,0,,-47023.0,2791894,,228471437,149566566,17840000.0,,,-0.0875,,-123686112,,3994078,0.0,-2791894,345000000,-31060,,,,-1142939,215497507,0,-283029,,,,-351281,,-1151057,,235078669,15448450,,,539274,-535588,,86614,-382341,-0.0875,78904871,,7943,,269456227,225017.0,,,504534896,,,-615469,2791894,-615469,,22234864,3501133,17840000.0,,175,223622210,3009120,314558,-129151212,15448450,,247001652,-615469,-73372,345000000.0,
2006-12-31,500000965,223622210,,330661176,,245973.0,6328036,,205813845,23142888,,,,,,124113310,,60622625,43010.0,41766096,-53941696,-9546668,,,,36702382,-146066956,0,43800080,,,,90009257,,14415365,,315504572,102417511,,,24717672,2366945,,776298365,80462589,,182670957,,13518653,-11763365.0,1382559783,78395136.0,,,1698064355,-898743226.0,408032911.0,12048420,14671321,7972852,,224947644,7520681,,,8768364,77555254,3009120,-28233205,-182134517,707353075,,66678,7972852,48167504,0.0,
2007-03-31,1823546644,77555254,,325954295,-26220499.0,-104544.0,14485224,,1458226434,265947565,34060226.0,,,0.975,,77465619,,75403834,43010.0,48285204,1254403482,-45344933,,170347079.0,,71927066,1328524125,0,33782557,,,,42338107,,43312384,,1618501488,135562332,,,-38771919,3318138,,968253462,-3006826,0.915,1192278869,,16162550,-4777380.0,1594996604,119774923.0,107576651.0,-162858.0,3213498092,0.0,487754590.0,39994246,15233315,31164919,,227939397,22080841,31973333.0,,12452132,1406079379,4528912,-2771812,31782536,861546418,,66680,31164919,62770428,1289439093.0,
2007-06-30,1847639726,1406079379,,321247414,-28913572.0,-11804344.0,1578244,,1233281290,143238134,,,,,,0,,96751929,43010.0,36940092,-19556799,-238187645,,170808460.0,,68473420,-242403542,0,16285857,,,,17851302,,41963081,,1426700327,160309764,,,-36719708,16333061,,1192815778,-220336343,,1090043156,,17133739,522472.0,1843480568,142349203.0,132290124.0,-42.0,3270180895,0.0,489375283.0,25630020,17718778,21151414,,245506779,14437426,,,9376600,1163675837,4731091,-4467621,-240698045,889730742,,66680,21151414,38518336,0.0,
2007-09-30,3167700552,1163675837,,371886634,-23988782.0,12914227.0,17046888,,1119747014,133653481,,,,,,-135420217,,406022368,22745681.0,41141751,-2130857,-175314008,,375366150.0,,102545627,-136690531,0,36302507,,,,123441130,,66853778,,1764149440,799340351,,,-458093,-10909662,,4798393435,-51872878,,986093533,,23249713,607414538.0,6387222905,504846579.0,317177511.0,,8151372345,0.0,1975360087.0,77763440,22049721,64347003,,407185999,151976542,,,12442136,1026985306,3132270,22541893,-258000804,3495631932,,518530,64347003,58188639,-770888.0,
2007-12-31,3222137683,1026985306,,338348633,,-21308120.0,95430002,,822832577,187237083,,,-9670505.0,,,-67336342,-31528248.0,552813466,25503893.0,120280526,-39947527,-361999473,,762704834.0,,270873997,-305773765,0,-442108160,,,,145009889,,132340277,,1545888059,992282770,,,425367659,27523454,,5161420296,-216989584,,635595494,,92361319,642122255.0,6857345105,566527416.0,546994306.0,,8403233164,0.0,1930538943.0,104816823,108021473,69389071,,397736433,192066876,,,46172401,721211541,34349752,39674067,-410836127,3654583869,,114953438,69389071,215710528,656794.0,
2008-03-31,3274252386,721211541,,333164557,-113176158.0,26136124.0,94482982,,624450546,100448249,62840939.0,,11883630.0,0.805,,-36603577,-8574239.0,451143458,18717433.0,142123732,61220884,-200673090,,980158502.0,,232482258,-156562752,0,89895975,,,,20967693,,119536933,,1472980017,876217470,,,-197989150,51655970,,5288246765,-179705397,0.7825,524002297,,79887833,637302016.0,6986007293,672252334.0,743551788.0,-18314331.0,8458987310,0.0,1961873288.0,67880963,89523454,49173035,,402678574,175879803,61167770.0,-35050.0,33057492,564648789,11795081,-6056694,-238751329,3596598995,,115522483,49173035,236606714,26942111.0,
2008-06-30,3285980563,564648789,,327967961,,,100511386,,483549559,177072388,,,,,,-509498713,,395058926,140236268.0,89780091,96916383,162624818,,982216977.0,,110567210,-253370273,60659166,67503213,,,,24865671,,52404102,,1494995940,963138599,,,-5214571,15119883,,5299127802,187490489,,306477171,,-46506870,632196775.0,6996065045,668140028.0,791925500.0,0.0,8491060985,0.0,1585177457.0,37284219,-20127151,8786509,,396267286,240723481,,,53057870,311278517,10962000,2513342,-375152327,3602778037,,132248983,8786509,190291477,149509487.0,
2008-09-30,3271822288,311278517,,317214570,,,110541192,,873976830,87440906,,,,,,46177860,,423127894,140669905.0,93302648,394197841,-454604991,,986612511.0,,266996380,283314976,33084242,93131607,,,,242379112,-33166.0,674774,,1895482630,1031594045,,,-105425159,8392946,,5277597557,-212225879,,786535924,,207187918,627226227.0,7171152198,672715541.0,782768671.0,0.0,9066634828,0.0,2138235253.0,-7718172,215730329,-8443498,,417315317,277830561,,,59133688,592549434,12093066,-7951414,-353261977,4248926438,,338882055,-8443498,203843840,-185108043.0,
2008-12-31,3211282065,592549434,1399768046.0,317118396,-197950357.0,-4560094.0,116338212,,600152200,121685278,,,144269889.0,,,37369095,-282823799.0,579635012,162850.0,184392359,-255251519,-248313239,,1064843864.0,,266793194,-199388862,86710525,-263376935,,-719610220.0,,461850279,-9502291.0,132726554,6224282308.0,1631623594,1175942365,,,197710158,33672327,135103149.0,5504672088,213537040,,478466922,128469107.0,84476849,612680752.0,7506554946,756469713.0,764113293.0,0.0,9138178540,0.0,2031000665.0,99054227,116907985,65507682,,156154374,167033039,,-303698369.0,49589791,395209631,44873719,-43559504,-405987622,4313112254,,504008009,65507682,300730571,-98706704.0,
