date,quarterlyOtherShortTermInvestments,quarterlyCurrentAccruedExpenses,quarterlyFreeCashFlow,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyGoodwill,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherNonCashItems,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyDilutedEPS,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyCashAndCashEquivalents,quarterlyRepaymentOfDebt,quarterlyOtherIntangibleAssets,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyBasicEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherIncomeExpense,quarterlyDilutedAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyOtherNonCurrentAssets,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyInvestingCashFlow,quarterlyInventory,quarterlyResearchAndDevelopment,quarterlySaleOfInvestment,quarterlyInvestmentsAndAdvances,quarterlyChangeInInventory,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid
2010-03-31,,,-4375000,,26186000,,,,,,3188000,1441000,,,,3747000,42007000,,-742000,-6927000,-1851000,-15050000,,3406000,-2524000,,,,,,3224000,0.148805,36000,,,298000,4714000,-15050000.0,-20077000,5188000,23000,,,,,,,17142000.0,,52927000,,0.185976,,,49000.0,0.0,32850000,-2782000,15821000,,-582000,21424000.0,3188000,,10594000,3188000,,,12074000,-1828000,,,,,,,
2010-06-30,,,-2898000,,29003000,,,,,,7425000,1552000,,,,8803000,49971000,,742000,-10321000,-2126000,14971000,,6958000,-772000,,,,,,8023000,,598000,,,297000,9586000,0.0,9527000,-3181000,-2049000,,,,,,,,,32850000,,,,,11000.0,0.0,42377000,-563000,20968000,,-968000,,7425000,,10673000,7425000,,,12165000,-4175000,,,,,,,
2010-09-30,,,3101000,,37214000,,,,,,-1399000,1526000,,,,7390000,59072000,,0,-4043000,-1927000,-7511000,,6387000,5028000,,,,,,7682000,,1617000,,,1158000,9212000,-452000.0,-4220000,-4799000,-178000,,,,,,,,,42377000,,,,,4000.0,-511000.0,38157000,937000,21858000,,121000,,6065000,,10307000,6065000,,,14468000,-2517000,,,,,,,
2010-12-31,,7175000.0,16280000,41488000.0,40125000,68882000.0,42611000.0,170858000.0,,10032000.0,5096000,1723000,,0.0,,12850000,70774000,,-2704000,6442000,-2461000,-453000,-13573000.0,12101000,18741000,0.0,38911000.0,128247000.0,35727000.0,0.0,12166000,,536000,47718000.0,25338000.0,1186000,13901000,-538000.0,15847000,-10999000,155000,66249000.0,54004000.0,,2023000.0,2001000.0,598000.0,,-2264000.0,38157000,17000.0,,54004000.0,0.0,12000.0,85000.0,54004000,-238000,30649000,104609000.0,-752000,,11630000,173000.0,16061000,11630000,2924000.0,5151000.0,17799000,-2306000,,,,,,,
2011-03-31,,10379000.0,-5956000,39848000.0,45505000,71185000.0,45678000.0,180273000.0,,10263000.0,9742000,1690000,,0.0,,11812000,72802000,,-294000,-11067000,-6318000,0,,9319000,362000,0.0,,134595000.0,33419000.0,,11865000,0.454724,2123000,57460000.0,28030000.0,714000,13557000,0.0,-5373000,2399000,-83000,75669000.0,48631000.0,,1804000.0,1466000.0,0.0,17142000.0,-1012000.0,54004000,2000.0,0.568312,48631000.0,0.0,2000.0,,48631000,-600000,27297000,104604000.0,-134000,21424000.0,9742000,184000.0,13793000,9742000,3030000.0,4284000.0,15485000,-6401000,,,,,,,
2011-06-30,,12468000.0,9714000,45270000.0,48816000,86319000.0,48384000.0,200908000.0,,8620000.0,-6994000,1959000,,86073000.0,,12575000,80176000,,365000,-3248000,-702000,4845000,,8988000,10416000,0.0,,152524000.0,44885000.0,,10603000,-0.41,2326000,65737000.0,31479000.0,655000,14534000,0.0,14702000,-5903000,-56000,69704000.0,63333000.0,,1564000.0,3145000.0,0.0,17056000.0,-845000.0,48631000,2000.0,-0.41,63333000.0,5000000.0,,,63333000,1611000,31360000,131204000.0,-2400000,20300000.0,8277000,246000.0,16805000,8277000,4213000.0,4218000.0,18785000,-758000,,,,,,,
2011-09-30,,15845000.0,11544000,50927000.0,51627000,87270000.0,50329000.0,209758000.0,,8196000.0,6128000,2083000,,1026000.0,,16891000,86423000,,0,-32000,-5832000,-5948000,,14540000,17376000,79000.0,,159429000.0,39809000.0,,14975000,0.33,1025000,79687000.0,34063000.0,785000,18974000,0.0,4066000,-6416000,-571000,82679000.0,67399000.0,,1392000.0,1885000.0,0.0,17124000.0,-2665000.0,63333000,17000.0,0.36,67399000.0,,,-948000.0,67399000,-1448000,34796000,127079000.0,-2301000,20656000.0,13950000,171000.0,15822000,13950000,4421000.0,3981000.0,17905000,-6403000,,,,,,,
2011-12-31,,24782000.0,22125000,59472000.0,59388000,87427000.0,52050000.0,235613000.0,,8169000.0,9369000,1806000,,1204000.0,,15427000,95127000,,426000,10412000,-4241000,-455000,-15937000.0,13010000,26366000,0.0,51419000.0,183563000.0,53127000.0,0.0,15349000,,2965000,74508000.0,35482000.0,712000,17155000,0.0,21397000,-9110000,395000,95059000.0,88796000.0,0.0,1251000.0,2714000.0,0.0,,-3514000.0,67399000,17000.0,,88796000.0,,0.0,-455000.0,88796000,691000,35739000,140554000.0,-407000,,12384000,283000.0,18510000,12384000,5273000.0,6949000.0,20312000,-3846000,,,,,,,
2012-03-31,,13301000.0,-8641000,54235000.0,60175000,1494000.0,51505000.0,274610000.0,,8459000.0,8964000,2211000,,1211000.0,31171000.0,13784000,94383000,,-23000,-20191000,-3896000,31309000,,12082000,-4745000,0.0,,223105000.0,47109000.0,,14340000,0.27,2241000,86607000.0,37200000.0,1550000,15995000,-50000.0,23940000,6368000,177000,226007000.0,112736000.0,,1111000.0,4060000.0,0.0,30197000.0,-1902000.0,88796000,42000.0,0.3,112736000.0,,,188000.0,112736000,1394000,34208000,48603000.0,80000,33957000.0,12099000,283000.0,17627000,12099000,2944000.0,5479000.0,20424000,-3719000,,,,,,,
2012-06-30,,10296000.0,628000,68186000.0,63803000,1487000.0,63222000.0,287994000.0,,12436000.0,13321000,2423000,,1218000.0,1193000.0,16830000,103800000,,62000,-12089000,-5746000,-212000,,13838000,6374000,0.0,,224772000.0,43901000.0,,15896000,0.29,2575000,99928000.0,40219000.0,1773000,19253000,0.0,-7806000,-13171000,-83000,242606000.0,104930000.0,,6227000.0,4345000.0,0.0,42475000.0,-4366000.0,112736000,43000.0,0.31,104930000.0,,,-1405000.0,104930000,-1045000,39997000,45388000.0,-1394000,46382000.0,13321000,269000.0,20711000,13321000,2474000.0,4607000.0,23167000,-12819000,,,,,,,
