date,quarterlyNetOtherInvestingChanges,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,quarterlyStockholdersEquity,quarterlyChangeInInventory,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccountsPayable,quarterlyBasicAverageShares,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingCashFlow,quarterlyOperatingIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyNonCurrentDeferredRevenue,quarterlyNetPPE,quarterlyTotalNonCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyBasicEPS,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyCashDividendsPaid
1993-12-31,100000.0,0.01,,14100000.0,,,,,-8400000,,,0.0,,,,30000000.0,22600000,-400000,,1200000,100000,-7100000.0,600000,,,0.0,21200000.0,30300000.0,,-2200000,800000,-2500000,,300000.0,,-3100000.0,,200000.0,,8300000.0,300000,,-7100000.0,8500000.0,,,21100000.0,,-2600000,3500000.0,38800000.0,0.01,400000.0,300000,300000,,0.0,3500000.0,,-10900000,0,-300000,,200000.0,,,,24700000.0,,300000,,1500000,700000.0,0.0,15600000.0,30000000.0,
1994-03-31,-400000.0,0.01,,14700000.0,,,,,-10900000,,,0.0,,,,50000000.0,24000000,0,,1400000,-400000,-7100000.0,900000,,,0.0,22600000.0,31700000.0,,-1900000,1000000,-2600000,,500000.0,,-2500000.0,,-300000.0,,8800000.0,400000,,-7100000.0,8400000.0,,,22100000.0,,-1900000,2900000.0,40100000.0,0.01,400000.0,500000,500000,,-100000.0,2800000.0,,-13500000,100000,-400000,,200000.0,,,,25400000.0,,500000,,1900000,900000.0,100000.0,15500000.0,50000000.0,
1994-06-30,-400000.0,0.01,,15200000.0,,,,,-13500000,,,0.0,,,,40000000.0,23000000,-400000,,1300000,-200000,-7100000.0,700000,,,0.0,23000000.0,32300000.0,,900000,900000,0,,700000.0,,200000.0,200000.0,-100000.0,,8900000.0,300000,,-7100000.0,8500000.0,,,21000000.0,,500000,2600000.0,40800000.0,0.01,400000.0,400000,400000,,0.0,2600000.0,,-13500000,100000,-700000,,300000.0,,,,25600000.0,,400000,,2000000,1100000.0,-100000.0,15600000.0,40000000.0,
1994-09-30,-100000.0,,,15300000.0,,200000.0,4000000.0,,-13500000,,,0.0,2400000.0,,6700000.0,,21700000,-800000,,900000,300000,-7000000.0,200000,,,9700000.0,23900000.0,32900000.0,,-800000,400000,-1500000,1100000.0,400000.0,,-1800000.0,0.0,400000.0,,9200000.0,100000,,2700000.0,9100000.0,,23500000.0,20400000.0,,-1600000,2800000.0,42000000.0,,500000.0,100000,100000,,0.0,2800000.0,7000000.0,-15000000,100000,-900000,16100000.0,300000.0,,,,26700000.0,,100000,,1300000,900000.0,100000.0,2400000.0,,
1994-12-31,-200000.0,0.01,,15800000.0,,,,,-15000000,,,0.0,,,,40000000.0,24400000,-700000,,1500000,0,-7000000.0,700000,,,0.0,28100000.0,37000000.0,,-1600000,1100000,-2500000,,400000.0,,-2400000.0,,,,9600000.0,300000,,-7000000.0,9500000.0,,,22500000.0,,-2300000,,46500000.0,0.01,400000.0,400000,400000,,,2600000.0,,-17500000,0,-900000,,400000.0,,,,30700000.0,,400000,,1900000,800000.0,,16500000.0,40000000.0,
1995-03-31,-300000.0,0.01,,16100000.0,,,,,-17500000,,,0.0,,,,30000000.0,24800000,-100000,,1500000,-100000,-7000000.0,500000,,,0.0,28500000.0,37600000.0,,-1300000,1000000,-1800000,,700000.0,,-1700000.0,,,,9900000.0,200000,,-7000000.0,9500000.0,,,22600000.0,,-1400000,,47100000.0,0.01,400000.0,300000,300000,,,2500000.0,,-19300000,0,-400000,,500000.0,,,,31000000.0,,300000,,2200000,1200000.0,,16500000.0,30000000.0,
1995-06-30,-300000.0,0.002857,,16300000.0,,,,,-19300000,,,0.0,,,,70000000.0,24900000,-200000,,1400000,0,-7000000.0,400000,,,0.0,26700000.0,35900000.0,,3400000,900000,2800000,,700000.0,,2600000.0,,100000.0,,10100000.0,200000,,-7000000.0,9500000.0,,,22900000.0,,3200000,,45400000.0,0.002857,500000.0,200000,200000,,,2400000.0,,-16400000,0,-500000,,500000.0,,,,29100000.0,,200000,,2000000,1100000.0,0.0,16500000.0,70000000.0,
1995-09-30,0.0,,,16500000.0,,200000.0,3700000.0,,-16400000,,,0.0,4200000.0,,6200000.0,,22600000,-200000,,1100000,-300000,-8000000.0,400000,,,10600000.0,24000000.0,34100000.0,,1200000,700000,800000,800000.0,200000.0,,-400000.0,,1000000.0,,10300000.0,200000,,2600000.0,8700000.0,,22200000.0,21300000.0,,1000000,2100000.0,42800000.0,,400000.0,200000,200000,,0.0,2300000.0,7700000.0,-15700000,100000,-200000,17000000.0,400000.0,,200000.0,,26300000.0,,200000,,1300000,600000.0,100000.0,2400000.0,,
1995-12-31,-400000.0,0.01,,35000000.0,,,,,-15700000,,,18400000.0,,,,50000000.0,24700000,-300000,,1500000,18000000,-8000000.0,900000,,,0.0,10200000.0,38400000.0,,1000000,1200000,18300000,,400000.0,,-200000.0,18100000.0,400000.0,,10500000.0,400000,,-8000000.0,9100000.0,,,22800000.0,,700000,,47500000.0,0.01,300000.0,500000,500000,,,2300000.0,,2600000,-100000,-700000,,200000.0,,,,12500000.0,,500000,,1900000,700000.0,0.0,17100000.0,50000000.0,
1996-03-31,-200000.0,0.01,,36000000.0,,,,,2600000,,,18400000.0,,,,90000000.0,26400000,-200000,,2100000,-300000,-8000000.0,1700000,,,0.0,11000000.0,40300000.0,,-2400000,1800000,-3100000,,700000.0,,-3700000.0,100000.0,0.0,,11300000.0,800000,,-8000000.0,8900000.0,,,23600000.0,,-2600000,,49200000.0,0.01,300000.0,900000,900000,,,2200000.0,,-400000,0,-400000,,100000.0,,,,13200000.0,,900000,,2800000,1000000.0,0.0,16900000.0,90000000.0,
