date,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyBasicAverageShares,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyAccumulatedDepreciation,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingExpense,quarterlyLongTermDebt,quarterlyTaxProvision,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyFreeCashFlow,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyDilutedAverageShares,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyDeferredIncomeTax,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyOtherShortTermInvestments,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyGoodwill,quarterlyOtherNonCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyBasicEPS,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable,quarterlyInventory,quarterlyChangeInInventory
2013-03-31,-9358000,18630000,-3803000,,128567000.0,500000.0,-2169000,46972000,-553000,,,-51766000,,-51766000,40973000,25971000,,,,180496000,,322000,114537000,,,31615000,,59463000,-0.402638,128567000.0,,,,,,-51766000,,-3173000,3173000,458000.0,35120000,-32261000,52300000,,2385000.0,,,148235000,,262772000,,98404000,2277000,85434000,-11199000,,3042000,-259000.0,2306000,,,,,0.0,-51444000,,,-1841000,,,-1875000,,-0.402638,,,,
2013-06-30,-10618000,17079000,-2063000,,,0.0,-209000,45347000,56000,,,-35339000,,-35339000,41148000,27775000,,,,177485000,,351000,116498000,,,30530000,,85434000,,,,,,,,-35339000,,-3208000,3190000,-152000.0,33486000,-17965000,38238000,,465000.0,,,159520000,,276018000,,98652000,2415000,113209000,-11311000,,2348000,-4000.0,15577000,,,,,400000.0,-34988000,,,-1075000,,,-1875000,,,,,,
2013-09-30,-16068000,17156000,1122000,,,1250000.0,-216000,53567000,1540000,,,-47328000,,-47328000,46397000,-2174000,,,,197446000,,618000,119774000,,,30329000,,113209000,,,,,,,,-47328000,,-3191000,3191000,6000.0,34067000,-31094000,52533000,,-1227000.0,,,166352000,,286126000,,109812000,1945000,111035000,-49692000,0.0,5180000,-6000.0,4513000,,,,,0.0,-46710000,,,-33624000,,,0,,,,,,
2013-12-31,-16045000,18113000,95864000,1520000.0,,1000000.0,-1810000,62055000,834000,183248000.0,11400000.0,-65451000,-126857000.0,-65451000,24795000,-15605000,0.0,702258000.0,,233475000,1083934000.0,-2433000,123059000,5283000.0,130724000.0,8750000,,111035000,,,95430000.0,98621000.0,,836038000.0,3213130000.0,-65451000,2807255000.0,-3190000,3190000,-2700000.0,37894000,-50605000,43927000,2400623000.0,309000.0,383898000.0,24027000.0,182870000,,305929000,310105000.0,133526000,2547000,95430000,-136264000,,5878000,-87000.0,-11877000,3191000.0,812507000.0,1542094000.0,-532510000.0,0.0,-67884000,405875000.0,858529000.0,-120219000,1627565000.0,74262000.0,-4000000,0.0,,,,,
2014-03-31,-8382000,17617000,-256000,1269000.0,128567000.0,0.0,-447000,61586000,-801000,182949000.0,12446000.0,-51343000,,-51343000,42465000,38118000,0.0,771434000.0,,228487000,1084191000.0,-1226000,125858000,5090000.0,111373000.0,34083000,,95430000,-0.399348,128567000.0,133548000.0,133548000.0,,811950000.0,3246489000.0,-51343000,2789174000.0,0,3191000,194000.0,36726000,-34151000,47518000,2497068000.0,-220000.0,401424000.0,22835000.0,194336000,,320194000,,130175000,2763000,133548000,-4091000,,6801000,-12000.0,1774000,0.0,749421000.0,1590157000.0,-583853000.0,0.0,-52569000,457315000.0,906911000.0,1100000,1628999000.0,104542000.0,-2125000,0.0,-0.399348,,,,
2014-06-30,-10205000,20600000,-19048000,5107000.0,128567000.0,0.0,-9385000,63400000,700000,196331000.0,14440000.0,-37600000,,-37600000,62148000,31027000,0.0,804454000.0,,229900000,1415624000.0,-800000,127100000,3539000.0,127228000.0,51943000,,133548000,-0.292455,128567000.0,164575000.0,167575000.0,,788104000.0,3271818000.0,-37600000,2778048000.0,-3000000,0,1550000.0,37765000,-18500000,52766000,2895380000.0,7538000.0,411133000.0,33352000.0,211400000,,338500000,,128700000,3187000,164575000,-12073000,,5979000,-246000.0,20000000,3000000.0,376438000.0,1925239000.0,-621402000.0,1132000.0,-38400000,493770000.0,970141000.0,0,1628999000.0,98482000.0,0,0.0,-0.292455,,,,
2014-09-30,-22778000,23100000,-5287000,5046000.0,128567000.0,0.0,-2240000,62400000,1100000,214639000.0,17189000.0,-27600000,,-27600000,50346000,-19559000,0.0,821646000.0,,231800000,1414773000.0,-1000000,131700000,5185000.0,125691000.0,27568000,,164575000,-0.214674,128567000.0,145016000.0,148017000.0,,774516000.0,3287572000.0,-27600000,2819528000.0,-3001000,3000000,-1161000.0,38531000,-6600000,27758000,2933215000.0,-1023000.0,421765000.0,34598000.0,225200000,,356900000,,130900000,2237000,145016000,-64618000,-484000.0,9461000,-1046000.0,33031000,3001000.0,354357000.0,1946234000.0,-649043000.0,0.0,-28600000,468044000.0,986981000.0,-41839000,1661177000.0,109696000.0,-2750000,0.0,-0.214674,,,,
2014-12-31,-26536000,23721000,-5120000,4983000.0,,0.0,-2153000,67058000,-267000,220905000.0,17830000.0,-26772000,-178375000.0,-26772000,25609000,-6048000,0.0,823284000.0,0.0,240503000,1413939000.0,178000,133764000,3527000.0,112558000.0,-927000,,145016000,,,138968000.0,141971000.0,,749653000.0,3264805000.0,-26772000,2803923000.0,-3002000,3001000,1173000.0,39737000,-2606000,9376000,2854414000.0,2250000.0,429228000.0,31924000.0,237897000,,371661000,399280000.0,133708000,2142000,138968000,-26537000,-15000.0,7944000,-331000.0,36864000,3003000.0,410391000.0,1881665000.0,-675815000.0,0.0,-26594000,460882000.0,972749000.0,0,1661177000.0,38498000.0,-2750000,0.0,,,,,
2015-03-31,-8200000,23500000,-6900000,4900000.0,152251200.0,,-4500000,67600000,200000,222500000.0,23600000.0,-43400000,,-43400000,72100000,57800000,0.0,881800000.0,,259600000,1413100000.0,-400000,137200000,5000000.0,123600000.0,63900000,,139000000,-0.286996,152251200.0,196800000.0,197900000.0,,727300000.0,3329400000.0,-43400000,2794200000.0,-1100000,3000000,,37400000,-20500000,67100000,2953300000.0,,455800000.0,35800000.0,239100000,,376300000,,154600000,2300000,196800000,-7400000,,8700000,,17100000,1100000.0,376100000.0,1907200000.0,-719200000.0,0.0,-43800000,535200000.0,1046100000.0,-1100000,1661400000.0,38300000.0,-2800000,0.0,-0.286996,,,,
2015-06-30,-14800000,16600000,92900000,4800000.0,64635000.0,,-12400000,67700000,-20900000,230000000.0,11500000.0,-71300000,,-29800000,47300000,92600000,0.0,914200000.0,,288400000,1044300000.0,200000,139700000,5300000.0,133900000.0,32500000,200000.0,196800000,-0.46,64635000.0,289400000.0,294800000.0,,730700000.0,3440000000.0,-29800000,2795000000.0,-5400000,1100000,,38400000,-33600000,46800000,2814800000.0,,468500000.0,39800000.0,254800000,,394500000,,182300000,2200000,289400000,-47600000,,9800000,,-16100000,5400000.0,354100000.0,1719600000.0,-29800000.0,1100000.0,-71100000,645000000.0,1095200000.0,-29600000,1662300000.0,38900000.0,-377700000,0.0,-0.46,,,,
