date,quarterlyDilutedEPS,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyBasicAverageShares,quarterlyTaxProvision,quarterlyNetPPE,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyTotalRevenue,quarterlyEbitda,quarterlyDilutedAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyBasicEPS,quarterlyOperatingIncome,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment
2000-11-30,0.08,,,1599000,,,866000.0,6569000.0,,5000000.0,-1233000.0,23409000,,3522000.0,13670000,,,,60241000.0,,105244000.0,5263000,24443000.0,,199263000.0,,279932000.0,168954000.0,,,,,4974000.0,4974000.0,,-1128000.0,,,,82631000,15972000,105244000.0,116581000.0,8407000,,39381000,24443000.0,,80669000.0,,102358000.0,,,0.08,15972000,,,,,33476000.0,,43250000,144371000.0,,,,23409000,9640000,8407000,4678000.0,,14223000.0,301000.0,,,,
2001-02-28,0.055,61718000.0,-1335000.0,1425000,-23352000.0,,5442000.0,7130000.0,,,-1295000.0,24101000,-80352000.0,3096000.0,9506000,,20362000.0,-4424000.0,4660000.0,,105900000.0,3660000,24119000.0,,196055000.0,19027000.0,262037000.0,166494000.0,4877000.0,,4974000.0,133577000.0,550000.0,550000.0,32403000.0,-4417000.0,,-1434000.0,550000.0,80674000,16843000,105900000.0,112360000.0,5846000,,36067000,,,65982000.0,-1208000.0,98781000.0,,,0.055,11966000,-200000.0,12145000.0,1451000.0,0.0,38087000.0,,44607000,130611000.0,,,426000.0,24101000,5846000,5846000,4194000.0,,13579000.0,0.0,,,,
2001-05-31,,75739000.0,-7667000.0,1356000,14431000.0,,395000.0,7237000.0,,,-6475000.0,23447000,105612000.0,3216000.0,1245000,,23719000.0,5553000.0,8829000.0,,,479000,44336000.0,,322106000.0,16052000.0,458604000.0,277375000.0,6950000.0,,550000.0,0.0,6103000.0,6103000.0,47916000.0,-3438000.0,,-28267000.0,6103000.0,102699000,20359000,,148730000.0,766000,,36856000,44336000.0,,136498000.0,1901000.0,132484000.0,,,,13409000,-4748000.0,7981000.0,2217000.0,0.0,39264000.0,,65843000,271022000.0,,,130000.0,30639000,766000,766000,7035000.0,,16246000.0,0.0,,,,
2001-08-31,0.085,65946000.0,-4784000.0,1085000,-10949000.0,-47321000.0,478000.0,7237000.0,,,-1235000.0,26775000,-1343000.0,2926000.0,20832000,,16077000.0,-5446000.0,7816000.0,2254000.0,147131429.0,7958000,44965000.0,,319827000.0,11293000.0,464459000.0,274384000.0,6963000.0,,6103000.0,0.0,657000.0,657000.0,65057000.0,-3813000.0,,-10574000.0,657000.0,110955000,29650000,151458824.0,154360000.0,12874000,,49462000,92286000.0,,144632000.0,-1460000.0,138819000.0,,,0.0875,22687000,,-4764000.0,13631000.0,0.0,43185000.0,,61493000,284414000.0,,,290000.0,26775000,12874000,12874000,6937000.0,,15541000.0,0.0,,,,
2001-11-30,0.0775,91470000.0,-8019000.0,1152000,22883000.0,-47321000.0,477000.0,7238000.0,,,-1101000.0,34117000,-1690000.0,2854000.0,18839000,,66547000.0,26211000.0,13026000.0,55000.0,145537500.0,7196000,49018000.0,,373108000.0,58528000.0,493119000.0,323613000.0,7442000.0,,657000.0,0.0,26868000.0,26868000.0,52463000.0,-4818000.0,,-63219000.0,26868000.0,115617000,28224000,150232258.0,172965000.0,11643000,,54899000,96339000.0,,120011000.0,-1461000.0,156959000.0,,,0.08,20782000,,47896000.0,23812000.0,0.0,47178000.0,,60718000,293660000.0,,,72000.0,34117000,11643000,11643000,6946000.0,,16006000.0,0.0,,,,
2002-02-28,0.0675,50763000.0,-3249000.0,882000,-45261000.0,,5389000.0,7237000.0,,,-1040000.0,33147000,1621000.0,2838000.0,16626000,,44337000.0,-9398000.0,7205000.0,,146785714.0,6351000,52777000.0,,379201000.0,41088000.0,459275000.0,321035000.0,7437000.0,,26868000.0,0.0,17470000.0,17470000.0,52420000.0,-4710000.0,,-8474000.0,17470000.0,115283000,25432000,152222222.0,129844000.0,10275000,,51142000,52777000.0,,80074000.0,-1464000.0,110388000.0,,,0.07,17995000,,24935000.0,32623000.0,-5000000.0,46673000.0,,64141000,303729000.0,,,16000.0,33147000,10275000,10275000,6923000.0,,19456000.0,0.0,,,,
2002-05-31,,24599000.0,-6338000.0,953000,-26506000.0,-63741000.0,5298000.0,1788000.0,,,-12098000.0,23257000,-5019000.0,2611000.0,8167000,,33507000.0,1724000.0,9244000.0,,,3119000,53643000.0,,351961000.0,27169000.0,431418000.0,293020000.0,7729000.0,,17470000.0,0.0,19194000.0,19194000.0,63162000.0,-3912000.0,,-5277000.0,19194000.0,120971000,39669000,,109889000.0,-10951000,,55197000,117384000.0,,79457000.0,-1472000.0,97005000.0,,,,31940000,,5091000.0,20200000.0,0.0,44315000.0,,65774000,296288000.0,,,227000.0,34250000,5048000,-10951000,6385000.0,,12884000.0,0.0,,,,
2002-08-31,0.0975,10995000.0,-5201000.0,1008000,-16072000.0,-63741000.0,5289000.0,1788000.0,,,-1236000.0,35525000,0.0,2644000.0,23343000,,19588000.0,-1854000.0,9858000.0,1259000.0,146130000.0,8730000,53853000.0,,349448000.0,14387000.0,429253000.0,290306000.0,7860000.0,,19194000.0,0.0,17340000.0,17340000.0,60412000.0,-4286000.0,,-5370000.0,17340000.0,127728000,33177000,149876923.0,93629000.0,14613000,,60842000,117594000.0,,79805000.0,-3155000.0,81265000.0,,,0.1,25317000,,-6855000.0,33338000.0,0.0,48019000.0,,66886000,310827000.0,,,-33000.0,35525000,14613000,14613000,6437000.0,,12364000.0,0.0,,,,
2002-11-30,0.09,2181000.0,-4608000.0,1199000,-11332000.0,-63741000.0,5399000.0,1788000.0,,,-1101000.0,41311000,-3376000.0,2298000.0,21698000,,34379000.0,17640000.0,4114000.0,991000.0,146832432.0,8116000,53023000.0,,346644000.0,29771000.0,437758000.0,288222000.0,8012000.0,,17340000.0,0.0,34980000.0,34980000.0,70639000.0,-3856000.0,,-5407000.0,34980000.0,129461000,31767000,150911111.0,89201000.0,13582000,,65066000,116764000.0,,91114000.0,203000.0,76934000.0,,,0.0925,23755000,,8676000.0,45443000.0,0.0,41665000.0,,64395000,324355000.0,,,346000.0,41311000,13582000,13582000,6676000.0,,12267000.0,0.0,,,,
2003-02-28,0.08,1783000.0,-2898000.0,1172000,-2892000.0,-63741000.0,5478000.0,1788000.0,,,-1505000.0,40108000,-1964000.0,1918000.0,19325000,,363000.0,-5612000.0,9586000.0,1218000.0,146630303.0,7228000,50455000.0,,341450000.0,-2535000.0,441492000.0,285517000.0,8354000.0,,34980000.0,0.0,29368000.0,29368000.0,56063000.0,-1999000.0,,-3083000.0,29368000.0,124573000,30137000,151212500.0,79700000.0,12097000,,61891000,114196000.0,,100042000.0,-1481000.0,67432000.0,,,0.0825,21783000,,-25090000.0,56060000.0,0.0,42645000.0,,62682000,338049000.0,,,380000.0,40108000,12097000,12097000,6944000.0,,12268000.0,0.0,,,,
