date,quarterlyDilutedEPS,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyBasicAverageShares,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyInventory,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyDilutedAverageShares,quarterlyPretaxIncome,quarterlyCapitalExpenditure,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyBasicEPS,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyOtherShortTermInvestments,quarterlyEbitda,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlyChangesInAccountReceivables,quarterlyDeferredIncomeTax,quarterlyCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyResearchAndDevelopment,quarterlyChangeInInventory
2009-03-31,0.113451,1603584751.3,,,,,1172328538.92,3444090119.68,8032508323.42,,,,,634127948.3,5586793360.0,,,634127948.3,849048696.16,-708533843.36,,,,,4440166832.78,-708533843.36,,,5191333538.58,2841174784.84,1668846245.92,,,,,,,304943201.22,5586793360.0,1153991897.38,,2630990262.32,,0.113451,,,,,-926379705.86,,1809176570.46,,3444090119.68,,,,1172328538.92,,,,,,,,,,,,,,,,,,,,
2009-06-30,,2298890248.22,,,,,1001287623.32,2121483794.38,9057645759.35,,,,,591325222.37,,,,591325222.37,852709620.29,-496185755.16,,,,,4997959072.94,-496185755.16,,,5710986700.5,3346659058.85,2345371435.53,,,,,,,137402607.77,,990112228.06,,4440166832.78,,,,,,,-1066393253.1,,558904786.12,,2121483794.38,,,,1001287623.32,,,,,,,,,,,,,,,,,,,,
2009-09-30,0.179563,2371477385.64,,,,,1620836924.52,,10491665621.36,,,,,1006425171.84,5586793360.0,,,1006425171.84,1328805122.48,,,,,,,,,,6734933508.6,3756732112.76,2135895188.24,,,,,,,280582118.08,5606578135.0,1609387240.56,,,,0.180245,,,,,,,,,,,,,1620836924.52,,,,,,,,,,,,,,,,,,,,
2009-12-31,,1437647800.74,6996081457.82,8930730972.41,1301892853.3,,494903887.22,,7111969048.74,,16271612269.25,23267693727.07,10232623825.71,384655221.42,,0.0,798758754.17,384655221.42,386811416.12,,0.0,9986918605.56,,1453836114.77,,,789254192.09,,5043717626.68,2068251422.06,1573347534.84,3515438447.43,3487948959.69,414998404.21,-7633180720.75,15135182097.62,,127928390.8,,514739806.92,,,190733072.66,,0.0,1489095855.13,,47488670.45,,0.0,,,,22768362818.37,4248354894.03,27489487.74,560111191.72,,,,,,,,,,,,,,,,,,,,
2010-03-31,0.124419,1766968871.12,11780533063.55,13949395884.36,1257596027.81,,1260788537.88,5216807557.94,9908190851.49,,17078383891.04,28858916954.59,15206991912.17,698462411.91,5586793360.0,0.0,688631941.93,698462411.91,970447862.97,-1142070915.02,0.0,10698737012.1,,1891285349.97,7809966588.61,-1142070915.02,837804880.34,,6900791675.87,3007399175.62,1746610637.74,7750703484.12,7729511233.12,477816897.95,,15959993607.46,,293533184.98,5605802484.0,1263981047.95,,3556121243.69,190962690.14,0.125103,0.0,2152442244.39,,42794674.6,179108702.0,0.0,4253845344.92,,5216807557.94,,5711065540.94,21192251.0,1260788537.88,,,,,,,,,,,,,,,,,,,,
2010-06-30,,2721744071.4,10396846564.8,13576774871.64,1388445583.47,,1179952358.99,-291399550.49,12176508066.48,,17889483354.08,28286329918.88,14965220455.11,647289424.86,,0.0,762188921.35,647289424.86,946671594.11,-1174551701.97,0.0,10060512446.06,,1781234862.32,6117605349.51,-1174551701.97,954133742.04,,8331165962.57,3845342103.91,2665389744.92,6180753963.05,6023154797.6,532255518.07,,16834968238.22,,240125030.35,,1186796624.46,,7809966588.61,190208472.14,,0.0,1856006797.33,,38077102.32,-212364883.64,0.0,-1678316136.1,,-291399550.49,,5738672813.01,157599165.45,1179952358.99,,,,,,,,,,,,,,,,,,,,
2010-09-30,0.238419,2505208086.4,12528157484.8,15344398694.4,1646425952.0,,2170793884.8,3743969957.35,13798108672.0,,19470133897.6,31998291382.4,16990824646.4,1338965772.8,5586793360.0,0.0,942702908.8,1338965772.8,1745980860.8,-1951289043.81,0.0,11427463667.2,,1706271094.4,7702626137.6,-1951289043.81,1214540502.4,,9570821718.4,4227286953.6,2056493068.8,7661306876.8,7627153539.2,608248636.8,,17959526566.4,,444400771.2,5607778119.0,2190381632.0,,6117605349.51,186554425.6,0.239755,0.0,2763288176.0,,0.0,-139614202.36,0.0,1653066711.18,,3743969957.35,,7316340803.2,34153337.6,2170793884.8,,,,,,,,,,,,,,,,,,,,
2010-12-31,,1366039659.4,10694078326.52,14759522857.66,1969437121.84,,365426544.74,-6714638728.88,8857187082.04,,21748798732.92,32442877059.44,16728959979.5,503482278.34,,17377464.4,1175691588.58,503482278.34,436699539.88,,-498912309.02,12079712235.96,,2054792308.62,5925184750.8,-2119772315.22,847184552.6,,7207272150.94,1649914931.1,1284488386.36,5850547877.94,5845434127.92,690886862.3,-9386623109.02,19386723772.32,,-77709410.4,,358990129.48,,7702626137.6,185275607.08,,498912309.02,3030284895.12,,0.0,,0.0,-1912810014.38,,-309961980.42,28773346881.34,7189183042.06,5113750.02,365426544.74,,,,,,,,,,,,,,,,,,,,
2011-03-31,0.143852,2152077002.56,14913928047.1,19641762030.8,1993143640.88,,1508973609.08,5585197888.2,13359913684.96,,23429454864.84,38343382911.94,21634905671.68,808165240.3,5586793000.0,17334482.62,1132567700.76,808165240.3,1100132052.72,-2184781962.38,-495178971.88,12787100666.06,,2589596979.2,9394718113.58,-2184781962.38,852424332.34,,9796281683.3,3563632001.66,2054658392.58,9300169973.06,9294363348.34,755360425.68,,21103369609.5,,390863352.9,5607098000.0,1490995405.62,,5867975257.2,183486713.72,0.144509,495178971.88,3159125708.1,,,126326930.56,0.0,3526742856.38,,5585197888.2,,7872850381.96,5806624.72,1508973609.08,,,,,,,,,,,,,,,,,,,,
2011-06-30,,2770697860.16,13161149206.26,19909293056.4,1977077078.46,,1069572220.12,-2248693902.0,13423487262.2,,24264715372.92,37425864579.18,21886370134.86,673673689.04,,0.0,1093361920.2,673673689.04,889270337.64,-1185482379.46,0.0,11883515785.68,,3175026225.36,6331820047.08,-1185482379.46,1094558866.5,,9984608150.02,3438879112.18,2369306892.06,6193026036.12,6189208747.92,791983781.82,,22190808573.78,,164784999.48,,1054055337.12,,9394718113.58,180803591.1,,0.0,4000666843.14,,,459361538.96,0.0,-2974814742.5,,-2248693902.0,,8519100305.76,3817288.2,1069572220.12,,,,,,,,,,,,,,,,,,,,
