date,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyCurrentDebt,quarterlyCapitalStock,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyOtherCurrentLiabilities,quarterlyAccountsPayable,quarterlyGrossPPE,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyInventory,quarterlyAccountsReceivable,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2010-03-31,1477933842.448658,95852986.600692,1681214017.559224,-160371282.34882,265713600.166397,220316597.363927,275472344.572404,0,1470628871.108289,0.0,428104600.99838,426084882.515217,203280175.110566,338279954.613128,2469565432.872094,710318438.345667,95852986.600692,806171424.946359,1786333585.256382,4255899018.128476,,0.0,0.0,,3336941195.253317,207161133.73035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,1803754194.547915,98273234.877876,2006117848.965651,,267280611.870851,215560348.417864,270842539.975511,0,1447375454.533737,0.0,729031480.208803,,202363654.417735,2950500506.850551,3156882305.394084,1014348979.828575,101263601.778694,1115612581.607269,1767543554.243733,4924425859.637817,2990366.900818,0.0,0.0,,3689274351.073017,281219302.494039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,1414444357.101294,86761182.074031,1414444357.101294,-287882933.821272,452556214.262318,624363266.894708,265780474.173199,0,2594191405.911012,0.0,580721962.007057,740439148.08359,0.0,212092826.827555,2678801909.650834,1287188154.764275,89766563.09657,1376954717.860845,3166453245.651646,5845255155.30248,3005381.022539,0.0,0.0,,4252968515.233529,394834673.972047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,1856372425.170134,59737945.562413,1856372425.170134,,530257623.38224,608471730.825252,259389854.332613,0,2578074989.288295,0.0,740017563.216001,,,134363714.311747,3226124517.167346,1411375669.681138,62763036.775529,1474138706.456667,3229748213.002139,6455872730.169485,3025091.213116,0.0,0.0,,4716386902.231787,469296156.285411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,1857626142.866155,59133320.9802,1857626142.866155,-330878666.384275,906141696.729364,753505457.068955,256707732.454915,0,2551932474.165668,0.0,474628009.8777,1237020363.113639,,4171633683.679263,3154906632.425174,1323311564.335734,59133320.9802,1382444885.315933,3630232498.030769,6785139130.455942,0.0,0.0,0.0,,5133022969.204286,542581609.830835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,2181702700.771439,59179275.683037,2181702700.771439,,1043193384.427301,751715716.618049,254908217.836721,0,2527662130.200636,0.0,716773700.779177,,,4509752091.822128,3536440307.647072,1513623158.450622,59179275.683037,1572802434.133659,3740100559.776848,7276540867.42392,,0.0,0.0,,5440454765.08639,531992657.170049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,1510565480.825982,50156159.255581,1860673539.795218,-355787746.671871,1319698502.428713,372399151.399457,0.0,0,191703875.414929,0.0,302854210.519401,1675486249.100584,350108058.969236,4848237322.884263,3275940075.632103,956616537.539754,50156159.255581,1006772696.795335,3837919225.995927,7113859301.62803,,0.0,0.0,2151403555.146798,5829777374.382517,562455661.105937,653105623.140466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,2005365191.908015,47020980.730791,2418138829.339441,,1305564125.496174,379703632.533523,0.0,0,173663195.962519,0.0,335518556.759183,1305564125.496174,412773637.431425,5174175022.495789,3980969198.309592,1351331645.726135,47020980.730791,1398352626.456926,3914786483.865809,7895755682.175401,,0.0,0.0,2161288560.76984,6250449193.904317,602149771.369324,701056108.5663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,1899715730.187986,74118940.621637,2544645525.575011,-466574396.491612,1300211737.688099,423979758.628868,0.0,0,159203447.245942,0.0,356717995.668005,1766786134.179711,644929795.387025,5810370388.28776,4305957274.276766,1052090514.337086,74118940.621637,1126209454.958723,4018312507.326756,8324269781.603521,,0.0,0.0,2185249119.83167,6946408144.654607,684353368.469624,770045695.833629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,2635280513.0157,65229719.589153,3276944460.012953,,1279551178.125229,419836334.889183,0.0,0,142773956.219041,0.0,315230254.123216,1279551178.125229,641663946.997254,6102239950.793097,4995750897.294625,1422451843.201281,65229719.589153,1487681562.790434,3953191213.740232,8948942111.034857,,0.0,0.0,2165352999.228728,7231722702.187245,668383677.219403,764057575.496466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
