date,quarterlyEbitda,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyGrossProfit,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyDilutedEPS,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyBasicEPS,quarterlyCommonStockIssuance,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyBasicAverageShares,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyCapitalStock,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyCashDividendsPaid,quarterlyCurrentDeferredRevenue,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2000-03-31,11696000,579750000,7564000,77409000,3871000,1870000,-12625000,,299915000.0,116000,0.27,201631000.0,259953000.0,121682000.0,,,-6630000.0,,2095000.0,,187713000.0,502341000,,0.0,,,,69845000,89905000.0,,0.0,3871000,3871000,-168000.0,9842000.0,98284000.0,21596000.0,-12691000,0.28,,-1325000,1389000,69000.0,120528000.0,-4026000,,1860000.0,8379000.0,10214000,-3736000,14038000.0,,2373000,6244000,121682000.0,44273000.0,,487628000.0,104133000.0,227675000.0,-2477000,1870000.0,1870000.0,,4132000,,135762000.0,5606000,14413000.0,,,,,,,,
2000-06-30,16537000,654603000,12388000,86979000,6733000,6028000,-5569000,,312305000.0,155000,0.47,198852000.0,273695000.0,123831000.0,,,-5277000.0,,-7351000.0,,189835000.0,567624000,,-179000.0,,,,74591000,105074000.0,,0.0,6733000,6733000,-170000.0,9615000.0,113453000.0,16584000.0,-4232000,0.49,,6041000,1499000,-29000.0,124063000.0,6180000,,1436000.0,8379000.0,3686000,4158000,13824000.0,,4127000,10860000,123831000.0,38023000.0,,502140000.0,103178000.0,228445000.0,-546000,6028000.0,6028000.0,,4149000,,144245000.0,1870000,14385000.0,,,,,,,,
2000-09-30,19811000,693127000,15139000,93223000,8329000,9607000,-11606000,,322198000.0,177000,0.57,203377000.0,290640000.0,125915000.0,,,0.0,,-16285000.0,,207028000.0,599904000,,16000.0,,,,78084000,110430000.0,,0.0,8329000,8329000,-296000.0,9595000.0,118821000.0,27710000.0,-5136000,0.6,,18292000,1716000,10000.0,120751000.0,2226000,,1436000.0,8391000.0,-3107000,3579000,13983000.0,-6501000.0,5104000,13433000,125915000.0,44190000.0,,529226000.0,,238586000.0,-8243000,9607000.0,9607000.0,,4672000,,131477000.0,6028000,14697000.0,,,,,,,,
2000-12-31,19848000,677988000,14924000,94580000,7948000,18530000,-123688000,,351979000.0,3994000,,227786000.0,324256000.0,143142000.0,7735000.0,115738000.0,0.0,,-11553000.0,,357717000.0,583408000,234421000.0,-110000.0,,49769000.0,,79656000,114492000.0,,0.0,7948000,7948000,-178000.0,10332000.0,124193000.0,35296000.0,-8933000,,,128818000,1989000,-116000.0,123586000.0,4160000,,2987000.0,9701000.0,3793000,8923000,,-115393000.0,4871000,12819000,143142000.0,0.0,,709696000.0,4890000.0,385440000.0,-5140000,18530000.0,18530000.0,0.0,4924000,,134986000.0,9607000,,177000.0,,,,,,,
2001-03-31,17776000,723475000,11786000,95375000,6299000,13123000,-5783000,,330244000.0,162000,0.17,229333000.0,312253000.0,145302000.0,,,0.0,,22200000.0,,367221000.0,628100000,,1004000.0,,,,83589000,91210000.0,,0.0,6299000,6299000,-1039000.0,14042000.0,100911000.0,21239000.0,-6718000,0.18,,-34275000,1642000,16000.0,126130000.0,-20028000,,1662000.0,9701000.0,34651000,-5407000,35591000.0,-483000.0,3861000,10160000,145302000.0,55841000.0,,697465000.0,,385212000.0,27933000,13123000.0,13123000.0,,5990000,,152253000.0,18530000,37406000.0,,,,,,,,
2001-06-30,27082000,794822000,20170000,108616000,10872000,9791000,-49990000,,383071000.0,820000,0.29,245766000.0,330049000.0,147256000.0,,,0.0,,-6428000.0,,399102000.0,686206000,,-207000.0,,,,88446000,127604000.0,,0.0,10872000,10872000,-425000.0,15067000.0,137305000.0,32037000.0,-7073000,0.3,,34482000,2161000,-474000.0,143732000.0,23982000,,1640000.0,9701000.0,12176000,-3332000,36542000.0,-43323000.0,6663000,17535000,147256000.0,62158000.0,,782173000.0,,452124000.0,5103000,9791000.0,9791000.0,,6912000,,151571000.0,13123000,37857000.0,,,,,,,,
2001-09-30,30193000,798807000,22954000,110897000,12921000,16041000,-65610000,,370187000.0,77579000,0.34,271798000.0,298678000.0,150476000.0,,,0.0,,,,454447000.0,687910000,,-6150000.0,,,,87943000,88544000.0,,0.0,12921000,12921000,-359000.0,20797000.0,98389000.0,48409000.0,-6566000,0.35,,-10107000,1252000,-861000.0,159625000.0,-24490000,,7789000.0,9845000.0,81967000,6250000,36944000.0,,7920000,20841000,150476000.0,68303000.0,,824634000.0,367691000.0,525956000.0,75401000,16041000.0,16041000.0,,7239000,,155086000.0,9791000,38377000.0,,,,,,,,
2001-12-31,32915000,920144000,21075000,142232000,10391000,68274000,-301479000,,669594000.0,6303000,,348034000.0,417789000.0,247197000.0,0.0,155528000.0,0.0,,,,608197000.0,777912000,425186000.0,4906000.0,,111702000.0,,121157000,270594000.0,,0.0,10391000,10391000,-349000.0,8832000.0,321560000.0,52875000.0,-9779000,,,317285000,3752000,-564000.0,176245000.0,19450000,,8493000.0,50966000.0,36427000,52233000,,,6368000,16759000,247197000.0,0.0,,1277791000.0,179126000.0,860002000.0,26648000,68274000.0,68274000.0,,11840000,,183457000.0,16041000,,438000.0,,,,,,,
2002-03-31,31508000,996903000,21416000,153325000,10756000,90916000,-11593000,,714882000.0,108000,0.24,370187000.0,469636000.0,250180000.0,,,,,12606000.0,,622492000.0,843578000,,-356000.0,,,,131909000,269652000.0,,0.0,10756000,10756000,-501000.0,197352000.0,344695000.0,51116000.0,-11657000,0.25,,673000,4299000,93000.0,181368000.0,1174000,,8729000.0,75043000.0,33562000,22642000,43847000.0,0.0,6454000,17210000,250180000.0,120024000.0,,1337374000.0,608829000.0,867738000.0,21905000,90916000.0,90916000.0,,10092000,,199047000.0,68274000,45411000.0,,,,,,,,
2002-06-30,51038000,1068054000,40260000,182094000,22278000,30003000,-109079000,,741355000.0,148000,0.47,384371000.0,453583000.0,263440000.0,,,,,1632000.0,,647488000.0,885960000,480965000.0,898000.0,,,,141834000,281940000.0,,0.0,22278000,22278000,-723000.0,54527000.0,356984000.0,53314000.0,-16952000,0.51,,13330000,4442000,-173000.0,196385000.0,1053000,,8231000.0,75044000.0,34836000,-60913000,44024000.0,-93075000.0,13367000,35645000,263440000.0,124936000.0,,1388843000.0,182624000.0,935260000.0,17884000,30003000.0,30003000.0,,10778000,,206121000.0,90916000,51622000.0,,,,,,,,
