date,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyOtherIncomeExpense,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyBasicEPS,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyBasicAverageShares,quarterlyCurrentDeferredRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyOperatingIncome,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyDilutedEPS,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyOtherShortTermInvestments,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyStockBasedCompensation
1998-03-31,706300000,-16700000,6800000,7800000,1256600000,131900000,966700000,-807100000,-0.35,,855400000,20100000.0,75100000.0,,676500000,-258800000,112800000,,7600000,19400000,651000000,10400000,663300000,41900000.0,,1567400000,81600000.0,3066700000,-275500000,724100000,,61000000.0,21800000,,94200000,47600000,724100000,,340800000,,40200000,18400000,724100000,-30500000,-26000000,,131200000,2775000000,,-0.35,1458100000,,1499300000,,1463800000,-301000000,,,,,,291700000,,,-13800000,,209600000,-3200000.0,33000000.0,80600000,11800000,-26000000,,1311200000,264900000,1258100000,
1998-06-30,216600000,-24000000,4400000,13400000,0,132400000,-574000000,-824100000,0.34,,873900000,32500000.0,75700000.0,,-651500000,-55800000,112900000,,16300000,41800000,651400000,10600000,506400000,1000000.0,,1583700000,80500000.0,2415100000,-79800000,72600000,,58400000.0,23600000,,107200000,724100000,72600000,,369900000,,56400000,32800000,72600000,-20500000,25500000,,145700000,2106600000,,0.32,1475500000,,831400000,,830200000,-41100000,,,25500000.0,,,308500000,,,0,,224200000,-2700000.0,32800000.0,78700000,25500000,25500000,,1276400000,262400000,1211100000,
1998-09-30,248800000,-24400000,3900000,10200000,0,138500000,10900000,-856200000,0.35,,878300000,57100000.0,74600000.0,,14800000,25600000,115100000,,16700000,43000000,656800000,10900000,522500000,1200000.0,,1592600000,78500000.0,2471500000,1200000,87400000,,57500000.0,23300000,,100000000,72600000,87400000,,380300000,,60100000,36700000,87400000,-24400000,26300000,,151800000,2146300000,,0.33,1513000000,,878900000,,871300000,-30200000,,,51800000.0,-20000000.0,,325200000,,,0,,228500000,-2800000.0,32800000.0,80800000,26300000,26300000,,1275000000,268100000,1185100000,
1998-12-31,80600000,-35800000,5100000,-341800000,0,130100000,-207000000,-879100000,,,1217700000,24500000.0,,,-22100000,216300000,122000000,,-109700000,-319000000,661400000,15500000,483900000,7900000.0,,1952200000,,2577800000,180500000,65300000,,73100000.0,25200000,,123700000,87400000,65300000,,372400000,,53100000,27900000,65300000,-32800000,-209400000,,149900000,2490200000,,,1540500000,,625600000,,688200000,18600000,,,-157600000.0,-46700000.0,,87600000,,,0,,222500000,9200000.0,32800000.0,81300000,-209300000,-209400000,,1802000000,233300000,1744700000,
1999-03-31,130800000,-17000000,3800000,8400000,0,135500000,-2900000,-864500000,0.28,,1207300000,23300000.0,71700000.0,,-15400000,-13500000,109500000,,11700000,31700000,630100000,11100000,487900000,800000.0,,1901900000,74700000.0,2490100000,-30500000,49900000,,64500000.0,23000000,,117800000,65300000,49900000,,345400000,,50100000,27100000,49900000,2900000,20000000,,136600000,2415200000,,0.27,1494600000,,588200000,,736500000,-41500000,,,-197100000.0,-26000000.0,,74900000,,,0,,208800000,-8800000.0,8100000.0,75400000,20000000,20000000,,1678700000,122800000,1647300000,
1999-06-30,177000000,-19100000,5100000,10700000,0,130700000,32400000,-879300000,0.37,,1206400000,19000000.0,69500000.0,,6800000,-5800000,114100000,,18500000,49900000,624200000,10100000,406300000,16800000.0,,1898600000,73000000.0,2444600000,-24900000,56700000,,68000000.0,22500000,,111700000,49900000,56700000,,373000000,,66900000,44300000,56700000,-19000000,25700000,,158400000,2355600000,,0.35,1503500000,,546000000,,695000000,-26400000,,,-171400000.0,-30600000.0,,89000000,,,0,,214600000,3100000.0,8100000.0,81400000,31400000,25700000,,1660600000,110600000,1633500000,
1999-09-30,76800000,-18300000,3900000,10900000,-27500000,130100000,-122600000,-902600000,0.59,,1150900000,20000000.0,71200000.0,,29000000,40500000,113900000,,18400000,51200000,621400000,10600000,500700000,7700000.0,,1819000000,74600000.0,2411400000,22200000,85700000,,46700000.0,22300000,-95500000.0,113500000,56700000,85700000,700000.0,372200000,,66500000,44200000,85700000,110600000,42000000,,158100000,2270200000,0.0,0.56,1524000000,,592400000,,691000000,-16400000,,,-129400000.0,-2100000.0,,141200000,,,-54100000,,214100000,1100000.0,8100000.0,81000000,32800000,42000000,,1579200000,112700000,1551100000,
1999-12-31,13000000,-28100000,3200000,29100000,0,128200000,15600000,-908300000,,,1049900000,20500000.0,,,114100000,116100000,115500000,,27100000,75300000,617300000,10600000,604300000,1300000.0,,1712800000,,2492600000,88000000,199800000,,45600000.0,21400000,-96500000.0,124100000,85700000,199800000,800000.0,381200000,,66600000,45200000,199800000,-15300000,48200000,,160700000,2336000000,,,1525600000,,779800000,,741400000,39900000,,,-81200000.0,-36600000.0,,156600000,,,0,,220500000,-1100000.0,123200000.0,83500000,48200000,48200000,,1594600000,258200000,1450900000,
2000-03-31,13600000,-12500000,5300000,10200000,0,135400000,110300000,-917000000,0.35,,1059200000,19600000.0,68200000.0,,30100000,-27400000,119100000,,13600000,37800000,611300000,11300000,562600000,1700000.0,,1704700000,69400000.0,2503800000,-39900000,229900000,,34200000.0,22200000,-114900000.0,111400000,199800000,229900000,800000.0,364900000,,55100000,32900000,229900000,-48800000,24200000,,152000000,2364200000,-49200000.0,0.35,1528300000,,799100000,,687600000,-31200000,,,-57000000.0,-25400000.0,,139600000,,,-11700000,,212900000,-1000000.0,256600000.0,85600000,24200000,24200000,,1676600000,243500000,1400400000,
2000-06-30,12700000,-14800000,6900000,15800000,0,136200000,-53300000,-927800000,0.51,,1071300000,10900000.0,67200000.0,,-62900000,27400000,118500000,,19400000,54000000,619400000,10800000,603800000,3400000.0,,1724100000,68600000.0,2464000000,12600000,167000000,,33400000.0,22100000,-130100000.0,118300000,229900000,167000000,800000.0,384600000,,67200000,45100000,167000000,-35600000,34600000,,163600000,2310500000,56600000.0,0.5,1547200000,,739900000,,734800000,-94200000,,,-22400000.0,-9700000.0,,153500000,,,-7600000,,221000000,-2500000.0,210400000.0,85600000,34600000,34600000,,1575700000,238300000,1354400000,
