date,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyDepreciationAndAmortization,quarterlyGoodwill,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyLongTermDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2010-03-31,104407000,268403000,1582277000,0.0,,0.0,18786000,563159000,392580000,,392580000,386407000,119379000,253728000.0,139131000,175912000,3660000,1195870000,133856000,264822000.0,,1313874000,367621000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,36251000,281068000,1678254000,0.0,46383000.0,0.0,16529000,778877000,456273000,,502656000,556759000,93327000,0.0,139636000,298489000,312000,1121495000,173593000,125677000.0,,1397186000,540230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,48231000,316317000,1876511000,0.0,94134000.0,0.0,18298000,802185000,524280000,,618414000,523818000,105891000,91364000.0,280253000,254416000,348000,1352693000,205465000,,582709000.0,1560194000,505520000,-377244000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,45887000,392901000,2129640000,0.0,27017000.0,0.0,20529000,1108084000,427716000,,454733000,815650000,121437000,0.0,280855000,420157000,325000,1313990000,264299000,,,1736739000,795121000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,70477000,470733000,2466500000,0.0,35621000.0,0.0,27946000,1191059000,562998000,,598619000,835676000,5552000,0.0,281467000,450686000,4163000,1630824000,332753000,,758962000.0,1995767000,807730000,-426209000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,66263000,547340000,2481396000,339879000.0,36635000.0,0.0,30746000,1320776000,371532000,,408167000,870779000,5552000,0.0,282175000,397118000,3709000,1610617000,377636000,668505000.0,459643000.0,1934056000,840033000,-82007000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,92968000,563159000,2797241000,317255000.0,209092000.0,0.0,30002000,1234976000,542963000,,752055000,821767000,5552000,0.0,282691000,411231000,1501000,1975474000,343195000,,852455000.0,2234082000,791765000,-509260000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,61099000,557812000,2957172000,390693000.0,42882000.0,0.0,44352000,1558602000,554266000,,597148000,1007693000,5552000,0.0,283226000,444100000,510000,1949479000,340093000,975082000.0,,2399360000,963341000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,52118000,624494000,3237427000,301816000.0,570560000.0,0.0,55019000,1373213000,418780000,80000000.0,989340000,912298000,5552000,0.0,284306000,391574000,293000,2325129000,405436000,1301588000.0,1037880000.0,2612933000,857279000,-632444000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,48147000,601243000,3400281000,336383000.0,398082000.0,0.0,57536000,1601698000,582684000,80000000.0,980766000,1146291000,5552000,93222000.0,284455000,522719000,0,2253990000,373103000,1228893000.0,,2799038000,1088755000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,51492000,543082000,3390073000,328190000.0,643976000.0,0.0,54760000,1382775000,519702000,0.0,1163678000,915565000,5552000,643976000.0,284468000,496196000,251000,2474508000,351493000,1472411000.0,1100397000.0,2846991000,860805000,-748904000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,48792000,511235000,3159580000,335491000.0,25946000.0,0.0,56480000,1600771000,757580000,,783526000,978782000,5552000,179041000.0,284468000,527267000,517000,2180798000,321514000,1214187000.0,,2648345000,922302000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,79150000,503901000,2971503000,321307000.0,393244000.0,0.0,49919000,1102385000,685763000,,1079007000,683217000,5552000,531759000.0,289213000,261495000,432000,2288286000,321089000,1186328000.0,1114533000.0,2467602000,633298000,-793444000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,57561000,472376000,3379460000,338233000.0,289970000.0,0.0,51064000,1366314000,986270000,,1276240000,1003824000,5552000,426776000.0,289213000,564115000,0,2375636000,297016000,1282731000.0,,2907084000,952760000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,67076000,448542000,2929077000,291792000.0,513024000.0,0.0,59335000,1221794000,455701000,,968725000,709911000,5552000,668956000.0,299444000,313913000,327000,2219166000,284242000,831175000.0,1100777000.0,2480535000,650576000,-816535000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-30,73635000,492848000,3216931000,364569000.0,606819000.0,0.0,60282000,1222404000,590845000,,1197664000,873616000,5552000,606819000.0,299444000,409526000,247000,2343315000,335980000,941576000.0,,2724083000,813334000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,145417000,496698000,3577048000,,915802000.0,,56727000,1337263000,449558000,,1365360000,1094208000,5552000,1495000.0,303885000,619702000,268000,2482840000,340166000,,1140063000.0,3080350000,1037481000,-799897000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,97163000,529696000,3708890000,,819539000.0,,52519000,1713705000,339696000,,1159235000,1054045000,5552000,,304003000,561047000,0,2654845000,350375000,,,3179194000,1001526000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31,112701000,518133000,3406480000,,589512000.0,,56332000,1413726000,551134000,,1140646000,919872000,5552000,,309560000,471499000,214000,2486608000,351100000,759018000.0,1172235000.0,2888347000,863540000,-821135000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,82437000,1997008000,4586829000,,239986000.0,,989003000,1491778000,548709000,,788695000,2169886000,5552000,,309560000,231437000,480000,2416943000,1832045000,698299000.0,1832045000.0,2589821000,1180883000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
