date,quarterlyBasicAverageShares,quarterlyOperatingIncome,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyGrossProfit,quarterlyTotalRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInInventory,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyCashDividendsPaid,quarterlyRetainedEarnings,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyDilutedEPS,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,quarterlyNetOtherInvestingChanges,quarterlyCurrentLiabilities,quarterlyOperatingExpense,quarterlyCurrentAssets,quarterlyGoodwill,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyDilutedAverageShares,quarterlyAccountsReceivable,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyCurrentAccruedExpenses,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable
1999-12-31,98807754.0,56400000,,82700000,,136200000,547700000.0,,258900000,508800000,665900000,78400000,-32700000,345300000,-6600000.0,77200000,,339000000,,,0.326466,753800000,249900000,430000000,,-1200000.0,235900000,202500000,898800000,,,73300000.0,181700000,81400000.0,,147400000,0.0,3400000.0,,32300000,32300000,343200000,1500000,191400000,-31500000,109100000,-212800000.0,,303000000,128200000.0,356700000.0,98938341.0,,334900000,54500000,,22200000,,,159900000,42400000,76900000.0,520900000,1419700000,32300000,600000.0,,,20800000.0,,0.33,1000000.0,345300000,25000000.0,345300000,,
2000-03-31,,57960000,,151281000,,-49675000,605904000.0,,239267000,465777000,848125000,-4375000,-217422000,164571000,-20562000.0,71140000,,370785000,,,,772437000,226510000,441897000,,-1268000.0,406228000,181307000,852891000,,,99190000.0,168127000,92920000.0,,30590000,0.0,5425000.0,,31797000,31764000,390953000,1151000,8889000,18990000,116872000,-232927000.0,,-180787000,168816000.0,342707000.0,,,372977000,53586000,,21822000,,,27879000,345300000,277822000.0,767671000,1620562000,31797000,7964000.0,,,13180000.0,,,1004000.0,164571000,86131000.0,164571000,,
2000-06-30,97092017.0,45013000,,175567000,,-12511000,607998000.0,,271740000,486163000,825885000,-56646000,-40732000,139907000,-7998000.0,65340000,,394768000,,,0.246356,783154000,214423000,455031000,,-1108000.0,370854000,226727000,848040000,,,111663000.0,206400000,89446000.0,,-26711000,0.0,6505000.0,,23983000,23983000,446624000,1134000,42580000,-17987000,114677000,-232927000.0,,-24664000,127869000.0,343368000.0,97350907.0,,375071000,39642000,,15659000,,,24593000,164571000,271251000.0,760999000,1609039000,23983000,696000.0,,,20327000.0,,0.25,1005000.0,139907000,67418000.0,139907000,,
2000-09-30,96713414.0,29966000,,158566000,,-31203000,557247000.0,,269401000,584667000,872273000,10789000,-95065000,79433000,-2481000.0,50784000,,331947000,,,-0.65,726872000,315266000,422997000,,-1188000.0,449276000,239435000,905893000,,,100254000.0,218617000,100365000.0,,58326000,0.0,6783000.0,,-62821000,-62821000,433610000,-127021000,-18316000,-28337000,125126000,-251123000.0,,-60474000,164463000.0,322743000.0,97256321.0,,306124000,-103838000,,-41017000,,66248000.0,-46653000,139907000,262002000.0,693252000,1599145000,-62821000,9716000.0,,,20818000.0,,-0.65,1005000.0,145681000,126247000.0,79433000,,
2000-12-31,96530102.0,88126000,5077000.0,145804000,,8859000,561858000.0,,315237000,612518000,805907000,29894000,-26788000,87014000,-3354000.0,107065000,,382550000,,,0.51982,764437000,297281000,427421000,,-1186000.0,378486000,227111000,875981000,,,98493000.0,208172000,105121000.0,,-48547000,0.0,5704000.0,,50603000,50603000,401863000,1222000,81032000,-21536000,130367000,-251123000.0,,7581000,147973000.0,328928000.0,97347194.0,,310735000,83644000,,33041000,,70314000.0,59496000,79433000,253261000.0,694363000,1570344000,50603000,-421000.0,,-4066000.0,18939000.0,,0.52,1005000.0,157328000,84709000.0,87014000,,
2001-03-31,,156269000,4494000.0,178293000,,-34953000,604924000.0,,285268000,542426000,816784000,-28663000,-19387000,51498000,0.0,174784000,,430047000,,,,809309000,257158000,377207000,,-1670000.0,439577000,128999000,901721000,249391000.0,,80219000.0,189083000,0.0,,-8954000,0.0,6121000.0,,47497000,47497000,425594000,6957000,-5010000,-37310000,84996000,-275995000.0,,-35516000,0.0,296988000.0,,269010000.0,328929000,78506000,175172000.0,31009000,9844000.0,50721000.0,-42320000,87014000,,724372000,1626093000,47497000,-13569000.0,,19593000.0,18515000.0,,,1009000.0,102219000,86112000.0,51498000,,
2001-06-30,97108788.0,53588000,,224156000,,40222000,600352000.0,,262361000,517829000,759528000,-23143000,-20210000,76658000,,74511000,,461098000,,,0.315261,857763000,255468000,370328000,,-837000.0,389200000,208773000,898785000,,,80196000.0,208773000,0.0,,-38551000,0.0,5924000.0,,31051000,31051000,448123000,2827000,85012000,-16237000,86149000,-275995000.0,,25160000,0.0,290132000.0,98493077.0,237039000.0,324357000,50491000,128672000.0,19440000,10114000.0,52943000.0,68775000,51498000,244701000.0,718506000,1617291000,31051000,-7076000.0,,-3136000.0,20923000.0,,0.32,1013000.0,129601000,36372000.0,76658000,,
2001-09-30,97437461.0,86133000,,176930000,,-27240000,601322000.0,,285640000,595695000,780505000,24463000,-344000,141101000,,109947000,,508913000,,,0.49,901945000,310055000,389744000,,-703000.0,390761000,199507000,958602000,,,84193000.0,199507000,0.0,,23987000,0.0,4779000.0,,47810000,47810000,419511000,-5664000,40067000,-24005000,87308000,-275995000.0,,64443000,44066000.0,305551000.0,98483031.0,279620000.0,325327000,75690000,111669000.0,27880000,1768000.0,30651000.0,16062000,76658000,246054000.0,723848000,1682450000,47810000,-10412000.0,,,23814000.0,,0.49,1014000.0,171752000,58096000.0,141101000,,
2001-12-31,97506076.0,74448000,5726000.0,195255000,,79941000,610816000.0,,287009000,617095000,794355000,77727000,-66515000,294569000,0.0,92945000,,554489000,,,0.46,947390000,330086000,391424000,,-775000.0,402931000,212561000,972618000,,,93391000.0,212561000,0.0,,16526000,0.0,4501000.0,,45614000,45614000,355152000,3036000,152674000,-20810000,90367000,-275995000.0,,102747000,36940000.0,298033000.0,98504094.0,245615000.0,334821000,72983000,96816000.0,27369000,3760000.0,,131864000,141101000,280760000.0,769127000,1741745000,45614000,-14692000.0,,,18497000.0,,0.47,1016000.0,294569000,73920000.0,294569000,,
2002-03-31,,95045000,25007000.0,177472000,,-87445000,703656000.0,,311792000,633088000,751302000,3674000,-28883000,238774000,0.0,115730000,,602124000,,,,998195000,321296000,359531000,,-1927000.0,391771000,216747000,1008057000,273348000.0,,74117000.0,216747000,0.0,,-42285000,0.0,3829000.0,,48023000,48023000,349818000,-14379000,16005000,-26956000,66129000,-359820000.0,,-55795000,52819000.0,285414000.0,,353608000.0,343836000,76837000,128492000.0,28814000,8844000.0,,-10951000,294569000,,741440000,1749497000,48023000,-22041000.0,,,20685000.0,,,1021000.0,238774000,32988000.0,238774000,,
