date,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyInventory,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherNonCurrentAssets,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2009-03-31,,2030539000.0,595439000,103855000.0,1287018000,28682000,-1241220000.0,616232000.0,789319000,1256706000,665114000,49437000,0.0,352877000.0,0.0,103855000,32446000,298983000,470244000,,379298000,379298000,2478000.0,253805000,51915000,14879000,2111548000,714551000,854842000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,,,645792000,948000.0,1261676000,32371000,,,800927000,1294357000,725189000,54041000,0.0,0.0,0.0,15168000,34883000,298330000,601761000,,377676000,392844000,6717000.0,254195000,55769000,15054000,2168695000,779230000,874338000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,,2166381000.0,577745000,0.0,1358497000,33714000,-1368004000.0,,798377000,1328090000,671493000,52033000,0.0,0.0,0.0,15500000,35197000,303584000,545761000,,463245000,478745000,15808000.0,254422000,64456000,14238000,2222404000,723526000,894314000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,,,699342000,2288000.0,1293821000,39332000,,,910418000,1469558000,920100000,113354000,57000000.0,0.0,0.0,16467000,37477000,343307000,651989000,,454363000,470830000,-1144000.0,254692000,166880000,14148000,2475284000,1033454000,1005726000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,,2673812000.0,720064000,10876000.0,1415844000,50081000,-1458833000.0,,1214979000,1319729000,885001000,179497000,114000000.0,0.0,0.0,10412000,39194000,372467000,568225000,,352311000,362723000,27554000.0,254963000,141037000,13737000,2654219000,1064498000,1334490000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,128281000.0,,791423000,3355000.0,1378308000,53372000,,650728000.0,1364830000,1471617000,1211473000,223589000,156721000.0,394648000.0,168067000.0,3355000,38052000,370630000,675921000,7509000.0,263055000,263055000,35323000.0,255409000,389460000,12307000,2977920000,1435062000,1506303000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,,3122100000.0,771918000,0.0,1494355000,59084000,-1562336000.0,,1559764000,1298591000,1107316000,149886000,79824000.0,0.0,0.0,438000,39206000,423339000,668528000,,205856000,206294000,1156000.0,255437000,305358000,11622000,2935542000,1257202000,1636951000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,,1559764000.0,771918000,0.0,1494355000,59084000,,752480000.0,1559764000,1298591000,1107316000,149886000,79824000.0,376688000.0,0.0,438000,39206000,423339000,670061000,,205856000,206294000,0.0,255437000,305358000,11622000,2935542000,1257202000,1636951000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,,3241669000.0,346911000,0.0,1628741000,57455000,-1715272000.0,868233000.0,1526397000,1344911000,960815000,161059000,93123000.0,0.0,0.0,446000,39700000,436492000,599716000,,222602000,223048000,1784000.0,0,150046000,9622000,2945585000,1121874000,1600674000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,,1496828000.0,437386000,0.0,1655670000,61395000,,875632000.0,1503284000,1559494000,1136451000,150629000,71462000.0,0.0,0.0,519000,39186000,454396000,723574000,,275886000,276405000,2030000.0,0,137108000,8439000,3138376000,1287080000,1578882000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,,3367318000.0,406001000,518000.0,1749661000,63770000,-1806822000.0,965565000.0,1560496000,1580726000,1137529000,146877000,68068000.0,0.0,0.0,518000,39076000,533328000,583662000,,320425000,320943000,21412000.0,0,51790000,7359000,3241718000,1284406000,1660992000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,,1624595000.0,508505000,513000.0,1815496000,63302000,,1012889000.0,1630524000,1800367000,1410136000,126049000,46993000.0,749101000.0,0.0,513000,38653000,562511000,783837000,,335125000,335638000,61905000.0,0,104075000,6235000,3559038000,1536185000,1758671000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,,3737346000.0,417361000,476000.0,1919085000,69377000,-1889495000.0,1130863000.0,1847851000,1706925000,1402223000,110563000,27714000.0,830547000.0,0.0,476000,35813000,561252000,666804000,,334580000,335056000,3716000.0,0,125948000,4809000,3637458000,1512786000,1930533000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,,2065101000.0,543017000,460000.0,1994477000,68014000,,1221389000.0,2070504000,2110441000,1782337000,297881000,215697000.0,0.0,0.0,460000,34560000,540519000,877240000,,309559000,310019000,5761000.0,0,116812000,4462000,4264015000,2080218000,2153574000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,,3973963000.0,416294000,486000.0,2199735000,65075000,-1792131000.0,1389253000.0,2181832000,1853772000,1470380000,302583000,207341000.0,0.0,636713000.0,486000,36547000,528264000,636713000,,271245000,271731000,1406000.0,0,139652000,4530000,4184826000,1772963000,2331054000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,,2133704000.0,477398000,481000.0,2367405000,62132000,,1572885000.0,2138581000,2155893000,1562320000,293037000,200000000.0,0.0,0.0,481000,36046000,484944000,906680000,,515219000,515700000,19401000.0,0,65818000,4282000,4432286000,1855357000,2276393000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,,4005772000.0,497239000,470000.0,2471369000,60692000,-1957110000.0,1696292000.0,2048662000,2336304000,1513235000,283666000,200000000.0,0.0,0.0,470000,35293000,582446000,673754000,,852649000,853119000,1125000.0,0,7329000,4010000,4486607000,1796901000,2150303000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-30,,,622339000,488000.0,2625998000,67200000,,1765085000.0,2116301000,2544695000,1858017000,90468000,0.0,0.0,0.0,488000,36497000,570637000,947755000,,836805000,837293000,1569000.0,0,27561000,3958000,4803547000,1948485000,2258852000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,,4584395000.0,574402000,,2909757000,73923000,-2239608000.0,,2344787000,2660159000,1923043000,89989000,0.0,,,509000,18983000,709312000,726443000,,985185000,985694000,,0,27085000,3922000,5182178000,2013032000,2522019000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,,,649484000,,2975871000,74856000,,,2511693000,2794494000,2164212000,90547000,,,,487000,18151000,591765000,964119000,,976432000,976919000,,0,62684000,3562000,5475371000,2254759000,2680877000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31,,5198226000.0,660898000,,3165412000,98981000,-2262548000.0,,2935678000,2775051000,2287044000,121605000,,,,494000,18375000,748284000,716425000,,1004538000,1005032000,,0,44508000,3417000,5878209000,2408649000,3103158000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,,,696238000,,3201947000,101285000,,,3287992000,2646712000,2320875000,295386000,,,,485000,17996000,561176000,984469000,,848845000,849330000,,0,48192000,4238000,6113578000,2616261000,3466866000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
