date,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyCurrentAssets,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyDilutedAverageShares,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,quarterlyInterestExpense,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyInventory,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyBasicEPS,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyBasicAverageShares,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDilutedEPS,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyRetainedEarnings,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyTaxProvision,quarterlyOtherNonCashItems,quarterlyOtherIntangibleAssets,quarterlyStockBasedCompensation,quarterlySellingGeneralAndAdministration,quarterlyResearchAndDevelopment
1984-03-31,,,,,,,,,,189680000.0,,,,,,,,,,,,,,,145600000,,,,,0.81,,,,,,,,189680000.0,,,,,,,,,,,,1296400000,,1296400000,,,,,,,,0.81,,,,,,,,,,,1296400000,,,,,,
1984-06-30,,,,,,,,,,184941000.0,,,,,,,,,,,,,,,97900000,,,,,0.53,,,,,,,,184941000.0,,,,,,,,,,,,1175000000,,1175000000,,,,,,,,0.53,,,,,,,,,,,1175000000,,,,,,
1984-09-30,,,,,,,,,,184941000.0,,,,,,,,,,,,,,,121800000,,,,,0.66,,,,,,,,184941000.0,,,,,,,,,,,,1246800000,,1246800000,,,,,,,,0.66,,,,,,,,,,,1246800000,,,,,,
1984-12-31,,,,,,,,,,,,,,,,,,,,,,,,,122400000,,,,,,,,,,,,,,,,,,,,,,,,,1233800000,,1233800000,,,,,,,,,,,,,,,,,,,1233800000,,,,,,
1985-03-31,,,,,,,,,,190729000.0,,,,,,,,,,,,,,,148800000,,,,,0.78,,,,,,,,190729000.0,,,,,,,,,,,,1329300000,,1329300000,,,,,,,,0.78,,,,,,,,,,,1329300000,,,,,,
1985-06-30,,,,,,,,,,190732000.0,,,,,,,,,,,,,,,89600000,,,,,0.47,,,,,,,,190732000.0,,,,,,,,,,,,1142000000,,1142000000,,,,,,,,0.47,,,,,,,,,,,1142000000,,,,,,
1985-09-30,,,,,,,,,,191678000.0,,,,,,,,,,,,,,,114100000,,,,,0.59,,,,,,,,191678000.0,,,,,,,,,,,,1176000000,,1176000000,,,,,,,,0.59,,,,,,,,,,,1176000000,,,,,,
1985-12-31,,,,,,,,,,,,,,,,,,,,,,,,,132500000,,,,,,,,,,,,,,,,,,,,,,,,,1200700000,,1200700000,,,,,,,,,,,,,,,,,,,1200700000,,,,,,
1986-03-31,,,,,,,,,,193535000.0,,,,,,,,,,,,,,,126100000,,,,,0.65,,,,,,,,193535000.0,,,,,,,,,,,,1280000000,,1280000000,,,,,,,,0.65,,,,,,,,,,,1280000000,,,,,,
1986-06-30,,,,,,,,,,193535000.0,,,,,,,,,,,,,,,97100000,,,,,0.5,,,,,,,,193535000.0,,,,,,,,,,,,1154600000,,1154600000,,,,,,,,0.5,,,,,,,,,,,1154600000,,,,,,
1986-09-30,,,,,,,,,,193535000.0,,,,,,,,,,,,,,,132900000,,,,,0.69,,,,,,,,193535000.0,,,,,,,,,,,,1210000000,,1210000000,,,,,,,,0.69,,,,,,,,,,,1210000000,,,,,,
1986-12-31,,,,,,,,,,,,,,,,,,,,,,,,,151100000,,,,,,,,,,,,,,,,,,,,,,,,,1198600000,,1198600000,,,,,,,,,,,,,,,,,,,1198600000,,,,,,
1987-03-31,,,,,,,,,,193535000.0,,,,,,,,,,,,,,,147700000,,,,,0.76,,,,,,,,193535000.0,,,,,,,,,,,,1233400000,,1233400000,,,,,,,,0.76,,,,,,,,,,,1233400000,,,,,,
1987-06-30,,,,,,,,,,193535000.0,,,,,,,,,,,,,,,117300000,,,,,0.61,,,,,,,,193535000.0,,,,,,,,,,,,1143700000,,1143700000,,,,,,,,0.61,,,,,,,,,,,1143700000,,,,,,
1987-09-30,,,,,,,,,,193535000.0,,,,,,,,,,,,,,,148200000,,,,,0.77,,,,,,,,193535000.0,,,,,,,,,,,,1260900000,,1260900000,,,,,,,,0.77,,,,,,,,,,,1260900000,,,,,,
1987-12-31,,,,,,,,,,,,,,,,,,,,,,,,,89300000,,,,,,,,,,,,,,,,,,,,,,,,,1149500000,,1149500000,,,,,,,,,,,,,,,,,,,1149500000,,,,,,
1988-03-31,,,,,,,,,,193535000.0,,,,,,,,,,,,,,,175400000,,,,,0.91,,,,,,,,193535000.0,,,,,,,,,,,,1219300000,,1219300000,,,,,,,,0.91,,,,,,,,,,,1219300000,,,,,,
1988-06-30,,,,,,,,,,193535000.0,,,,,,,,,,,,,,,118800000,,,,,0.61,,,,,,,,193535000.0,,,,,,,,,,,,1102600000,,1102600000,,,,,,,,0.61,,,,,,,,,,,1102600000,,,,,,
1988-09-30,,,,,,,,,,193535000.0,,,,,,,,,,,,,,,172300000,,,,,0.89,,,,,,,,193535000.0,,,,,,,,,,,,1286900000,,1286900000,,,,,,,,0.89,,,,,,,,,,,1286900000,,,,,,
1988-12-31,,,,,,,,,,,,,,,,,,,,,,,,,160300000,,,,,,,,,,,,,,,,,,,,,,,,,1232000000,,1232000000,,,,,,,,,,,,,,,,,,,1232000000,,,,,,
1989-03-31,,,,,,,,,,193535000.0,,,,,,,,,,,,,,,159800000,,,,,0.83,,,,,,,,193535000.0,,,,,,,,,,,,1263000000,,1263000000,,,,,,,,0.83,,,,,,,,,,,1263000000,,,,,,
1989-06-30,,,,,,,,,,192985075.0,129300000.0,,,,,,,,,,,,,,129300000,,129300000.0,,,0.67,,,,,,,,192985075.0,,,,,,,,,,,,1197200000,,1197200000,,,,,,,,0.67,,,,,,,,,,,1197200000,,,,,,
1989-09-30,,,,,,,,,,194026846.0,,,,,,,,,,,,,,,162800000,,,,,0.84,,,,,,,,194026846.0,,,,,,,,,,,,1297200000,,1297200000,,,,,,,,0.84,,,,,,,,,,,1297200000,,,,,,
1989-12-31,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,400000,,400000,,,,,,,,,,,,,,,,,,,400000,,,,,,
1990-03-31,,,,,,,,,,193200000.0,144900000.0,,,,,,,,,,,,,,144900000,,144900000.0,,,0.75,,,,,,,,193200000.0,,,,,,,,,,,,1298900000,,1298900000,,,,,,,,0.75,,,,,,,,,,,1298900000,,,,,,
1990-06-30,,,,,,,,,,187166667.0,112300000.0,,,,,,,,,,,,,,112300000,,112300000.0,,,0.6,,,,,,,,187166667.0,,,,,,,,,,,,1259900000,,1259900000,,,,,,,,0.6,,,,,,,,,,,1259900000,,,,,,
1990-09-30,,,,,,,,,,184428571.0,129100000.0,,,,,,,,,,,,,,129100000,,129100000.0,,,0.7,,,,,,,,184428571.0,,,,,,,,,,,,1332800000,,1332800000,,,,,,,,0.7,,,,,,,,,,,1332800000,,,,,,
1990-12-31,,,,,,,,,,,110200000.0,,,,,,,,,,,,,,110200000,,110200000.0,,,,,,,,,,,,,,,,,,,,,,,1275900000,,1275900000,,,,,,,,,,,,,,,,,,,1275900000,,,,,,
1991-03-31,,,,,,,,,,184303797.0,145600000.0,,,,,,,,,,,,,,145600000,,145600000.0,,,0.79,,,,,,,,184303797.0,,,,,,,,,,,,1257400000,,1257400000,,,,,,,,0.79,,,,,,,,,,,1257400000,,,,,,
1991-06-30,,,,,,,,,,184363636.0,101400000.0,,,,,,,,,,,,,,101400000,,101400000.0,,,0.55,,,,,,,,184363636.0,,,,,,,,,,,,1230600000,,1230600000,,,,,,,,0.55,,,,,,,,,,,1230600000,,,,,,
1991-09-30,,,,,,,,,,183783784.0,136000000.0,,,,,,,,,,,,,,136000000,,136000000.0,,,0.74,,,,,,,,183783784.0,,,,,,,,,,,,1285800000,,1285800000,,,,,,,,0.74,,,,,,,,,,,1285800000,,,,,,
1991-12-31,,,,,,,,,,,115000000.0,,,,,,,,,,,,,,115000000,,115000000.0,,,,,,,,,,,,,,,,,,,,,,,1272800000,,1272800000,,,,,,,,,,,,,,,,,,,1272800000,,,,,,
