date,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyStockBasedCompensation,quarterlyDilutedAverageShares,quarterlyEbitda,quarterlySellingGeneralAndAdministration,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyChangeInWorkingCapital,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,quarterlyBasicEPS,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyLongTermDebt,quarterlyNetOtherInvestingChanges,quarterlyOtherNonCurrentLiabilities,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyDilutedEPS,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyCommonStockIssuance,quarterlyBasicAverageShares,quarterlyPretaxIncome,quarterlyOtherCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyNetPPE,quarterlyTotalAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyFreeCashFlow,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlySaleOfInvestment,quarterlyNonCurrentDeferredRevenue
2012-09-30,-19700000,-24600000,1000000,117321337.0,69700000,81800000,,,420700000,-6600000,100000,-7100000,,,35700000,412000000,3400000,,,-0.167915,,,,,,0.0,,,294500000,,,-24800000,117500000,-19500000,-19700000,,,-51300000,,,-0.167915,,,-3300000,,81800000,200000,,290000000,-24600000,12100000,200000.0,117321337.0,-21500000,,0,-2000000,,,281700000,-12500000,29500000,,37300000,139000000,,,53900000,,,,,,,,,
2012-12-31,-27400000,-28000000,600000,,72100000,86200000,,,72800000,2900000,-4800000,-23100000,,,53800000,436100000,14100000,,,,,,,,,0.0,,,296100000,,,-7500000,140000000,-27600000,-27400000,,,-319000000,,,,,,-20200000,,86200000,-7400000,,-332900000,-28200000,13600000,200000.0,,-19600000,,0,8000000,,,-347900000,-14600000,19700000,,38500000,420700000,,,53200000,,,,,,,,,
2013-03-31,-18800000,-31900000,600000,,78700000,83700000,,,87500000,-3500000,9700000,23000000,,,53700000,447000000,3100000,,,,,,,,,0.0,,,309600000,,,4300000,137400000,-13900000,-18800000,,,-64000000,,,,,,-14100000,,83700000,0,,-8500000,-32000000,57500000,300000.0,,-14000000,,0,-100000,,,14700000,25500000,-28400000,,39100000,72800000,,,53600000,,,,,,,,,
2013-06-30,19200000,-37600000,600000,,111000000,88900000,,,106400000,12600000,12900000,-18100000,3467100000.0,677900000.0,84800000,505200000,9200000,,30700000.0,,1264900000.0,410300000.0,-1428800000.0,44300000.0,2656600000.0,0.0,47000000.0,1023400000.0,331500000,75500000.0,358000000.0,17500000,173700000,13000000,19200000,-410700000.0,3056800000.0,-274200000,219100000.0,-450400000.0,,36300000.0,136700000.0,-11100000,372200000.0,88900000,-3200000,18400000.0,2100000,-37700000,54500000,500000.0,,31200000,0.0,-2500000,18200000,814500000.0,3056800000.0,18900000,16800000,-44400000,2378900000.0,37300000,87500000,700000.0,35000000.0,42500000,106400000.0,106400000.0,-9300000.0,150800000.0,,,,,
2013-09-30,1500000,-26200000,1200000,117321337.0,72600000,81100000,,,95800000,-5300000,-30100000,-9500000,3428600000.0,616700000.0,38100000,414300000,3100000,,12000000.0,0.012785,1305700000.0,348500000.0,-1427300000.0,44000000.0,2673700000.0,0.0,49000000.0,1051700000.0,295100000,80300000.0,295000000.0,-4000000,119200000,1800000,1500000,-386900000.0,3080100000.0,-6700000,216800000.0,-478400000.0,0.012785,38900000.0,145200000.0,-2000000,372900000.0,81100000,0,21900000.0,-12500000,-18800000,25200000,0.0,117321337.0,-4800000,0.0,-8000000,-6600000,827300000.0,3041600000.0,-10600000,6400000,67800000,2424900000.0,36500000,106400000,0.0,30000000.0,40900000,95800000.0,95800000.0,11800000.0,124800000.0,,,,,
2013-12-31,-19200000,-59800000,1100000,117321337.0,83200000,87500000,,,64200000,1400000,-5400000,-6300000,3486800000.0,612100000.0,49900000,440700000,3000000,,33400000.0,-0.163653,1342400000.0,406000000.0,-1446500000.0,37100000.0,2671600000.0,0.0,53600000.0,1081500000.0,303300000,71400000.0,317300000.0,-6900000,137400000,-18900000,-19200000,-414100000.0,3080800000.0,-8500000,215700000.0,-504200000.0,-0.163653,57000000.0,152600000.0,-4000000,371100000.0,87500000,200000,23200000.0,13200000,-21000000,15200000,200000.0,117321337.0,4400000,0.0,-43000000,23300000,838200000.0,3072900000.0,-31600000,-5800000,-20100000,2460800000.0,37300000,95800000,0.0,59200000.0,41500000,64200000.0,64200000.0,2500000.0,120500000.0,,,,,
2014-03-31,6700000,-24700000,1100000,117321337.0,90100000,87600000,,,55700000,-4200000,10200000,8000000,3491400000.0,627400000.0,64100000,453100000,2500000,,45200000.0,0.057108,1365600000.0,413300000.0,-1439800000.0,31800000.0,2674000000.0,0.0,52000000.0,1088300000.0,301400000,85600000.0,344200000.0,-16100000,151700000,8000000,6700000,-400000000.0,3078100000.0,-4800000,213100000.0,-528000000.0,0.057108,52200000.0,167300000.0,-9100000,363300000.0,87600000,0,27400000.0,-37000000,-22200000,52900000,0.0,117321337.0,14600000,0.0,-2500000,6600000,837600000.0,3091000000.0,-8500000,30700000,-25900000,2463600000.0,35100000,64200000,700000.0,27200000.0,40400000,55700000.0,55700000.0,8800000.0,130300000.0,,,,,
2014-06-30,27200000,-60500000,1100000,,127500000,78600000,,,74400000,-7000000,17700000,20700000,3462000000.0,687500000.0,111700000,519600000,12600000,,61500000.0,,1421600000.0,453000000.0,-1379100000.0,32800000.0,2685400000.0,0.0,61200000.0,1097100000.0,329300000,83400000.0,403700000.0,18500000,190300000,27000000,27200000,-371200000.0,3009000000.0,-1721300000,103200000.0,-548600000.0,,47100000.0,147300000.0,-18200000,357600000.0,78600000,-7200000,29000000.0,-5800000,-60400000,85000000,0.0,,53200000,0.0,-200000,26200000,873000000.0,3090200000.0,18700000,24600000,-59800000,2402700000.0,34000000,55700000,700000.0,25200000.0,40300000,74400000.0,74400000.0,-24200000.0,148100000.0,,,,,
2014-09-30,-19500000,-44700000,1500000,105535385.0,36200000,81400000,,,63200000,-7700000,-26300000,-54400000,2448300000.0,619100000.0,43900000,418300000,15200000,,42500000.0,-0.18,1407100000.0,377600000.0,-1398600000.0,32200000.0,1780300000.0,0.0,40400000.0,1057900000.0,293000000,61800000.0,332200000.0,-14100000,125300000,-20300000,-19500000,503800000.0,2070700000.0,-863800000,97600000.0,-553800000.0,-0.18,40100000.0,154500000.0,-42700000,360900000.0,81400000,-9800000,25800000.0,86900000,-31200000,-39800000,948800000.0,105535385.0,-34300000,0.0,-13500000,-14000000,853300000.0,2951300000.0,-11200000,-71000000,62000000,2332200000.0,35000000,74400000,1200000.0,36400000.0,35500000,63200000.0,63200000.0,-77800000.0,116700000.0,,,,,
2014-12-31,46500000,-151700000,2800000,125954246.0,101200000,88100000,,,84100000,-18000000,4800000,-34600000,2545700000.0,637500000.0,68000000,455800000,1000000,,38300000.0,0.37,1427400000.0,346500000.0,-1352100000.0,26300000.0,1905400000.0,0.0,42100000.0,1082400000.0,299700000,55000000.0,336400000.0,-11100000,156100000,46200000,46500000,493300000.0,2199200000.0,-5500000,104400000.0,-562300000.0,0.37,39700000.0,156300000.0,-2000000,392700000.0,88100000,-2800000,19100000.0,135700000,-40100000,40200000,0.0,124102662.0,42100000,0.0,-111600000,-4100000,865100000.0,3038100000.0,20900000,100000,-12200000,2400600000.0,35200000,63200000,1200000.0,28800000.0,23900000,84100000.0,84100000.0,-136900000.0,118400000.0,,,,,
