date,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,quarterlyDilutedAverageShares,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyBasicEPS,quarterlyTotalAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyInventory,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyDilutedEPS,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyStockholdersEquity,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyBasicAverageShares,quarterlyOtherIntangibleAssets,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyEbitda,quarterlyNetPPE,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyStockBasedCompensation,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1984-01-31,,,,,,,27448200.0,,,,,51400000,,3200000,0.116583,,3200000,3200000,,,,,,,,,,,,,,,,,,,,,,0.116583,,,,,,,,,,,,,,,,27448200.0,,,,,,,,,51400000,,,,,51400000,,,,,,,
1984-04-30,23500000.0,78700000.0,,72500000.0,,,,,,32800000.0,,56400000,,4200000,,111500000.0,4200000,4200000,33200000.0,2700000.0,1800000.0,2900000.0,,27900000.0,,,,,,2200000.0,7000000.0,,,,,,,,,,34100000.0,34100000.0,78300000.0,,,,,,,,,800000.0,,-15300000.0,,,,,46300000.0,,,,,,-134500000,22700000.0,,,,-134500000,31000000.0,,,,,,
1984-07-31,,,,,,,27448200.0,,,,,52700000,,3600000,0.131156,,3600000,3600000,,,,,,,,,,,,,,,,,,,,,,0.131156,,,,,,,,,,,,,,,,27448200.0,,,,,,,,,52700000,,,,,52700000,,,,,,,
1984-10-31,,,,,,,27448200.0,,,,,60500000,,3600000,0.131156,,3600000,3600000,,,,,,,,,,,,,,,,,,,,,,0.131156,,,,,,,,,,,,,,,,27448200.0,,,,,,,,,60500000,,,,,60500000,,,,,,,
1985-01-31,,,,,,,27448200.0,,,,,54300000,,3500000,0.127513,,3500000,3500000,,,,,,,,,,,,,,,,,,,,,,0.127513,,,,,,,,,,,,,,,,27448200.0,,,,,,,,,54300000,,,,,54300000,,,,,,,
1985-04-30,27500000.0,76100000.0,,84800000.0,,,,,,49500000.0,,63000000,,5200000,,125600000.0,5200000,5200000,37600000.0,3900000.0,700000.0,2300000.0,,31500000.0,,,,,,2400000.0,6200000.0,,,,,,,,,,25500000.0,25500000.0,88000000.0,,,,,,,,,800000.0,,-18300000.0,,,8800000.0,,58300000.0,,,,,,-140800000,26700000.0,,,,-140800000,40000000.0,,,,,,
1985-07-31,,,,,,,27448200.0,,,,,64100000,,4100000,0.149372,,4100000,4100000,,,,,,,,,,,,,,,,,,,,,,0.149372,,,,,,,,,,,,,,,,27448200.0,,,,,,,,,64100000,,,,,64100000,,,,,,,
1985-10-31,,,,,,,27448200.0,,,,,71600000,,4300000,0.156659,,4300000,4300000,,,,,,,,,,,,,,,,,,,,,,0.156659,,,,,,,,,,,,,,,,27448200.0,,,,,,,,,71600000,,,,,71600000,,,,,,,
1986-01-31,,,,,,,27448200.0,,,,,62000000,,3600000,0.131156,,3600000,3600000,,,,,,,,,,,,,,,,,,,,,,0.131156,,,,,,,,,,,,,,,,27448200.0,,,,,,,,,62000000,,,,,62000000,,,,,,,
1986-04-30,28300000.0,79900000.0,,93300000.0,,,,,,52300000.0,,65200000,,3900000,,132200000.0,3900000,3900000,37700000.0,4900000.0,1100000.0,2200000.0,,38600000.0,,,,,,3500000.0,4500000.0,,,,,,,,,,18000000.0,18000000.0,94500000.0,,,,,,,,,1700000.0,,-22800000.0,,,8500000.0,,65500000.0,,,,,,-168600000,26600000.0,,,,-168600000,42700000.0,,,,,,
