date,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyBasicEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyOtherNonCashItems,quarterlyPretaxIncome,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDilutedAverageShares,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangeInInventory,quarterlyIncomeTaxPayable,quarterlyGoodwill
1999-03-31,-4500000,-7200000,-8300000,-24500000,-0.973487,400000,6300000,,9000000,,,3400000.0,500000,,,210400000,12400000,6800000,,8300000.0,8526052.0,2300000,26700000,2300000,34300000,,,800000,207400000,,-8300000,15800000,-6100000,231800000,232600000,-41400000,,,194700000,7900000,-5600000,,12100000,-0.973487,,,-800000,0,600000,0,-36900000,,4700000,-100000.0,-8000000,4100000,24400000,,18400000,,-800000,-36000000,214200000,184800000,,13700000,-36900000.0,-7700000,-9900000,16900000,8526052.0,,,,,,
1999-06-30,12600000,-8700000,-8700000,2800000,-0.64,400000,10100000,,12800000,,,3400000.0,-5500000,,,210700000,8400000,16400000,,-1600000.0,15781250.0,5000000,0,5000000,300000,100000.0,,1700000,261400000,,-10100000,12500000,-100000,292500000,248900000,-42100000,,,246800000,7700000,12000000,,24200000,-0.64,,,43600000,0,1700000,5000000,-54700000,,6600000,,-8900000,4900000,31100000,,34400000,,-200000,-43300000,214500000,232500000,,19400000,-54700000.0,-1800000,-14300000,44800000,15781250.0,,,,,,
1999-09-30,3400000,-8000000,-8000000,-2300000,-0.28,600000,11800000,11200000.0,16900000,,,3200000.0,-5400000,,,255900000,9100000,16200000,,4300000.0,28571429.0,2700000,5000000,2700000,300000,100000.0,,1000000,314900000,,-8000000,14200000,-400000,347200000,300400000,-53000000,,0.0,302900000,6500000,1500000,,28800000,-0.28,,,46800000,0,2900000,2700000,-56400000,,7700000,,-7800000,4800000,32300000,,40700000,,200000,-51200000,259700000,284500000,,24600000,-56400000.0,-1400000,-18400000,50800000,28571429.0,,,,,,
1999-12-31,11600000,-9500000,-9500000,400000,,400000,13800000,500000.0,19700000,,,8000000.0,16100000,,,318200000,33200000,34400000,,27600000.0,,3100000,2700000,3100000,300000,100000.0,,2000000,396200000,,-9500000,22900000,-7900000,429800000,381200000,-49300000,,0.0,362500000,7900000,9300000,,40700000,,,,48600000,0,4000000,3100000,-60900000,,9600000,,-9400000,5600000,33600000,,54600000,,100000,-60800000,326600000,338900000,,29300000,-60900000.0,-23600000,-23600000,49600000,,,,,,,
2000-03-31,-2773892,-9723417,-9723417,108566243,-0.27,557028,16190396,231488375.0,13360952,,,7943821.0,-6165391,,,266679725,19022132,33956359,,13047200.0,35382348.0,111697155,3130912,111697155,390990,50176.0,,2907265,453476951,,-9723417,22271144,-44456,602504229,327788260,-63365132,,,427142613,11490143,-6629245,,36367114,-0.27,,,274715969,0,11093141,111697155,-60591240,,17068073,,-9498931,5974932,149027278,,52607686,,224486,-70482618,275180574,397249448,,30429025,-60591240.0,-1954059,-29893165,171931375,35382348.0,,,,,,
2000-06-30,17248440,-7907627,-7907627,-84498106,-0.2,585057,17476282,841653.0,18755998,,,7943821.0,-6353350,,,271107049,20622532,34657298,,14284345.0,39234008.0,27199049,111697155,27199049,396582,1300176.0,,1619394,564633046,,-7907627,22940538,-13418,640493584,356987165,-85313796,,,543871311,7917515,10307674,,58574780,-0.2,,,283506419,0,13408701,27199049,-102562236,,19746888,,-7555076,6338187,75860538,,77351238,,352551,-78390245,279635927,507035210,,38502886,-102562236.0,-875644,-36836101,815690,39234008.0,,,,,,
2000-09-30,7249258,-5905328,-5905328,97641100,-0.14,567939,23041781,235434351.0,28834848,,,8612278.0,-18507,,,253148198,23107590,51586510,,16163376.0,43370255.0,124840149,27199049,124840149,459304,50176.0,,1059905,691677214,,-5905328,22767408,-70698,875642456,345823868,-112710010,,,662891828,18750357,-3441900,,60403496,-0.14,,,529818588,0,9615941,124840149,-119959268,,16560155,,-5570249,7036945,183965242,,83495453,,335079,-84295573,262328415,617323296,,45395003,-119959268.0,-6547435,-45568532,210351110,43370255.0,,,,,,
2000-12-31,25792529,-5378933,-5378933,-109860103,,835276,30160481,1643332.0,61022379,,,18444566.0,36123,,,281666992,-357890,83386959,,-8663527.0,,14980046,124840149,14980046,464446,2606222.0,,-615506,866581810,,-5378933,17380027,128572,948818100,410657769,308905273,,,820508502,5968475,13381485,,76944232,,,,538160331,0,-15749261,14980046,-162167383,,-7443624,,-5057784,8305637,82236290,,109710935,,321149,-89674506,300946834,765814824,,53578755,,-7085734,-54693678,26514751,,,,,,,
2001-03-31,-16660000,-17927000,-22996000,235385000,-0.49,996000,27082000,1433000.0,32146000,10492000.0,58617000.0,20501000.0,-7052000,,,715310000,25648000,102309000,,21975000.0,46801000.0,250365000,14980000,250365000,470000,50000.0,,8683000,1026395000,,-22996000,13615000,0,1349674000,821273000,-174966000,,,965165000,0,-42628000,,46842000,-0.49,,,528401000,0,17137000,250365000,-158306000,,20810000,20733000.0,-17573000,10641000,323279000,,84466000,,354000,-112671000,736807000,910471000,,52956000,-158306000.0,-4838000,-54694000,410351000,46801000.0,,,,,,
2001-06-30,23920000,-23321000,-23321000,-99490000,-0.5,1325000,40149000,1041000.0,34324000,12331000.0,65032000.0,18465000.0,-7400000,,,771968000,29127000,116870000,,25656000.0,47105000.0,150875000,250365000,150875000,475000,713000.0,,11954000,1183636000,,-23321000,10600000,0,1414182000,899697000,-145092000,,,1141497000,0,41082000,,54746000,-0.5,,,514485000,0,19960000,150875000,-169012000,,23431000,,-22843000,10759000,230546000,,107939000,,478000,-135992000,791758000,1056166000,,57755000,-169012000.0,-5696000,-85331000,45602000,47105000.0,,,,,,
