date,quarterlyOtherShortTermInvestments,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyFreeCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyDilutedAverageShares,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyInvestmentsAndAdvances,quarterlyCashDividendsPaid,quarterlyStockholdersEquity,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,quarterlyOtherIntangibleAssets,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyEbitda,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyOtherNonCashItems,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyIncomeTaxPayable,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyCommonStockIssuance,quarterlyStockBasedCompensation,quarterlyInterestExpense,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1984-03-31,,,,,,,,,0.024223,87035092.0,,,,1400000,,,,,,87035092.0,,,,,,,,,,,,,,,,,,,,0.024223,,,,,,,,,,,,16500000,16500000,16500000,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,0.030279,89621992.0,,,,1800000,,,,,,89621992.0,,,,,,,,,,,,,,,,,,,,0.030279,,,,,,,,,,,,21900000,21900000,21900000,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,0.048446,88832086.0,,,,3500000,,,,,,88832086.0,,,,,,,,,,,,,,,,,,,,0.048446,,,,,,,,,,,,33400000,33400000,33400000,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,,,,,13700000.0,55400000.0,,,,,400000.0,,2200000,,,1500000.0,700000.0,,,,,,,,500000.0,,1100000.0,10700000.0,,10700000.0,,,44700000.0,,,,,,,500000.0,500000.0,,,24100000.0,,,,,,,-55600000,-55600000,21300000,-22400000.0,,,,35600000.0,,9200000.0,41700000.0,,,30400000.0,,,,,13200000.0,8500000.0,,,,,,
1985-03-31,,,,,,,,,0.030279,88875872.0,,,,2000000,,,,,,88875872.0,,,,,,,,,,,,,,,,,,,,0.030279,,,,,,,,,,,,19500000,19500000,19500000,,,,,,,,,,,,,,,,,,,,,,,
1985-06-30,,,,,,,,,0.036333,88070204.0,,,,2400000,,,,,,88070204.0,,,,,,,,,,,,,,,,,,,,0.036333,,,,,,,,,,,,24000000,24000000,24000000,,,,,,,,,,,,,,,,,,,,,,,
1985-09-30,,,,,,,,,0.054501,88070204.0,,,,4000000,,,,,,88070204.0,,,,,,,,,,,,,,,,,,,,0.054501,,,,,,,,,,,,37700000,37700000,37700000,,,,,,,,,,,,,,,,,,,,,,,
1985-12-31,,,,,,19600000.0,65600000.0,,,,,400000.0,,2400000,,,2100000.0,800000.0,,,,,,,,1500000.0,,1700000.0,12100000.0,,11600000.0,,,53500000.0,,,,,,,27200000.0,27200000.0,,,100000.0,,,,,,,-60000000,-60000000,25500000,-23200000.0,,,,41300000.0,,10000000.0,46000000.0,,,37100000.0,,,,,18100000.0,9200000.0,,,,,,
1986-03-31,,,,,,,,,0.030279,88070204.0,,,,2300000,,,,,,88070204.0,,,,,,,,,,,,,,,,,,,,0.030279,,,,,,,,,,,,21300000,21300000,21300000,,,,,,,,,,,,,,,,,,,,,,,
1986-06-30,,,,,,,,,0.04239,88145514.0,,,,2800000,,,,,,88145514.0,,,,,,,,,,,,,,,,,,,,0.04239,,,,,,,,,,,,24700000,24700000,24700000,,,,,,,,,,,,,,,,,,,,,,,
1986-09-30,,,,,,,,,0.060557,88103479.0,,,,5000000,,,,,,88103479.0,,,,,,,,,,,,,,,,,,,,0.060557,,,,,,,,,,,,39400000,39400000,39400000,,,,,,,,,,,,,,,,,,,,,,,
1986-12-31,,,,,,21400000.0,79900000.0,,,,,500000.0,,2700000,,,2700000.0,600000.0,,,,,,,,1500000.0,,2200000.0,15300000.0,,13400000.0,,,64600000.0,,,,,,,35700000.0,35700000.0,,,200000.0,,,,,,,-61200000,-61200000,26000000,-24000000.0,,,,43900000.0,,12600000.0,58500000.0,,,41600000.0,,,,,19900000.0,12000000.0,,,,,,
1987-03-31,,,,,,,,,0.030279,88103479.0,,,,2200000,,,,,,88103479.0,,,,,,,,,,,,,,,,,,,,0.030279,,,,,,,,,,,,19800000,19800000,19800000,,,,,,,,,,,,,,,,,,,,,,,
1987-06-30,,,,,,,,,0.030279,88103479.0,,,,3200000,,,,,,88103479.0,,,,,,,,,,,,,,,,,,,,0.030279,,,,,,,,,,,,24600000,24600000,24600000,,,,,,,,,,,,,,,,,,,,,,,
1987-09-30,,,,,,,,,0.048446,88103479.0,,,,6600000,,,,,,88103479.0,,,,,,,,,,,,,,,,,,,,0.048446,,,,,,,,,,,,44300000,44300000,44300000,,,,,,,,,,,,,,,,,,,,,,,
1987-12-31,,,,,,21600000.0,94400000.0,,,,,0.0,,2500000,,,3300000.0,800000.0,,,,,,,,1500000.0,,3300000.0,17300000.0,,11700000.0,,,77100000.0,,,,,,,50800000.0,50800000.0,,,300000.0,,,,,,,-64300000,-64300000,26000000,-26400000.0,,,,46500000.0,,14000000.0,72800000.0,,,46400000.0,,,,,20100000.0,13200000.0,,,,,,
1988-03-31,,,,,,,,,0.04239,88103479.0,,,,2800000,,,,,,88103479.0,,,,,,,,,,,,,,,,,,,,0.04239,,,,,,,,,,,,19500000,19500000,19500000,,,,,,,,,,,,,,,,,,,,,,,
1988-06-30,,,,,,,,,0.054501,88070204.0,,,,3800000,,,,,,88070204.0,,,,,,,,,,,,,,,,,,,,0.054501,,,,,,,,,,,,25900000,25900000,25900000,,,,,,,,,,,,,,,,,,,,,,,
1988-09-30,,,,,,,,,0.096891,88070204.0,,,,7400000,,,,,,88070204.0,,,,,,,,,,,,,,,,,,,,0.096891,,,,,,,,,,,,47300000,47300000,47300000,,,,,,,,,,,,,,,,,,,,,,,
