date,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyNetPPE,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyNetIncomeContinuousOperations,quarterlyOperatingExpense,quarterlyNetIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyDilutedEPS,quarterlyCurrentAccruedExpenses,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyTotalRevenue,quarterlyBasicAverageShares,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyBasicEPS,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyGrossProfit,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyStockholdersEquity,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyDilutedAverageShares,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyIncomeTaxPayable,quarterlyGoodwill
2012-03-31,,4000000,,23000000,-32000000,,,,3000000,-24000000.0,5000000,8000000,5000000,1000000,,,,,,3000000,,27000000,0.076,,-38000000,24000000,,,,,5000000,6000000,,,47000000,,,44000000,65250000.0,-1000000.0,18000000,3000000.0,,,9000000,,-18000000,0.076,2000000,-1000000,17000000,-6000000,25000000,-16000000,,,,,,65250000.0,,,17000000,8000000,-1000000,-6000000,,,,,,,,,,,
2012-06-30,,16000000,,66000000,-124000000,,,,-1000000,-8000000.0,-1000000,8000000,-1000000,2000000,,,,,,6000000,,26000000,-0.015326,,-60000000,25000000,,,,,-1000000,7000000,,,87000000,,,42000000,65250000.0,-1000000.0,21000000,-1000000.0,,,8000000,,57000000,-0.015326,2000000,0,16000000,-17000000,27000000,-128000000,,,,,,65250000.0,,,-3000000,-2000000,-1000000,64000000,,,,,,,,,,,
2012-09-30,,5000000,,159000000,-117000000,,,,8000000,-5000000.0,4000000,8000000,4000000,3000000,,,,,,6000000,,28000000,0.061303,,-155000000,27000000,,,,,4000000,6000000,,,134000000,,,47000000,65250000.0,0.0,23000000,,,,11000000,,-47000000,0.061303,2000000,1000000,19000000,-9000000,30000000,-118000000,,,,,,65250000.0,,,-1000000,12000000,0,-38000000,,,,,,,,,,,
2012-12-31,58000000.0,3000000,,97000000,-107000000,21000000.0,,1525000000.0,0,-6000000.0,5000000,14000000,5000000,-8000000,19000000.0,749000000.0,4000000.0,220000000.0,5000000.0,5000000,22000000.0,25000000,,16000000.0,-69000000,30000000,0.0,,22000000.0,22000000.0,5000000,6000000,1124000000.0,1891000000.0,75000000,1810000000.0,30000000.0,42000000,,-25000000.0,15000000,,166000000.0,-24000000.0,3000000,1640000000.0,26000000,,7000000,0,17000000,-40000000,22000000,-143000000,767000000.0,,0.0,839000000.0,30000000.0,,81000000.0,285000000.0,-11000000,5000000,-25000000,38000000,25000000.0,-115000000.0,,,,,,,,,
2013-03-31,131000000.0,5000000,,173000000,-179000000,25000000.0,,1451000000.0,4000000,-13000000.0,7000000,12000000,7000000,1000000,20000000.0,1020000000.0,11000000.0,230000000.0,5000000.0,4000000,24000000.0,29000000,0.11,10000000.0,-169000000,22000000,0.0,,23000000.0,23000000.0,7000000,10000000,1339000000.0,1929000000.0,129000000,1751000000.0,35000000.0,53000000,65250000.0,-6000000.0,26000000,4000000.0,34000000.0,-23000000.0,12000000,1575000000.0,-5000000,0.11,2000000,1000000,24000000,-299000000,23000000,-182000000,590000000.0,,0.0,1113000000.0,36000000.0,65250000.0,178000000.0,226000000.0,3000000,11000000,-6000000,10000000,30000000.0,-124000000.0,,,,,,,,,
2013-06-30,126000000.0,6000000,,54000000,-3000000,25000000.0,,1492000000.0,1000000,-14000000.0,33000000,11000000,33000000,-6000000,23000000.0,1076000000.0,33000000.0,243000000.0,9000000.0,2000000,37000000.0,30000000,0.505747,11000000.0,-24000000,23000000,0.0,,17000000.0,17000000.0,33000000,10000000,1377000000.0,2074000000.0,17000000,1806000000.0,30000000.0,79000000,65250000.0,-13000000.0,50000000,1000000.0,15000000.0,-5000000.0,38000000,1626000000.0,-70000000,0.505747,2000000,0,49000000,-13000000,17000000,-39000000,697000000.0,,0.0,1165000000.0,63000000.0,65250000.0,268000000.0,212000000.0,-23000000,34000000,-13000000,-21000000,30000000.0,-134000000.0,,,,,,,,,
2013-09-30,147000000.0,13000000,,62000000,-50000000,26000000.0,,1487000000.0,5000000,-10000000.0,40000000,17000000,9000000,104000000,23000000.0,1020000000.0,0.0,251000000.0,9000000.0,13000000,54000000.0,33000000,0.39,30000000.0,64000000,17000000,0.0,,121000000.0,121000000.0,9000000,17000000,1340000000.0,2331000000.0,-1000000,1923000000.0,27000000.0,95000000,23000000.0,0.0,75000000,,26000000.0,-2000000.0,45000000,1636000000.0,65000000,0.39,1000000,0,62000000,-395000000,121000000,-72000000,578000000.0,,0.0,1073000000.0,9000000.0,23000000.0,408000000.0,267000000.0,-22000000,45000000,0,114000000,28000000.0,-149000000.0,,,,,,,,,
2013-12-31,133000000.0,11000000,,-28000000,-6000000,27000000.0,0.0,1541000000.0,3000000,-34000000.0,24000000,18000000,-18000000,-85000000,23000000.0,1000000000.0,0.0,227000000.0,14000000.0,5000000,40000000.0,35000000,,20000000.0,32000000,121000000,0.0,,36000000.0,36000000.0,-18000000,15000000,1302000000.0,2313000000.0,21000000,2046000000.0,86000000.0,86000000,,-15000000.0,54000000,,40000000.0,,33000000,1705000000.0,-6000000,,2000000,1000000,51000000,-15000000,36000000,-95000000,629000000.0,0.0,1000000.0,1045000000.0,8000000.0,,267000000.0,257000000.0,46000000,27000000,-135000000,38000000,29000000.0,-164000000.0,,,,,,,,,
2014-03-31,71000000.0,19000000,,241000000,-19000000,32000000.0,,1530000000.0,3000000,-74000000.0,18000000,19000000,4000000,384000000,22000000.0,1310000000.0,,229000000.0,15000000.0,2000000,38000000.0,53000000,0.17,17000000.0,-3000000,36000000,0.0,,420000000.0,420000000.0,4000000,18000000,1503000000.0,2534000000.0,-8000000,2032000000.0,85000000.0,110000000,23000000.0,,58000000,,14000000.0,-2000000.0,38000000,1711000000.0,-22000000,0.18,2000000,1000000,57000000,-22000000,420000000,127000000,646000000.0,0.0,1000000.0,1353000000.0,4000000.0,30000000.0,502000000.0,150000000.0,143000000,21000000,3000000,16000000,23000000.0,-181000000.0,,,,,,,,,
2014-06-30,119000000.0,29000000,,-82000000,-10000000,93000000.0,,2255000000.0,2000000,-74000000.0,34000000,38000000,6000000,-356000000,30000000.0,1880000000.0,,253000000.0,14000000.0,14000000,56000000.0,45000000,0.26,19000000.0,47000000,420000000,0.0,,87000000.0,87000000.0,6000000,43000000,2163000000.0,3236000000.0,-3000000,3040000000.0,105000000.0,134000000,23000000.0,,101000000,,15000000.0,-9000000.0,51000000,2488000000.0,-23000000,0.26,2000000,4000000,89000000,-46000000,87000000,-331000000,809000000.0,0.0,1000000.0,1930000000.0,3000000.0,23000000.0,196000000.0,233000000.0,54000000,36000000,-18000000,57000000,26000000.0,-233000000.0,,,,,,,,,
