date,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyInventory,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyTotalAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyOperatingIncome,quarterlyCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedEPS,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda
2010-12-31,,-223167000.0,124782000,222704000,285798000,285798000,135779000,12032000,628296000,0,,,,,,0.0,7122000,246709000.0,,740208000,485386000,153212000,,,,,,,,,,902149000,,416763000,722527000,347949000.0,1665001000,,38777000.0,942474000,22214000,330511000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,,128709000,276085000,101834000,101834000,132265000,14916000,624092000,16030000,,,,,,0.0,31065000,79000.0,,874491000,233523000,153212000,,,,,,,,,,667239000,,433716000,620381000,,1567036000,,36754000.0,946655000,14071000,214703000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,,-250155000.0,127975000,236957000,141259000,141259000,120307000,11696000,619438000,0,,,,,,0.0,6252000,71000.0,,918131000,215877000,153212000,,,,,,,,,,599346000,,383469000,611398000,378130000.0,1544546000,,45182000.0,933148000,14071000,286560000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,,,124207000,251331000,202116000,202116000,121683000,9694000,615463000,0,,,,,,0.0,5160000,87000.0,,1003511000,213741000,153212000,,,,,,,,,,680190000,,466449000,739730000,,1712162000,,31351000.0,972432000,14071000,257745000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,,-243098000.0,135824000,277516000,151399000,151399000,113809000,32201000,671522000,4884000,,,,,,0.0,6319000,64000.0,222159000.0,1051593000,233520000,214356000,,,,,,,,151586000.0,,727059000,,493539000,713367000,378922000.0,1813164000,,0.0,1099797000,14071000,268588000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,,,132549000,267939000,164419000,164419000,111668000,5660000,666874000,22288000,,,,,,0.0,4744000,48000.0,258088000.0,1092036000,212034000,214356000,,,,,,,,197975000.0,4570000.0,711632000,,499598000,746637000,132549000.0,1838342000,,94679000.0,1091705000,14071000,257305000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,,-281484000.0,155347000,298377000,225347000,225347000,111370000,13624000,662707000,6984000,,,,,,0.0,4879000,37000.0,233692000.0,1192756000,202566000,214356000,,,,,,,,288587000.0,,704309000,,501743000,835358000,436831000.0,1934891000,,0.0,1099533000,14071000,231875000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,,173163000,350072000,204869000,204869000,115060000,94970000,718302000,22142000,,,,,,0.0,4829000,30000.0,314239000.0,1215188000,210649000,252264000,,,,,,,,305651000.0,,902161000,,691512000,942205000,173163000.0,2154823000,,0.0,1212618000,14079000,292837000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,,-290838000.0,178325000,332274000,140423000,140423000,107625000,65117000,766687000,4098000,,,,,,0.0,4704000,18000.0,276296000.0,1269688000,220292000,270079000,,,,,,,,393648000.0,,823854000,,603562000,835256000,469163000.0,2131294000,,0.0,1296038000,14080000,261712000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,,,172363000,345047000,203035000,203035000,107750000,115597000,764549000,25283000,,,,,,0.0,4295000,59000.0,316266000.0,1266698000,216772000,291623000,,,,,,,,393528000.0,,954693000,,737921000,946771000,172363000.0,2259076000,,72173000.0,1312305000,14097000,330871000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
