date,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyInventory,quarterlyAccountsReceivable,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyOtherNonCurrentAssets,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyOtherCurrentLiabilities,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyOtherShortTermInvestments,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyBasicEPS,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfBusiness,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
2008-12-31,7458000000,35948000000,33463000000,2100000000,59765000000,35563000000,23817000000,,1891000000,6000000.0,483000000,18528000000,9356000000,9003000000,12416000000,14113000000,80000000,-13241000000.0,18189000000,1128000000,8616000000,6919000000,1627000000,23000000.0,31430000000.0,25205000000,,1697000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,10005000000,42094000000,37030000000,2294000000,65940000000,39324000000,23846000000,1989000000.0,125000000,2494000000.0,484000000,23583000000,6719000000,1867000000,22588000000,22652000000,66000000,,18086000000,1086000000,8616000000,6331000000,1594000000,7000000.0,,18287000000,,64000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,11459000000,60245000000,50436000000,4698000000,85689000000,55134000000,25444000000,,4534000000,-147000000.0,479000000,27284000000,8741000000,12944000000,29379000000,32784000000,62000000,-15362000000.0,18703000000,1245000000,8616000000,11641000000,2001000000,-4424000000.0,34065000000.0,18414000000,,3405000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,17853000000,71255000000,56098000000,4374000000,97051000000,60472000000,25796000000,4152000000.0,83000000,0.0,479000000,33039000000,10267000000,2904000000,32810000000,36660000000,53000000,,18397000000,1283000000,8616000000,5785000000,2017000000,0.0,,21902000000,,3850000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,18659000000,82337000000,62656000000,6630000000,110622000000,69286000000,28285000000,6289000000.0,221000000,1546000000.0,479000000,37494000000,13935000000,2087000000,41404000000,41404000000,51000000,-18344000000.0,18551000000,2129000000,8616000000,3271000000,2294000000,0.0,36895000000.0,34201000000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,24133000000,84657000000,62539000000,6346000000,114541000000,68885000000,29884000000,5996000000.0,245000000,1815000000.0,636000000,41801000000,12162000000,3938000000,38761000000,41761000000,57000000,,19297000000,2810000000,8616000000,5354000000,2190000000,0.0,,34067000000,,3000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,24912000000,84016000000,64715000000,3234000000,117533000000,67949000000,33517000000,2820000000.0,328000000,1848000000.0,640000000,46394000000,12511000000,2623000000,42899000000,42899000000,49000000,-20475000000.0,21578000000,2749000000,8616000000,5993000000,2361000000,0.0,42053000000.0,33033000000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,30221000000,88717000000,67918000000,3347000000,124949000000,71265000000,36232000000,2734000000.0,530000000,2392000000.0,640000000,50230000000,12105000000,3433000000,37676000000,38176000000,60000000,,22938000000,3044000000,8616000000,7384000000,2471000000,0.0,,35215000000,,500000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,30687000000,74391000000,55064000000,2113000000,114810000000,57177000000,40419000000,1328000000.0,675000000,931000000.0,875000000,53918000000,11386000000,2441000000,23888000000,32101000000,94000000,-22825000000.0,28291000000,571000000,8616000000,6391000000,2727000000,15553000000.0,51116000000.0,28303000000,546000000.0,8213000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,42678000000,53803000000,46624000000,3742000000,109418000000,50366000000,55615000000,,236000000,1299000000.0,2923000000,58192000000,3885000000,2563000000,19440000000,24268000000,195000000,,10564000000,5312000000,8616000000,5722000000,669000000,10754000000.0,10564000000.0,20524000000,105000000.0,4828000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
