date,quarterlyOtherIntangibleAssets,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyOtherCurrentLiabilities,quarterlyDilutedEPS,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,quarterlyAccountsReceivable,quarterlyInventory,quarterlyBasicEPS,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfBusiness,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredRevenue,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
2009-12-31,5738550000.0,3516490000,271884000,8168537000,-1552097000.0,5340000.0,394159000,3551622000,,8727561000.0,4115549000,1383488000.0,,7175464000,35132000.0,5565470000,4625721000,,4962409000,,14337292000,18963013000,0.0,10527879000,4459703000,350181000,894862000,84820000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,5620832000.0,1605319000,275361000,8680103000,,24860000.0,394326000,1625420000,1944895000.0,,4511590000,0.0,0.0,8613369000,20101000.0,6533181000,2888539000,,3113844000,,15710400000,18598939000,0.0,9647025000,2659427000,330619000,945268000,87461000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,5650480000.0,4428495000,277555000,9196937000,-1866234000.0,3124000.0,395440000,4448958000,2282725000.0,14260673000.0,5243615000,0.0,,12394439000,20463000.0,8007764000,5535801000,,7603859000,,19650373000,25186174000,0.0,15611623000,7143507000,484745000,852634000,87113000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,5646429000.0,5050184000,278710000,11395295000,,163722000.0,414080000,5063947000,747188000.0,,7845636000,0.0,0.0,16388753000,13763000.0,8624682000,6727647000,,11473794000,,25174473000,31902120000,0.0,20098476000,10958671000,1940440000,1384958000,117988000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,5714677000.0,7251268000,276220000,14222026000,-2830671000.0,16758000.0,417421000,7259598000,1141862000.0,20300000000.0,8829439000,0.0,,17469329000,8330000.0,9993444000,9283278000,,11127635000,,26481028000,35764306000,0.0,21121079000,10530722000,339800000,1578636000,138471000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,5627494000.0,10447080000,279087000,17745580000,,10642000.0,418834000,10453328000,1373630000.0,,9242348000,0.0,0.0,17460097000,6248000.0,10654088000,13105523000,,10731920000,,26471630000,39577153000,0.0,21386008000,10101286000,297828000,2115084000,156717000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,1103508000.0,16299740000,279059000,21853388000,-4395365000.0,0.0,419958000,16307889000,75638000.0,27050243000.0,1499732000,10326519000.0,,22654878000,8149000.0,15333948000,18823048000,,6760238000,0.0,25565518000,44388566000,0.0,22094186000,6291171000,13380000,1971183000,138611000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,1035214000.0,19833048000,273194000,26725285000,,0.0,421046000,19839386000,270423000.0,23336459000.0,1485013000,2944969000.0,0.0,23336459000,6338000.0,15211754000,22449434000,,6244123000,,26183065000,48632499000,0.0,21455877000,5760371000,368767000,633533000,141013000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,1715360000.0,11751848000,245165000,32441461000,-6374948000.0,0.0,421971000,11759997000,331341000.0,34708151000.0,1872761000,11412055000.0,,28333203000,8149000.0,11874423000,14230070000,11988081000.0,1328127000,0.0,32026768000,46256838000,650000000.0,13202550000,236973000,11447000,642012000,133596000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,6677243000.0,15497385000,248293000,35747762000,,0.0,19725638000,15503633000,301015000.0,31138701000.0,1768151000,3574584000.0,0.0,31138701000,6248000.0,15431129000,17713247000,,748752000,,34820936000,52534183000,0.0,16179881000,191480000,506487000,459842000,141316000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
