date,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,quarterlyOperatingExpense,quarterlyCapitalStock,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyBasicEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyTaxProvision,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyGoodwill,quarterlyCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyBasicAverageShares,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDilutedEPS,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyInventory,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyRepurchaseOfCapitalStock,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid
2005-03-31,,,,2577644.0,27229208,6121672,5766,,-54647250,,0.0,0.0,-843797.0,4644151,,4644151,,,,-2.36,-2221979,221277,,1202846.0,,5435077,-224326,-5107850,-213179,-6121672,,2772409.0,,1928612,,0.0,178519,,,-22585057,-5392943,-58977854,728729,77214356,-5332176,686595,2797681,,21909789,25364787,-6092925,3454998,2577644.0,0.0,-51039702.0,,,-391698.0,1526386,80012037,-5985935,-5985935,-2.36,,4644151,-17264028,,,133026.0,,,1594835,,,,,
2005-06-30,,,,22140149.0,4644151,6842226,25371,,67061167,,35813968.0,0.0,-843797.0,51490448,,66584464,,,,-0.29,-1778015,449148,,2136014.0,,4978718,-746177,-5189775,50968281,-6842226,,3325886.0,,2482089,,0.0,50576583,15094016.0,,46846297,-6231638,-65377344,610588,146865,-5935952,1863508,2868567,,67344510,70076599,-6399490,2732089,22140149.0,,,,,391698.0,250000,3015432,-6384248,-6384248,-0.29,,51490448,1067791,,,,,,732553,,,,,
2005-09-30,,,,25354432.0,51490448,6861053,25378,,61116781,,-2318800.0,0.0,-843797.0,42119293,,59454300,,,,-0.25,-1384893,241,,1969243.0,,5042993,-1424312,-5597010,-31033,-6861053,,4404262.0,,3560465,,0.0,-31033,17335007.0,,-9371155,-6861053,-71706965,-673949,242008,-7021322,1818060,2918646,,60466970,64277435,-6329621,3810465,25354432.0,,,,,0.0,250000,3160654,-6329621,-6329621,-0.25,,42119293,-3743112,,,,,,949403,,,,,
2005-12-31,,,,,42119293,12604523,25417,,49412063,,0.0,0.0,-1908804.0,37247064,,50524752,,9000000.0,,,-1096142,4705222,,6008194.0,,10945876,-2281791,-6659150,17213,-12604523,,7372295.0,,5463491,,0.0,17213,13277688.0,,-4872229,-12204884,-83774591,399639,240099,-8940941,1658647,7074096,,51012767,56726258,-12067626,5713491,,,-4948501.0,,,0.0,250000,7314195,-12067626,-12067626,,,37247064,1769708,,,,,,1065902,,,,,
2006-03-31,,,,25556603.0,37247064,9335525,25654,,40281834,,0.0,0.0,-1908804.0,20180509,,38674290,,6330000.0,,-0.43,-15882,-2175289,,4821490.0,,5494085,-1042670,-11375235,504014,-11401970,14775.0,7935262.0,,6026458,,0.0,504014,18493781.0,,-17066555,-9633499,-94693648,1768471,238192,-12417905,3841440,6967657,,41161225,47487683,-10919057,6326458,25556603.0,,-11482664.0,-2066445.0,,0.0,300000,7205849,-10919057,-10919057,-0.43,,20180509,-6195334,1919521.0,-1919521.0,,,2081220.0,2146167,,,,,
2006-06-30,,,,27080115.0,20180509,10293778,28059,,78006745,,0.0,0.0,-1908804.0,23977872,150000.0,72342879,,6000000.0,,-0.41,-62740,-4533103,,2216212.0,,5361419,-1178042,-13614041,48855721,-11905244,479078.0,8566007.0,,6657203,,0.0,47355721,48365007.0,,3797363,-11905244,-105862468,-741471,1690953,-14792083,4932359,4924346,,77050841,84622044,-11168820,7571203,27080115.0,340953.0,-36266275.0,-1611466.0,,1500000.0,914000,6615299,-11168820,-11168820,-0.41,,23977872,-31444317,3207629.0,-1288108.0,,1350000.0,2090544.0,2558134,91404.0,,,,
2006-09-30,,,,28068427.0,23977872,11707925,28102,,66345618,,0.0,0.0,-1908804.0,23202979,540000.0,64677271,,14569000.0,,-0.48,2386,2750953,,3064669.0,,4634157,-620398,-8773171,1471617,-14255580,841020.0,8587284.0,,6678480,,0.0,271617,41474292.0,1314526.0,-774893,-13656459,-119300239,599121,2622462,-9393569,7073768,6568046,,67943646,75536126,-13437771,7592480,28068427.0,462462.0,-7421941.0,-2547655.0,,0.0,914000,9190508,-13437771,-13437771,-0.48,,23202979,6526661,1937111.0,1270518.0,,2160000.0,3388675.0,2963377,119221.0,,,,
2006-12-31,,,,,23202979,9193646,28164,,56828267,,0.0,0.0,-4606716.0,18167066,907800.0,54508515,,11626621.0,,,11923,-1356818,,834897.0,,3929888,-510996,-9972393,383391,-11757243,834917.0,10724401.0,,6117685,,0.0,57391,36341449.0,1386277.0,-5035913,-10685452,-130373882,1071791,2495663,-10483389,5263758,5228678,,57355923,64552608,-11073643,7196685,,377463.0,-6562536.0,-2563597.0,,0.0,1079000,7724341,-11073643,-11073643,,,18167066,4553089,1413024.0,524087.0,,2118200.0,3398514.0,3485981,120477.0,,,,
2007-03-31,,,,28223454.0,18167000,9406000,28000,,36402000,,0.0,0.0,-4607000.0,55828000,1289000.0,93176000,265000.0,18503000.0,,-0.39,8000,847000,,3018000.0,,4035000,-327000,-8410000,47541000,-11456000,1012000.0,10426000.0,,5819000,,0.0,361000,37348000.0,1046000.0,37661000,-10830000,-141303000,626000,62561000,-8737000,5371000,6498000,,96082000,105461000,-10929000,9379000,28223454.0,412000.0,-19646000.0,-2050000.0,,-2282000.0,3560000,69059000,-10929000,-10929000,-0.39,,55828000,-1470000,1457000.0,-44000.0,,62149000.0,3062000.0,2191000,198000.0,,,,
2007-06-30,,,,28298731.0,55828000,9497000,28000,,26677000,,0.0,0.0,-4607000.0,25884000,1375000.0,84200000,922000.0,13495000.0,,-0.4,-33000,1577000,,3966000.0,,4028000,-391000,-7627000,-709000,-11540000,863000.0,10172000.0,,5565000,,0.0,14000,58316000.0,1342000.0,-29944000,-10750000,-152639000,790000,62403000,-8018000,5469000,7447000,,87519000,96527000,-11336000,9008000,28298731.0,684000.0,-34712000.0,-2043000.0,,2282000.0,3443000,69850000,-11336000,-11336000,-0.4,,25884000,-21608000,1254000.0,203000.0,,61719000.0,2906000.0,2106000,126000.0,,,,
2007-09-30,,,,28324661.0,25884000,9614000,28000,,17324000,,0.0,0.0,-4607000.0,15176000,1375000.0,74279000,895000.0,8405000.0,,-0.4,34000,-908000,,2088000.0,,3671000,-130000,-10006000,-29000,-11503000,1224000.0,9665000.0,,5058000,,0.0,315000,59103000.0,1513000.0,-10708000,-10730000,-164023000,773000,62058000,-10136000,5943000,6107000,,77083000,85489000,-11384000,8406000,28324661.0,683000.0,-8948000.0,-1889000.0,,0.0,3348000,68165000,-11384000,-11384000,-0.4,,15176000,-673000,1035000.0,219000.0,,61375000.0,3113000.0,2644000,171000.0,,,,
2007-12-31,,,,,15176000,10050000,29000,,7115000,,0.0,0.0,-7508000.0,23115000,1375000.0,64323000,902000.0,31540000.0,,,13000,2193000,,1532000.0,,4397000,-2595000,-7164000,-204000,-12177000,1528000.0,14157000.0,,6649000,,0.0,207000,41208000.0,1729000.0,7939000,-11034000,-176252000,1143000,61697000,-9759000,5653000,8447000,,67291000,77259000,-12229000,9968000,,666000.0,-13638000.0,-2127000.0,,0.0,3319000,70144000,-12229000,-12229000,,,23115000,15307000,1139000.0,-104000.0,,61031000.0,3655000.0,5540000,215000.0,,,,
2008-03-31,,,,29228000.0,23115000,11264000,30000,167000.0,-2892000,,0.0,0.0,-7508000.0,23952000,2275000.0,50584000,893000.0,32210000.0,,-0.44,53000,-6392000,,3245000.0,,4843000,-1060000,-16459000,3710000,-12644000,1862000.0,14362000.0,,6854000,,0.0,1053000,26632000.0,1911000.0,837000,-11650000,-189224000,994000,63757000,-17519000,6421000,8097000,,53847000,68962000,-12972000,15115000,29228000.0,969000.0,-17564000.0,-1380000.0,,0.0,8261000,71854000,-12972000,-12972000,-0.44,,23952000,13586000,1824000.0,-685000.0,,62788000.0,3242000.0,2410000,321000.0,,,,
