date,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyOperatingExpense,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyPretaxIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyPurchaseOfBusiness,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCashItems,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyNonCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyBasicAverageShares,quarterlyDilutedAverageShares,quarterlyRetainedEarnings,quarterlyBasicEPS,quarterlyResearchAndDevelopment
2000-03-31,3562000.0,-283000.0,,,,,869000,,,,,12802000,216000.0,,,-7475000.0,9257000.0,-7758000,,8839000,-1807000,,,,,0,,,,,3220000,,3000,,0,-869000.0,,,11824000,3000,-1081000,,741000.0,52000,7032000,,,21406000,,,,8604000,,,,,,,,,,,,,5695000,5695000,,901000,726000,,,,,,,,
2001-03-31,0.0,0.0,-111700000.0,277761000.0,,,669000,4000.0,,4000.0,608000.0,13061000,2244000.0,,0.0,,8786000.0,0,,268000,-907000,,336192000.0,0.0,,0,298917000.0,,,2309000.0,3238000,,4000,,8698000,-669000.0,,,13599000,4000,-268000,,0.0,-11087000,-639000,,122568000.0,23422000,37275000.0,4816000.0,389461000.0,10361000,,4083000.0,,107676000.0,10076000.0,,,,,,117752000.0,16217000.0,8786000,8786000,,1172000,639000,4939000.0,,,,,,,
2001-06-30,,,-114876000.0,277924000.0,,,907000,17371000.0,,17371000.0,385000.0,5592000,870000.0,4864000.0,16963000.0,,,-24998000,,45111000,-3339000,,324122000.0,3014000.0,,17367000,299751000.0,,,3766000.0,3280000,286375000.0,4000,,10356000,,,,13599000,17371000,-2746000,,,32382000,41772000,,37747000.0,23637000,24371000.0,7165000.0,392800000.0,10319000,,0.0,,0.0,30582000.0,7726000.0,4527000.0,,,15911000.0,30582000.0,,10356000,10356000,286375000.0,1331000,593000,,,,,,,,
2001-09-30,,,-118254000.0,281775000.0,,,728000,10399000.0,,10399000.0,385000.0,5394000,387000.0,4789000.0,16885000.0,20517000.0,,-15323000,0.0,14791000,-7228000,,323361000.0,3698000.0,,-6972000,303449000.0,,,3872000.0,3483000,290329000.0,17371000,,13771000,,,,16913000,10399000,-6440000,,,-1735000,7563000,,33032000.0,26857000,19912000.0,7955000.0,400029000.0,13430000,,0.0,,0.0,25077000.0,8033000.0,4105000.0,,,18824000.0,25077000.0,,13771000,13771000,290329000.0,1326000,788000,,,,,,,,
2001-12-31,,,-121389000.0,284852000.0,,,875000,7796000.0,,7796000.0,462000.0,5918000,310000.0,4715000.0,16876000.0,-42088000.0,,-11093000,0.0,14088000,-6452000,,323386000.0,1643000.0,,-2603000,306443000.0,,,4084000.0,3479000,122230000.0,10399000,169305000.0,12960000,,,,15874000,7796000,-5598000,,,-1476000,7636000,,31851000.0,24911000,16943000.0,6189000.0,406241000.0,12395000,,0.0,,2000.0,25660000.0,6598000.0,2855000.0,,,18313000.0,25662000.0,,12960000,12960000,291535000.0,1520000,854000,,,,,,,,
2002-03-31,395000.0,,-125584000.0,346455000.0,,,678000,7689000.0,,7689000.0,416000.0,6144000,556000.0,,16783000.0,-512000.0,10818000.0,51654000,,14037000,-1798000,,385025000.0,1190000.0,,-107000,367953000.0,,,4107000.0,4355000,121219000.0,7796000,168433000.0,10423000,769000.0,,,15051000,7689000,-65798000,-11788000.0,54000.0,-1018000,12239000,,95373000.0,26024000,17072000.0,5713000.0,472039000.0,10696000,,460000.0,,0.0,89660000.0,9184000.0,2596000.0,,,16840000.0,89660000.0,,10423000,10423000,289652000.0,1789000,0,4715000.0,,,,,,,
2002-06-30,0.0,,-129460000.0,354541000.0,,,844000,15057000.0,,15057000.0,416000.0,5574000,796000.0,,16838000.0,0.0,14939000.0,-1858000,,21188000,-962000,,400923000.0,3175000.0,,7368000,376094000.0,,,4740000.0,3876000,122224000.0,7689000,169708000.0,14939000,-448000.0,,,18767000,15057000,-11962000,-12858000.0,,2229000,20226000,,108991000.0,30030000,24829000.0,8331000.0,484001000.0,14891000,,291000.0,,0.0,100660000.0,9565000.0,2670000.0,,,20465000.0,100660000.0,,14939000,14939000,291932000.0,1699000,0,4715000.0,,,,,,,
2002-09-30,0.0,,-133617000.0,351939000.0,,,843000,31176000.0,,31176000.0,416000.0,5940000,1738000.0,4715000.0,17776000.0,512000.0,14950000.0,-6704000,,24378000,-1555000,,415325000.0,4660000.0,,16119000,374430000.0,,,7923000.0,4157000,122871000.0,15057000,170102000.0,14950000,,,,20002000,31176000,-1555000,-14610000.0,,5392000,22823000,,122352000.0,32161000,40895000.0,12999000.0,485556000.0,15845000,,296000.0,,0.0,109353000.0,10376000.0,1526000.0,,,21785000.0,109353000.0,,14950000,14950000,292973000.0,1783000,0,,,,,,,,
2002-12-31,0.0,,-137663000.0,349276000.0,,,823000,33533000.0,,33533000.0,747000.0,5732000,1790000.0,4715000.0,17823000.0,-14099000.0,14831000.0,-14404000,,18053000,-1389000,,415508000.0,3797000.0,,2357000,371814000.0,,,8133000.0,4052000,123240000.0,31176000,170655000.0,14831000,,,,19850000,33533000,-1292000,,,-1766000,16664000,,121613000.0,30243000,43694000.0,12677000.0,486939000.0,15798000,,177000.0,,25000.0,108911000.0,8713000.0,1502000.0,,,21530000.0,108936000.0,,14831000,14831000,293895000.0,1680000,97000,,,,,,,,
2003-03-31,,,-141934000.0,711481000.0,,,731000,13042000.0,,13042000.0,449000.0,6127000,2377000.0,4715000.0,20075000.0,1456000.0,12382000.0,326133000,200342000.0,20298000,-2132000,,764933000.0,8664000.0,,-20491000,736271000.0,-134065000.0,,9763000.0,4283000,123704000.0,33533000,238886000.0,12382000,2595000.0,,,18311000,13042000,-366922000,-14121000.0,,1038000,18166000,,402343000.0,31816000,28662000.0,18876000.0,853415000.0,14028000,,1888000.0,,25000.0,383442000.0,11661000.0,1455000.0,,,20155000.0,383467000.0,,12382000,12382000,362590000.0,1844000,17000,,,,,,,,
