date,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyOtherNonCurrentAssets,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyChangesInAccountReceivables,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyNetPPE,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyBasicAverageShares,quarterlyDilutedEPS,quarterlyBasicEPS,quarterlyNonCurrentDeferredRevenue,quarterlyDilutedAverageShares,quarterlyGoodwill
1985-03-31,,,,,,,,400000,,,,,,,,,,400000,400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000,,,,,500000,,,,,,,,500000,,,,,,,,,,,,,,
1985-06-30,,,,,,,,400000,,,,,,,,,,400000,400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000,,,,,500000,,,,,,,,500000,,,,,,,,,,,,,,
1985-09-30,,,,,,,,400000,,,,,,,,,,400000,400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000,,,,,500000,,,,,,,,500000,,,,,,,,,,,,,,
1985-12-31,,100000.0,,,,,13600000.0,400000,,,,,,100000.0,,,,400000,400000,,,,,,,,,,,,,,,,,,,,13500000.0,,,,,,,,,,,900000,,,,,500000,,,,,,,,900000,,,,,,,,,,,,,,
1986-03-31,,,,,,,,400000,,,,,,,,,,400000,400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000,,,,,500000,,,,,,,,500000,,,,,,,,,,,,,,
1986-06-30,,,,,,,,400000,,,,,,,,,,400000,400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000,,,,,500000,,,,,,,,500000,,,,,,,,,,,,,,
1986-09-30,,,,,,,,400000,,,,,,,,,,400000,400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000,,,,,500000,,,,,,,,500000,,,,,,,,,,,,,,
1986-12-31,,-100000.0,,,,,13200000.0,400000,,,,,,0.0,,,,400000,400000,,,,,,,,,,,,,,,,,,,,13200000.0,,,,,,,,,,,900000,,,,,500000,,,,,,,,900000,,,,,,,,,,,,,,
1987-03-31,,,,,,,,400000,,,,,,,,,,400000,400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000,,,,,500000,,,,,,,,500000,,,,,,,,,,,,,,
1987-06-30,,,,,,,,400000,,,,,,,,,,400000,400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000,,,,,500000,,,,,,,,500000,,,,,,,,,,,,,,
1987-09-30,,,,,,,,400000,,,,,,,,,,400000,400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000,,,,,500000,,,,,,,,500000,,,,,,,,,,,,,,
1987-12-31,,-500000.0,,,,,12900000.0,300000,,,,,,0.0,,,,300000,300000,,,,,,,,,,,,,,,,,,,,12900000.0,,,,,,,,,,,800000,,,,,400000,,,,,,,,800000,,,,,,,,,,,,,,
1988-03-31,,,,,,,,300000,,,,,,,,,,300000,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400000,,,,,400000,,,,,,,,400000,,,,,,,,,,,,,,
1988-06-30,,,,,,,,400000,,,,,,,,,,400000,400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000,,,,,500000,,,,,,,,500000,,,,,,,,,,,,,,
1988-09-30,,,,,,,,400000,,,,,,,,,,400000,400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000,,,,,500000,,,,,,,,500000,,,,,,,,,,,,,,
1988-12-31,,-600000.0,,,,,12900000.0,300000,,,,,,100000.0,,,,300000,300000,,,,,,,,,,,,,,,,,,,,12800000.0,,,,,,,,,,,900000,,,,,400000,,,,,,,,900000,,,,,,,,,,,,,,
1989-03-31,,,,,,,,300000,,,,,,,,,,300000,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400000,,,,,400000,,,,,,,,400000,,,,,,,,,,,,,,
1989-06-30,,-700000.0,,,,,12700000.0,300000,,,,,,0.0,,,,300000,300000,,,,,,,,,,,,200000.0,,,,,,-100000.0,,12700000.0,,,,,,,,,,,600000,,,,,500000,,,,,,,12000000.0,600000,,,,,,,,,,,,,,
1989-09-30,200000.0,-700000.0,,,,,12700000.0,300000,,100000.0,,,0.0,100000.0,,,0.0,300000,300000,,,,,,,-100000.0,,-400000.0,,,200000.0,,,,,,-100000.0,,12600000.0,,,,,,,,,,,600000,200000.0,,,,500000,,400000.0,,-400000.0,,,12100000.0,700000,,,,,-100000.0,,,,,,,,,
1989-12-31,,-800000.0,,,,,12700000.0,300000,,,,,,100000.0,,,,300000,300000,,,,,,,,,,,,,,,,,,0.0,,12600000.0,,,,,,,,,,,400000,,,,,400000,,,,,,,,400000,,,,,,,,,,,,,,
1990-03-31,300000.0,-900000.0,,,,,12600000.0,300000,,100000.0,,,0.0,100000.0,,,-100000.0,300000,300000,,,,,,,,,-400000.0,,,200000.0,,500000.0,,,,-100000.0,,12500000.0,,,,,,,,,,,500000,-200000.0,,,,400000,,300000.0,,-400000.0,,,11900000.0,600000,,,100000.0,,-100000.0,,,,,,,,,
1990-06-30,400000.0,-900000.0,,,,,12600000.0,400000,,0.0,,,0.0,100000.0,,,0.0,400000,400000,,,,,,,,,-400000.0,,,200000.0,,,,,,-100000.0,,12500000.0,,,,,,,,,,,600000,-200000.0,,,,500000,,400000.0,,-400000.0,,,11800000.0,600000,,,200000.0,,0.0,,,,,,,,,
1990-09-30,400000.0,-900000.0,,,,,12500000.0,400000,,100000.0,,,0.0,0.0,,,0.0,400000,400000,,,,,,,,,-300000.0,,,200000.0,,,,,,-100000.0,,12500000.0,,,,0.0,,,,,,,600000,0.0,,,,500000,,400000.0,,-300000.0,,,11800000.0,700000,,,-100000.0,,,,,,,,,,,
1990-12-31,500000.0,-900000.0,,,,,12400000.0,300000,,100000.0,,,0.0,0.0,,,0.0,300000,300000,,,,,,,,,-400000.0,,,200000.0,,,,,,-100000.0,,12400000.0,,,,,,,,,,,600000,200000.0,,,,500000,,500000.0,,-400000.0,,,11700000.0,700000,,,-100000.0,,,,,,,,,,,
