date,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyOperatingExpense,quarterlyStockholdersEquity,quarterlyDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTaxProvision,quarterlyBasicAverageShares,quarterlyNetPPE,quarterlyRepaymentOfDebt,quarterlyOtherNonCashItems,quarterlyBasicEPS,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyOperatingCashFlow,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCashDividendsPaid,quarterlyGoodwill,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyLongTermDebt,quarterlyInventory,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyDilutedAverageShares,quarterlyFreeCashFlow,quarterlyOtherNonCurrentAssets,quarterlyIncomeTaxPayable,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyDeferredIncomeTax,quarterlyCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyResearchAndDevelopment
2008-11-30,13259000000.0,-656000000,-9514000000,,169888000000,10273000000.0,96126000000,94785000000.0,55182000000,232143000000.0,2.176729,,14746000000,10185007400.0,39448000000.0,-298000000.0,-20000000,2.176729,40505000000,275456000000.0,207933000000.0,,323270000000.0,36928000000,,6751000000,25570000000,40945000000,188510000000,-4519000000,,460040000000.0,35411000000.0,92383000000,136770000000.0,108751000000.0,34998000000.0,5836000000,5947000000.0,18549000000.0,-6542000000,26852000000.0,22170000000,22182000000,,12355000000.0,60367000000.0,175807000000,-4633000000,22170000000,67243000000.0,2319000000.0,336000000,,175994000000.0,3241000000,226482000000.0,-112000000,11854000000.0,10185007400.0,21051000000,2000000.0,,,,,,,,,,,,,,,
2009-02-28,8472000000.0,-3515000000,3691000000,,175807000000,10273000000.0,81928000000,92582000000.0,53015000000,257032000000.0,1.313794,,11819000000,,38937000000.0,-656000000.0,233000000,1.313794,28840000000,288838000000.0,186718000000.0,,324959000000.0,25306000000,,18938000000,55827000000,28914000000,168914000000,-1862000000,,462936000000.0,12919000000.0,86985000000,137977000000.0,174427000000.0,26109000000.0,51100000000,5592000000.0,17685000000.0,-81000000,25678000000.0,13381000000,13487000000,,11819000000.0,56504000000.0,226907000000,-5036000000,13381000000,52670000000.0,2311000000.0,228000000,,227097000000.0,3306000000,204403000000.0,-118000000,11686000000.0,,53965000000,1000000.0,,,,,,,,,,,,,,,
2009-05-31,,-1131000000,-334000000,,226907000000,,91523000000,,64188000000,,1.388217,,11616000000,10178531000.0,,-11624000000.0,11000000,1.388217,30796000000,,,,,25911000000,,-30336000000,-17257000000,27336000000,179601000000,-3808000000,,,,88077000000,,,,-44335000000,,,-7590000000,,14139000000,14295000000,,,,182572000000,-19889000000,14139000000,,,186000000,-14777000000.0,,4699000000,,332000000,,10178531000.0,-21065000000,,,,,,,,,,,,,,,,
2009-08-31,11669000000.0,-17805000000,-11419000000,,182572000000,10273000000.0,71950000000,56930000000.0,60502000000,259639000000.0,,,7251000000,,45946000000.0,-2216000000.0,745000000,,12476000000,295442000000.0,175602000000.0,80536000000.0,298171000000.0,7341000000,,-14684000000,-4926000000,11448000000,148018000000,-2844000000,-34590000000.0,463285000000.0,15213000000.0,76068000000,165114000000.0,125875000000.0,34266000000.0,-12997000000,7160000000.0,26270000000.0,-44000000,39399000000.0,106000000,90000000,,17980000000.0,74580000000.0,169574000000,-4715000000,106000000,43876000000.0,14873000000.0,166000000,14465000000.0,169751000000.0,4969000000,201872000000.0,144000000,15913000000.0,,-7770000000,42362000000.0,,,,,,,,,,,,,,,
2009-11-30,,-1854000000,-2770000000,,169574000000,,138065000000,,77004000000,,3.424168,,23140000000,10178531000.0,,-790000000.0,53000000,3.424168,63273000000,,,,,58460000000,,14191000000,52919000000,61061000000,263464000000,-4853000000,,,,125399000000,,,,32496000000,,,-8502000000,,34853000000,35320000000,,,,202070000000,-6160000000,34853000000,,,167000000,,,4646000000,,-862000000,,10178531000.0,48066000000,,,,,,,,,,,,,,,,
2010-02-28,12301000000.0,-1256000000,5866000000,,202070000000,10273000000.0,108253000000,105806000000.0,69428000000,304721000000.0,2.014338,,16539000000,,48581000000.0,-213000000.0,-529000000,2.014338,42019000000,342146000000.0,238306000000.0,,399864000000.0,37091000000,,35328000000,80423000000,38826000000,207506000000,-2589000000,,563413000000.0,17787000000.0,99252000000,163549000000.0,168560000000.0,35458000000.0,74498000000,6941000000.0,18061000000.0,-148000000,35610000000.0,20503000000,20552000000,,10771000000.0,70595000000.0,276569000000,-3328000000,20503000000,108347000000.0,15872000000.0,158000000,,276907000000.0,4770000000,256367000000.0,-529000000,15779000000.0,,77834000000,1000000.0,,,,,,,,,,,,,,,
2010-05-31,14888000000.0,-75000000,-1556000000,,276569000000,10273000000.0,97853000000,62502000000.0,74245000000,312257000000.0,1.162054,,9624000000,10178489800.0,52926000000.0,-740000000.0,1100000000,1.162054,26915000000,342269000000.0,174140000000.0,,344422000000.0,21865000000,,-56458000000,-51413000000,23608000000,188086000000,-7102000000,,509901000000.0,29741000000.0,90233000000,165479000000.0,141261000000.0,39215000000.0,-69775000000,10217000000.0,20837000000.0,-11643000000,33717000000.0,11828000000,12241000000,,10254000000.0,71695000000.0,206793000000,-6567000000,11828000000,66653000000.0,15454000000.0,105000000,0.0,207914000000.0,4945000000,194977000000.0,-291000000,16175000000.0,10178489800.0,-58515000000,3000000.0,,,,,,,,,,,,,,,
2010-08-31,12067000000.0,-551000000,-3018000000,,206793000000,10273000000.0,76709000000,54098000000.0,67825000000,285439000000.0,,,4911000000,,50144000000.0,-1380000000.0,-465000000,,4920000000,336739000000.0,202618000000.0,90255000000.0,345625000000.0,-551000000,,2708000000,6694000000,8884000000,155754000000,-6778000000,-40111000000.0,507287000000.0,15371000000.0,79045000000,161662000000.0,139472000000.0,34790000000.0,-6332000000,10772000000.0,16682000000.0,-57000000,28798000000.0,-5503000000,-5462000000,,5865000000.0,74079000000.0,200462000000,-7334000000,-5503000000,62466000000.0,17358000000.0,69000000,-662000000.0,201938000000.0,5402000000,219300000000.0,1025000000,19041000000.0,,-84000000,42297000000.0,,,,,,,,,,,,,,,
2010-11-30,16642000000.0,115000000,-3382000000,,200462000000,10273000000.0,133408000000,100278000000.0,83554000000,301952000000.0,2.230685,,14146000000,10178489800.0,51154000000.0,-515000000.0,1402000000,2.230685,46775000000,347739000000.0,231474000000.0,,394513000000.0,37477000000,,18089000000,35391000000,49854000000,250985000000,-9761000000,,558683000000.0,45270000000.0,117577000000,164170000000.0,105452000000.0,44150000000.0,13414000000,16159000000.0,21774000000.0,-11480000000,27152000000.0,22705000000,23331000000,,5547000000.0,80387000000.0,214304000000,-9139000000,22705000000,108863000000.0,16372000000.0,126000000,,214315000000.0,9172000000,253248000000.0,-432000000,19992000000.0,10178489800.0,25630000000,1000000.0,,,,,,,,,,,,,,,
2011-02-28,14027000000.0,-847000000,447000000,,214304000000,10273000000.0,105015000000,70701000000.0,72807000000,319300000000.0,1.8616,,9865000000,10179477000.0,50452000000.0,-150000000.0,1561000000,1.8629,34600000000,366702000000.0,197979000000.0,,388483000000.0,29292000000,,-5556000000,43158000000,32208000000,206339000000,-2902000000,,550330000000.0,19095000000.0,101324000000,161847000000.0,170222000000.0,33621000000.0,37112000000,16508000000.0,29120000000.0,-220000000,25503000000.0,18963000000,19427000000,,12540000000.0,74993000000.0,251415000000,-3219000000,18963000000,81204000000.0,7843000000.0,152000000,,251426000000.0,5156000000,227099000000.0,78000000,20535000000.0,10186398797.0,40256000000,1000000.0,,,,,,,,,,,,,,,
