date,quarterlyOtherIntangibleAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyCurrentDeferredRevenue,quarterlyOtherCurrentAssets,quarterlyCurrentDebt,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyInventory,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyOtherShortTermInvestments,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyDilutedEPS,quarterlyLongTermDebt,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2009-12-31,317000,,2722081000,-251705000.0,,86739000.0,,87662000,2318189000,2318189000,225190000,,,708451000.0,456746000,0.0,0,,2684827000,547847000,58479000,585101000,3269928000,0.0,547847000,0.0,136308000,5873000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2532000,,2919482000,,,143001000.0,,87662000,2152748000,2152748000,328102000,,,,620552000,0.0,0,,2642991000,606578000,91663000,883069000,3526060000,0.0,606578000,0.0,145500000,16762000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,2165000,1138000.0,3229577000,-303611000.0,,35068000.0,,87662000,2349021000,2349021000,202828000,74666000.0,,1080392000.0,776781000,0.0,75804000,,2941401000,666758000,91663000,1030738000,3972139000,0.0,742562000,0.0,191925000,6956000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,1798000,17606000.0,3428274000,,,153681000.0,,87662000,2007876000,2007876000,261118000,,,,944073000,2600000.0,92272000,,2939291000,633207000,91663000,1215062000,4154353000,74666000.0,725479000,0.0,242946000,10535000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,1430000,1076000.0,3654377000,-367573000.0,,27839000.0,,87662000,2172812000,2172812000,289789000,,,1475877000.0,1108304000,0.0,75742000,,2999303000,646279000,91663000,1377671000,4376974000,74666000.0,722021000,0.0,282772000,13397000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,1063000,1045000.0,3794343000,,3100000.0,16292000.0,,87662000,2132410000,2132410000,230069000,74666000.0,655388000.0,,1272799000,261610000.0,75711000,2283905000.0,2889406000,559471000,91663000,1540681000,4430087000,0.0,635182000,0.0,224502000,26006000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,738000,1014000.0,3996091000,-443243000.0,,19860000.0,,87662000,2212391000,2212391000,274802000,90336000.0,,1989496000.0,1546253000,328923000.0,91350000,2472357000.0,3061444000,655067000,91663000,1681591000,4743035000,0.0,746417000,0.0,203965000,20385000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,628000,8483000.0,4207880000,-179234399000.0,,0.0,,87662000,2280432000,2280432000,203892000,87836000.0,,1676790000.0,1676790000,273081000.0,96319000,,3018724000,527008000,91663000,1812952000,4831676000,0.0,623327000,0.0,201410000,23133000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,518000,28802000.0,4429094000,-537731000.0,,0.0,500000000.0,87662000,2291905000,2291905000,219579000,99876000.0,,2281189000.0,1743458000,418455000.0,128678000,2890513000.0,3877216000,1180000000,91663000,1861078000,5738294000,0.0,1308678000,0.0,244484000,10105000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,24638000,6978000.0,4671155000,,,0.0,700000000.0,87662000,2573490000,2573490000,204963000,98150000.0,,1792808000.0,1792808000,313752000.0,105128000,3113075000.0,4122508000,1287658000,99654000,1941956000,6064464000,0.0,1392786000,0.0,249344000,17968000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,23286000,23638000.0,4892471000,-675978000.0,,240410000.0,200000000.0,87662000,2688148000,2688148000,202487000,104793000.0,,2392511000.0,1716533000,439356000.0,128431000,3321216000.0,3949735000,885985000,99654000,1957589000,5907324000,0.0,1014416000,94000000.0,285672000,12933000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,22033000,10352000.0,5106571000,,,0.0,0.0,87662000,2954075000,2954075000,222265000,99187000.0,,1691437000.0,1691437000,319633000.0,109539000,,3858557000,579011000,99654000,1936564000,5795121000,0.0,688550000,100000000.0,312959000,33793000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,388744000,62952000.0,5295971000,-815336000.0,,0.0,,87662000,2826219000,2826219000,224126000,92571000.0,,2498851000.0,1683515000,452065000.0,155523000,3704368000.0,3840491000,701608000,159291000,2312611000,6153102000,0.0,857131000,58000000.0,340858000,31046000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,368550000,63941000.0,5404444000,,,50445000.0,,87662000,2951986000,2951986000,223443000,86971000.0,,1649513000.0,1649513000,298131000.0,150912000,3808830000.0,3844594000,546524000,159291000,2257286000,6101880000,0.0,697436000,58000000.0,319601000,29756000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,348353000,56431000.0,5626673000,-959190000.0,,54506000.0,,87662000,3218401000,3218401000,219126000,109102000.0,,2586226000.0,1627036000,396088000.0,165533000,4031325000.0,4250996000,673056000,159291000,2214266000,6465262000,0.0,838589000,0.0,294410000,51122000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,328159000,53182000.0,5639081000,,,52498000.0,,87662000,3435822000,3435822000,225918000,83808000.0,,1617488000.0,1617488000,324705000.0,136990000,4215648000.0,4216003000,624346000,159291000,2184414000,6400417000,0.0,761336000,0.0,322301000,72350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,307962000,60945000.0,5820955000,-1101354000.0,,,,87662000,3532385000,3532385000,230757000,73920000.0,,2659251000.0,1557897000,,134865000,,4560293000,709293000,159291000,2104820000,6665113000,,844158000,,280209000,71822000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,309768000,46708000.0,5781710000,,,,,87662000,3596654000,3596654000,259559000,76340000.0,,1539277000.0,1539277000,,123048000,,4572751000,735769000,159291000,2067776000,6640527000,,858817000,,325166000,156061000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,287920000,60631000.0,5765781000,-1239442000.0,,,,87662000,3611485000,3611485000,213107000,125106000.0,,2806881000.0,1567439000,,185737000,,4652945000,780273000,159291000,2078846000,6731791000,,966010000,,405498000,174034000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,266625000,40234000.0,5732787000,,,,,87662000,3546054000,3546054000,155274000,129813000.0,,1527185000.0,1527185000,,171954000,,4650598000,760726000,159291000,2014869000,6665467000,,932680000,,354736000,244867000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
