date,quarterlyOtherIncomeExpense,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyAccumulatedDepreciation,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyNetOtherFinancingCharges,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyOperatingCashFlow,quarterlyDilutedAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyChangesInAccountReceivables,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangeInInventory,quarterlyInventory
2005-09-30,-6180000,,162000,-48763000.0,,,,,6349000.0,,,271000000.0,,28767000,8688000,4209000,18518000,12725000,,,11998000.0,,78602000,125887000,212092000,17023000,,,34234000,46232000,2180000,,1774000.0,0.01,264575000.0,,15575000,38201000,,85699000,8517000,,37871000,,,26661000,67281000.0,86205000,,,,,11766000,73711000,,,16554000,,330000.0,14327000,0.01,,126393000,13000000.0,8517000,26105000,8517000,1374000.0,39689000.0,15692000,0.0,59038000,,,,,
2005-12-31,39000,55395000.0,126000,-56223000.0,,45445000.0,-3842000.0,3050000.0,5450000.0,,20322000.0,,-14232000.0,5353000,8512000,6959000,20348000,21819000,,,111181000.0,16480000.0,76054000,101755000,265770000,12080000,43530000.0,4116000.0,20002000,131183000,571000,34234000.0,1697000.0,,,-116758000.0,25024000,41262000,,33147000,14860000,-79049000.0,42251000,20002000.0,,26394000,76571000.0,164015000,,,,,20908000,47911000,2378000.0,-671000.0,14773000,,,14312000,,-1979000.0,232623000,,14860000,21343000,14860000,1197000.0,1303000.0,17688000,0.0,6753000,,,,,
2006-03-31,-7000,951000.0,63000,-56223000.0,,2461000.0,-3318000.0,1529000.0,5468000.0,,17076000.0,294860000.0,-11804000.0,11551000,13437000,9097000,21556000,28761000,,,133893000.0,13758000.0,1804000,109761000,291696000,20203000,26630000.0,3226000.0,8198000,142091000,572000,20002000.0,2719000.0,0.07,277665000.0,-54371000.0,30879000,50282000,,35035000,19664000,-31275000.0,50282000,8198000.0,,28249000,77779000.0,181935000,,-19000.0,,,27653000,67575000,-5107000.0,-36000.0,20757000,74850000.0,,10025000,0.066,-216000.0,256661000,,19664000,22629000,19664000,1430000.0,1318000.0,19441000,0.0,6786000,,,,,
2006-06-30,-340000,6704000.0,57000,-56223000.0,,17906000.0,-4258000.0,11183000.0,6484000.0,,21608000.0,296045000.0,45896000.0,2708000,4997000,17302000,23887000,48269000,,,134461000.0,17350000.0,1618000,107787000,350220000,28068000,81279000.0,3345000.0,54094000,188555000,579000,8198000.0,1204000.0,0.11,279355000.0,-71088000.0,50761000,73591000,,33577000,30967000,5521000.0,58424000,54094000.0,,25692000,80110000.0,242433000,,,,,47416000,98542000,-3783000.0,1238000.0,29604000,79574000.0,15167000.0,16573000,0.104,-412000.0,316643000,,30967000,11008000,30967000,1961000.0,1401000.0,7699000,0.0,7885000,,,,,
2006-09-30,-169000,7067000.0,56000,-56223000.0,,19512000.0,-5514000.0,12445000.0,4331000.0,,45430000.0,298060000.0,16088000.0,5905000,7137000,24467000,22395000,68113000,,,178028000.0,39916000.0,1585000,109459000,420850000,27266000,31376000.0,3351000.0,70182000,248210000,588000,54094000.0,799000.0,0.154,283960000.0,-74324000.0,68733000,94662000,,41417000,43646000,-50920000.0,75726000,70182000.0,,35316000,78618000.0,311391000,,,,-9915000.0,65382000,142187000,12678000.0,-2650000.0,36699000,79574000.0,18936000.0,24216000,0.146,-2458000.0,379433000,,43646000,10344000,43646000,2817000.0,1770000.0,7017000,3698000.0,6101000,,,,,
2006-12-31,90000,7386000.0,56000,-59209000.0,,23225000.0,-6725000.0,15839000.0,,,61810000.0,,134075000.0,44761000,2991000,18408000,26280000,67400000,,,77354000.0,55085000.0,1551000,152294000,493211000,27411000,206805000.0,3939000.0,204257000,281611000,596000,70182000.0,1406000.0,,,-109444000.0,68124000,95264000,,38743000,48992000,49046000.0,75702000,204257000.0,,37899000,85489000.0,340917000,,,,-14094000.0,64185000,191179000,22681000.0,-3897000.0,31673000,79575000.0,19562000.0,29957000,,-41590000.0,454468000,,48992000,11517000,48992000,2637000.0,,7628000,3698000.0,844000,,,,,
2007-03-31,9192000,3380000.0,3795000,-59209000.0,37500000.0,266481000.0,-21129000.0,15153000.0,55707000.0,,30831000.0,348790000.0,-89393000.0,50398000,670816000,32278000,50691000,87864000,,,62444000.0,9702000.0,172777000,1352495000,2294933000,27395000,90486000.0,6647000.0,114864000,177308000,703000,204257000.0,41667000.0,0.164,337670000.0,-72468000.0,86290000,126608000,,1054836000,55586000,-386702000.0,98282000,114864000.0,,758817000,109900000.0,942438000,,,,-28468000.0,79643000,246668000,10408000.0,-4050000.0,48400000,1078629000.0,28326000.0,8834000,0.16,-4590000.0,1240097000,212500000.0,55586000,18639000,55586000,,27812000.0,12130000,653444000.0,296019000,,,,,
2007-06-30,-10805000,2074000.0,4329000,-59209000.0,37500000.0,-1639000.0,-12288000.0,22889000.0,47682000.0,,63973000.0,356140000.0,5988000.0,48352000,783255000,21514000,57199000,75207000,,,110377000.0,51685000.0,320394000,1505365000,2548245000,27469000,54365000.0,7902000.0,120852000,231229000,705000,114864000.0,39576000.0,0.156,346025000.0,-102182000.0,95375000,136654000,,1242283000,53693000,-56341000.0,108223000,120852000.0,,871962000,116408000.0,1042880000,,,,-4054000.0,87473000,300375000,1694000.0,4777000.0,58277000,1079420000.0,28431000.0,11631000,0.15,3614000.0,1305962000,203125000.0,53693000,20750000,53693000,,119514000.0,13002000,699431000.0,370321000,,,,,
2007-09-30,158000,2043000.0,5015000,-59209000.0,37500000.0,-2574000.0,-59510000.0,7213000.0,115151000.0,,90785000.0,356735000.0,-28027000.0,50393000,789393000,32593000,60768000,99274000,,,100254000.0,31275000.0,518537000,1637477000,2684216000,28685000,76607000.0,9065000.0,92825000,193079000,707000,120852000.0,33447000.0,0.192,347195000.0,-65682000.0,110073000,151735000,,1297827000,66681000,-116321000.0,122076000,92825000.0,,872708000,119977000.0,1046739000,,-2455000.0,,-2803000.0,101008000,367056000,16265000.0,1634000.0,58814000,1007779000.0,29659000.0,12368000,0.186,-4142000.0,1386389000,193750000.0,66681000,21068000,66681000,,116218000.0,12170000,749561000.0,425119000,,,,,
2007-12-31,1981000,2434000.0,5502000,-79404000.0,37500000.0,2491000.0,-11438000.0,13182000.0,108739000.0,,102192000.0,,26772000.0,43318000,821772000,31437000,63524000,96089000,,,140955000.0,90754000.0,537722000,1654251000,2796345000,30655000,51313000.0,9785000.0,119597000,260552000,710000,92825000.0,27811000.0,,,-92025000.0,106345000,159296000,,1319489000,64652000,-78024000.0,117858000,119597000.0,,910961000,142928000.0,1142094000,,-3750000.0,,-2507000.0,96560000,431708000,35896000.0,-5583000.0,51241000,1009687000.0,41438000.0,23878000,,11795000.0,1476856000,184375000.0,64652000,21298000,64652000,,115414000.0,11752000,792052000.0,408528000,,,,,
