date,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyDilutedEPS,quarterlyInventory,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfBusiness,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
2009-12-31,113000000,8328000000,,107000000,0.0,-14033000000.0,18510000000,794000000.0,2754000000,297000000.0,190461000000,148604000000,18412000000,19206000000,8240000000,68297000000,,,41857000000,32543000000.0,18249000000,,,115210000000,4554000000.0,17215000000,31516000000,262000000.0,193000000.0,50048000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,255000000,8124000000,0.0,110000000,3447000000.0,,18340000000,0.0,2754000000,297000000.0,202296000000,160030000000,17613000000,17613000000,5274000000,71652000000,0.0,,42266000000,,18420000000,274000000.0,,130644000000,,19030000000,32859000000,0.0,2493000000.0,53232000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,113000000,7829000000,,113000000,6855000000.0,-14969000000.0,18397000000,0.0,2754000000,297000000.0,242225000000,191798000000,16900000000,16900000000,6539000000,71576000000,,,50427000000,33366000000.0,22709000000,283000000.0,,163089000000,3518000000.0,5237000000,41760000000,0.0,0.0,48867000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,110000000,6908000000,0.0,119000000,10414000000.0,,18453000000,,3029000000,297000000.0,281835000000,217750000000,19890000000,19890000000,5765000000,87874000000,0.0,,64085000000,,24648000000,279000000.0,,186554000000,3520000000.0,5887000000,55476000000,0.0,0.0,63226000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,122000000,8903000000,,130000000,9704000000.0,-16169000000.0,18984000000,225000000.0,3029000000,297000000.0,317973000000,234159000000,32528000000,32753000000,10316000000,107099000000,,,83814000000,35153000000.0,30756000000,275000000.0,,203257000000,3420000000.0,6508000000,67090000000,0.0,0.0,76343000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,130000000,6201000000,0.0,137000000,6582000000.0,,18968000000,239000000.0,3029000000,297000000.0,334297000000,264647000000,19034000000,19273000000,10479000000,101724000000,0.0,,69650000000,,25875000000,277000000.0,,224685000000,5582000000.0,7254000000,66001000000,0.0,0.0,75849000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,380000000,5330000000,,48960000000,10654000000.0,-17227000000.0,19870000000,439000000.0,3029000000,109000000.0,368998000000,296008000000,18795000000,18795000000,841000000,112092000000,,,72990000000,37097000000.0,32980000000,,297000000.0,248501000000,905000000.0,7827000000,69090000000,283000000.0,0.0,79112000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,17000000,17598000000,0.0,48269000000,13244000000.0,,19884000000,257000000.0,3030000000,130000000.0,391168000000,310125000000,28269000000,28269000000,647000000,119473000000,0.0,225113000000.0,81043000000,,45497000000,,297000000.0,263034000000,930000000.0,8429000000,63974000000,295000000.0,0.0,73976000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,38000000,9502000000,,53811000000,15330000000.0,-18950000000.0,24161000000,319000000.0,3030000000,137000000.0,415052000000,331951000000,24515000000,24515000000,794000000,130797000000,,235769000000.0,83101000000,43111000000.0,46745000000,,297000000.0,275557000000,1155000000.0,9630000000,73085000000,303000000.0,0.0,84052000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,38000000,4029000000,0.0,50736000000,15975000000.0,,24076000000,349000000.0,0,168000000.0,415048000000,338627000000,20270000000,20270000000,727000000,124528000000,0.0,,76421000000,,37001000000,,305000000.0,282019000000,923000000.0,10149000000,76027000000,304000000.0,0.0,87527000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
