date,quarterlyBasicAverageShares,quarterlyCommonStockIssuance,quarterlyInventory,quarterlyNetPPE,quarterlyNetOtherFinancingCharges,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlyBasicEPS,quarterlyCapitalExpenditure,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyCurrentDeferredRevenue,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyChangeInCashSupplementalAsReported,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,quarterlyDilutedEPS,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyCashAndCashEquivalents,quarterlyDepreciationAndAmortization,quarterlyNetIncomeCommonStockholders,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyEndCashPosition,quarterlyChangeInWorkingCapital,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyChangeInInventory,quarterlyInvestingCashFlow,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetOtherInvestingChanges,quarterlyLongTermDebt,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyGoodwill,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyRetainedEarnings,quarterlyCapitalStock,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2013-09-30,,,,,42000000,0.0,,-30100000,,-124100000,-30100000,,151000000,,,-26900000,,6300000,,-30100000,0.0,0,-1900000,-151000000,,,,,2900000,-30100000,,0,,,0.0,,80800000,-30100000,0,300000,-400000,-23800000,,3400000,,,,,,-700000.0,-124100000,-27200000,,,104600000,,,0.0,,,,,,,,,,,,,,,,,,,
2013-12-31,,,300000.0,1260100000.0,65400000,0.0,,-61100000,,-121100000,-61100000,0.0,160000000,-161600000.0,,-38900000,1000000.0,-7000000,,-61100000,0.0,0,5900000,-160000000,,1268700000.0,1260100000.0,,2400000,-61100000,32400000.0,0,,,,,60400000,-61100000,0,19800000,3700000,-68100000,998400000.0,3100000,,,1421700000.0,164500000.0,8600000.0,1000000.0,-121100000,-58700000,,131100000.0,128500000,8300000.0,833900000.0,0.0,833100000.0,270300000.0,,0.0,,800000.0,,,,,,,,,,,,,
2014-03-31,54559308.0,,,,45700000,0.0,,-13800000,-0.252936,-81700000,-13800000,,116400000,,,-34700000,,1000000,,-13800000,0.0,0,-15800000,-116400000,-0.252936,,,,3700000,-13800000,,0,,,500000.0,,39600000,-13300000,0,-24600000,4700000,-12300000,,1000000,,,,,,-100000.0,-81700000,-9600000,,,51900000,,,0.0,,,,,54559308.0,,,,,,,,,,,,,,
2014-06-30,,,600000.0,1342400000.0,-20700000,0.0,,12200000,,-68500000,12200000,0.0,35700000,-178900000.0,,32800000,1300000.0,18900000,,12200000,0.0,0,15800000,-35700000,,1365500000.0,1342400000.0,,13900000,12200000,24100000.0,0,,,600000.0,5200000.0,65700000,12800000,0,6700000,4900000,31700000,1072000000.0,1300000,,,1521300000.0,115800000.0,23100000.0,-200000.0,-68500000,26700000,,80800000.0,34000000,0.0,956200000.0,0.0,955000000.0,0.0,,200000.0,,1200000.0,,,,,,,,,,,,,
2014-09-30,,,600000.0,1328600000.0,-22300000,0.0,,15600000,,-21700000,15600000,3300000.0,7600000,-192900000.0,,14100000,800000.0,14500000,,15600000,0.0,0,0,-7600000,,1358300000.0,1331900000.0,,13600000,15600000,18200000.0,0,,,300000.0,18800000.0,70300000,15900000,0,-15100000,-4200000,30400000,1071300000.0,900000,,,1521500000.0,99000000.0,26400000.0,0.0,-21700000,29500000,,61200000.0,39900000,0.0,972300000.0,0.0,971300000.0,0.0,,1100000.0,,1000000.0,,,,,,,,,,,,,
2014-12-31,,,400000.0,1332200000.0,-30300000,0.0,,18900000,,-15900000,18900000,4300000.0,-1500000,-206000000.0,,17400000,1500000.0,-29500000,,18900000,0.0,0,-33400000,1500000,,1374800000.0,1336500000.0,,13200000,18900000,6500000.0,0,,,500000.0,1018900000.0,79200000,19400000,0,-14700000,-12100000,-10100000,1099200000.0,1700000,,,1538200000.0,1098200000.0,38300000.0,200000.0,-15900000,32600000,,71300000.0,89300000,33400000.0,1000000.0,0.0,0.0,275600000.0,,1000000.0,,1000000.0,,,,,,,,,,,,,
2015-03-31,54559308.0,,400000.0,1317000000.0,-700000,0.0,,28400000,0.520534,-8500000,28400000,5300000.0,-29600000,-219800000.0,,38100000,1700000.0,1000000,,28400000,0.0,0,2800000,29600000,0.520534,1362500000.0,1322300000.0,,13800000,28400000,8600000.0,0,,,600000.0,989800000.0,89100000,29000000,0,-4100000,2100000,30000000,1059200000.0,1000000,,-29600000.0,1536800000.0,1058200000.0,40200000.0,0.0,-8500000,42800000,,58100000.0,59100000,30600000.0,1000000.0,0.0,,303300000.0,-28900000.0,9200000.0,54559308.0,1000000.0,,,,,,,,,,,,,
2015-06-30,,,400000.0,1292000000.0,198500000,0.0,,36900000,,-5000000,36900000,7100000.0,-46400000,-233000000.0,,51400000,1800000.0,1000000,,36900000,0.0,0,-2500000,46400000,,1340900000.0,1299100000.0,,13200000,36900000,10100000.0,0,,,600000.0,0.0,100500000,37500000,0,1300000,1500000,38500000,57300000.0,1000000,,,1525000000.0,56200000.0,41800000.0,0.0,-5000000,50700000,,44300000.0,62000000,33100000.0,1100000.0,0.0,,1283600000.0,,8300000.0,,1100000.0,,,,,,,,,,,,,
2015-09-30,,-53200000.0,400000.0,1283800000.0,-53200000,0.0,,39000000,,-1800000,39000000,8000000.0,-53200000,-246700000.0,,55000000,2200000.0,400000,,39000000,0.0,0,-600000,53200000,,1333600000.0,1291800000.0,,13700000,39000000,11900000.0,0,,,0.0,0.0,102200000,39000000,0,2300000,1800000,39400000,56900000.0,400000,,,1530500000.0,55800000.0,41800000.0,0.0,-1800000,52700000,,41700000.0,62800000,36600000.0,1100000.0,0.0,,1276700000.0,,4800000.0,,1100000.0,,,,,,,,,,,,,
2015-12-31,,519100000.0,500000.0,2291700000.0,519100000,0.0,,89100000,,-346500000,89100000,8300000.0,56200000,-385000000.0,2000000.0,290300000,3600000.0,6900000,,89100000,,0,-7900000,-56200000,,2355500000.0,2300000000.0,,45400000,89100000,195300000.0,0,,,300000.0,,273300000,89400000,0,155800000,164000000,96300000,258000000.0,6900000,,,2676700000.0,252900000.0,55500000.0,0.0,-346500000,134800000,,52000000.0,177000000,50500000.0,5100000.0,0.0,,2097500000.0,,500000.0,,5100000.0,,,,,,,,,,,,,
