date,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyBasicEPS,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeCommonStockholders,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyOperatingExpense,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyCashDividendsPaid,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyOtherNonCashItems,quarterlyTaxProvision,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyDilutedEPS,quarterlyPretaxIncome,quarterlyCapitalExpenditure,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue
1993-03-31,1365900000.0,46400000.0,-1800000,155400000.0,6500000.0,20600000.0,1124500000.0,314028314.0,44500000.0,,201800000.0,18300000,,0.058275,18300000,3100000.0,18300000,0.0,,139100000.0,43200000.0,43200000.0,,,12000000.0,,1000000.0,,-7200000,43200000,6900000.0,-6500000,231600000.0,136800000.0,0.0,16500000,,14600000.0,,,,23300000.0,0.0,32200000.0,496700000.0,45000000,314028314.0,1128400000.0,0,,-435200000.0,987700000.0,900000.0,800000.0,27100000,,,,-20700000,163000000.0,,,,52800000,26100000,0.058275,19100000.0,-9600000,,241400000.0,29800000.0,,20200000,1422900000.0,,,
1993-06-30,1339300000.0,47400000.0,-39700000,118600000.0,6500000.0,47400000.0,1111800000.0,315315315.0,61300000.0,,166000000.0,12600000,,0.03996,12600000,2700000.0,12600000,500000.0,,146200000.0,3600000.0,3600000.0,,,18200000.0,,200000.0,,-21000000,3600000,13500000.0,-6700000,198400000.0,120400000.0,700000.0,3200000,,16400000.0,,,,25900000.0,0.0,31400000.0,496700000.0,43200000,315315315.0,1135100000.0,-100000,,-435200000.0,991400000.0,-2300000.0,900000.0,26700000,,,,-42800000,169100000.0,,,,78800000,24100000,0.03996,13500000.0,-20900000,,227500000.0,32400000.0,,13200000,1426600000.0,,,
1993-09-30,1350300000.0,47800000.0,3800000,120300000.0,6500000.0,27200000.0,1098400000.0,313862249.0,73700000.0,,168100000.0,16200000,,0.051615,16200000,3600000.0,16200000,100000.0,,156200000.0,7300000.0,7300000.0,,,22100000.0,,500000.0,,-10000000,7300000,15300000.0,-6300000,199500000.0,149300000.0,-100000.0,7600000,,14700000.0,,,,24900000.0,0.0,39000000.0,496700000.0,3600000,313862249.0,1145000000.0,100000,,-435200000.0,949100000.0,-13200000.0,400000.0,32200000,,,,-4300000,178800000.0,,300000.0,,66200000,18100000,0.051615,16600000.0,-10500000,,251900000.0,31400000.0,,16900000,1384300000.0,,,
1993-12-31,1352500000.0,58200000.0,-14100000,74900000.0,6600000.0,51400000.0,1105300000.0,,84700000.0,,133100000.0,25900000,,,25900000,4900000.0,25900000,500000.0,,148000000.0,,,,,29900000.0,,700000.0,,-25700000,-6800000,22300000.0,-6500000,182000000.0,110200000.0,4900000.0,33000000,,14500000.0,,,,35500000.0,0.0,56600000.0,496700000.0,7300000,,1164700000.0,0,,-503000000.0,995100000.0,9100000.0,700000.0,49000000,,,,-47200000,198200000.0,,300000.0,,108000000,58800000,,26600000.0,-25800000,,247200000.0,48900000.0,,26700000,1498100000.0,,,
1994-03-31,1366800000.0,59300000.0,25700000,78600000.0,6500000.0,25900000.0,1145200000.0,318780319.0,23700000.0,,137900000.0,13800000,,0.04329,13800000,4200000.0,13800000,500000.0,,162600000.0,18800000.0,18800000.0,,,17600000.0,,300000.0,,-25700000,18800000,10300000.0,-6500000,193400000.0,148800000.0,-6200000.0,33300000,,16500000.0,,,,49000000.0,0.0,31700000.0,496700000.0,-6800000,318780319.0,1173400000.0,-100000,,-503000000.0,996400000.0,34800000.0,700000.0,24400000,,,,-7700000,205400000.0,,1300000.0,,57600000,59000000,0.04329,14500000.0,-25700000,,221600000.0,55500000.0,,14100000,1499400000.0,,,
1994-06-30,1377200000.0,82800000.0,-3900000,61300000.0,6500000.0,58200000.0,1136700000.0,309018696.0,56500000.0,,144100000.0,31900000,,0.10323,31900000,4300000.0,31900000,100000.0,,152500000.0,15000000.0,15000000.0,,,26800000.0,,300000.0,,-11900000,15000000,19800000.0,-6500000,177600000.0,194400000.0,500000.0,18800000,,16500000.0,,,,27000000.0,0.0,59800000.0,496700000.0,18800000,309018696.0,1199600000.0,100000,,-503000000.0,942300000.0,-20800000.0,800000.0,52800000,,,,-22700000,230800000.0,,700000.0,,118000000,30800000,0.10323,32700000.0,-12000000,,240500000.0,33500000.0,,33000000,1445300000.0,,,
1994-09-30,1400500000.0,76200000.0,12200000,61200000.0,6600000.0,34900000.0,1165600000.0,310596311.0,40500000.0,,137400000.0,18100000,,0.058275,18100000,4500000.0,18100000,-900000.0,,150300000.0,27200000.0,27200000.0,,,22100000.0,36400000.0,0.0,,-21400000,27200000,15000000.0,-6500000,189200000.0,229600000.0,100000.0,18400000,,16900000.0,,,,,0.0,41600000.0,496700000.0,15000000,310596311.0,1211300000.0,100000,,-503000000.0,936000000.0,6600000.0,500000.0,34500000,,,,-6300000,242400000.0,,200000.0,,76500000,39900000,0.058275,18600000.0,-21500000,,234900000.0,51800000.0,,19500000,1439000000.0,,,
1994-12-31,1426800000.0,81000000.0,-6700000,61600000.0,6500000.0,56000000.0,1196900000.0,,41100000.0,,142600000.0,17300000,,,17300000,5700000.0,17300000,900000.0,,151700000.0,20500000.0,20500000.0,,,21700000.0,,300000.0,,-47500000,20500000,12400000.0,-6500000,206400000.0,199300000.0,700000.0,-1000000,,16600000.0,,,,47500000.0,0.0,39600000.0,496700000.0,27200000,,1220400000.0,-200000,,-584000000.0,997600000.0,16100000.0,1100000.0,30300000,,,,-5600000,253300000.0,,-200000.0,,95600000,46400000,,18400000.0,-47400000,,229900000.0,63800000.0,,17900000,1581600000.0,,,
1995-03-31,1462100000.0,83400000.0,-8800000,96800000.0,6600000.0,26900000.0,1233800000.0,313356835.0,25700000.0,,180200000.0,12000000,,0.038295,12000000,4700000.0,12000000,-100000.0,,168400000.0,11700000.0,11700000.0,,,19500000.0,,100000.0,,-57500000,11700000,11700000.0,-6500000,234300000.0,216500000.0,1000000.0,-26700000,,22500000.0,,,,37700000.0,0.0,32300000.0,496700000.0,20500000,313356835.0,1227800000.0,-13700000,,-584000000.0,1017300000.0,-6600000.0,600000.0,24500000,,,,31700000,258700000.0,,2000000.0,,59200000,17100000,0.038295,12600000.0,-43800000,,228300000.0,54100000.0,,12800000,1601300000.0,,,
1995-06-30,1516400000.0,84100000.0,-2700000,120700000.0,6600000.0,64700000.0,1246900000.0,311782371.0,50000000.0,,204800000.0,35300000,,0.11322,35300000,4300000.0,35300000,-100000.0,,185100000.0,9000000.0,9000000.0,,,27400000.0,,100000.0,,-81800000,9000000,20000000.0,-6600000,257600000.0,213500000.0,0.0,1300000,,25400000.0,,,,36400000.0,0.0,63900000.0,496700000.0,11700000,311782371.0,1258800000.0,-23600000,,-584000000.0,1033400000.0,4100000.0,1000000.0,56500000,,,,19600000,287400000.0,,2300000.0,,128600000,59500000,0.11322,36300000.0,-58200000,,269500000.0,52800000.0,,36500000,1617400000.0,,,
