date,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetPPE,quarterlyInventory,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherShortTermInvestments,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2009-12-31,2447666759.0,1674550122,1005431426,,1668432646,63467626,,,409312796.0,0.0,0.0,,597739324,1794270,2069908403,663001220,1825089896,912068945,347710038,265483468,6881218.0,0.0,158910242.0,-622576863.0,2063790927,3738341049,,90464169,347710038,680034008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,1919645717,1279677853,,1881796960,70460244,,,545449705.0,0.0,0.0,,529933407,1725456,2216556148,602119107,1923388342,1041579389,332616623,389210443,181224759.0,0.0,0.0,,2178707391,4098353108,85139.0,90652369,332531484,820607957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,3050214142.0,2359399683,1601197296,,2203154626,69980811,,,647011913.0,0.0,0.0,,530262883,1713636,2688155670,601957330,2272640034,1321689469,389597471,557414488,11085320.0,0.0,160496665.0,-777574108.0,2531910613,4891310296,,93673169,389597471,980263434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,2489881383,1843245197,,2565067450,69064244,,,729249932.0,197842.0,0.0,,649942541,2815468,2879756489,721822253,2628036134,1230415922,530017687,807672312,173708554.0,0.0,0.0,,2954942556,5444823939,56139.0,93745169,529961548,935192006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,3996871766.0,3070752932,2080231954,,3324943334,74289746,,,,1292449.0,0.0,,1151334272,1662617,3138594499,1244711380,3022040685,1372221620,714611721,801144261,10445847.0,0.0,184797092.0,-974831081.0,3392784901,6463537833,,93818369,714611721,1209944172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,3391910931.0,3662566885,2325627687,,3436425842,91709053,73500702.0,,746812861.0,898318202.0,91709053.0,56597670.0,994225873,3080953,3854387897,1110798155,3391910931,1346261921,1335846329,1171746491,9889080.0,2251859820.0,86816465.0,,3628246854,7290813739,,99986969,1335846329,1080113329,2079191228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,5339191189.0,3364552997,2733246122,,3703723266,100597180,,0.0,861606838.0,6101567.0,100597180.0,,850317747,4491714,4118917668,970477144,4172654913,1446576241,753586651,1218900525,12954724.0,144469330.0,185167942.0,-1166536276.0,4458087937,7822640934,,99938269,753586651,756599501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,4952729529.0,3747141507,2683411493,,4624330659,102735405,,,896960283.0,2461943.0,102735405.0,,1812450336,6163082,4385182415,1940919166,4952729529,1655520325,774935678,976927694,13959152.0,0.0,0.0,,5262371567,9009513074,,99968269,774935678,952988863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,6704692597.0,3663351819,2910954321,,4726054041,102873484,,0.0,906194887.0,3567270.0,102873484.0,,1705003809,7222427,4646876397,1815099720,5392349613,1642844200,689702649,1032432973,21235148.0,0.0,290468442.0,-1312342984.0,5709578619,9372930438,,99836269,689702649,1116419644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,5734840467.0,3529338680,3383960502,,4856421524,99845295,,,944870908.0,1313587.0,99845295.0,,1362624919,9990808,4718280051,1472461022,5734840467,1497345858,577943634,1738295025,25452576.0,0.0,0.0,,6045362895,9574701575,,99836269,577943634,899458421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
