date,quarterlyDilutedAverageShares,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyCostOfRevenue,quarterlyDepreciationAndAmortization,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyInventory,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyCashDividendsPaid,quarterlyDilutedEPS,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyRepaymentOfDebt,quarterlySaleOfInvestment,quarterlyNetOtherInvestingChanges,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyEbitda,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyNetPPE,quarterlyCurrentAssets,quarterlyPretaxIncome,quarterlyCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyTaxProvision,quarterlyResearchAndDevelopment,quarterlyRetainedEarnings,quarterlyOtherIncomeExpense,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyRepurchaseOfCapitalStock,quarterlyGoodwill,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable
1995-06-30,,,,,,,7159752000,12419514000,2108784000.0,,,,,2108784000,,,517742000.0,,,,,,,4087968000,,,,8331546000,,,,,,,,,,,5259762000,4000000000,,,,,,,,,1979184000,,,,6642010000,6642010000,5259762000,,1979184000,,,,,,949191000,,,,,,,,,,,,,,
1995-12-31,,0.0,,,,246128000.0,8802789000,14326971000,0.0,,2473444000.0,,,2516644000,,1949794000.0,170220000.0,,1207190000.0,,,,,5962142000,,,,8364829000,521288000.0,,,3494046000.0,,3494046000.0,,,,298431000.0,-11000000,4000000000,,,,,,,,,63212000,,,,8138871000,8138871000,5524182000,,3445498000,,,,,,281692000,,,,,,,,,,,,,,
1996-06-30,,,,,,,8716281000,14316604000,2307252000.0,,,,,2307252000,,,647559000.0,,,,,,,5880376000,,,,8436228000,,,,,,,,,,,5600323000,4000000000,,,,,,,,,3573124000,,,,8058839000,8058839000,5600323000,,3573124000,,,,,,353091000,,,,,,,,,,,,,,
1996-12-31,,30171000.0,,,,343665000.0,8753837000,13558230000,0.0,,1909676000.0,,,1925025000,,2553584000.0,70664000.0,,902918000.0,,,,,5262422000,,,,8252520000,455564000.0,,,3057661000.0,,3027490000.0,,,,161378000.0,-6046000,4000000000,,,,,,,,,137517000,,,,8216559000,8216559000,4804393000,,3337397000,,,,,,127617000,,,,,,,,,,,,,,
1997-06-30,,,,,,,8555806000,13450199000,1826422000.0,,,,,1826422000,,,483038000.0,,,,,,,5080577000,,,,8329034000,,,,,,,,,,,4894393000,4000000000,,,,,,,,,3254155000,,,,8063851000,8063851000,4894393000,,3254155000,,,,,,204131000,,,,,,,,,,,,,,
1997-12-31,,420000000.0,,,,285072000.0,8363526000,12889209000,-110000000.0,,1097260000.0,,,989049000,,2899678000.0,47594000.0,,1137713000.0,,,,,4592024000,,,,8257063000,435203000.0,,,2366644000.0,,1946644000.0,,,,245269000.0,-16686000,4000000000,,,,,,,,,208149000,,,,7878895000,7878895000,4525683000,,3602975000,,,,,,118408000,,,,,,,,,,,,,,
1998-06-30,,320000000.0,,,,300452000.0,8684779000,12768073000,-110000000.0,,597720000.0,,,490105000,,3295975000.0,364027000.0,,1126997000.0,,,,,4655280000,,,,8068786000,425046000.0,,,1786937000.0,,1466937000.0,,,,221841000.0,-25306000,4000000000,,,,,,,,,295964000,,,,7938368000,7938368000,4083294000,,4165175000,,,,,,-69869000,,,,,,,,,,,,,,
1998-12-31,,0.0,,,,203929000.0,8634244000,11979890000,-107115000.0,,655852000.0,,,548737000,,2128285000.0,0.0,,796896000.0,,,,,3904586000,,,,8026165000,416558000.0,,,1585914000.0,,1585914000.0,,,,359801000.0,-22254000,4000000000,,,,,,,,,472615000,,,,8228819000,8228819000,3345646000,,3355849000,,,,,,-6472000,,,,,,,,,,,,,,
1999-06-30,,,,,,191108000.0,8349770000,11298950000,-106548000.0,,407775000.0,,,301227000,,1419785000.0,0.0,,771819000.0,,,,,3008698000,,,,8234058000,406913000.0,,,1362404000.0,,1362404000.0,,,,300926000.0,-37511000,4000000000,,,,,,,,,313782000,,,,7975997000,7975997000,2949180000,,2707471000,,,,,,201421000,,,,,,,,,,,,,,
1999-12-31,,0.0,,,,116486000.0,8091351000,11502568000,-110000000.0,,350000000.0,,,243970000,,760000000.0,0.0,,1006768000.0,,,,,3105946000,,,,8340851000,405278000.0,,,1576630000.0,,1576630000.0,,,,234820000.0,-119489000,4000000000,,,,,,,,,599556000,,,,7642558000,7642558000,3411217000,,2861976000,,,,,,144994000,,,,,,,,,,,,,,
