date,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyTaxProvision,quarterlyNetPPE,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyFreeCashFlow,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicAverageShares,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyBasicEPS,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGrossProfit,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyOtherNonCashItems,quarterlyChangeInInventory,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetOtherInvestingChanges,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyDilutedAverageShares,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyStockBasedCompensation,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments
1984-03-31,,,,,,,,91200000,,,,,,,,,,,0.11,,,,,,,,,,,,,823088000.0,,,,,,,,1048700000,,,0.11,,,,,,,,1048700000,,,,,,1048700000,,,,,,,,,823088000.0,,,,,,,,,,,
1984-06-30,,,,,,,,91700000,,,,,,,,,,,0.115,,,,,,,,,,,,,820048000.0,,,,,,,,1121300000,,,0.115,,,,,,,,1121300000,,,,,,1121300000,,,,,,,,,820048000.0,,,,,,,,,,,
1984-09-30,,,,1080200000.0,,151200000.0,,85700000,,,,677200000.0,,130500000.0,,,753500000.0,,,,,,,,,103000000.0,103000000.0,,2979600000.0,1058400000.0,,,153700000.0,,,,207400000.0,,,-2456100000,1110400000.0,,,,,,,,,1368800000.0,1073700000,,,,,,-2456100000,,1822700000.0,225800000.0,,,,884600000.0,1921200000.0,,,1869200000.0,,95300000.0,-615300000.0,65900000.0,,,,,
1984-12-31,,,,,,,,92400000,,,,,,,,,,,0.115,,,,,,,,,,,,,823448000.0,,,,,,,,1077000000,,,0.115,,,,,,,,1077000000,,,,,,1077000000,,,,,,,,,823448000.0,,,,,,,,,,,
1985-03-31,,,,,,,,97300000,,,,,,,,,,,0.12,,,,,,,,,,,,,823352000.0,,,,,,,,1121100000,,,0.12,,,,,,,,1121100000,,,,,,1121100000,,,,,,,,,823352000.0,,,,,,,,,,,
1985-06-30,,,,,,,,103300000,,,,,,,,,,,0.12,,,,,,,,,,,,,887460000.0,,,,,,,,1192700000,,,0.12,,,,,,,,1192700000,,,,,,1192700000,,,,,,,,,887460000.0,,,,,,,,,,,
1985-09-30,,,,1155700000.0,,171000000.0,,97300000,,,,621800000.0,,114600000.0,,,843600000.0,,,,,,,,,88500000.0,88500000.0,,3256800000.0,1171400000.0,,,156800000.0,,,,156000000.0,,,-2746200000,1034600000.0,,,,,,,,,1573200000.0,1163500000,,,,,,-2746200000,,2154300000.0,256800000.0,,,,777800000.0,2085400000.0,,,2222200000.0,,142200000.0,-729600000.0,118000000.0,,,,,
1985-12-31,,,,,,,,99400000,,,,,,,,,,,0.115,,,,,,,,,,,,,887496000.0,,,,,,,,1154700000,,,0.115,,,,,,,,1154700000,,,,,,1154700000,,,,,,,,,887496000.0,,,,,,,,,,,
1986-03-31,,,,,,,,103800000,,,,,,,,,,,0.12,,,,,,,,,,,,,887496000.0,,,,,,,,1260200000,,,0.12,,,,,,,,1260200000,,,,,,1260200000,,,,,,,,,887496000.0,,,,,,,,,,,
1986-06-30,,,,,,,,104600000,,,,,,,,,,,0.12,,,,,,,,,,,,,887496000.0,,,,,,,,1272800000,,,0.12,,,,,,,,1272800000,,,,,,1272800000,,,,,,,,,887496000.0,,,,,,,,,,,
