date,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyOperatingIncome,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyDilutedAverageShares,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyBasicEPS,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyAccumulatedDepreciation,quarterlyBasicAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyDilutedEPS,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue
1984-03-31,,74200000,,74200000,,,,,,,,,,,,,21875000.0,,,,74200000,,,,,,,,,,,0.09,,,,,3000000,,,,,,,,,,,,,,21875000.0,,,,,,,,,,,,,,,,,,0.09,,,,,,,,
1984-06-30,,74200000,,74200000,,,,,,,,,,,,,21875000.0,,,,74200000,,,,,,,,,,,0.09,,,,,3000000,,,,,,,,,,,,,,21875000.0,,,,,,,,,,,,,,,,,,0.09,,,,,,,,
1984-09-30,,74100000,,-196200000,,,,,,58600000.0,,,51100000.0,35600000.0,41200000.0,,,19900000.0,,,-196200000,,23000000.0,,,23000000.0,,,,,,,,19400000.0,0.0,,3000000,,1100000.0,,8500000.0,,,,24000000.0,,,2000000.0,,-12700000.0,,3600000.0,,,,,38400000.0,,,27100000.0,,,,81600000.0,,40400000.0,3500000.0,3500000.0,,,,,,,,,
1984-12-31,,75400000,,75400000,,,,,,,,,,,,,21875000.0,,,,75400000,,,,,,,,,,,0.07,,,,,2300000,,,,,,,,,,,,,,21875000.0,,,,,,,,,,,,,,,,,,0.07,,,,,,,,
1985-03-31,,75400000,,75400000,,,,,,,,,,,,,21875000.0,,,,75400000,,,,,,,,,,,0.07,,,,,2300000,,,,,,,,,,,,,,21875000.0,,,,,,,,,,,,,,,,,,0.07,,,,,,,,
1985-06-30,,75400000,,75400000,,,,,,,,,,,,,21875000.0,,,,75400000,,,,,,,,,,,0.07,,,,,2300000,,,,,,,,,,,,,,21875000.0,,,,,,,,,,,,,,,,,,0.07,,,,,,,,
1985-09-30,,75300000,,-207400000,,,,,,90700000.0,,,80500000.0,51900000.0,55900000.0,,,29000000.0,,,-207400000,,32000000.0,,,38800000.0,,,,,,,,34600000.0,0.0,,2300000,,13300000.0,,14500000.0,,,,25500000.0,,,3000000.0,,-16700000.0,,4200000.0,,,,,63800000.0,,,37400000.0,,,,122700000.0,,66800000.0,2100000.0,2100000.0,,,,,,,,,
1985-12-31,,93800000,,93800000,,,,,,,,,,,,,21875000.0,,,,93800000,,,,,,,,,,,0.22,,,,,4800000,,,,,,,,,,,,,,21875000.0,,,,,,,,,,,,,,,,,,0.22,,,,,,,,
1986-03-31,,93800000,,93800000,,,,,,,,,,,,,21875000.0,,,,93800000,,,,,,,,,,,0.22,,,,,4800000,,,,,,,,,,,,,,21875000.0,,,,,,,,,,,,,,,,,,0.22,,,,,,,,
1986-06-30,,93800000,,93800000,,,,,,,,,,,,,21875000.0,,,,93800000,,,,,,,,,,,0.22,,,,,4800000,,,,,,,,,,,,,,21875000.0,,,,,,,,,,,,,,,,,,0.22,,,,,,,,
1986-09-30,,93800000,,-244600000,,,,,,130000000.0,,,113100000.0,76000000.0,85500000.0,,,47900000.0,,,-244600000,,51000000.0,,,54000000.0,,,,,,,,47900000.0,-100000.0,,4700000,,27100000.0,,21000000.0,,,,32300000.0,,,5100000.0,,-22700000.0,,6200000.0,,,,,90400000.0,,,55000000.0,,,,181000000.0,,95500000.0,4500000.0,4500000.0,,,,,,,,,
1986-12-31,,106000000,,106000000,,,,,,,,,,,,,22167000.0,,,,106000000,,,,,,,,,,,0.31,,,,,6800000,,,,,,,,,,,,,,22167000.0,,,,,,,,,,,,,,,,,,0.31,,,,,,,,
1987-03-31,,105800000,,105800000,,,,,,,,,,,,,22589000.0,,,,105800000,,,,,,,,,,,0.11,,,,,2500000,,,,,,,,,,,,,,22589000.0,,,,,,,,,,,,,,,,,,0.11,,,,,,,,
1987-06-30,,105100000,,105100000,,,,,,,,,,,,,22589000.0,,,,105100000,,,,,,,,,,,0.04,,,,,900000,,,,,,,,,,,,,,22589000.0,,,,,,,,,,,,,,,,,,0.04,,,,,,,,
1987-09-30,,104900000,,-295900000,,,,,,181200000.0,,,161200000.0,112400000.0,112500000.0,,,17700000.0,,,-295900000,,67900000.0,,,68800000.0,,,,,,,,61300000.0,-200000.0,,200000,,45700000.0,,51800000.0,,,,40100000.0,,,6400000.0,,-31000000.0,,7700000.0,,,,,130200000.0,,,60600000.0,,,,249100000.0,,136600000.0,3400000.0,3400000.0,,,,,,,,,
1987-12-31,,98500000,,98500000,,,,,,,,,,,,,22589000.0,,,,98500000,,,,,,,,,,,-0.23,,,,,-5300000,,,,,,,,,,,,,,22589000.0,,,,,,,,,,,,,,,,,,-0.23,,,,,,,,
1988-03-31,,119900000,,119900000,,,,,,,,,,,,,22589000.0,,,,119900000,,,,,,,,,,,-0.32,,,,,-7300000,,,,,,,,,,,,,,22589000.0,,,,,,,,,,,,,,,,,,-0.32,,,,,,,,
1988-06-30,,132500000,,132500000,,,,,,,,,,,,,22589000.0,,,,132500000,,,,,,,,,,,0.06,,,,,1300000,,,,,,,,,,,,,,22589000.0,,,,,,,,,,,,,,,,,,0.06,,,,,,,,
1988-09-30,,155500000,,-352000000,,,,,,223000000.0,,,191900000.0,99800000.0,128800000.0,,,18100000.0,,,-352000000,,68200000.0,,,123200000.0,,,,,,,,112700000.0,0.0,,3500000,,32900000.0,,42100000.0,,,,57600000.0,,,12800000.0,,-42300000.0,,10500000.0,,,,,149600000.0,,,57700000.0,,,,291200000.0,,162400000.0,5100000.0,5100000.0,,,,,,,,,
1988-12-31,,149900000,,149900000,,,,,,,,,,,,,22589000.0,,,,149900000,,,,,,,,,,,0.04,,,,,900000,,,,,,,,,,,,,,22589000.0,,,,,,,,,,,,,,,,,,0.04,,,,,,,,
1989-03-31,,158000000,,158000000,,,,,,,,,,,,,22589000.0,,,,158000000,,,,,,,,,,,0.07,,,,,1600000,,,,,,,,,,,,,,22589000.0,,,,,,,,,,,,,,,,,,0.07,,,,,,,,
1989-06-30,,176200000,,176200000,,,,,,,,,,,,,22589000.0,,,,176200000,,,,,,,,,,,0.6,,,,,13600000,,,,,,,,,,,,,,22589000.0,,,,,,,,,,,,,,,,,,0.6,,,,,,,,
