date,quarterlyGoodwill,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyStockholdersEquity,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2008-12-31,,,24782435000,1718642000.0,46481341000,,10895097000,12500198000,3538906000,4309904000,27443922000,,18695819000,336015000,6604346000.0,1605101000,1814447000,1814447000,8281816000,13336224000.0,0.0,-460761000.0,,5403356000,21698906000,14943724000,5864117000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,,,24066227000,2553964000.0,60871679000,0.0,14673309000,16410273000,4525668000,5058605000,37229284000,,21265743000,361335000,4658973000.0,1736964000,8973913000,8973913000,11957074000,21894874000.0,0.0,,311650000.0,5236243000,36805452000,20819011000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,,,31640613000,,66527583000,0.0,16594590000,18419537000,3932306000,10182146000,41010498000,,23347874000,361938000,5408643000.0,1824947000,7479341000,7479341000,13580580000,18899789000.0,0.0,-712633000.0,,5891602000,34886970000,22590961000,6604235000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,,36763404000,,77526765000,0.0,24613758000,26564733000,4580050000,11987794000,50401187000,,24576748000,362111000,5229357000.0,1950975000,9329844000,9329844000,14216628000,22120035000.0,0.0,-141003000.0,463801000.0,5978608000,40763361000,23836454000,6119611000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,,,40874204000,,95669315000,0.0,24695507000,27065716000,9376655000,11750131000,65715331000,,26698834000,362384000,4852851000.0,2370209000,12139549000,12139549000,23475811000,30602964000.0,0.0,-969856000.0,,6553628000,54795111000,38649615000,7523484000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,,40370096000,6879571000.0,104776022000,0.0,29369210000,32101487000,8076279000,3238486000,71295602000,,29252339000,362545000,4978093000.0,2732277000,11405433000,11405433000,24797393000,31835977000.0,0.0,,,7377665000,64405926000,39194115000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,,,44034957000,5923676000.0,117242541000,0.0,27577834000,30750649000,14983419000,3205665000,82224464000,,30591680000,355737000,4739095000.0,3172815000,12312740000,12312740000,29177140000,46639868000.0,52115000.0,-1239550000.0,19543620000.0,8325789000,73207584000,51473815000,9565339000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,,,49489203000,8270100000.0,123453921000,0.0,25852054000,29464344000,15333766000,3272583000,85476967000,,33246434000,356275000,4781226000.0,3612290000,13771826000,13771826000,17070557000,38933168000.0,15659194000.0,,,9318142000,73964718000,56012623000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,-124102000.0,,52221579000,2407832000.0,130827795000,0.0,28613297000,32388875000,12380644000,757250000,89900563000,37608942000.0,35907150000,356275000,2264027000.0,3775578000,15893845000,15893845000,11595770000,2204028000.0,0.0,-1551793000.0,25184893000.0,14419967000,78606216000,57511688000,15971760000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,,,54894282000,3123593000.0,152535545000,0.0,34755767000,38726668000,10796238000,2093974000,108747325000,51729510000.0,37805689000,356275000,6929938000.0,3970901000,16872616000,16872616000,12318781000,2072114000.0,0.0,,,15182583000,97641263000,70020657000,15182583000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
