date,quarterlyStockholdersEquity,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyRepaymentOfDebt,quarterlySaleOfInvestment,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,quarterlyDilutedEPS,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCapitalExpenditure,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyDilutedAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyCurrentLiabilities,quarterlyEbitda,quarterlyOtherNonCashItems,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyDepreciationAndAmortization,quarterlyBasicEPS,quarterlyGoodwill,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlySellingGeneralAndAdministration,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyPurchaseOfInvestment,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyEndCashPosition,quarterlyNetIncome,quarterlyInventory,quarterlyNetIncomeContinuousOperations,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInInventory,quarterlyCashDividendsPaid,quarterlyOtherIncomeExpense,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable
2001-12-31,5070546337.0,,573959014.0,1339135906.0,,,,,0.0,973787105.0,120957661.0,,2180700000,,,,,,,,,,4505447900.0,1397616490.0,,,4505447900.0,630020098.0,,,,,62087710.0,365348801.0,120000000.0,,1275085684.0,,,815449.0,,,,6995999210.0,5598382720.0,,,549059904.0,298294473.0,,,306000000.0,,,100000000.0,,,5989324.0,,,,1905105782.0,,,,,,,,,,,,,,,
2002-03-31,5166636247.44,19002811.27,568203686.8,1039839442.41,,,,,0.0,921117903.48,88101094.21,0.036407,2180700000,,,,,95973629.98,150488523.86,,,,4555924152.47,1099996714.72,101597729.81,,4555924152.47,575026805.69,109082339.14,,4051813.39,,158177620.37,118721538.93,7728047.1,,977296178.72,,35512082.61,2099208.66,,0.036407,,6740504931.13,5640508216.41,,11348859.17,274416815.44,262432571.0,96089909.5,,306000000.0,,7484609.33,220000000.0,,96089909.5,6143426.85,97545916.42,,114976441.25,1552322984.41,,,,,,,,,,,,,,,
2002-06-30,5261724628.0,29201470.73,562448360.0,927446172.0,,,,,0.0,832660552.0,78142820.0,,2180700000,,,,,94722480.02,160832987.14,,,,4599767148.0,980186060.0,100715044.19,,4599767148.0,658838906.0,108367466.86,,4127170.61,,253266001.0,94785620.0,6545401.0,,711958375.0,,36909036.39,958534.0,,,,6655567101.0,5675381041.0,,20872628.83,24418290.0,255185219.0,95088381.5,,306000000.0,,7652422.67,470000000.0,,95088381.5,5728889.0,96587873.58,,123923950.75,1370797281.0,,,,,,,,,,,,,,,
2002-09-30,5352087471.54,22639812.97,556693032.7,860131001.28,,,,,0.0,796140332.05,73747333.82,,2180700000,,,,,112223002.62,172718213.29,,,,4642509840.83,919238578.1,125442423.33,,4642509840.83,547629361.5,121860260.33,,33687897.93,,343628844.47,63990669.23,5075015.83,,703920721.56,,37855397.7,1789006.76,,,,6628974428.76,5709735850.66,,13808970.15,24418290.5,247504684.0,90362842.6,,306000000.0,,-3582163.0,410000000.0,,90362842.6,5617274.2,91754525.4,,134862815.59,1251550083.06,,,,,,,,,,,,,,,
2002-12-31,5160312772.0,37252344.03,550937706.0,977520897.0,,,,,0.0,977520897.0,95953763.0,,2180700000,,,,,78512904.38,169742961.71,,,,4687033550.0,1025318059.0,77802879.67,,4687033550.0,1023886904.0,91175063.67,,6274471.07,,28067974.0,0.0,12390266.0,,716149665.0,,53977713.3,2249094.0,,,,6922502651.0,5897184592.0,,28570225.85,24418881.0,240311883.0,69812785.4,,416000000.0,,13372184.0,610000000.0,,69812785.4,6006430.0,71528408.6,,115765248.41,1740036569.0,,,,,,,,,,,,,,,
2003-03-31,5252357709.0,22846774.0,545182378.0,833100752.0,,-713035986.0,,-38751851.0,0.0,833100752.0,112775704.0,0.034874,2180700000,775520897.0,-121074133.0,-5188971.0,,104424736.0,166585463.0,,-144420145.0,119849674.0,5111126112.0,900288324.0,106668187.0,,5111126112.0,987366014.0,147644115.0,8798960.0,13215731.0,,120112911.0,0.0,10484840.0,,959027016.0,,39313953.0,3682509.0,32948150.0,0.034874,,7222062452.0,6321774128.0,-1224459.0,14253137.0,275224507.0,231769491.0,92044936.0,,461328809.0,0.0,8027778.0,78000000.0,631100752.0,92044936.0,6523371.0,93452456.0,322674016.0,127271510.0,1946393030.0,-421457.0,-9598430.0,,,,,,,,,,,,,
2003-06-30,5866866029.0,17257084.0,412925238.0,695552489.0,,-51219906.0,,-67755436.0,0.0,695552489.0,205725249.0,,2180700000,631100752.0,-55567843.0,86228405.0,,78221680.0,123125821.0,,-125548263.0,70249883.0,4100778699.0,1301446118.0,731946377.0,,4100778699.0,574196478.0,759497280.0,2343124.0,115128828.0,,735521231.0,0.0,4081939.0,,979532554.0,,27647057.0,3197078.0,20692719.0,,,7443714537.0,6142268419.0,14682040.0,10911793.0,277304920.0,224810750.0,615408321.0,,1441501473.0,30000000.0,6858184.0,205000000.0,505552489.0,615408321.0,6178937.0,616817549.0,-111912808.0,95478764.0,1553729032.0,-376772.0,-252773612.0,,,,,,,,,,,,,
2003-09-30,5960780480.0,23075382.19,408515671.0,783226826.0,,-10566947.0,196252567.0,-11743433.0,0.0,783226826.0,154722022.0,0.034566,2180700000,505552489.0,-60130370.0,-13713890.0,,97221052.95,154646829.51,,277674336.0,121181063.0,4086649454.0,1383092701.0,110411387.3,,4086649454.0,505697716.0,153627839.61,2485724.0,16994078.77,,829435682.0,0.0,2858646.0,,1007016298.0,,34350394.37,2656832.0,40413133.0,0.034566,,7498785421.0,6115692720.0,61050693.0,15178698.16,255372590.0,220089631.0,91231936.05,,1435648124.0,50000000.0,2803319.31,205000000.0,783226825.0,91231936.05,5620991.0,93417308.53,124422206.0,120296435.14,1512714014.0,1183668.0,-28113922.0,,,,,,,,,,,,,
2003-12-31,5952865584.17,66266859.32,404106105.45,1317391402.04,65893243.33,-189706291.0,-111520082.9,249395416.53,0.0,1317391402.04,148168178.42,,2180700000,783226825.0,41434829.72,14031372.87,,57149359.56,160008257.55,,464164577.09,120210769.09,4024733592.69,2304207693.08,49892645.92,,4024733592.69,368356792.38,82853630.05,3895412.85,-2438147.89,,644213821.28,0.0,3081967.73,,762795613.27,,36592038.67,4511407.18,19553682.09,,,7105308870.56,4801101177.48,161645598.81,58181767.59,256297837.46,354472114.27,50669401.31,,158640673.49,-26686064.37,13407302.04,40000000.0,1247391402.04,50669401.31,6379772.29,52330793.81,537027042.78,123416218.88,1131152405.65,-758781.63,2832711.77,,,,,,,,,,,,,
2004-03-31,5628598711.84,22066949.54,399696539.4,1315370621.13,69114654.94,-263381155.54,9997297.77,-27886284.42,0.0,1315370621.13,134483646.6,0.034144,2180700000,1247391402.04,-46292617.3,-1061553.26,,98710235.72,152274193.76,,-2020780.91,112146551.75,4029371580.25,2341870194.95,108830651.42,,4029371580.25,955397797.52,137291822.67,139290.78,17073694.56,,319996582.2,0.0,3082116.58,,528728781.09,,31497008.5,6096430.72,28388085.63,0.034144,,7135605270.48,4793735075.53,65853934.45,14280624.69,30989579.6,342900291.88,90115760.92,,153672420.14,0.0,73085.62,220000000.0,1245370621.13,90115760.92,6679378.25,91756956.86,-64181603.95,120777185.26,1484126578.61,-299605.96,-6353822.18,,,,,,,,,,,,,
