date,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyPurchaseOfInvestment,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyLongTermDebt,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyAccountsReceivable,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyOperatingIncome,quarterlyCommonStockIssuance,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyNetPPE,quarterlyBasicEPS,quarterlyDeferredIncomeTax,quarterlyBasicAverageShares,quarterlyAccumulatedDepreciation,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGoodwill,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable,quarterlyCurrentDeferredRevenue,quarterlyCurrentAccruedExpenses,quarterlyNonCurrentDeferredRevenue
2013-03-31,,-16433000,,,,,,,,536000,,-172000.0,,,8107000,-3715000,,9453000,536000,,2274000,536000,,-60000.0,2299000,,-34486000,20381000,6804000,,,117814000.0,,,13673000,0.00455,-27739000,,,,-1687000,,,1521000,-34486000,2550000,23141000,,7154000,,11033000,,,0.006257,347000,85668000.0,,16257000,,18053000,,6708000,733000,871000,335000,0,,6757000,,,,,,,,,
2013-06-30,,-51983000,,,,,,,,11145000,,-334000.0,,,-8548000,617000,,15770000,11145000,,1923000,11145000,,-259000.0,1959000,,-61698000,15118000,10804000,,,117814000.0,,,20381000,0.094598,-53332000,,,,-41742000,,,-2790000,-61698000,2931000,46720000,,13811000,,-5000000,,,0.130095,335000,85668000.0,,26574000,,9715000,,-5263000,502000,11492000,347000,0,,19366000,,,,,,,,,
2013-09-30,,-91773000,,,,,,,,11926000,,-845000.0,,,-7666000,-5665000,,24524000,11926000,,3635000,11926000,,-45000.0,3683000,,-94598000,18814000,12916000,,,117814000.0,,,15118000,0.101227,-78076000,,,,-100616000,,,-11638000,-95348000,2878000,94719000,,20841000,0.0,-8990000,,,0.139212,358000,85668000.0,,37440000,,3575000,,3696000,1713000,12284000,358000,0,0.0,22921000,,,,,,,,,
2013-12-31,0.0,-212937000,443027000.0,,137326000.0,191497000.0,77158000.0,742556000.0,605230000.0,-17678000,,-1211000.0,1774000.0,634524000.0,65639000,-1478000,3078000.0,19466000,3903000,0.0,8649000,3903000,2572000.0,-503000.0,8721000,429970000.0,-234829000,19393000,21281000,,15202000.0,,108032000.0,,18814000,,-50712000,,19393000.0,19393000.0,-110055000,1123000.0,,-64179000,-234829000,4376000,213516000,227000.0,10745000,0.0,810000,158385000.0,586883000.0,,866000,,-36322000.0,40747000,623205000.0,21892000,4435000.0,579000,593000,4769000,866000,1233000,,21259000,,,,,,,,,
2014-03-31,0.0,-110835000,548653000.0,,152807000.0,198289000.0,78880000.0,857485000.0,704678000.0,850000,,-8801000.0,1893000.0,746942000.0,25209000,-11031000,3482000.0,29348000,1983000,0.0,8155000,1983000,3117000.0,-403000.0,8247000,532673000.0,-120820000,2398000,28382000,,24892000.0,117814000.0,110543000.0,,19393000,0.01,-92772000,,2398000.0,2398000.0,-367906000,1021000.0,,-31576000,-120820000,7210000,93840000,402000.0,21101000,,-5538000,163876000.0,670487000.0,0.01,545000,85668000.0,-54715000.0,57730000,725202000.0,9985000,4443000.0,-16995000,1581000,2528000,545000,529000,,28130000,,,,,,,,,
2014-06-30,0.0,-363270000,671493000.0,1265000.0,629879000.0,174680000.0,113033000.0,1746231000.0,1116352000.0,-38646000,,-3360000.0,1715000.0,846173000.0,-48338000,-14555000,3865000.0,46679000,-37489000,35892000.0,57796000,-38646000,41027000.0,-384000.0,57913000,558460000.0,-406878000,523519000,35625000,,36864000.0,32453000.0,900058000.0,1253000.0,2398000,-1.19,-101569000,,523519000.0,523519000.0,-330072000,106360000.0,,48341000,-406878000,9906000,884391000,435000.0,-11234000,,4457000,136693000.0,1080460000.0,-1.19,1794000,32453000.0,-75160000.0,82304000,1155620000.0,43608000,1351000.0,521121000,67000,-35695000,1794000,50853000,,-25789000,,,,,,,,,
2014-09-30,0.0,20507000,677785000.0,18132000.0,224633000.0,192453000.0,120855000.0,1795942000.0,1571309000.0,16867000,,0.0,2162000.0,870238000.0,-33870000,9229000,4015000.0,47197000,26254000,51195000.0,10641000,16867000,50591000.0,-150000.0,10786000,556930000.0,-407643000,132759000,36420000,,38096000.0,125421000.0,925704000.0,1253000.0,523519000,0.18,-407643000,,132759000.0,132759000.0,-2910000,91874000.0,,14461000,-407643000,10014000,-3624000,476000.0,36411000,-715000.0,-25220000,151120000.0,1520114000.0,0.18,9372000,93168000.0,-95531000.0,83617000,1615645000.0,20507000,1541000.0,-390760000,19473000,35626000,9372000,910000,0.0,45640000,,,,,,,,,
2014-12-31,0.0,110883000,837665000.0,61352000.0,204161000.0,220865000.0,160820000.0,2051079000.0,1846918000.0,43220000,,-386000.0,2121000.0,1058530000.0,24878000,89262000,3767000.0,27224000,65969000,86056000.0,11707000,43220000,62334000.0,248000.0,15001000,676845000.0,-312336000,50550000,50882000,,22700000.0,,992549000.0,1253000.0,132759000,,-312336000,,50550000.0,50550000.0,122000,153611000.0,,14146000,-312508000,10759000,119244000,650000.0,12223000,6726000.0,46184000,139922000.0,1760862000.0,,24757000,,-130931000.0,78106000,1891793000.0,110883000,29326000.0,-82209000,-1270000,90726000,24757000,1005000,0.0,101485000,,,,,,,,,
2015-03-31,0.0,17988000,703131000.0,44328000.0,148702000.0,190301000.0,146645000.0,2080996000.0,1932294000.0,-17024000,-925000.0,0.0,3133000.0,893432000.0,-22865000,2150000,4342000.0,-3063000,-23558000,62580000.0,13113000,-17024000,62755000.0,-575000.0,16581000,556486000.0,-145144000,27236000,58274000,,19672000.0,101273000.0,1187564000.0,1402000.0,50550000,-0.17,-145144000,,27236000.0,27236000.0,-120165000,121466000.0,,4547000,-144219000,11538000,103842000,655000.0,-19644000,224007000.0,-18113000,120859000.0,1869714000.0,-0.17,-5474000,101273000.0,-168270000.0,55211000,2037984000.0,17988000,17360000.0,-23314000,59659000,-29032000,-5474000,1641000,,-17494000,,,,,,,,,
2015-06-30,0.0,60639000,735018000.0,25199000.0,102361000.0,174732000.0,133779000.0,2075762000.0,1973401000.0,-19129000,0.0,0.0,0.0,909750000.0,7721000,-19086000,0.0,9558000,-26180000,46500000.0,14437000,-19129000,57320000.0,4342000.0,16196000,601239000.0,-110794000,21098000,68302000,,26219000.0,108058000.0,1166012000.0,1402000.0,27236000,-0.18,-110794000,,21098000.0,21098000.0,44093000,81263000.0,,14604000,-109576000,10672000,44017000,717000.0,-6638000,-76000.0,23563000,113538000.0,1926901000.0,-0.18,-10216000,108058000.0,-212704000.0,77860000,2139605000.0,60639000,9313000.0,-6138000,63256000,-36396000,-10216000,2112000,,-25724000,,,,,,,,,
2015-09-30,0.0,31853000,703976000.0,26108000.0,233116000.0,234399000.0,147815000.0,2321271000.0,2088155000.0,909000,,-42000.0,0.0,938375000.0,-1604000,35011000,0.0,-453000,2643000,57147000.0,16148000,909000,58115000.0,0.0,20392000,556161000.0,-101605000,123118000,64687000,,23194000.0,109592000.0,1382896000.0,1551000.0,21098000,0.01,-101605000,0.0,123118000.0,123118000.0,-45220000,109998000.0,,-2701000,-112987000,10966000,171772000,868000.0,-20845000,217069000.0,-10406000,158006000.0,2031008000.0,0.01,557000,109218000.0,-258713000.0,64234000,2289721000.0,31853000,20149000.0,102020000,39616000,3200000,557000,2102000,0.0,14166000,,,,,,,,,
2015-12-31,0.0,61810000,699054000.0,10868000.0,488326000.0,228497000.0,143130000.0,2514192000.0,2025866000.0,-15240000,,0.0,0.0,927551000.0,9461000,-4907000,0.0,1021000,-25936000,40113000.0,12508000,-15240000,62962000.0,0.0,19424000,555924000.0,-69622000,343084000,67731000,,21219000.0,,1586641000.0,1681000.0,123118000,,-69622000,0.0,343084000.0,343084000.0,-640000,145242000.0,,11328000,-109330000,11248000,227778000,951000.0,-18403000,228418000.0,3062000,151221000.0,1985753000.0,,-8622000,,-297661000.0,68752000,2283414000.0,61810000,34518000.0,219966000,84684000,-34558000,-8622000,2278000,0.0,-23310000,,,,,,,,,
2016-03-31,0.0,-314554000,677716000.0,-8427000.0,172541000.0,215033000.0,131789000.0,2456534000.0,2283993000.0,-19354000,,-1000.0,0.0,892749000.0,3889000,2292000,,-5209000,-25691000,4622000.0,19299000,-19354000,53335000.0,0.0,21053000,546817000.0,-334459000,28310000,67477000,,26195000.0,135963000.0,1247967000.0,1681000.0,343084000,-0.14,-334459000,,28310000.0,28310000.0,-236000,18346000.0,,-15590000,-334459000,10707000,-220000,997000.0,-26262000,36000.0,-27454000,142856000.0,2259252000.0,-0.14,-9568000,135963000.0,-347126000.0,62268000,2606378000.0,19905000,30610000.0,-314774000,567000,-35259000,-9568000,2759000,-19000.0,24832000,,,,,,,,,
2016-06-30,0.0,-441616000,874183000.0,-29804000.0,590799000.0,225806000.0,2000.0,3290194000.0,2699395000.0,-21377000,,-4560000.0,0.0,1099989000.0,8499000,-27941000,,29711000,-27488000,4110000.0,17307000,-21377000,51057000.0,0.0,28151000,742471000.0,-473516000,441024000,76599000,,47764000.0,158662000.0,1823867000.0,1986000.0,28310000,-0.13,-473516000,,441024000.0,441024000.0,-267000,30601000.0,,-37276000,-473516000,11719000,854330000,1168000.0,1560000,659351000.0,-44109000,157334000.0,2675114000.0,-0.13,-10918000,158662000.0,-396647000.0,106310000,3071761000.0,31900000,18672000.0,412714000,820000,-38406000,-10918000,3391000,-194000.0,29301000,,,,,,,,,
2016-09-30,0.0,-339392000,1077324000.0,-32510000.0,692491000.0,216554000.0,2000.0,3756472000.0,3063981000.0,-2706000,,-4488000.0,0.0,1293878000.0,15780000,-422000,,42126000,-1641000,3564000.0,24695000,-2706000,6536000.0,0.0,29218000,942726000.0,-462789000,571762000,90539000,,45685000.0,173241000.0,2118574000.0,2077000.0,441024000,-0.02,-462789000,0.0,571762000.0,571762000.0,-310000,25713000.0,,29630000,-462789000,15038000,470130000,1543000.0,12908000,270928000.0,57944000,132749000.0,3032568000.0,-0.02,-1279000,173241000.0,-462531000.0,132665000,3495099000.0,123397000,21122000.0,130738000,864000,-2920000,-1279000,3316000,0.0,77859000,,,,,,,,,
