date,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyBasicEPS,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyTaxProvision,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyOperatingExpense,quarterlyAccountsReceivable,quarterlyCapitalStock,quarterlyDilutedAverageShares,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyCurrentDebt,quarterlyTotalNonCurrentAssets,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyChangeInInventory,quarterlyCashDividendsPaid,quarterlyEbitda,quarterlyDilutedEPS,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyGoodwill,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyStockholdersEquity,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyBasicAverageShares,quarterlyNonCurrentDeferredRevenue,quarterlyInvestmentsAndAdvances,quarterlyResearchAndDevelopment
1999-03-31,42800000,0.0,130900000,200000.0,0.19,-57200000,6600000,6600000,-71200000,1900000,265900000,200000,7300000,12200000.0,324000000,,233500000,190200000.0,,326500000,142800000,,,36666667.0,-128400000,28400000,6600000,1292500000,30300000,30300000,,,216400000,495300000,6600000.0,186600000.0,13500000,,-80000000,905600000,175300000,,,162600000,,,,19800000,489100000,-38800000,-3000000,33300000,0.18,100000.0,,0,-71200000,-100000.0,323700000,,354400000,,13900000,,374300000,797200000,129300000,581900000,0.0,,68300000,,78000000,34736842.0,,,
1999-06-30,50800000,0.0,90800000,500000.0,0.65,8100000,23600000,23600000,-95000000,4100000,294300000,600000,15500000,9600000.0,341300000,,305500000,213400000.0,,393000000,151900000,,400000.0,36875000.0,-86900000,0,23600000,1504400000,34400000,34400000,,,270800000,593600000,8500000.0,248500000.0,13400000,,-26700000,1069200000,187000000,,,198800000,-10200000.0,,640100000.0,46900000,591800000,10700000,-3100000,60300000,0.64,,,34400000,-94600000,-100000.0,398000000,,374900000,,39100000,,422400000,910800000,138500000,671200000,0.0,,77600000,-345800000.0,82900000,36307692.0,,,
1999-09-30,52900000,0.0,47900000,141100000.0,0.65,66500000,27300000,27300000,-113100000,6700000,302300000,-400000,17000000,12700000.0,327100000,,309500000,216100000.0,,444800000,169600000,,500000.0,42656250.0,-46600000,34400000,27300000,1609400000,41100000,41100000,,,182700000,678300000,9100000.0,323100000.0,14900000,,20200000,1007200000,200100000,3200000.0,,224300000,-11100000.0,,666900000.0,54700000,669100000,16200000,-3800000,69600000,0.64,,,41100000,-107900000,0.0,408300000,,398400000,,44300000,,587000000,931100000,154700000,598900000,4900000.0,,78500000,-364600000.0,86100000,42000000.0,,,
1999-12-31,71800000,-100000.0,69100000,100000.0,,53200000,15700000,15700000,-131100000,-11900000,330000000,-100000,10300000,900000.0,345400000,,520300000,210100000.0,,395600000,181500000,,500000.0,,-77900000,41100000,15700000,1683700000,29200000,29200000,,,56800000,796100000,8900000.0,394300000.0,15600000,,18000000,1071700000,196100000,2300000.0,,216100000,-15500000.0,,695300000.0,34600000,611700000,2600000,-4300000,50200000,,0.0,,29200000,-133700000,-12300000.0,608700000,,409900000,,26000000,,597900000,887600000,165900000,463000000,-8300000.0,,69900000,-365300000.0,87500000,,,,
2000-03-31,68190000,0.0,195422000,,0.1,8723000,5740000,5740000,-17470000,2791000,371267000,-229000,5310000,518000.0,409464000,,726733000,249295000.0,,466669000,226172000,,595000.0,57400000.0,-8747000,29174000,5740000,2138103000,31965000,31965000,,,59796000,1078018000,12750000.0,638561000.0,20892000,,-17645000,1386711000,263573000,-2150000.0,,249655000,-26508000.0,,777767000.0,23483000,716324000,-38846000,-5453000,44375000,0.1,,,31965000,-200807000,-97000.0,814047000,,410138000,,11050000,,738485000,1060085000,205280000,572664000,0.0,,81582000,-406500000.0,86796000,57400000.0,,,
2000-06-30,63902000,0.0,-51831000,,0.56,106080000,32277000,32277000,-15679000,15359000,369965000,-517000,21657000,879000.0,395056000,,676344000,261359000.0,,574415000,250061000,505998000.0,595000.0,57637500.0,90401000,31965000,32277000,2123068000,47323000,47323000,,,62477000,1086882000,15242000.0,653015000.0,21453000,,52032000,1362130000,270728000,111000.0,,319785000,-33314000.0,,786669000.0,69724000,894200000,13542000,-5457000,91177000,0.56,,,47323000,-38669000,0.0,767566000,,436962000,,53934000,,758883000,1036186000,228608000,594564000,0.0,,87809000,-416704000.0,90343000,57637500.0,,,
2000-09-30,65961000,0.0,-11140000,717000.0,0.22,35959000,12386000,12386000,-6600000,-1851000,355642000,-497000,8790000,500000.0,380427000,,670233000,266561000.0,,560940000,260949000,475360000.0,597000.0,56300000.0,29359000,47323000,12386000,2079815000,45473000,45473000,,,68408000,1098221000,13968000.0,676618000.0,22673000,,4588000,1335401000,241597000,-3351000.0,,296678000,-45328000.0,,783583000.0,35729000,857618000,7579000,-5353000,58402000,0.22,,,45473000,-26084000,-15435000.0,758835000,,443993000,,21176000,,742404000,981594000,238276000,576566000,-1029000.0,,80334000,-427941000.0,88102000,56300000.0,,,
2000-12-31,60181000,0.0,-62075000,0.0,,94331000,8655000,8655000,-18557000,-4840000,354172000,-599000,6135000,941000.0,359531000,,627550000,266795000.0,,520535000,229005000,,604000.0,,75774000,45473000,8655000,2055031000,40633000,40633000,,,62917000,1153821000,14233000.0,739468000.0,19391000,,82485000,1309916000,260208000,-15640000.0,,258680000,-43531000.0,,792325000.0,29675000,779215000,14401000,0,49066000,,,,40633000,-37320000,-9784000.0,719996000,,447377000,,14790000,,743057000,901210000,209614000,589920000,0.0,,101910000,-438153000.0,91505000,,,,
2001-03-31,57769000,0.0,-17013000,1036000.0,-0.18,8150000,-10248000,-10248000,-5036000,-15144000,335888000,-663000,-7270000,1058000.0,374156000,,610162000,13486000.0,251206000.0,502381000,217556000,360822000.0,605000.0,56933333.0,3114000,40633000,-10248000,1990526000,25489000,25489000,,,60740000,1119926000,12777000.0,726269000.0,21741000,,-4355000,1285566000,257408000,-150000.0,,213585000,-71569000.0,,774041000.0,-3971000,715966000,-23814000,-5274000,17770000,-0.18,,,25489000,-5680000,-214000.0,702726000,,431796000,,-17518000,,702995000,870600000,217556000,582840000,0.0,,62020000,-438153000.0,91506000,56933333.0,,,
2001-06-30,56794000,0.0,-69108000,122000.0,-0.12,69021000,-7011000,-7011000,-3556000,-1164000,319889000,-37715000,1129000,1046000.0,356291000,,538825000,12692000.0,296114000.0,583208000,221778000,391429000.0,605000.0,58425000.0,65465000,25489000,-7011000,1995112000,24325000,24325000,,,75140000,1116819000,11501000.0,740136000.0,20798000,,18371000,1293587000,274712000,208000.0,,265138000,-62761000.0,,758042000.0,43360000,848346000,19708000,-10668000,64158000,-0.12,,,24325000,-1182000,0.0,634929000,,419450000,,-5882000,,699578000,878293000,221778000,658658000,0.0,,57935000,-438153000.0,95058000,58425000.0,,,
