date,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeCommonStockholders,quarterlyDilutedEPS,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyOtherNonCurrentLiabilities,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherIncomeExpense,quarterlyBasicAverageShares,quarterlyOtherNonCurrentAssets,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyNetOtherInvestingChanges,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyChangesInAccountReceivables,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyOperatingIncome,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyEbitda,quarterlyPretaxIncome,quarterlyRepurchaseOfCapitalStock,quarterlyNetPPE,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedAverageShares,quarterlyStockBasedCompensation,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyInventory,quarterlyOtherShortTermInvestments,quarterlyResearchAndDevelopment
1984-03-31,,,,,,,,,-0.0225,,,,,,,,,,,-1800000,,,79344000.0,,,,,,,,,,,,,,,-0.0225,,,,,,,,,,,,,41400000,,,,,,41400000,,,,,,,41400000,,,,,,,79344000.0,,,,,,
1984-06-30,,,,,,,,,-0.02,,,,,,,,,,,-1500000,,,79344000.0,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,39400000,,,,,,39400000,,,,,,,39400000,,,,,,,79344000.0,,,,,,
1984-09-30,,16200000.0,15900000.0,,79200000.0,70800000.0,,,,31800000.0,111000000.0,,,12400000.0,,86700000.0,,,,-5900000,,,,13100000.0,3500000.0,,,,,,,,,,3400000.0,,,,,,24300000.0,24000000.0,,,,,7700000.0,7700000.0,,27800000.0,-139200000,,,,34000000.0,,53800000,,-18700000.0,,,43000000.0,,-139200000,,,15300000.0,,,,,,,,,,
1984-12-31,,,,,,,,,0.005,,,,,,,,,,,300000,,,79344000.0,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,56900000,,,,,,56900000,,,,,,,56900000,,,,,,,79344000.0,,,,,,
1985-03-31,,,,,,,,,0.01,,,,,,,,,,,600000,,,79344000.0,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,55200000,,,,,,55200000,,,,,,,55200000,,,,,,,79344000.0,,,,,,
1985-06-30,,,,,,,,,0.01,,,,,,,,,,,700000,,,79344000.0,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,49800000,,,,,,49800000,,,,,,,49800000,,,,,,,79344000.0,,,,,,
1985-09-30,,18300000.0,12900000.0,,64900000.0,58000000.0,,,,32800000.0,97700000.0,,,11300000.0,,70900000.0,,,,300000,,,,12300000.0,1600000.0,,,,,,,,,,3200000.0,,,,,,26800000.0,3400000.0,,,,,7700000.0,7700000.0,,15300000.0,-159100000,,,,37500000.0,,58600000,,-20200000.0,,,42700000.0,,-159100000,,,17300000.0,,,,,,,,,,
1985-12-31,,,,,,,,,0.0075,,,,,,,,,,,400000,,,79344000.0,,,,,,,,,,,,,,,0.0075,,,,,,,,,,,,,49400000,,,,,,49400000,,,,,,,49400000,,,,,,,79344000.0,,,,,,
1986-03-31,,,,,,,,,0.0025,,,,,,,,,,,100000,,,75168000.0,,,,,,,,,,,,,,,0.0025,,,,,,,,,,,,,51700000,,,,,,51700000,,,,,,,51700000,,,,,,,75168000.0,,,,,,
1986-06-30,,,,,,,,,0.0075,,,,,,,,,,,600000,,,75184000.0,,,,,,,,,,,,,,,0.0075,,,,,,,,,,,,,50300000,,,,,,50300000,,,,,,,50300000,,,,,,,75184000.0,,,,,,
1986-09-30,,18800000.0,11200000.0,,45700000.0,37900000.0,,,,30400000.0,76100000.0,,,10300000.0,,49100000.0,,,,-200000,,,,12300000.0,900000.0,,,,,,,,,,1600000.0,,,,,,27000000.0,1900000.0,,,,,13100000.0,13100000.0,,5800000.0,-148800000,,,,37100000.0,,56200000,,-20600000.0,,,32100000.0,,-148800000,,,16500000.0,,,,,,,,,,
1986-12-31,,,,,,,,,0.0075,,,,,,,,,,,500000,,,75184000.0,,,,,,,,,,,,,,,0.0075,,,,,,,,,,,,,71300000,,,,,,71300000,,,,,,,71300000,,,,,,,75184000.0,,,,,,
1987-03-31,,,,,,,,,0.0075,,,,,,,,,,,500000,,,75200000.0,,,,,,,,,,,,,,,0.0075,,,,,,,,,,,,,78400000,,,,,,78400000,,,,,,,78400000,,,,,,,75200000.0,,,,,,
1987-06-30,,,,,,,,,0.01,,,,,,,,,,,700000,,,75200000.0,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,84600000,,,,,,84600000,,,,,,,84600000,,,,,,,75200000.0,,,,,,
1987-09-30,,22300000.0,22900000.0,,90200000.0,63500000.0,,,,27200000.0,117400000.0,,,9400000.0,,86400000.0,,,,1800000,,,,9800000.0,12300000.0,1200000.0,,,,,,,,,1600000.0,,,,,,31000000.0,62600000.0,,,,,27100000.0,27100000.0,,12800000.0,-230300000,,,,35300000.0,,85900000,,-19500000.0,,,50700000.0,,-230300000,,,15800000.0,,,,,,,,,,
1987-12-31,,,,,,,,,0.0225,,,,,,,,,,,1700000,,,75232000.0,,,,,,,,,,,,,,,0.0225,,,,,,,,,,,,,206400000,,,,,,206400000,,,,,,,206400000,,,,,,,75232000.0,,,,,,
1988-03-31,,,,,,,,,0.0225,,,,,,,,,,,1600000,,,75280000.0,,,,,,,,,,,,,,,0.0225,,,,,,,,,,,,,194600000,,,,,,194600000,,,,,,,194600000,,,,,,,75280000.0,,,,,,
1988-06-30,,,,,,,,,0.0225,,,,,,,,,,,1600000,,,75280000.0,,,,,,,,,,,,,,,0.0225,,,,,,,,,,,,,189800000,,,,,,189800000,,,,,,,189800000,,,,,,,75280000.0,,,,,,
1988-09-30,,21700000.0,20200000.0,,144500000.0,122500000.0,,,,35700000.0,180200000.0,,,8500000.0,,142700000.0,,,,1700000,,,,10400000.0,9200000.0,2500000.0,,,,,,,,,5800000.0,,,,,,37500000.0,1300000.0,,,,,30400000.0,30400000.0,,5300000.0,-579800000,,,,41300000.0,,167600000,,-21800000.0,,,117200000.0,,-579800000,,,19500000.0,,,,,,,,,,
1988-12-31,,,,,,,,,0.025,,,,,,,,,,,2100000,,,83648000.0,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,165300000,,,,,,165300000,,,,,,,165300000,,,,,,,83648000.0,,,,,,
1989-03-31,,,,,,,,,0.0275,,,,,,,,,,,2400000,,,83824000.0,,,,,,,,,,,,,,,0.0275,,,,,,,,,,,,,190700000,,,,,,190700000,,,,,,,190700000,,,,,,,83824000.0,,,,,,
1989-06-30,,,,,,,,,0.03,,,,,,,,,,,2600000,,,83824000.0,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,228600000,,,,,,228600000,,,,,,,228600000,,,,,,,83824000.0,,,,,,
1989-09-30,,31800000.0,14300000.0,,172500000.0,139600000.0,,,,40200000.0,212700000.0,,,7500000.0,,153900000.0,,,,3100000,,,,12200000.0,6300000.0,500000.0,,,,,,,,,5900000.0,,,,,,58800000.0,9100000.0,,,,,23700000.0,23700000.0,,10200000.0,-569900000,58500000.0,,,47000000.0,,209000000,,-24900000.0,,,70900000.0,,-569900000,,,22100000.0,,,,,,,,,,
1989-12-31,11400000.0,35000000.0,7800000.0,,165000000.0,134500000.0,14900000.0,3300000.0,0.0375,39800000.0,204800000.0,,1300000.0,7300000.0,0.0,142300000.0,,20400000.0,,3300000,3300000.0,1500000.0,88000000.0,12000000.0,,500000.0,0.0,2100000.0,,,191100000.0,,,23700000.0,5900000.0,,16200000.0,0.0375,100000.0,,62500000.0,9900000.0,,,,2900000.0,23200000.0,23200000.0,,1800000.0,4200000,58300000.0,,9400000.0,47900000.0,,211500000,12400000.0,-26000000.0,-14700000.0,-1000000.0,74400000.0,2400000.0,5500000,5700000.0,,21900000.0,-400000.0,,-600000.0,88000000.0,,,,,,
1990-03-31,-3400000.0,38500000.0,7700000.0,,173300000.0,138700000.0,15700000.0,3400000.0,0.04,39600000.0,212900000.0,,1200000.0,7000000.0,500000.0,146400000.0,,22500000.0,,3400000,3400000.0,300000.0,85000000.0,11700000.0,,700000.0,0.0,-900000.0,,,196300000.0,,,0.0,5800000.0,,16900000.0,0.04,400000.0,,66500000.0,8900000.0,,,,0.0,21800000.0,21800000.0,,3100000.0,5600000,62400000.0,,-6800000.0,49100000.0,,218800000,-2100000.0,-27000000.0,1900000.0,-1300000.0,73200000.0,2500000.0,6800000,5900000.0,,22100000.0,-100000.0,,-1300000.0,85000000.0,,,,,,
1990-06-30,-16900000.0,41800000.0,7600000.0,,185000000.0,150600000.0,17500000.0,3600000.0,0.04,51100000.0,236100000.0,,1400000.0,6800000.0,-100000.0,158200000.0,,25000000.0,,3600000,3600000.0,100000.0,90000000.0,12700000.0,,800000.0,0.0,-4400000.0,,,196100000.0,,,0.0,10100000.0,,18900000.0,0.04,-900000.0,,77900000.0,10500000.0,,,,-2000000.0,19300000.0,19300000.0,,23900000.0,6100000,54900000.0,0.0,-20100000.0,56900000.0,,221100000,-15400000.0,-28600000.0,15900000.0,-1500000.0,71800000.0,2600000.0,7500000,6200000.0,,28300000.0,-300000.0,0.0,-2500000.0,90000000.0,,,,,,
1990-09-30,5500000.0,45700000.0,7800000.0,,202400000.0,162900000.0,18600000.0,4000000.0,,51300000.0,253700000.0,,1600000.0,6400000.0,200000.0,170700000.0,,26000000.0,,4000000,4000000.0,1100000.0,,12500000.0,,1400000.0,0.0,-700000.0,,,204300000.0,,,0.0,10200000.0,,20200000.0,,900000.0,,83000000.0,16100000.0,,,,100000.0,20200000.0,20200000.0,,17300000.0,5800000,66300000.0,-4100000.0,6800000.0,58100000.0,,230300000,7300000.0,-29500000.0,-6000000.0,-1800000.0,79300000.0,2900000.0,7400000,6900000.0,,28600000.0,-200000.0,600000.0,900000.0,,,,,,,
1990-12-31,12400000.0,50000000.0,7800000.0,,215600000.0,172100000.0,18200000.0,4600000.0,0.05,51800000.0,267400000.0,,1800000.0,6400000.0,0.0,179900000.0,,27100000.0,,4600000,4600000.0,900000.0,92000000.0,12400000.0,,1400000.0,0.0,-1300000.0,,,235800000.0,,,20200000.0,10000000.0,,20000000.0,0.05,300000.0,,87500000.0,16300000.0,,,,700000.0,24900000.0,24900000.0,,8500000.0,7100000,71500000.0,100000.0,9400000.0,60300000.0,,262900000,14700000.0,-30900000.0,-8800000.0,-2300000.0,92100000.0,3300000.0,8900000,7900000.0,,29400000.0,-400000.0,,4700000.0,92000000.0,,,,,,
1991-03-31,10800000.0,54900000.0,7600000.0,,214300000.0,165100000.0,19500000.0,4900000.0,0.0525,51100000.0,265400000.0,,1600000.0,6100000.0,1100000.0,172700000.0,,28400000.0,,4900000,4900000.0,1100000.0,93333333.0,11700000.0,,1500000.0,0.0,-800000.0,,,247800000.0,,,0.0,9900000.0,,21100000.0,0.0525,300000.0,,92700000.0,18500000.0,,,,1100000.0,29200000.0,29200000.0,,,7300000,64600000.0,-1900000.0,9300000.0,61800000.0,,276200000,13000000.0,-32300000.0,-7400000.0,-2200000.0,100500000.0,3600000.0,8900000,8500000.0,,29500000.0,-100000.0,,4300000.0,93333333.0,,,,,,
1991-06-30,-2700000.0,59800000.0,7400000.0,,209500000.0,157700000.0,20400000.0,5100000.0,0.055,53000000.0,262500000.0,,1600000.0,5800000.0,100000.0,165100000.0,,30700000.0,,5100000,5100000.0,200000.0,92727273.0,13300000.0,,1600000.0,0.0,-3600000.0,,,232100000.0,,,0.0,9900000.0,,22000000.0,0.055,-1900000.0,,97400000.0,20300000.0,,,,200000.0,25100000.0,25100000.0,,,8700000,60200000.0,-1700000.0,-5500000.0,63700000.0,,262800000,-700000.0,-33900000.0,200000.0,-2000000.0,97500000.0,3700000.0,10300000,8800000.0,,29800000.0,-200000.0,100000.0,-4100000.0,92727273.0,,,,,,
