date,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedEPS,quarterlyEbitda,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyOtherNonCashItems,quarterlyBasicAverageShares,quarterlySellingGeneralAndAdministration,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyNetIncomeContinuousOperations,quarterlyChangeInCashSupplementalAsReported,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyBasicEPS,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyTotalNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyOtherIntangibleAssets,quarterlyChangeInInventory,quarterlyGoodwill
1998-03-31,,,,,7000000.0,,,,0.33,37700000,175300000,,,-168900000.0,8800000.0,,-3900000.0,12424242.0,1000000,,,,,-76500000.0,,-2800000,481600000.0,,22200000,-168900000.0,35000000,156900000.0,,4100000,-2200000.0,4100000,9900000.0,,,,0.33,,1000000.0,,,,66900000,,-12800000,-5100000.0,2700000.0,,12800000.0,,,,,3500000.0,,12424242.0,-5300000.0,556400000,4100000,,238400000.0,-159000000.0,347200000,,,,,,,,,,
1998-06-30,,,,,-19200000.0,,,,0.25,60100000,516300000,,,-82300000.0,1400000.0,,10600000.0,19200000.0,1300000,,,,,-256500000.0,,-6500000,554300000.0,,34300000,-76100000.0,56100000,108300000.0,,6400000,27900000.0,5900000,1800000.0,,,,0.25,,400000.0,,,,51900000,,-21800000,-5200000.0,4000000.0,,,,,,,3900000.0,,19200000.0,-11000000.0,672400000,4800000,,-349500000.0,-74300000.0,115400000,,,,,,,,,,
1998-09-30,,,,,-6000000.0,,,,0.33,69900000,515900000,-10900000.0,,-115300000.0,-1800000.0,,-1600000.0,24242424.0,1600000,,,,,-14400000.0,,-7100000,656100000.0,,40500000,-104400000.0,65900000,71100000.0,,10300000,-37500000.0,10300000,6600000.0,,,-200000.0,0.33,,400000.0,,,,133400000,,-25400000,-10300000.0,4000000.0,,,,,,,2400000.0,,24242424.0,-1200000.0,753900000,8000000,,110100000.0,-97800000.0,196300000,,,,,,,,,,
1998-12-31,,,697061000.0,,2770000.0,,63000.0,,,-106480000,404826000,,,-10093000.0,-8000000.0,,-11861000.0,,1760000,,,,,-101968000.0,,-8559000,659706000.0,,40072000,-7843000.0,-111184000,11082000.0,-37355000.0,3304000,5254000.0,9252000,4365000.0,,,-845000.0,,,500000.0,,,10694000.0,74662000,,140174000,-11544000.0,4704000.0,6236000.0,,6236000.0,240000.0,111300000.0,,3300000.0,,,-100000.0,777796000,6682000,,-4571000.0,-3478000.0,331479000,,,,,,,,,,
1999-03-31,,,,,200000.0,,,,0.34,81100000,514900000,1600000.0,,-70700000.0,1500000.0,,-3700000.0,24411765.0,2600000,,,,,-1600000.0,,-8800000,772500000.0,,47500000,-72300000.0,75300000,72900000.0,,10600000,15200000.0,10600000,12900000.0,,,,0.34,,1700000.0,,,,94300000,,-27800000,-11500000.0,5800000.0,,6200000.0,,,200300000.0,,5200000.0,,24411765.0,-1400000.0,920300000,8300000,,-3100000.0,-59400000.0,360500000,,,,,,,,,,
1999-06-30,,,,,-22000000.0,,,,0.35,86000000,515400000,-9700000.0,,-109000000.0,2400000.0,,7700000.0,24285714.0,2800000,,,,,-500000.0,,-8900000,866300000.0,,50900000,-99300000.0,79200000,93800000.0,,11400000,-11400000.0,10800000,3900000.0,,,,0.35,,2400000.0,,,,314300000,,-28300000,-11700000.0,6800000.0,,,,,88000000.0,,6700000.0,,24285714.0,-13400000.0,1031600000,8500000,,-2300000.0,-95400000.0,470600000,,,,,,,,,,
1999-09-30,,,,,5200000.0,,,,0.33,94900000,515700000,-17700000.0,,-24800000.0,2300000.0,,-4500000.0,24848485.0,3000000,,,,,-172300000.0,,-9300000,841900000.0,,55100000,-7100000.0,87800000,4900000.0,,10500000,-1600000.0,10500000,18300000.0,,,,0.33,,2300000.0,,,,337200000,,-32700000,-11600000.0,7100000.0,,,,200000.0,61000000.0,,7800000.0,,24848485.0,300000.0,1030200000,8200000,,-100000.0,11200000.0,468900000,,,,,,,,,,
1999-12-31,,,934701000.0,,14005000.0,306000.0,40675000.0,,,-156871000,406104000,45048000.0,21561000.0,-24178000.0,6300000.0,,-19008000.0,,2522000,,,,,-54544000.0,,-9422000,877718000.0,,53117000,-44540000.0,-164431000,24390000.0,-56983000.0,1747000,13125000.0,10956000,12913000.0,,,,,,2700000.0,,,28419000.0,435693000,,204794000,-11589000.0,7560000.0,21561000.0,8400000.0,21561000.0,242000.0,113600000.0,,8900000.0,,,-10500000.0,1071242000,8258000,,-1452000.0,-31627000.0,623644000,,,,,,,,,,
2000-03-31,4077000.0,,915761000.0,,925000.0,1480000.0,39767000.0,,0.806239,28263000,420031000,-50808000.0,10147000.0,-54870000.0,-686000.0,51576000.0,-15720000.0,24220000.0,2788000,,,,,-58256000.0,,3418000,852796000.0,,54759000,-6895000.0,20447000,26395000.0,-62965000.0,21633000,-11414000.0,24040000,17061000.0,,,380000.0,0.89,3183000.0,3158000.0,,,62021000.0,474014000,,31129000,-11954000.0,7816000.0,10147000.0,21561000.0,10147000.0,242000.0,141752000.0,-41826000.0,,,26832000.0,1611000.0,1123934000,21633000,,10900000.0,10166000.0,661473000,,,,,,,,,,
2000-06-30,7783000.0,,926235000.0,,-12656000.0,1838000.0,51354000.0,,0.53,29649000,427407000,-1617000.0,15317000.0,-2569000.0,1395000.0,53335000.0,-8574000.0,24309000.0,3190000,,,,,-120560000.0,,7565000,857582000.0,,56494000,-22659000.0,21246000,4741000.0,-68653000.0,13418000,5170000.0,15395000,2998000.0,,,2472000.0,0.53,3159000.0,1823000.0,,,71377000.0,492046000,,32089000,-11959000.0,8403000.0,15317000.0,10147000.0,15317000.0,244000.0,145752000.0,-3807000.0,,,27045000.0,-14051000.0,1160842000,12988000,,-15056000.0,-19661000.0,690891000,,,,,,,,,,
