date,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetPPE,quarterlyRepaymentOfDebt,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyResearchAndDevelopment,quarterlyPretaxIncome,quarterlyNetOtherFinancingCharges,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyDilutedAverageShares,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyBasicAverageShares,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyDeferredIncomeTax,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyBasicEPS,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyFreeCashFlow,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyCashDividendsPaid
2009-12-31,,,,783122000.0,,,,7266445000.0,2748690000.0,,,,,,165506000.0,,,,,-280776000.0,59002000.0,1313848000.0,9456742000.0,,,,3232690000.0,4517755000.0,23907000.0,485000.0,,4976605000.0,,,,,,,,,,4438593000.0,,,,4097065000.0,1063898000.0,,8142894000.0,204285000.0,,,,,529496000.0,,,,,300469000.0,26188000.0,,,341528000.0,,,,202631000.0,69641000.0,,,4977090000.0,,,,,
2010-06-30,,,,784587000.0,,,,8162506000.0,2078811000.0,,,,,,150126000.0,,,,,,37899000.0,1353656000.0,10443440000.0,,,,3457409000.0,6083695000.0,8555000.0,485000.0,,5792420000.0,,,,,,,,,,4608845000.0,,,,4199790000.0,,,9089784000.0,264396000.0,,,,,531235000.0,,44339000.0,,,367365000.0,24271000.0,,,409055000.0,,,,202631000.0,68432000.0,,,5792905000.0,,,,,
2010-12-31,,,,781145000.0,,,,10056852000.0,3254344000.0,92718000.0,,,,,231535000.0,,,,,-454987000.0,45204000.0,1665125000.0,12705140000.0,,,,4101442000.0,6802508000.0,15981000.0,485000.0,,5752764000.0,,,,,,,,,,6902075000.0,,,,6384609000.0,1236132000.0,,11040015000.0,332945000.0,,,,,595718000.0,,54162000.0,,,467650000.0,64063000.0,,,517466000.0,,,,367787000.0,130855000.0,,,5753249000.0,,,,,
2011-06-30,,,,733196000.0,,,,10590341000.0,2904518000.0,819535000.0,,,,,254345000.0,,,,,,45595000.0,1888515000.0,13335807000.0,,,,3698824000.0,7685823000.0,16987000.0,486000.0,,6884423000.0,,,,,,,,,,6364364000.0,,,,5743998000.0,,,11447292000.0,360898000.0,,,,,500462000.0,,41480000.0,,,533832000.0,232114000.0,,,620366000.0,,,,459463000.0,133567000.0,,,6884909000.0,,,,,
2011-12-31,,,,732759000.0,,,,11651800000.0,3433048000.0,1286489000.0,,,,,223948000.0,,,,,-617286000.0,104610000.0,2054371000.0,15295468000.0,,,,0.0,8218752000.0,16430000.0,481000.0,,7417299000.0,,,,,,,,,,7775296000.0,,,,6961114000.0,1350045000.0,,13241097000.0,454014000.0,,,,,569966000.0,,45494000.0,,362409000.0,119989000.0,234563000.0,,,814182000.0,3969117000.0,,,455207000.0,240179000.0,,,7417780000.0,,,,,
2013-06-30,591000000.0,241000000.0,,,-30438000000.0,1377000000.0,1081000000.0,,,,1018000000.0,5046000000.0,-9000000.0,-9578000000.0,,2384000000.0,5131000000.0,2522000000.0,-1595000000.0,,,,,89000000.0,-5161000000.0,-3359000000.0,,,,,30396000000.0,,-10928000000.0,27037000000.0,4384000000.0,2198000000.0,-227000000.0,6405000000.0,396000000.0,-149000000.0,285000000.0,,,278000000.0,1.99454,,,5420000000.0,,,9000000.0,3536000000.0,,10778000000.0,,249000000.0,,2727000000.0,,,,8051000000.0,2631000000.0,,,1.838926,4448000000.0,,,4444000000.0,1578000000.0,,,,,,
2013-09-30,637000000.0,345000000.0,,,,,374000000.0,,,,1168000000.0,5581000000.0,2297000000.0,,,2317000000.0,4526000000.0,2297000000.0,,,,,,,,1082000000.0,,,,,27037000000.0,,-5724000000.0,28119000000.0,4883000000.0,2165000000.0,,5994000000.0,,,,,,,2.26,,,5292000000.0,,,,4526000000.0,,10950000000.0,,-5724000000.0,,3001000000.0,,,,7949000000.0,2657000000.0,,,2.13,4937000000.0,,,4943000000.0,1450000000.0,,,,,,
2013-12-31,741000000.0,548000000.0,,,,,387000000.0,,,,1707000000.0,9258000000.0,4227000000.0,,,2343000000.0,14922000000.0,4227000000.0,,,,,,,,13595000000.0,,,,,28119000000.0,,-5540000000.0,41714000000.0,8266000000.0,2180000000.0,,9768000000.0,,,,,,,3.79,,,8801000000.0,,,,14922000000.0,,18745000000.0,,-5540000000.0,,4171000000.0,,,,14574000000.0,5773000000.0,,,3.55,8357000000.0,,,8326000000.0,3943000000.0,,,,,,
2014-03-31,1227000000.0,999000000.0,,7241000000.0,,,353000000.0,45074000000.0,33045000000.0,10364000000.0,1200000000.0,6917000000.0,-9055000000.0,,1906000000.0,,1800000000.0,318000000.0,,-3580000000.0,137000000.0,43716000000.0,111549000000.0,,,-8669000000.0,6643000000.0,12029000000.0,3308000000.0,10285000000.0,41714000000.0,1651000000.0,-10805000000.0,33045000000.0,5543000000.0,,,7388000000.0,,,,70848000000.0,1183000000.0,,,37384000000.0,10821000000.0,5703000000.0,67833000000.0,428000000.0,,-2976000000.0,1267000000.0,12031000000.0,503000000.0,22179000000.0,269000000.0,3470000000.0,6702000000.0,135000000.0,20689000000.0,8561000000.0,2858000000.0,33464000000.0,7652000000.0,,5661000000.0,11793000000.0,2136000000.0,5602000000.0,1792000000.0,39622000000.0,30711000000.0,,,,
2014-06-30,1445000000.0,653000000.0,,8388000000.0,-29140000000.0,267000000.0,410000000.0,59619000000.0,51912000000.0,13072000000.0,1952000000.0,13973000000.0,154000000.0,-13954000000.0,5950000000.0,2384000000.0,10177000000.0,19090000000.0,-1307000000.0,,514000000.0,73669000000.0,161193000000.0,5044000000.0,-64000000.0,18867000000.0,7915000000.0,7707000000.0,3538000000.0,1000000.0,33045000000.0,1636000000.0,-10410000000.0,51912000000.0,12344000000.0,2198000000.0,-14000000.0,15040000000.0,1073000000.0,43000000.0,473000000.0,99464000000.0,13315000000.0,657000000.0,5.42,45030000000.0,8388000000.0,6902000000.0,87524000000.0,452000000.0,1777000000.0,8870000000.0,1253000000.0,15771000000.0,1024000000.0,-179000000.0,608000000.0,4585000000.0,7964000000.0,1963000000.0,27633000000.0,11186000000.0,4284000000.0,54434000000.0,8470000000.0,5.2,12438000000.0,29289000000.0,2986000000.0,12404000000.0,2156000000.0,57126000000.0,49033000000.0,,,,
