date,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherNonCashItems,quarterlyTaxProvision,quarterlyNetPPE,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyBasicEPS,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyCommonStockIssuance,quarterlyBasicAverageShares,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyPretaxIncome,quarterlyCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyLongTermDebt,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyCostOfRevenue,quarterlyTotalAssets,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetIncomeCommonStockholders,quarterlyCurrentDeferredRevenue,quarterlyCashAndCashEquivalents,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyNonCurrentDeferredRevenue,quarterlyOtherShortTermInvestments,quarterlyInvestmentsAndAdvances,quarterlyPurchaseOfInvestment,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid,quarterlyResearchAndDevelopment
2016-03-31,,-18603000,-10486000,27850000.0,,228322000,,,6990000,158807000,,,-0.050703,0.0,-7392000,,11633000,-13226000,,49530000,,-0.050703,-10683000,-17491000,5628000,-9069000,,189732248.0,,,,-23121000,,0,30742000,23853000,437050000,,4998000,,,,,278243000,,,,-9620000,-9895000,,,103077000,,-9620000,,,,-3933000,134954000,233320000,-10519000,,29610000,,43041000,-605000.0,,189732248.0,,20059000,,,,,,,
2016-06-30,,1603000,-114000,-11250000.0,,233320000,,,-2690000,171500000,,,-0.020555,0.0,-6508000,,12267000,-10900000,,58200000,,-0.020555,-15317000,-5009000,6972000,-2931000,,189732248.0,,,,-15000000,,0,38258000,32400000,462000000,,13102000,,,,,290500000,,,,-3900000,-4100000,,,106400000,,-3900000,,,,-4700000,139100000,246400000,-15281000,,30490000,,42700000,-1295000.0,,189732248.0,,22941000,,,,,,,
2016-09-30,,13200000,-2000000,1500000.0,,246400000,,,17000000,164200000,,,-0.067991,0.0,-6200000,,12200000,-9100000,,51600000,0.0,-0.067991,-20300000,-8300000,39600000,-33800000,0.0,189732248.0,,,,-22100000,,-18800000,37800000,20200000,462600000,,-4200000,,,,,298400000,,,,-12900000,-13000000,,,100900000,,-12900000,,,,700000,144000000,242200000,-34000000,,30700000,,43000000,-100000.0,,189732248.0,,17500000,,,,,,,
2016-12-31,47183000.0,27255000,-1509000,-66902000.0,,242200000,1505000.0,265908000.0,36799000,222231000,214856000.0,-342364000.0,,0.0,-6382000,-146079000.0,12447000,1440000,358391000.0,72166000,,,-28116000,-12202000,39069000,-38559000,358000.0,,-596233000.0,504470000.0,1188513000.0,-2850000,497849000.0,20000,58844000,89327000,577836000,2753794000.0,13581000,182205000.0,0.0,441578000.0,3127435000.0,355605000,4315948000.0,158174000.0,3546341000.0,-10220000,-4290000,1154652000.0,487632000.0,104039000,255803000.0,-10220000,42999000.0,255803000.0,443949000.0,-50539000,132904000,255803000,-22276000,1469922000.0,33378000,24465000.0,41638000,-4661000.0,143094000.0,,4044190000.0,30728000,,,,,,,
2017-03-31,58222000.0,-15380000,-2545000,11076000.0,,255803000,1505000.0,283678000.0,3159000,174550000,217639000.0,-317360000.0,-0.037,0.0,-6069000,-157448000.0,12087000,-1619000,354200000.0,64853000,,-0.037,-16390000,-13323000,-32800000,-6155000,,189732248.0,-603248000.0,511648000.0,1182760000.0,-8586000,483308000.0,-292000,-2586000,38974000,481667000,2757003000.0,-30226000,182813000.0,0.0,435818000.0,3129807000.0,307117000,4312567000.0,131275000.0,3545581000.0,-7015000,-6967000,1167454000.0,482122000.0,102413000,225577000.0,-7015000,56618000.0,225577000.0,463143000.0,-1697000,135576000,225577000,-16551000,1457196000.0,27576000,24550000.0,45863000,-4709000.0,150203000.0,189732248.0,4028889000.0,-18976000,,,,,,,
2017-06-30,59800000.0,-6020000,-55000,-27076000.0,,225577000,2000000.0,1209000000.0,18641000,215900000,246400000.0,-281700000.0,-0.83,0.0,-883031000,-172900000.0,13313000,-43900000,356200000.0,-120200000,,-0.83,-10410000,14123000,-31200000,-53945000,,176265060.0,-749500000.0,529100000.0,1266500000.0,-190200000,500700000.0,-18508000,22586000,-101600000,579100000,1976600000.0,20126000,186900000.0,0.0,475200000.0,3156400000.0,363200000,4422900000.0,248400000.0,2713200000.0,-146300000,-146300000,1200100000.0,420200000.0,125600000,245700000.0,-146300000,59100000.0,245700000.0,485800000.0,-49100000,317500000,245700000,-24049000,1459800000.0,30524000,5900000.0,39500000,-91000.0,139400000.0,176265060.0,3213900000.0,12176000,,,,,,,
2017-09-30,61200000.0,-15000000,0,-49900000.0,,245700000,2000000.0,1271800000.0,18000000,253900000,263600000.0,-251700000.0,0.13,6200000.0,-2012800000,-188500000.0,13900000,4400000,352000000.0,92000000,9800000.0,0.14,-9600000,-9000000,-44600000,-8000000,-4000000.0,200000000.0,-721400000.0,540500000.0,1403400000.0,32400000,559600000.0,0,63900000,95900000,649600000,2006900000.0,57300000,175300000.0,0.0,531600000.0,3149200000.0,395700000,4552600000.0,274900000.0,2721200000.0,28000000,28000000,1216900000.0,409200000.0,111100000,303000000.0,28000000,55500000.0,303000000.0,507600000.0,-33400000,158000000,303000000,-2500000,1449700000.0,29500000,21100000.0,30100000,-2900000.0,129700000.0,215384615.0,3280800000.0,54300000,,,,,,,
2017-12-31,39500000.0,13700000,-1000000,200000.0,0.0,303000000,2000000.0,1476800000.0,100000,253500000,269700000.0,-199800000.0,0.69,0.0,-7100000,-203800000.0,15600000,-90100000,363200000.0,110200000,9000000.0,0.71,-20400000,-9200000,92000000,-180900000,300000.0,202535211.0,-577800000.0,567000000.0,1463600000.0,53700000,561800000.0,0,116600000,79300000,665000000,2019300000.0,90300000,226000000.0,0.0,536300000.0,3157600000.0,411500000,4621200000.0,271200000.0,2582600000.0,143800000,143800000,1227600000.0,237500000.0,107500000,393300000.0,143800000,42700000.0,393300000.0,494500000.0,-400000,174200000,393300000,-17700000,1431200000.0,31300000,20900000.0,25200000,-1400000.0,134600000.0,208405797.0,3144400000.0,96200000,,,,,,,
2018-03-31,50800000.0,-42900000,-6200000,10000000.0,,393300000,2000000.0,1567700000.0,8400000,231900000,284600000.0,-153300000.0,0.2,,-5300000,-219600000.0,14100000,23400000,365300000.0,122700000,3400000.0,0.21,-10100000,-8200000,-34800000,2800000,,201600000.0,-535700000.0,584900000.0,1513400000.0,65800000,611100000.0,-94900000,60200000,89800000,619600000,2034000000.0,-39500000,214100000.0,,541600000.0,3262000000.0,387700000,4775400000.0,305400000.0,2596600000.0,42400000,42400000,1308300000.0,248300000.0,106900000,353800000.0,42400000,82300000.0,353800000.0,567200000.0,2000000,142100000,353800000,-102000000,1449200000.0,30900000,21100000.0,26000000,,138100000.0,209900000.0,3207700000.0,50100000,,,,,,,
2018-06-30,56700000.0,-3900000,-3000000,33200000.0,,353800000,2000000.0,1569100000.0,36900000,249300000,310900000.0,-213400000.0,0.29,,-105200000,-227000000.0,13700000,17200000,353900000.0,135100000,1800000.0,0.3,-10800000,-106300000,22800000,6400000,,201800000.0,-475400000.0,580900000.0,1445600000.0,77500000,571400000.0,-18700000,134300000,101400000,668200000,1903500000.0,-16000000,207400000.0,,495500000.0,3159000000.0,418900000,4604600000.0,252600000.0,2464100000.0,60300000,60300000,1276200000.0,259700000.0,115800000,337800000.0,60300000,80700000.0,337800000.0,555600000.0,2200000,147900000,337800000,-29400000,1392300000.0,31500000,7900000.0,26100000,,135500000.0,209600000.0,3035500000.0,123500000,,,,,,,
