date,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyEbitda,quarterlyStockholdersEquity,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlySellingGeneralAndAdministration,quarterlyAccumulatedDepreciation,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetPPE,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyBasicEPS,quarterlyCurrentLiabilities,quarterlyTotalRevenue,quarterlyBasicAverageShares,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyOtherIncomeExpense,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyAccountsReceivable,quarterlyDilutedAverageShares,quarterlyCostOfRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherNonCurrentAssets,quarterlyCapitalStock,quarterlyDilutedEPS,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,quarterlyStockBasedCompensation,quarterlyBeginningCashPosition,quarterlyDepreciationAndAmortization,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfInvestment,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyCapitalExpenditure,quarterlyOtherNonCashItems,quarterlyChangeInWorkingCapital
2009-12-31,66000000.0,11377000000.0,,29290000000.0,,526000000.0,,30318000000.0,,,,-12829000000.0,,12495000000.0,10448000000.0,65100000000.0,16461000000.0,,,10853000000.0,,14254000000.0,,,,,0.0,0.0,49028000000.0,,52125000000.0,,,55000000.0,7021000000.0,2354000000.0,4099000000.0,,,3744000000.0,3689000000.0,2043000000.0,,0.0,0.0,,,79354000000.0,112525000000.0,101672000000.0,23165000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,,,,,2470000000.0,,2470000000.0,,4609000000.0,2139000000.0,2225000000.0,,,,,,,355000000.0,1200000000.0,,0.3,,8327000000.0,1591000000.0,475000000.0,844000000.0,,,,,,-324000000.0,,,,,,1591000000.0,3718000000.0,,,,,,,0.3,475000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,77000000.0,11111000000.0,,28170000000.0,2740000000.0,567000000.0,3073000000.0,31785000000.0,5062000000.0,2322000000.0,2444000000.0,-12689000000.0,,11843000000.0,11246000000.0,61729000000.0,15481000000.0,470000000.0,1970000000.0,11729000000.0,,14734000000.0,9174000000.0,,1149000000.0,1501000000.0,0.0,2201000000.0,44244000000.0,,51310000000.0,375000000.0,,11000000.0,7085000000.0,2350000000.0,4360000000.0,,4112000000.0,4698000000.0,4687000000.0,2772000000.0,673000000.0,1754000000.0,0.0,,1149000000.0,76463000000.0,111495000000.0,99766000000.0,23269000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,,,,,2897000000.0,,3001000000.0,,5193000000.0,2296000000.0,2464000000.0,,,,,,,547000000.0,2407000000.0,,0.94,,9323000000.0,1591000000.0,1434000000.0,1860000000.0,,,,,,104000000.0,,,,,,1591000000.0,4130000000.0,,,,594000000.0,,,0.94,1434000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,32000000.0,12071000000.0,,30296000000.0,3041000000.0,478000000.0,4353000000.0,35259000000.0,5281000000.0,2240000000.0,2452000000.0,-14403000000.0,,11909000000.0,13656000000.0,59823000000.0,15893000000.0,548000000.0,2105000000.0,12597000000.0,,15720000000.0,9473000000.0,,968000000.0,1557000000.0,0.0,0.0,44256000000.0,,52498000000.0,403000000.0,,641000000.0,7538000000.0,2409000000.0,4638000000.0,,4192000000.0,5152000000.0,4511000000.0,2933000000.0,2248000000.0,0.0,0.0,,968000000.0,75543000000.0,114342000000.0,101745000000.0,23359000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,,,,,2755000000.0,,2656000000.0,,5104000000.0,2349000000.0,2454000000.0,,,,,,,427000000.0,1898000000.0,,0.3,,9003000000.0,1591000000.0,964000000.0,1471000000.0,,,,,,-99000000.0,,,,,,1591000000.0,3899000000.0,,,,758000000.0,,,0.3,964000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,2000000.0,12937000000.0,,32759000000.0,3058000000.0,614000000.0,3026000000.0,36754000000.0,5620000000.0,2562000000.0,2696000000.0,-16144000000.0,,11732000000.0,14380000000.0,58860000000.0,16615000000.0,369000000.0,2284000000.0,13218000000.0,,17539000000.0,9952000000.0,,1450000000.0,1915000000.0,0.0,1805000000.0,41786000000.0,,53778000000.0,-207000000.0,,362000000.0,7801000000.0,2724000000.0,5407000000.0,,4332000000.0,4827000000.0,4465000000.0,3680000000.0,742000000.0,1137000000.0,0.0,,1450000000.0,76399000000.0,117051000000.0,103833000000.0,23634000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,,,,,3248000000.0,,3281000000.0,,5828000000.0,2580000000.0,2742000000.0,,,,,,,434000000.0,2467000000.0,,1.0,,10217000000.0,1594000000.0,1591000000.0,2033000000.0,,,,,,33000000.0,,,,,,1594000000.0,4389000000.0,,,,814000000.0,,,1.0,1591000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,1000000.0,13337000000.0,,31357000000.0,3546000000.0,499000000.0,4501000000.0,37492000000.0,5860000000.0,2314000000.0,2607000000.0,-15335000000.0,,11279000000.0,17820000000.0,51739000000.0,16022000000.0,626000000.0,3166000000.0,12323000000.0,,19644000000.0,9874000000.0,,1850000000.0,2540000000.0,0.0,1548000000.0,34598000000.0,,51302000000.0,517000000.0,,103000000.0,6940000000.0,2466000000.0,4121000000.0,,4014000000.0,5423000000.0,5320000000.0,5567000000.0,1335000000.0,1339000000.0,1734000000.0,,1850000000.0,71383000000.0,112427000000.0,100104000000.0,23818000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,,,,,2887000000.0,,2887000000.0,,5477000000.0,2590000000.0,2715000000.0,,,,,,,437000000.0,2657000000.0,,0.61,,9332000000.0,1598000000.0,2220000000.0,2220000000.0,,,,,,150000000.0,,,,,,1598000000.0,3855000000.0,,,,,,,0.61,2220000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
