date,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingIncome,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyDilutedEPS,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyEbitda,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyChangeInInventory,quarterlyPretaxIncome,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyRepaymentOfDebt,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetPPE,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyBasicEPS,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyDilutedAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,quarterlyStockBasedCompensation,quarterlyDeferredIncomeTax,quarterlyPurchaseOfBusiness,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable
2014-03-31,,,,,80588000,,,-68899000,0.28393,,0.0,121010000,-51859000,148727000,,65969000,45224000,290323000,-22475000,80566000,,,3490000,,-247000,,26187000,,,619889000,,-34271000,-52092000,,54379000,53641000,94582000,,7224000,,143766000,,,-273000,,,188923000.0,329566000,,,0.28393,,,209735000,,,68139000,188923000.0,,113786000,,,,-3495000,,1520000.0,,42490000,,53641000,,-77632000,,,,,
2014-06-30,,,,,110779000,,,-25750000,0.38,,0.0,117696000,-75656000,182354000,,77414000,34485000,320302000,-18996000,105993000,,,1438000,,-5592000,,32457000,,,728682000,,-97247000,-75474000,,73536000,72139000,167692000,,-3314000,,132109000,,,-6044000,,,188921600.0,408380000,,,0.38,,,209523000,,,71575000,188921600.0,,121010000,,,,493000,,437000.0,,92218000,,72139000,,-136422000,,,,,
2014-09-30,,,,,81360000,,,-155566000,0.299683,,38751000.0,164203000,-40278000,152793000,,81468000,-148261000,278557000,-17004000,94231000,,,18021000,,-197951000,,36111000,,,662520000,,46207000,-79765000,,58120000,56617000,33154000,,46507000,,115729000,,,7953000,,,188923000.0,383963000,,,0.299683,,,197197000,,,71433000,188923000.0,,117696000,,,,19728000,,4154000.0,,-46611000,,56617000,,-79185000,,,,,
2014-12-31,-37774000.0,585185000.0,,,142821000,535707000.0,421758000.0,11107000,,942469000.0,0.0,134278000,-121984000,220656000,2469618000.0,75239000,81538000,367289000,-7073000,117443000,1222167000.0,2844655000.0,30399000,8747000.0,174437000,2503614000.0,38463000,940947000.0,585185000.0,751269000,-1481356000.0,-36306000,-122667000,0.0,78980000,78974000,130639000,225125000.0,-29925000,0.0,149229000,,296005000.0,-27716000,183642000.0,85624000.0,,383980000,787178000.0,21612000.0,,18900000.0,1320000.0,224468000,265262000.0,,77835000,,134278000.0,164203000,134278000.0,3778000.0,1796772000.0,-15902000,491320000.0,-1413000.0,,7972000,2163114000.0,78974000,4641427000.0,-63927000,,,,,
2015-03-31,-109858000.0,623753000.0,,,96027000,573203000.0,456225000.0,-125905000,0.340742,80380000.0,0.0,163717000,-77140000,156165000,2461908000.0,65012000,12461000,314683000,-64657000,97905000,1267153000.0,3131554000.0,30414000,3317000.0,-7554000,2571766000.0,32835000,1262354000.0,591460000.0,620948000,-32293000.0,26584000,-77556000,0.0,65070000,64374000,63494000,380988000.0,29439000,0.0,153644000,,376735000.0,-64000,207973000.0,87806000.0,188923000.0,306265000,787178000.0,23018000.0,0.340742,162047000.0,47134000.0,218656000,277505000.0,,60138000,188923000.0,163717000.0,134278000,163717000.0,0.0,1872463000.0,-26998000,461380000.0,308000.0,,-14062000,2529507000.0,64374000,5004017000.0,-23301000,,,,,
2015-06-30,-60188000.0,657335000.0,,,125766000,577939000.0,426513000.0,170263000,0.4,83047000.0,0.0,257527000,-74423000,195808000,2586838000.0,87088000,15459000,350316000,12684000,114138000,1263863000.0,3144910000.0,924000,6523000.0,-4264000,2643248000.0,38229000,1137667000.0,588697000.0,765789000,-68638000.0,-176935000,-73286000,0.0,75909000,75260000,352307000,297663000.0,93810000,0.0,137462000,,352425000.0,-3724000,154290000.0,76212000.0,188921600.0,415473000,787178000.0,22713000.0,0.4,138639000.0,48351000.0,224550000,282683000.0,,70042000,188921600.0,257527000.0,163717000,257527000.0,3778000.0,1855616000.0,44443000,428039000.0,9254000.0,,279021000,2401530000.0,75260000,5000526000.0,-141014000,,,,,
2015-09-30,-34542000.0,703675000.0,,,140855000,448568000.0,388750000.0,-105700000,0.497376,68762000.0,37130000.0,190081000,-44575000,213417000,2701730000.0,80193000,-128402000,350869000,41051000,141956000,1137587000.0,3129709000.0,7147000,7950000.0,-302559000,2732494000.0,47554000,1099967000.0,596720000.0,723146000,-106955000.0,-138143000,-83426000,0.0,94402000,93965000,118253000,249762000.0,-67446000,0.0,129821000,,301694000.0,547000,135620000.0,76382000.0,188921600.0,372277000,787178000.0,19562000.0,0.497376,189701000.0,2133000.0,210014000,285531000.0,,72562000,188921600.0,190081000.0,257527000,190081000.0,3778000.0,1814799000.0,17581000,389453000.0,326000.0,1054000.0,34827000,2237554000.0,93965000,4944508000.0,115049000,,,,,
2015-12-31,-16774000.0,2212720000.0,,,92707000,507499000.0,442121000.0,124562000,,139172000.0,0.0,182753000,-120928000,164722000,-25123000.0,106333000,54690000,339695000,8037000,80170000,1628654000.0,2019823000.0,-2255000,8626000.0,-2907241000,-12127000.0,25497000,2266148000.0,626130000.0,744486000,-1586590000.0,-62779000,-121675000,0.0,54673000,54217000,173214000,203386000.0,-7328000,0.0,140655000,,295436000.0,-7794000,158165000.0,76514000.0,,404791000,787178000.0,23345000.0,,1340981000.0,978000.0,246988000,307810000.0,,72015000,,191379000.0,190081000,182753000.0,3778000.0,1855576000.0,-19333000,919409000.0,6790000.0,,51539000,3894802000.0,54217000,3875399000.0,-13176000,,,,,
2016-03-31,19734000.0,651310000.0,,,123839000,500868000.0,451138000.0,-57336000,0.41,70568000.0,0.0,563442000,-67498000,180282000,88944000.0,60423000,-566000,342456000,-5835000,112294000,735422000.0,2276168000.0,-3094000,5837000.0,-508546000,66706000.0,34699000,3298426000.0,620762000.0,675453000,-30548000.0,339449000,-68012000,0.0,77595000,77337000,112377000,126423000.0,380689000,0.0,158194000,1384000.0,299686000.0,-2590000,186586000.0,80466000.0,188923000.0,332997000,787178000.0,24583000.0,0.41,2442221000.0,988000.0,218617000,324363000.0,,56443000,188923000.0,569279000.0,182753000,563442000.0,2504000.0,1852371000.0,-27508000,,,,44365000,4033848000.0,77337000,4128539000.0,201743000,,,,,
2016-06-30,26208000.0,694238000.0,,,148414000,574390000.0,523194000.0,42087000,0.52,71966000.0,0.0,585292000,-89918000,210072000,106156000.0,94335000,69809000,389582000,-16716000,141126000,819156000.0,2440222000.0,-5789000,5144000.0,2390000,77444000.0,43270000,3391798000.0,631775000.0,810611000,-62463000.0,-77506000,-92162000,7397000.0,97856000,97643000,204339000,97516000.0,41727000,16133000.0,146833000,0.0,314810000.0,-2269000,230609000.0,84022000.0,188923000.0,421029000,785182000.0,16045000.0,0.52,2482820000.0,1033000.0,241168000,340485000.0,,61658000,188923000.0,590436000.0,563442000,585292000.0,2504000.0,1881116000.0,-46339000,,,,112177000,4210954000.0,97643000,4321338000.0,-78246000,,,,,
