date,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyOperatingCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyGrossProfit,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyDilutedAverageShares,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGoodwill,quarterlyOtherCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyEndCashPosition,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetPPE,quarterlyTaxProvision,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyInterestExpense,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyEbitda,quarterlyChangesInAccountReceivables,quarterlyOtherShortTermInvestments,quarterlySaleOfInvestment,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyChangeInInventory
2012-09-30,,,,135000000,,,-2000000,,-1000000.0,2417000000,,177000000,361000000,205000000,322000000,,177000000,1406000000,179000000,,1000000,,,12000000,,,,,-117000000,1011000000,-111000000,883000000,91000000,,,,,,233000000,1045000000,,0.0,739000000,,,,,54000000,-63000000,18000000,,,,,-117000000,,,,,-38000000,,,49000000,144000000,,142000000,,3000000,,,510000000,,,,,,
2012-12-31,2827000000.0,2349000000.0,-5746000000.0,156000000,22562000000.0,,-70000000,24239000000.0,0.0,2338000000,27066000000.0,61000000,291000000,235000000,360000000,24911000000.0,61000000,1319000000,64000000,1473000000.0,0,719000000.0,,-37000000,415000000.0,6197000000.0,40000000.0,567000000.0,-145000000,1019000000,-526000000,755000000,133000000,4948000000.0,2301000000.0,15588000000.0,291000000.0,61000000.0,112000000,1028000000,7373000000.0,-20000000.0,883000000,1000000.0,755000000.0,755000000.0,9197000000.0,48000000,-340000000,156000000,,,-1542000000.0,262000000.0,-125000000,-406000000.0,,10739000000.0,286000000.0,77000000,82000000.0,20000000.0,2000000,-128000000,431000000.0,146000000,,30000000,407000000.0,,414000000,,,,,,
2013-03-31,,,,160000000,,,-26000000,,-1000000.0,2263000000,,34000000,259000000,104000000,172000000,,34000000,1350000000,38000000,,-7000000,,328204793.0,-42000000,,,,,-64000000,913000000,-134000000,777000000,97000000,,,,,,76000000,1091000000,,-1000000.0,755000000,,,,,38000000,-77000000,25000000,0.103594,328204793.0,,,-68000000,,,,,7000000,,,-77000000,22000000,,143000000,0.103594,2000000,,,379000000,,,,,,
2013-06-30,2890000000.0,2387000000.0,-5557000000.0,149000000,22220000000.0,,-20000000,23895000000.0,-2000000.0,2380000000,26785000000.0,155000000,403000000,387000000,466000000,24607000000.0,155000000,1395000000,157000000,2102000000.0,1000000,830000000.0,328204793.0,-32000000,395000000.0,6172000000.0,49000000.0,,-119000000,985000000,-818000000,661000000,92000000,5132000000.0,2305000000.0,14986000000.0,274000000.0,,241000000,992000000,7208000000.0,-39000000.0,777000000,1000000.0,661000000.0,661000000.0,9084000000.0,84000000,-457000000,-58000000,0.472266,328204793.0,-1639000000.0,237000000.0,-79000000,-591000000.0,,10723000000.0,1914000000.0,18000000,,72000000.0,105000000,-116000000,0.0,131000000,0.472266,1000000,401000000.0,,521000000,,,,,,
2013-09-30,2472000000.0,2207000000.0,-5558000000.0,146000000,20553000000.0,,-20000000,24139000000.0,-1000000.0,2449000000,26611000000.0,200000000,356000000,316000000,386000000,22760000000.0,200000000,1475000000,203000000,2596000000.0,1000000,813000000.0,328204793.0,42000000,386000000.0,6205000000.0,40000000.0,,-69000000,974000000,-650000000,724000000,130000000,4997000000.0,3977000000.0,12960000000.0,268000000.0,,273000000,1119000000,7202000000.0,-2000000.0,661000000,10000000.0,470000000.0,470000000.0,9071000000.0,70000000,-255000000,144000000,0.609376,328204793.0,-1719000000.0,465000000.0,-70000000,-417000000.0,,10790000000.0,1964000000.0,41000000,,186000000.0,27000000,63000000,0.0,127000000,0.609376,2000000,57000000.0,,546000000,,,,,,
2013-12-31,2383000000.0,2142000000.0,-5331000000.0,148000000,20144000000.0,,91000000,24179000000.0,0.0,2643000000,26562000000.0,26000000,91000000,962000000,1077000000,22286000000.0,26000000,1638000000,62000000,1380000000.0,0,758000000.0,288888600.0,232000000,396000000.0,6220000000.0,104000000.0,552000000.0,-130000000,1005000000,-15601000000,594000000,429000000,5053000000.0,4363000000.0,12671000000.0,260000000.0,48000000.0,108000000,1547000000,7216000000.0,-32000000.0,724000000,10000000.0,594000000.0,594000000.0,9058000000.0,46000000,-1074000000,-102000000,0.09,288888600.0,-1790000000.0,403000000.0,-115000000,-264000000.0,,10848000000.0,319000000.0,-1000000,674000000.0,11000000.0,811000000,-130000000,561000000.0,219000000,0.09,257000000,52000000.0,,475000000,,,,,,
2014-03-31,2295000000.0,1986000000.0,-5208000000.0,153000000,19960000000.0,,-11000000,24098000000.0,-2000000.0,2363000000,26393000000.0,123000000,341000000,89000000,147000000,21946000000.0,123000000,1415000000,124000000,1748000000.0,-13000000,810000000.0,328333005.0,18000000,397000000.0,6222000000.0,68000000.0,,-73000000,948000000,-219000000,435000000,97000000,5111000000.0,4536000000.0,12469000000.0,264000000.0,,207000000,1074000000,7177000000.0,-16000000.0,594000000,10000000.0,435000000.0,435000000.0,9031000000.0,83000000,-232000000,-13000000,0.36,328333005.0,-1865000000.0,391000000.0,-58000000,-236000000.0,,10896000000.0,1936000000.0,-52000000,632000000.0,6000000.0,-78000000,-159000000,0.0,153000000,0.36,19000000,44000000.0,,513000000,,,,,,
2014-06-30,2417000000.0,2120000000.0,-4999000000.0,158000000,19630000000.0,,22000000,24080000000.0,-3000000.0,2667000000,26497000000.0,209000000,446000000,281000000,365000000,21750000000.0,209000000,1646000000,212000000,1775000000.0,49000000,923000000.0,328333005.0,40000000,359000000.0,6227000000.0,65000000.0,,-48000000,1021000000,-564000000,545000000,133000000,5058000000.0,4834000000.0,12204000000.0,257000000.0,,333000000,1200000000,7133000000.0,-5000000.0,435000000,10000000.0,545000000.0,545000000.0,9036000000.0,121000000,-209000000,5000000,0.630001,328333005.0,-1944000000.0,410000000.0,-84000000,-186000000.0,,10980000000.0,1999000000.0,10000000,593000000.0,11000000.0,5000000,110000000,0.0,158000000,0.630001,22000000,110000000.0,,649000000,,,,,,
2014-09-30,2414000000.0,2140000000.0,-4816000000.0,159000000,19434000000.0,,16000000,23910000000.0,-1000000.0,2644000000,26324000000.0,183000000,469000000,300000000,387000000,21574000000.0,183000000,1629000000,187000000,1816000000.0,21000000,926000000.0,328999671.0,-1000000,350000000.0,6185000000.0,56000000.0,2003000000.0,-79000000,1015000000,-292000000,543000000,119000000,5137000000.0,4790000000.0,11937000000.0,174000000.0,,314000000,1160000000,7028000000.0,-33000000.0,545000000,10000000.0,543000000.0,543000000.0,9124000000.0,127000000,-302000000,-10000000,0.570001,328333005.0,-1997000000.0,390000000.0,-87000000,-404000000.0,,11121000000.0,2003000000.0,-20000000,544000000.0,10000000.0,59000000,-2000000,0.0,156000000,0.570001,16000000,127000000.0,0.0,629000000,,,,,,
2014-12-31,2499000000.0,2257000000.0,-4658000000.0,158000000,19154000000.0,,21000000,23626000000.0,-3000000.0,2828000000,26125000000.0,158000000,454000000,359000000,467000000,21411000000.0,158000000,1793000000,159000000,1498000000.0,6000000,906000000.0,328999671.0,-12000000,404000000.0,6154000000.0,70000000.0,505000000.0,-110000000,1035000000,-349000000,566000000,142000000,5216000000.0,4752000000.0,11555000000.0,170000000.0,52000000.0,293000000,1339000000,6943000000.0,-11000000.0,543000000,10000000.0,566000000.0,566000000.0,7483000000.0,134000000,-327000000,22000000,0.48,328333005.0,-1869000000.0,1899000000.0,-108000000,-628000000.0,,9352000000.0,299000000.0,76000000,495000000.0,21000000.0,-12000000,23000000,686000000.0,151000000,0.48,21000000,137000000.0,0.0,602000000,,,,,,
