date,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyInventory,quarterlyNetPPE,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyBasicEPS,quarterlyCashAndCashEquivalents,quarterlyOtherIntangibleAssets,quarterlyBasicAverageShares,quarterlyFreeCashFlow,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyNetIncomeCommonStockholders,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyChangeInInventory,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherInvestingChanges,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyEndCashPosition,quarterlyChangeInWorkingCapital,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCashItems,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOperatingExpense,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashDividendsPaid,quarterlyPurchaseOfBusiness,quarterlyIncomeTaxPayable
2009-03-31,4083000,,203423575.0,5189000,,,5189000,,17712000,-56110000,,,310250000,,,,,,-34281000,0.025884,,,200468080.0,-52027000,152000,61574000,,,37984000,5189000,,,185717000,,,25412000.0,,,,551000,,,114205000,,34000,12918000,424455000,151436000,-22995000,-30622000,-56076000,50902000,,0.025508,173000,,173000.0,,,101287000,-73862000,,17335000,63303000,,,,,,,,,,,,,
2009-06-30,22228000,,203423575.0,15419000,,,15419000,,94196000,-14441000,,,332608000,,,,,,101544000,0.076915,,,200468080.0,7787000,-1532000,94901000,,,45132000,15419000,,,151436000,,,26635000.0,,,,-3792000,,,145809000,,-439000,46020000,478417000,252980000,-41178000,2960000,-14880000,91152000,,0.075798,312000,,312000.0,,,99789000,-705000,,-4253000,61654000,,,,,,,,,,,,,
2009-09-30,58597000,,203423575.0,85625000,,,85625000,,-104542000,-64487000,,,344831000,,,,,,-109340000,0.427125,,,200468080.0,-5890000,-71000,-3828000,,,43142000,85625000,,,252980000,,,25813000.0,,,,-161000,,,205845000,,1092000,113431000,550676000,143640000,-73799000,-8742000,-63395000,156573000,,0.42092,2705000,,2705000.0,,,92414000,-100714000,,-2125000,54202000,,,,,,,,,,,,,
2009-12-31,-34182000,255432000.0,,-39000000,2554105000.0,,-39000000,220867000.0,-27084000,-26800000,,206419000.0,301765000,7868000.0,28865000.0,3836127000.0,,-626075000.0,-93488000,,50152000.0,,,-60982000,919000,-44322000,4811348000.0,4659786000.0,43443000,-39000000,28376000.0,25000.0,143640000,50152000.0,,37490000.0,3586000.0,,4557963000.0,4031000,2299000.0,,99891000,3106797000.0,-5422000,-995000,401656000,50152000,-46244000,-5632000,-32222000,42448000,,,885000,,885000.0,494038000.0,151562000.0,100886000,-1073783000,,-584000,62517000,1704551000.0,-721836000.0,2612759000.0,0.0,58654000.0,,,,,,,,
2010-03-31,133131000,320213000.0,203423575.0,-16132000,2474996000.0,,-16132000,215939000.0,-66607000,-26524000,,223331000.0,294164000,7452000.0,31263000.0,3824794000.0,,-642207000.0,40337000,-0.080472,90489000.0,602792000.0,200468080.0,106607000,416000,-1080000,4824284000.0,4643525000.0,42582000,-16132000,39745000.0,25000.0,50152000,90489000.0,,35839000.0,17168000.0,,,-2398000,3684000.0,,122338000,3133853000.0,337000,20282000,416502000,90489000,105754000,11369000,-26187000,62864000,,-0.080472,630000,,630000.0,600849000.0,180759000.0,102056000,-65527000,,-603000,64199000,1690431000.0,,2533004000.0,0.0,58008000.0,,,,,,,,
2010-06-30,179670000,385688000.0,203423575.0,-14940000,3024948000.0,,-14940000,142042000.0,656671000,-827470000,,212320000.0,321394000,8649000.0,34853000.0,4613368000.0,,-657147000.0,8952000,-0.074526,99441000.0,602792000.0,200468080.0,-647800000,-1197000,-19696000,5538421000.0,5358202000.0,43656000,-14940000,47840000.0,25000.0,90489000,99441000.0,,37047000.0,143583000.0,,,-3590000,-11373000.0,,156521000,3877357000.0,81000,55839000,477915000,99441000,147837000,8095000,-827389000,99495000,,-0.074526,630000,,630000.0,790179000.0,180219000.0,100682000,-196906000,,-33769000,61786000,1661064000.0,,3087178000.0,0.0,62230000.0,,,,,,,,
2010-09-30,118474000,321132000.0,203423575.0,93001000,2796182000.0,,93001000,133234000.0,-121471000,-25665000,,234412000.0,375234000,7254000.0,35176000.0,4592492000.0,,-564146000.0,-24179000,0.463919,75262000.0,,200468080.0,92809000,1395000,-569000,5479199000.0,5328518000.0,52676000,93001000,50943000.0,25000.0,99441000,75262000.0,,46213000.0,251826000.0,,,-323000,-2119000.0,,258871000,3715250000.0,4483000,137575000,634105000,75262000,-25634000,3103000,-21182000,190251000,,0.457179,627000,,627000.0,859279000.0,150681000.0,121296000,-120715000,,1624000,74755000,1763949000.0,,2855971000.0,0.0,59789000.0,,,,,,,,
2010-12-31,-12329000,294180000.0,,-39312000,3125848000.0,,-39312000,192057000.0,86296000,-97807000,,216501000.0,356506000,7879000.0,32763000.0,4639281000.0,,-603458000.0,-20215000,,55047000.0,,,-110136000,-625000,-69645000,5563513000.0,5434130000.0,52999000,-39312000,64399000.0,25000.0,75262000,55047000.0,,54673000.0,78237000.0,,5533908000.0,2413000,4309000.0,,127100000,3831845000.0,3625000,16545000,483606000,55047000,-33074000,13456000,-94182000,69544000,,,633000,,633000.0,653317000.0,129383000.0,110555000,-572632000,,-1204000,63658000,1731668000.0,-894627000.0,3178528000.0,0.0,52680000.0,,,,,,,,
2011-03-31,136261000,380724000.0,203423575.0,-10625000,2992800000.0,,-10625000,190523000.0,-122208000,-19901000,,250187000.0,344239000,10760000.0,37274000.0,4612925000.0,,-614083000.0,-5848000,-0.053001,49199000.0,,200468080.0,116360000,-2881000,184000,5563971000.0,5406240000.0,51753000,-10625000,62173000.0,25000.0,55047000,49199000.0,,47879000.0,89030000.0,,,-4511000,21760000.0,,151271000,3825205000.0,0,34812000,495510000,49199000,98077000,-2226000,-19901000,86565000,,-0.053001,297000,,297000.0,782114000.0,157731000.0,116459000,-135613000,,2432000,70202000,1738766000.0,,3043091000.0,0.0,50291000.0,,,,,,,,
2011-06-30,97949000,414557000.0,203423575.0,29176000,2939677000.0,,29176000,191828000.0,-9522000,-77449000,,235123000.0,382907000,9304000.0,39357000.0,4643864000.0,,-584907000.0,10978000,0.145539,60177000.0,,200468080.0,20500000,1456000,-209000,5606109000.0,5438484000.0,52055000,29176000,63254000.0,25000.0,49199000,60177000.0,,46696000.0,132982000.0,,,-2083000,22638000.0,,185679000,3836985000.0,0,76202000,568586000,60177000,17203000,1081000,-77449000,128257000,,0.143425,304000,414557000.0,304000.0,845916000.0,167625000.0,109477000,-118178000,,-344000,62967000,1769124000.0,,2991069000.0,0.0,51392000.0,,,,,,,,
2011-09-30,89336000,332572000.0,203423575.0,110198000,2847446000.0,,110198000,174154000.0,-81707000,-19971000,,242699000.0,397200000,12505000.0,41561000.0,4617318000.0,,-474709000.0,-12342000,0.549703,47835000.0,,200468080.0,69365000,-3201000,-512000,5539392000.0,5394264000.0,55719000,110198000,64610000.0,25000.0,60177000,47835000.0,,49897000.0,144167000.0,,,-2204000,-12020000.0,,269434000,3694428000.0,0,162709000,666634000,47835000,-79343000,1356000,-19971000,218428000,,0.541717,305000,332572000.0,110198000.0,784048000.0,145128000.0,106725000,-81195000,,-2623000,60208000,1844964000.0,,2910380000.0,0.0,62934000.0,,,,,,,,
2011-12-31,33444000,325472000.0,,-3172000,2837499000.0,,-1890000,167383000.0,45123000,-67476000,,211065000.0,343530000,8159000.0,36234000.0,4640093000.0,,-467741000.0,11091000,,58926000.0,,,-34032000,4346000,-1193000,5562411000.0,5410268000.0,51522000,-3172000,80327000.0,25000.0,47835000,58926000.0,,45753000.0,200582000.0,,5703086000.0,5327000,-19794000.0,,145064000,3717948000.0,0,42389000,488594000,58926000,-15728000,15717000,-67476000,94883000,,,305000,325472000.0,305000.0,817446000.0,152143000.0,102675000,-104973000,,1469000,57974000,1844463000.0,-1062993000.0,2900502000.0,0.0,63003000.0,,,,,,,,
2012-03-31,158434000,411281000.0,203423575.0,3284000,2763776000.0,,3284000,169780000.0,-129054000,-24333000,,239424000.0,352027000,7987000.0,39674000.0,4616199000.0,,-464457000.0,5047000,0.016382,63973000.0,,200468080.0,134101000,172000,-2283000,5580941000.0,5396271000.0,52470000,3284000,72275000.0,25000.0,58926000,63973000.0,,,153631000.0,,,-3440000,-1112000.0,,163403000,3711245000.0,0,46444000,515430000,63973000,100281000,-8052000,-24333000,98914000,,0.016144,165000,411281000.0,3284000.0,876611000.0,184670000.0,116959000,-277776000,,3010000,71162000,1869696000.0,,2834634000.0,0.0,70858000.0,,,,,,,,
