date,quarterlyTaxProvision,quarterlyNetPPE,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyDilutedAverageShares,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyStockBasedCompensation,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyCurrentLiabilities,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyCurrentAssets,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyGrossProfit,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOperatingExpense,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyNetIncome,quarterlyRepaymentOfDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetOtherInvestingChanges,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyInventory,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory
2004-03-31,15335000,,,,-884000,,,,,40734000.0,,36186000,-33717000.0,,30955000.0,,30955000,14160000,-5925000,,,,6853000,,,,16052000,,,8599000,,,20851000,-38262000,15452000,,,-10081000.0,,,108637000,,-7297000,3566000.0,,8235000,,77804000,527362000,,,,,,,,181737000,,,345625000,,267821000,,,,208208000,,20851000,,20851000,24000,,,,,,
2004-06-30,11326000,,,,27920000,,,,,,,33583000,-340000.0,,44000.0,,44000,23869000,-8380000,,,,15150000,,,,19174000,,,15452000,,,22257000,-8763000,30602000,,,-27506000.0,,,24837000,,-1398000,11342000.0,,15489000,,5663000,160477000,,,,,,,,96063000,,,64414000,,58751000,,,,39031000,,22257000,,22257000,1313000,,,,,,
2004-09-30,7353000,,,,20075000,,,,,,,23539000,0.0,,0.0,,0,25553000,-19133000,,,,8345000,,,,18304000,,,30602000,,,16186000,-17208000,38947000,,,-18417000.0,,,21768000,,1526000,7954000.0,,6420000,,3464000,151924000,,,,,,,,91268000,,,60656000,,57192000,,,,38343000,,16186000,,16186000,1925000,,,,,,
2004-12-31,11959000,258741000.0,,1083964000.0,25810000,34441000.0,,,34441000.0,,,27704000,-10181000.0,,0.0,8181000.0,0,20740000,-15854000,5564828000.0,5353059000.0,21962000.0,-4506000,,,,24075000,33327000.0,12310000.0,38947000,,,15745000,-25246000,34441000,,,-24475000.0,,,25969000,-1171097000.0,-3435000,8830000.0,1217549000.0,4886000,108527000.0,1894000,172871000,211769000.0,,258741000.0,0.0,,25058000.0,,105209000,53238000.0,151120000.0,67662000,1109022000.0,65768000,2945782000.0,,4347279000.0,40480000,,15745000,,15745000,-3189000,,,,,,
2005-03-31,33629000,261603000.0,,1091985000.0,27400000,15181000.0,,,15181000.0,44908000.0,,79258000,0.0,,1239000.0,17366000.0,1239000,11005000,-20921000,5577710000.0,5385659000.0,19546000.0,-6460000,,,,16761000,36165000.0,7008000.0,21641000,,,45629000,-18704000,15181000,,,-22676000.0,,,125587000,-1154272000.0,-8803000,8898000.0,1217100000.0,-9916000,101041000.0,96766000,601471000,192051000.0,,261603000.0,0.0,,24074000.0,,218259000,45330000.0,153323000.0,383212000,1116059000.0,286446000,2966139000.0,,4360610000.0,234758000,,45629000,,45629000,2179000,,,,,,
2005-06-30,6082000,270072000.0,,1096834000.0,15091000,10831000.0,,,10831000.0,,2139539000.0,10109000,,560398000.0,4121000.0,2995608000.0,4121000,19994000,-30232000,5583849000.0,5405219000.0,1208000.0,-4350000,,,,20243000,34646000.0,4899000.0,15181000,0.0,0.005,4027000,-28465000,10831000,,560480790.0,,,,15261000,-1150245000.0,4426000,5393000.0,1215662000.0,-10238000,94803000.0,-4982000,178019000,178630000.0,,270072000.0,0.0,,24025000.0,0.005,115590000,42573000.0,146336000.0,62429000,1120859000.0,67411000,,16376000.0,4368187000.0,47168000,,4027000,,4027000,1805000,,,,,,
2005-09-30,32321000,273718000.0,,1128136000.0,34913000,227503000.0,,,227503000.0,,2138071000.0,33510000,,560398000.0,200677000.0,3018261000.0,200677000,30837000,-23356000,5824684000.0,5430050000.0,0.0,216672000,,,,17884000,37223000.0,1786000.0,10831000,2802000.0,0.002122,1189000,-14842000,227503000,,560439880.0,,,,16481000,-1149056000.0,12131000,32378000.0,1257622000.0,7481000,104458000.0,-1403000,167934000,394634000.0,,273718000.0,0.0,,25028000.0,0.002122,109323000,51734000.0,148510000.0,58611000,1153164000.0,60014000,,15501000.0,4567062000.0,42130000,,1189000,,1189000,8514000,,,,,,
2005-12-31,1245000,256245000.0,-194104000.0,1131505000.0,6724000,250352000.0,,,250352000.0,,2133518000.0,12480000,,,7000.0,3029087000.0,129000,23455000,-16017000,5819236000.0,5418850000.0,0.0,22849000,,,,21489000,26854000.0,-1860000.0,227503000,2681000.0,,11235000,-735000,250352000,,,,,,27707000,-1137821000.0,-229000,3694000.0,1243811000.0,7438000,89945000.0,6218000,174266000,400386000.0,,450349000.0,4433000.0,,22361000.0,,110072000,45600000.0,134615000.0,64194000,1153866000.0,57976000,,17491000.0,4575425000.0,36949000,,11235000,,11235000,2876000,,,,,,
2006-03-31,8651000,259104000.0,-194104000.0,1140780000.0,23123000,150821000.0,,,150821000.0,,,20266000,,,-2000.0,3111723000.0,-2000,10268000,-13802000,5849381000.0,5536788000.0,0.0,-99531000,,,,15655000,31897000.0,1564000.0,250352000,2802000.0,0.02,11615000,-109797000,150821000,,560404497.0,353000.0,,-49175000.0,12798000,-1126206000.0,-5021000,8293000.0,1258371000.0,-3534000,96035000.0,-2857000,153568000,312593000.0,,453208000.0,4426000.0,,21556000.0,0.02,97599000,47812000.0,142583000.0,55969000,1162336000.0,58826000,,16326000.0,4591010000.0,43171000,2165961000.0,11615000,,11615000,-27000,,,,,,
2006-06-30,12882000,264706000.0,-194104000.0,1154601000.0,32868000,152793000.0,,,152793000.0,,,26616000,,,-2000.0,3147042000.0,-2000,21775000,-18598000,5884935000.0,5578457000.0,0.0,1972000,,,,16304000,30660000.0,7912000.0,150821000,2802000.0,0.025,13734000,-19801000,152793000,,560401924.0,799000.0,,-1486000.0,10089000,-1112472000.0,9946000,11883000.0,1273411000.0,3177000,98349000.0,-6215000,165789000,306478000.0,,458810000.0,5148000.0,,20461000.0,0.025,109623000,49839000.0,137750000.0,56166000,1175062000.0,62381000,,17850000.0,4611524000.0,46114000,2166709000.0,13734000,,13734000,283000,,,,,,
