date,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,quarterlyCashAndCashEquivalents,quarterlyTaxProvision,quarterlyNetPPE,quarterlyChangesInAccountReceivables,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyDilutedAverageShares,quarterlyAccountsPayable,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyEbitda,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyDilutedEPS,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyLongTermDebt,quarterlyBasicEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyCommonStockIssuance,quarterlyStockBasedCompensation
1998-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265000000.0,,,,3465922439435.0,,,,,,,,,,,,3465922439435.0,3465922439435.0,235.017626,,297297296890.0,,,297297296890.0,297297296890.0,,,,,,,,,,,,1265000000.0,,235.017626,,,,,,,,,
1998-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265000000.0,,,,3465922439435.0,,,,,,,,,,,,3465922439435.0,3465922439435.0,235.017626,,297297296890.0,,,297297296890.0,297297296890.0,,,,,,,,,,,,1265000000.0,,235.017626,,,,,,,,,
1998-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265000000.0,,,,3465922439435.0,,,,,,,,,,,,3465922439435.0,3465922439435.0,235.017626,,297297296890.0,,,297297296890.0,297297296890.0,,,,,,,,,,,,1265000000.0,,235.017626,,,,,,,,,
1998-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3465922439435.0,,,,,,,,,,,,3465922439435.0,3465922439435.0,,,297297296890.0,,,297297296890.0,297297296890.0,,,,,,,,,,,,,,,,,,,,,,,
1999-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1252034615.0,,,,4142000015076.88,,,,,,,,,,,,4142000015076.88,4142000015076.88,293.122887,,367000001335.88,,,367000001335.88,367000001335.88,,,,,,,,,,,,1252034615.0,,293.122887,,,,,,,,,
1999-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1268352000.0,,,,4142000009278.08,,,,,,,,,,,,4142000009278.08,4142000009278.08,289.351853,,367000000822.08,,,367000000822.08,367000000822.08,,,,,,,,,,,,1268352000.0,,289.351853,,,,,,,,,
1999-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1256975000.0,,,,4141999992627.24,,,,,,,,,,,,4141999992627.24,4141999992627.24,291.970802,,366999999346.74,,,366999999346.74,366999999346.74,,,,,,,,,,,,1256975000.0,,291.970802,,,,,,,,,
1999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3277284262898.28,,,,,,,,,,,,3277284262898.28,3277284262898.28,,,371253680959.78,,,371253680959.78,371253680959.78,,,,,,,,,,,,,,,,,,,,,,,
2000-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1277650648.0,,,,4676991149320.0,,,,,,,,,,,,4676991149320.0,4676991149320.0,290.044248,,370575221150.0,,,370575221150.0,370575221150.0,,,,,,,,,,,,1277650648.0,,290.044248,,,,,,,,,
2000-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276923077.0,,,,4676700104000.0,,,,,,,,,,,,4676700104000.0,4676700104000.0,289.855072,,370122630400.0,,,370122630400.0,370122630400.0,,,,,,,,,,,,1276432141.0,,289.966555,,,,,,,,,
2000-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276923077.0,,,,4676700104000.0,,,,,,,,,,,,4676700104000.0,4676700104000.0,289.855072,,370122630400.0,,,370122630400.0,370122630400.0,,,,,,,,,,,,1276432141.0,,289.966555,,,,,,,,,
2000-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4676749415800.0,,,,,,,,,,,,4676749415800.0,4676749415800.0,,,371450274100.0,,,371450274100.0,371450274100.0,,,,,,,,,,,,,,,,,,,,,,,
2001-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275635767.0,,,,4767596287500.0,,,,,,,,,,,,4767596287500.0,4767596287500.0,323.771581,,413014608750.0,,,413014608750.0,413014608750.0,,,,,,,,,,,,1275635767.0,,323.771581,,,,,,,,,
2001-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275635767.0,,,,4656290527400.0,,,,,,,,,,,,4656290527400.0,4656290527400.0,316.21271,,403372243460.0,,,403372243460.0,403372243460.0,,,,,,,,,,,,1275635767.0,,316.21271,,,,,,,,,
2001-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275635767.0,,,,4698952866800.0,,,,,,,,,,,,4698952866800.0,4698952866800.0,319.109947,,407068061720.0,,,407068061720.0,407068061720.0,,,,,,,,,,,,1275635767.0,,319.109947,,,,,,,,,
2001-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4774363522050.0,,,,,,,,,,,,4774363522050.0,4774363522050.0,,,414801075090.0,,,414801075090.0,414801075090.0,,,,,,,,,,,,,,,,,,,,,,,
2002-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1277365455.0,,,,5579599482329.1,,,,,,,,,,,,5579599482329.1,5579599482329.1,729.442973,,931765254132.45,,,931765254132.45,931765254132.45,,,,,,,,,,,,1277365455.0,,729.442973,,,,,,,,,
2002-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1277976720.0,,,,5258772500000.0,,,,,,,,,,,,5258772500000.0,5258772500000.0,687.5,,878188750000.0,,,878188750000.0,878188750000.0,,,,,,,,,,,,1277976720.0,,687.5,,,,,,,,,
2002-09-30,,,,,,3264487500000.0,710975000000.0,,710975000000.0,,28601420000000.0,,,1234781250000.0,,,-4989575000000.0,,23260765000000.0,33590995000000.0,,,,,,,,,,1280201752.0,1018265000000.0,1234781250000.0,45215000000.0,5509872500000.0,,4171213750000.0,2581867500000.0,,,,,18310921250000.0,,,51943101250000.0,5509872500000.0,5509872500000.0,2775.0,18306877500000.0,896166250000.0,,54524968750000.0,896166250000.0,896166250000.0,2464341250000.0,204760000000.0,,1604785000000.0,1915481250000.0,,,,36218091250000.0,,,1280201752.0,11671322500000.0,2775.0,1318790000000.0,,5509872500000.0,,61347500000.0,,-4613706250000.0,,
