date,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyBasicEPS,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyDilutedAverageShares,quarterlyGrossProfit,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyChangeInInventory,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyCostOfRevenue,quarterlyOperatingExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPretaxIncome,quarterlyStockholdersEquity,quarterlyPurchaseOfBusiness,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyDilutedEPS,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyNetPPE,quarterlyOtherNonCashItems,quarterlyTaxProvision,quarterlyBasicAverageShares,quarterlyOtherCurrentLiabilities,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation
1988-03-31,,,,0.028496,,,,,,,,,,,,,,,,632864000.0,,35577517,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028496,,,,,,,,,,268684373,,,,268684373,,,,,632864000.0,,268684373,,,,,,,
1988-06-30,,,,0.02804,,,,,,,,,,,,,,,,632864000.0,,34930261,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02804,,,,,,,,,,263917526,,,,263917526,,,,,632864000.0,,263917526,,,,,,,
1988-09-30,,,,0.025863,,,,,,,,,,,,,,,,633168000.0,,32493611,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025863,,,,,,,,,,255080930,,,,255080930,,,,,633168000.0,,255080930,,,,,,,
1988-12-31,1791696492.0,573013601.0,,,,,156645192.0,,214984491.0,2998329754.0,,88284419.0,,2841684562.0,,2006680983.0,,54760200.0,,,,485837,,,,629563350.0,21951801.0,,1073848723.0,,,,,,,,,,,991648771.0,,,,1.0,-1073729.0,21951801.0,21951801.0,,,76234789.0,,,,,,,,,73674800,,,2787998091.0,-484783802,,2786924362.0,,,,138749702.0,-484783802,,,,,,,
1989-03-31,,,,0.02314,,,,,,,29457364.0,,,,,,,,,633232000.0,,29457364,29457364.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.02314,,,,,,,,,,220155039,,,,220155039,,,,,633232000.0,,220155039,,,,,,,
1989-06-30,,,,0.023203,,,,,,,28838100.0,,,,,,,,,633456000.0,,28838100,28838100.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.023203,,,,,,,,,,217302860,,,,217302860,,,,,633456000.0,,217302860,,,,,,,
1989-09-30,,,,0.022118,,,,,,,27784318.0,,,,,,,,,633616000.0,,27784318,27784318.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.022118,,,,,,,,,,244525547,,,,244525547,,,,,633616000.0,,244525547,,,,,,,
1989-12-31,1754024319.0,624435437.0,,,,,162015055.0,,287319050.0,3106543138.0,31154005.0,44354372.0,,2944528083.0,,2041343370.0,,55124493.0,,,,31154005,31154005.0,,,656514186.0,16907933.0,,1053155761.0,,,,,,,,,,,1039143023.0,,,,0.0,-1235668790.0,25361899.0,25361899.0,,,77127968.0,,,,,,,,,196390559,,,4125072380.0,-368867113,,2889403590.0,,,,210191082.0,-368867113,,,,,,,
1990-03-31,,,,0.032896,,,,,,,41876243.0,,,,,,,,,633872000.0,,41876243,41876243.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.032896,,,,,,,,,,276874488,,,,276874488,,,,,633872000.0,,276874488,,,,,,,
1990-06-30,,,,0.025505,,,,,,,31886419.0,,,,,,,,,633936000.0,,31886419,31886419.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.025505,,,,,,,,,,247759804,,,,247759804,,,,,633936000.0,,247759804,,,,,,,
