date,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyInventory,quarterlyNetIncomeCommonStockholders,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBasicAverageShares,quarterlyCashAndCashEquivalents,quarterlyBasicEPS,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyDilutedAverageShares,quarterlyCapitalStock,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyOperatingExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyNetPPE,quarterlyTaxProvision,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyPretaxIncome,quarterlyDilutedEPS,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyCapitalExpenditure
2009-12-31,4769816000,,,938753000,,0.0,0,555000,,,,,,1003945000,,1253872000,,1253872000,,,,,1359740000,0,0.0,,39439000,,1167831000,,555000,3410076000,890456000,,,,2846418000.0,3831063000,1359185000,,,,,,-1955962000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,5908085000,,,1164808000,,0.0,0,557000,,,,,,1168314000,,1420892000,,1420892000,,,,,1915532000,0,0.0,,39439000,,1606353000,,557000,3992553000,1032509000,,,,,4743277000,1914975000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,7617156000,,,1656547000,,0.0,0,610000,,,,,,1624182000,,2054980000,,2054980000,,,,,2477006000,75772000,0.0,,39612000,,1993404000,,610000,5140150000,1528498000,,,,3685899000.0,5960609000,2476396000,,,,,,-2157401000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,11166100000,,,2368801000,,1859000.0,1203338000,1204001000,,,,,,3186402000,,1985417000,,1985417000,,166715000.0,,,5682729000,250032000,16917000.0,,39612000,,3221824000,,663000,5483371000,1943567000,,,,,8797299000,4478728000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,9611706000,2938969000.0,,2470652000,,0.0,53684000,187622000,,,,,,2545601000,,1629672000,,1629672000,,331144000.0,,11380000.0,3345911000,-764000,17222000.0,,39764000,,2031739000,,38468000,6265795000,2073679000,,,,4382401000.0,7141054000,3158289000,,,,,,-2308722000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,10529948000,3511097000.0,1900209000.0,2552782000,,0.0,22509000,112494000,,310014000.0,,310014000.0,387640000.0,3200301000,310014000.0,1231737000,397453846.0,1231737000,0.78,676434000.0,710000.0,10436000.0,4112558000,473000,22105000.0,397453846.0,39764000,1026323000.0,2759680000,618522000.0,10945000,6417390000,2067978000,92759000.0,403483000.0,,,7977166000,4000064000,232863000.0,402773000.0,0.78,407801000.0,2926532000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,10432854000,3427546000.0,1950737000.0,2680493000,3240000.0,0.0,33836000,425301000,210118000.0,230324000.0,,230324000.0,362125000.0,3361372000,230324000.0,948628000,397110345.0,948628000,0.58,320956000.0,4568000.0,10310000.0,3737131000,50366000,0.0,397110345.0,39925000,899425000.0,2399593000,595929000.0,28834000,6695723000,2065626000,79863000.0,314755000.0,,2065626000.0,7752361000,3311830000,241485000.0,310187000.0,0.58,303496000.0,2850162000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,13723949000,4021787000.0,2241207000.0,2460453000,476000.0,0.0,34081000,2399893000,2197540000.0,417141000.0,,417141000.0,411670000.0,3799027000,417141000.0,3151650000,401097115.0,3151650000,1.04,209053000.0,36995000.0,13874000.0,5988919000,79050000,211716000.0,401097115.0,40063000,1196433000.0,2819224000,677298000.0,5638000,7735030000,1982157000,91193000.0,545329000.0,6021269000.0,1982157000.0,11263496000,3589026000,271589000.0,508334000.0,1.04,519135000.0,3437640000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,14387439000,4760311000.0,2341584000.0,3621691000,155770000.0,0.0,38985000,2592216000,2252835000.0,438260000.0,405432000.0,438260000.0,523596000.0,4028858000,438260000.0,1825157000,402073394.0,1669387000,1.09,80752000.0,39158000.0,608427000.0,6132510000,106192000,250418000.0,402073394.0,40252000,1420368000.0,2710838000,818724000.0,76350000,8254929000,2057680000,105825000.0,583243000.0,,2057680000.0,10765748000,3540294000,300404000.0,544085000.0,1.09,601644000.0,3761952000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,13867643000,4304398000.0,1841886000.0,3773749000,254983000.0,,37753000,2698883000,2406216000.0,49830000.0,427754000.0,53107000.0,542777000.0,3482436000,53107000.0,2275128000,402688000.0,2020145000,0.13,37459000.0,39956000.0,604888000.0,5831658000,106496000,254983000.0,404607000.0,40453000,1086508000.0,2389798000,840990000.0,61622000,8006519000,2240734000,118818000.0,208604000.0,6876176000.0,5511820000.0,10093894000,3132775000,306076000.0,168648000.0,0.13,245518000.0,2928394000.0,-3271086000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
