date,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyNetPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyDilutedEPS,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyBasicAverageShares,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyOtherNonCashItems,quarterlyBasicEPS,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyGoodwill,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyResearchAndDevelopment
1984-03-31,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,668809595.0,,125100000,,0.01,,,,,,,,,125100000,,125100000,,10200000,,,,10200000,10200000,668809595.0,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,695000000.0,,137600000,,0.02,,,,,,,,,137600000,,137600000,,13900000,,,,13900000,13900000,695000000.0,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,710000000.0,,139800000,,0.02,,,,,,,,,139800000,,139800000,,14200000,,,,14200000,14200000,710000000.0,,,,,,,,,,,,,,,,,,,,
1984-12-31,,,,,,,580100000.0,26500000.0,,26500000.0,,,6800000.0,,,,3300000.0,-125700000.0,,,,,,,705800000.0,,,,,,,40500000.0,,,,-333900000,,,62800000.0,,,,47300000.0,215300000.0,237100000.0,,133500000,,-333900000,583400000.0,11400000,646200000.0,284400000.0,,11400000,11400000,,12200000.0,1400000.0,361800000.0,,,,,,,,,,82400000.0,4600000.0,,,,153300000.0,,
1985-03-31,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,530000000.0,,135700000,,0.01,,,,,,,,,135700000,,135700000,,5300000,,,,5300000,5300000,530000000.0,,,,,,,,,,,,,,,,,,,,
1985-06-30,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,640000000.0,,169800000,,0.03,,,,,,,,,169800000,,169800000,,19200000,,,,19200000,19200000,640000000.0,,,,,,,,,,,,,,,,,,,,
1985-09-30,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,840000000.0,,199500000,,0.02,,,,,,,,,199500000,,199500000,,16800000,,,,16800000,16800000,840000000.0,,,,,,,,,,,,,,,,,,,,
1985-12-31,,,20000000.0,,,,881500000.0,69300000.0,,69300000.0,,,12500000.0,,,,3000000.0,-173500000.0,,,,,,,1055000000.0,,,,,,,59400000.0,,,,-422400000,,,117900000.0,,,,71900000.0,258600000.0,484500000.0,,178700000,,-422400000,904500000.0,6000000,1022400000.0,556400000.0,,6000000,6000000,,8100000.0,4600000.0,466000000.0,,,,,,,,,,98600000.0,8600000.0,,,,381300000.0,,
1986-03-31,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,732592204.0,,173300000,,0.01,,,,,,,,,173300000,,173300000,,2700000,,,,2700000,2700000,732592204.0,,,,,,,,,,,,,,,,,,,,
1986-06-30,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,855000000.0,,193900000,,0.02,,,,,,,,,193900000,,193900000,,17100000,,,,17100000,17100000,855000000.0,,,,,,,,,,,,,,,,,,,,
