date,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyBasicAverageShares,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOtherNonCurrentAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedEPS,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyStockholdersEquity,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,quarterlyChangesInAccountReceivables,quarterlyCurrentDebt,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDilutedAverageShares,quarterlyNetOtherFinancingCharges,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyOperatingIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyNetPPE,quarterlyBasicEPS,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyIncomeTaxPayable,quarterlyGoodwill
1997-03-31,,,,2500000,5200000,700000,15000000.0,,169800000,,,8900000,,-59400000,109500000,2700000,310400000,,2700000,2700000,,0.18,,,,,-59600000,,,700000.0,,169800000,,95900000,-5300000.0,,,-3500000,,,,,,,-218900000,,200000.0,,,-59600000,1500000,175500000,15000000.0,-4400000,,,,200000,,12400000,116200000,,302800000.0,,-10200000,,173600000,0.18,,14900000,,,,,,,
1997-06-30,,,,3000000,3500000,1500000,14642857.0,,166900000,,,14800000,,-154100000,210800000,4100000,410200000,,4100000,4100000,,0.28,,,,,-177000000,,,,,166900000,,187700000,2900000.0,,,-5900000,,,,,,,-200000,,-5400000.0,,,-159700000,2500000,89600000,14642857.0,1500000,,,,5600000,,20700000,-81900000,,0.0,,-5000000,,336300000,0.28,,23700000,,,,,,,
1997-09-30,,-7400000.0,,3700000,1600000,1500000,19117647.0,,392100000,,,19100000,,-119400000,135300000,6500000,572500000,,6500000,6500000,,0.34,,15700000.0,,,-114200000,,,,,392100000,,104100000,4300000.0,,,-7600000,,,,,,,-300000,,-4900000.0,,,-129900000,2600000,144300000,19117647.0,1000000,,,,10500000,,26700000,40600000,,241000000.0,,-1200000,,469600000,0.34,,30400000,,,,,,,
1997-12-31,,-10602000.0,,4823000,-6038000,1327000,,,-6258000,,,26282000,,-731714000,305319000,11562000,757654000,,11562000,8358000,,,,543186000.0,,,-201156000,,,10804000.0,,397150000,,273363000,2600000.0,,,49601000,,,8929000.0,,8929000.0,245000.0,-7149000,,-1600000.0,,-121780000.0,-744342000,4933000,122557000,,-1570000,,,834690000.0,12628000,,-23319000,-65971000,,-100000.0,,5485000,,712910000,,,-18496000,,,,,,,
1998-03-31,,-10800000.0,,5900000,2600000,1600000,25428571.0,,-8200000,,,29000000,,-114500000,331300000,8900000,912700000,,8900000,8900000,,0.35,,-11300000.0,,,-142200000,,,,,456000000,,297000000,800000.0,,,-11800000,,,,8900000.0,,,-1400000,,-1300000.0,,,-130900000,4800000,130300000,25428571.0,58500000,,,,16400000,,40800000,4600000,,59000000.0,,-1000000,,851900000,0.35,,46700000,,,,,,,
1998-06-30,,-12400000.0,,6500000,4200000,2100000,27222222.0,,-9600000,,,33600000,,-102200000,394000000,9800000,1015100000,,9800000,9800000,,0.36,,12100000.0,,,-107600000,,,,,477600000,,357400000,1800000.0,,,-14000000,,,,,,,-1700000,,-3300000.0,,,-119700000,4600000,84600000,27222222.0,97000000,,,,17500000,,47600000,-5700000,,23200000.0,,-3000000,,968200000,0.36,,54100000,,,,,,,
1998-09-30,,-12800000.0,,6800000,-2300000,1800000,27777778.0,,-10800000,,,34500000,,-10400000,444900000,10000000,1063700000,,10000000,10000000,,0.36,,-3000000.0,,,-34000000,,,,,476400000,,403900000,4400000.0,,,-14500000,,,,,,,700000,,-1300000.0,,,-31000000,5300000,32800000,27777778.0,45600000,,,,20600000,,49000000,19500000,,0.0,,6200000,,993000000,0.36,,55800000,,,,,,,
1998-12-31,,-12843000.0,,7000000,5272000,2239000,,,-11844000,,,39284000,,-380896000,449529000,4622000,1105928000,,10222000,10222000,,,,348706000.0,,,-59917000,,8800000.0,12895000.0,,475899000,,405383000,2200000.0,,,106222000,,,6443000.0,,6443000.0,276000.0,-579000,,-4700000.0,2200000.0,-145437000.0,-399825000,5968000,20102000,,-2089000,,,1194284000.0,18929000,,-66938000,-20886000,,-387000.0,,-3565000,,1048847000,,,-59938000,,,,,,,
1999-03-31,,-12900000.0,,7200000,2500000,2300000,27500000.0,,-13500000,,,37600000,-1200000.0,-43900000,505200000,9900000,1178800000,,9900000,9900000,,0.36,,1400000.0,,,-61700000,,15800000.0,,,475300000,,459800000,1500000.0,,,-15700000,,,,6400000.0,,,-40500000,,-2300000.0,,,-61900000,5800000,39700000,27500000.0,-1900000,,,,18000000,,53300000,-4000000,,,,-1600000,,1131300000,0.36,,60500000,,,,,,,
1999-06-30,,-13600000.0,,7500000,5400000,2200000,27692308.0,,-14300000,,,39300000,,-16700000,535600000,10800000,1208500000,,10800000,10800000,,0.39,,2700000.0,,,-30700000,,,,,474700000,,490300000,0.0,,,-15900000,,,,,,,400000,,-2900000.0,,,-34600000,6200000,19400000,27692308.0,2600000,,,,17900000,,55200000,6600000,,,,-5800000,,1152700000,0.39,,62700000,,,,,,,
