date,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockholdersEquity,quarterlyAccountsPayable,quarterlyEndCashPosition,quarterlyNetOtherInvestingChanges,quarterlyDilutedEPS,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyResearchAndDevelopment,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyOperatingCashFlow,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyBasicEPS,quarterlyTotalAssets,quarterlyBasicAverageShares,quarterlyOtherShortTermInvestments,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyDilutedAverageShares,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyFreeCashFlow,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyInventory,quarterlyCurrentLiabilities,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlyOtherCurrentAssets,quarterlyChangeInAccountPayable,quarterlyTotalNonCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyOtherNonCurrentLiabilities,quarterlyCostOfRevenue,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentAssets,quarterlyEbitda
1995-01-31,,,,,,5803710456,,325637152,,0.1696,,,,,,,,-107549885.0,,,,,,,,,,70704091,,-336591306,0.1696,102021024160,1224888131.0,,,,,207741027,207741027,18308376241,2559288928,,207741027,-2034485323,,1224888131.0,,,628370161,662228458,3844908386,70704091,,,,,,96217313704,,,,,,,,,,,,,,,,,,,
1995-04-30,,,,,,5825430405,,317877574,,0.163285,,,,,,,,578885599.0,,,,,,,,,,742424751,,-8191267,0.163285,103530434037,1225682659.0,,,,,200135593,200135593,18744812069,2404509676,,200135593,-309238986,,1225682659.0,,,612836076,325637152,2606795405,742424751,,,,,,97705003632,,,,,,,,,,,,,,,,,,,
1995-07-31,,,,,,5981187075,,567645127,,0.16468,,,,,,,,115230917.0,,,,,,,,,,339091179,,250175052,0.16468,104680732505,1224933307.0,,,,,201722017,201722017,21093493747,2406018644,,201722017,-1967391050,,1224933307.0,,,613455085,317877574,3132006885,339091179,,,,,,98699545429,,,,,,,,,,,,,,,,,,,
1995-10-31,,,,,,6026234774,1426716638.0,0,,,,,954758399.0,,,,4615580244.0,93395891.0,,,,,,,,,,667750532,,-43794299,,108325391514,,,1426716638.0,,,185220637,185220637,22080979789,2390443046,,147340835,-4048809685,,,,,532592692,567645127,4331682506,488524190,2944720.0,,,,,102299156739,,,,,,,,,,,,,,,,,,,
1996-01-31,,,,,,6232957669,,0,,0.17888,344007697.0,,,351017043.0,,129054426.0,4953271028.0,126992853.0,,351017042.0,,,,1018004398.0,,,,348955470,,200109951,0.17888,106595931831,1196283564.0,,,,,221962617,221962617,20667949423,2350054975,,213991204,2869021440,,1196283564.0,,,539994502,525975811,725948323,348955470,,,1245052227.0,,,100362974162,,,,,,,,,,,,,,,,,,,
1996-04-30,,,,,,6361061947,,0,,0.17699,338053097.0,,,344996597.0,,124982982.0,5332607216.0,281039822.0,,344996596.0,,,,1028046290.0,,,,501010493,,-53071149,0.17699,114790061266,1198469326.0,,,,,220013615,220013615,22555071477,2344996596,,212117086,-8078007145,,1198469326.0,,,538053097,0,672974813,501010493,,,1174948945.0,,,108428999319,,,,,,,,,,,,,,,,,,,
1996-07-31,,,,,,6286106912,,0,,0.178665,357977188.0,,,335028171.0,,111996702.0,6023361275.0,-678061533.0,,335165591.0,,,,1046172874.0,,,,-455022992,,-31056941,0.18554,118743025972,1159109367.0,,,,,223031469,223031469,23375017177,2375979112,,215061152,-3705951769,,1203711706.0,,,540057716,0,642022812,-455022992,,,1227978563.0,,,112456919060,,,,,,,,,,,,,,,,,,,
1996-10-31,,,,,,6679063545,,0,,,412051128.0,,1349966555.0,379114110.0,,130106006.0,4840000000.0,-1647027998.0,,379106830.0,,,,1124120022.0,,,,-1417953004,,264085029,,125644013378,,,,,,249008104,249008104,24223946488,2334983278,,241083232,-2912085937,,,,,534046823,0,5215919732,-2298889459,,,1206914019.0,,,118964949833,,,,,,,,,,,,,,,,,,,
1997-01-31,,,,,,6725973851,,0,,0.208955,417980860.0,,,428090039.0,,164038280.0,5132632430.0,-951071573.0,,427820461.0,,,,1225906456.0,,,,-687019814,,-186952419,0.215695,136105944197,1187321009.0,,,,,264051759,264051759,26582019140,2944062542,,256099205,-4522038011,,1225618937.0,,,536056072,906052029,718964820,-687019814,,,1164038280.0,,,129379970346,,,,,,,,,,,,,,,,,,,
1997-04-30,,,,,,6889974867,,0,,0.18869,426975705.0,,,388020106.0,,148003351.0,5556827702.0,-5166912230.0,,388159732.0,,,,1248115052.0,,,,-4926914841,,-169093378,0.19568,153205948059,869093561.0,,,,,240016755,240016755,28996928232,3542027367,,170064228,-11809014768,,901289035.0,,,544959509,0,549986037,-4926914841,,,1203993298.0,,,146315973192,,,,,,,,,,,,,,,,,,,
