date,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyTaxProvision,quarterlyCashAndCashEquivalents,quarterlyNetPPE,quarterlyChangesInAccountReceivables,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyBasicAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCommonStockIssuance,quarterlyAccountsPayable,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyDilutedAverageShares,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangeInInventory,quarterlyIncomeTaxPayable
1999-03-31,,,,,,0.24,,,,,,,,,,,,,,,,,,,54166667.0,,,,,,,,,90700000,,,,,,,,,,,,0.24,90700000,90700000,,13000000,,,13000000,13000000,,,,,,,,,,,,,,,54166667.0,,,,,,,,
1999-06-30,,,,,,0.24,,,,,,,,,,,,,,,,,,,54166667.0,,,,,,,,,90700000,,,,,,,,,,,,0.24,90700000,90700000,,13000000,,,13000000,13000000,,,,,,,,,,,,,,,54166667.0,,,,,,,,
1999-09-30,-26100000.0,28400000.0,,196700000.0,,0.3,500000.0,,2500000.0,12200000.0,0.0,18700000.0,,,16100000.0,3100000.0,,,,,18700000.0,,,,54000000.0,,,,,,,,,127100000,,,,43300000.0,,,,2500000.0,95500000.0,,,0.3,101000000,127100000,295000000.0,16200000,443400000.0,,16200000,16200000,,,,,200000.0,,,,148400000.0,,137100000.0,,,,54000000.0,,,,,,,,
1999-12-31,337338000.0,30150000.0,,,158500000.0,,639000.0,-125000000.0,159384000.0,12933000.0,157129000.0,22677000.0,1993000.0,-6025000.0,28200000.0,738000.0,,,-10151000.0,,22677000.0,50000.0,14526000.0,,,-1421000.0,,-52944000.0,117445000.0,705000.0,,-231000.0,,-234304000,,,,-83030000.0,4453000.0,,,2255000.0,112703000.0,,,,98581000,-238757000,167056000.0,17217000,447582000.0,8501000.0,17217000,17217000,,,194257000.0,2111000.0,90350000.0,,157129000.0,-5796000.0,280526000.0,,28200000.0,,10842000.0,,,2255000.0,,,,,,,
2000-03-31,75942000.0,32815000.0,,,157129000.0,0.3,639000.0,-28200000.0,90866000.0,13618000.0,88670000.0,26087000.0,-59919000.0,-5630000.0,0.0,353000.0,,-60000.0,-28038000.0,,26087000.0,-60000.0,-34822000.0,41000.0,63864382.0,-68459000.0,,-58801000.0,282000.0,,,-259000.0,,36751000,,,,13100000.0,4633000.0,,149000.0,2196000.0,131900000.0,,,0.3,108060000,32118000,88424000.0,19197000,388430000.0,-40452000.0,19197000,19197000,,,191844000.0,72468000.0,38800000.0,,88670000.0,-5589000.0,300006000.0,0.0,,,1118000.0,,64342592.0,2196000.0,0.0,,,,,,
2000-06-30,78249000.0,35653000.0,,197370000.0,88670000.0,0.32,639000.0,0.0,126637000.0,14796000.0,116633000.0,28661000.0,50122000.0,-4962000.0,,86000.0,,-31000.0,-31000.0,,28661000.0,,40588000.0,,63865770.0,27963000.0,,14650000.0,-60000.0,,,-83000.0,,39224000,,,,14605000.0,4902000.0,,150000.0,10004000.0,152757000.0,,,0.33,112571000,34322000,112542000.0,20857000,433729000.0,35626000.0,20857000,20857000,,,,72249000.0,63950000.0,,116633000.0,-12578000.0,321187000.0,0.0,0.0,,-35472000.0,,64492447.0,10004000.0,0.0,,,,,,
2000-09-30,90775000.0,38908000.0,,194757000.0,116633000.0,0.35,639000.0,0.0,173135000.0,16147000.0,158928000.0,37678000.0,284000.0,-11861000.0,,215000.0,,0.0,0.0,,37678000.0,,59088000.0,,63884410.0,42295000.0,,30600000.0,0.0,,,-812000.0,,42383000,,,,15577000.0,5457000.0,,41000.0,14207000.0,175518000.0,-4096000.0,,0.36,127701000,36926000,148947000.0,22761000,492495000.0,47227000.0,22761000,22761000,,,,77641000.0,96498000.0,,158928000.0,-15957000.0,343548000.0,0.0,0.0,,30316000.0,,64651300.0,14207000.0,0.0,,,,,,
2000-12-31,88868000.0,42541000.0,,192142000.0,158928000.0,,640000.0,0.0,205906000.0,17995000.0,192590000.0,45598000.0,-12580000.0,-10308000.0,0.0,201000.0,,0.0,991000.0,,45598000.0,-16000.0,43753000.0,,,33662000.0,,13324000.0,1007000.0,,,-2477000.0,,44675000,,,,15029000.0,5003000.0,,1408000.0,13316000.0,200064000.0,-1228000.0,,,128540000,39672000,168762000.0,24546000,537003000.0,33445000.0,24546000,24546000,,,,83284000.0,130101000.0,,192590000.0,-11536000.0,368241000.0,0.0,,,-13847000.0,,,13316000.0,0.0,,,,,,
2001-03-31,91789000.0,43581000.0,,189528000.0,192590000.0,0.39,645000.0,0.0,166080000.0,18085000.0,145377000.0,50658000.0,-72341000.0,-8195000.0,,201000.0,,0.0,-6075000.0,,50658000.0,-6472000.0,-26459000.0,,64159248.0,-47213000.0,,-64929000.0,397000.0,,,-1574000.0,,47669000,,,,17055000.0,5749000.0,,7225000.0,20703000.0,225560000.0,-5961000.0,,0.4,133709000,41920000,98629000.0,25496000,500443000.0,-34654000.0,25496000,25496000,,,,86430000.0,52556000.0,,145377000.0,-14156000.0,401814000.0,0.0,,,7412000.0,,64897486.0,20703000.0,1862000.0,,,,,,
2001-06-30,92554000.0,45139000.0,,186914000.0,145377000.0,0.4,645000.0,0.0,241675000.0,18909000.0,99231000.0,56728000.0,42794000.0,-9838000.0,,201000.0,,-1500000.0,-1482000.0,,56728000.0,0.0,86931000.0,,64248630.0,-46146000.0,,53493000.0,18000.0,,,-1590000.0,,49090000,,,,18684000.0,6382000.0,,826000.0,142444000.0,251790000.0,-121770000.0,,0.41,135262000,42708000,142362000.0,26230000,571234000.0,77093000.0,26230000,26230000,,,,78216000.0,87090000.0,,99231000.0,-131608000.0,428872000.0,0.0,,,10699000.0,,64877389.0,142444000.0,2632000.0,,,,,,
