date,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyCurrentDebt,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDilutedAverageShares,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyBasicEPS,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyBasicAverageShares,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyGoodwill,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyCommonStockIssuance,quarterlyIncomeTaxPayable,quarterlyCurrentDeferredRevenue,quarterlyCurrentAccruedExpenses,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
1992-03-31,,,,,,,,,,37581000.0,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.02,23500000,,23500000.0,,500000,,,,,,,,,,23500000,,,37581000.0,,,,,,500000,500000,,,,,,,,,,,,,,,,,
1992-06-30,,,,,,,,,,35000000.0,,,,,,,,,-0.08,,,,,,,,,,,,,,,,-0.08,26600000,,26600000.0,,-2800000,,,,,,,,,,26600000,,,35000000.0,,,,,,-2800000,-2800000,,,,,,,,,,,,,,,,,
1992-09-30,,,,,,,,,,41111111.0,,,,,,,,,-0.09,,,,,,,,,,,,,,,,-0.09,22200000,,22200000.0,,-3700000,,,,,,,,,,22200000,,,41111111.0,,,,,,-3700000,-3700000,,,,,,,,,,,,,,,,,
1992-12-31,8800000.0,,126100000.0,300000.0,,,,,,,,,,,,48100000.0,0.0,,,,,,223000000.0,174200000.0,,,,9800000.0,9800000.0,,,28900000.0,,,,43800000,,-77600000.0,,-2600000,,48800000.0,,-146500000.0,,29200000.0,,140200000.0,,-77600000,,,,,,,109800000.0,,-2600000,-2600000,1200000.0,82800000.0,,8000000.0,,111000000.0,,,,,,,,,,,
1993-03-31,,,,,,-17585460.564007,,45594881.914825,,41220000.0,,10105671.907822,,,-29919154.624737,,,-557005.538226,0.01,,,-47504615.188744,0.0,,,,10980966.325036,,,52597237.25253,,,52040231.714303,-16312305.048061,0.01,114200000,,125180966.325036,,1700000,,0.0,,,-250334203.322935,0.0,,,159144.439495,114200000,-45435737.475332,477433.318479,41220000.0,1273155.515946,,,,-9866955.248583,1700000,1700000,,0.0,,,,,,,,,,,,,,,
1993-06-30,,,,,,-13750039.751686,,-2878826.758109,,41220000.0,,-50250.164726,,,20019630.893163,,,2193934.659195,0.01,,,6269591.141477,0.0,,,,12325786.397333,,,52040231.714303,,,54174559.003499,-14867297.256111,0.01,114200000,,126525786.397333,,1700000,,0.0,,,507639.860752,0.0,,,-237093.445254,114200000,8098163.716086,-87688.289677,41220000.0,-1117257.504425,,,,-3462324.73645,1700000,1700000,,0.0,,,,,,,,,,,,,,,
1993-09-30,,,,,,-17553821.148441,,7296298.194036,,41220000.0,,126734.028913,,,3760282.751392,,,-7252088.554062,0.01,,,-13793538.397049,0.0,,,,19817671.723789,,,54174559.003499,,,89168731.797524,-18308669.499492,0.01,161500000,,181317671.723789,,1300000,,0.0,,,139140.670626,0.0,,,77949.005761,161500000,-18664282.986806,658418.065375,41220000.0,-754848.351051,,,,16773244.43733,1300000,1300000,,0.0,,,,,,,,,,,,,,,
1993-12-31,39200000.0,,698400000.0,33200000.0,-423600000.0,-20210678.535866,,10887646.649248,10500000.0,,,239505267.019548,,,14639240.980182,50000000.0,0.0,-3984840.566907,,,,-5571437.555684,970700000.0,748400000.0,,,14675575.553842,85300000.0,85300000.0,89168731.797524,,88000000.0,0.0,-29411728.196336,,143500000,,-339124424.446158,,6000000,,222300000.0,,-135800000.0,,121200000.0,1122000000.0,540700000.0,-300000.000002,-353800000,-6998143.253948,2251836.905823,,-9201049.66047,,,409100000.0,-14743964.452297,6000000,6000000,-100000.0,430000000.0,,12100000.0,,419500000.0,,,,,,,,,,,
1994-03-31,,,891804511.822015,,-405615547.631618,-214090945.25492,,214452585.365148,16346132.982301,196000000.0,,-72328.022045,,,6798834.072284,50557287.409861,,5858569.785692,0.1,,,-207292111.182636,1240714890.1699,942361799.231876,,,19383909.908215,,,85419394.035831,,,91277963.821523,-215392849.65174,0.1,219400000,,238783909.908215,,19600000,,298353090.938022,,,,145451652.333663,1297420059.453633,568425925.256222,-72328.022045,219400000,-38550835.750294,5858569.785692,196000000.0,-1301904.39682,,,406628139.940257,-8534706.601378,19600000,19600000,0.0,672288964.913676,,,,422974272.922558,,,,,,,,,,,
1994-06-30,,900000.0,899400000.0,,-423600000.0,170590945.25492,7000000.0,-18252585.365148,22400000.0,195600000.0,,72328.022045,16100000.0,,37701165.927716,50100000.0,,-3958569.785692,0.25,7500000.0,56400000.0,208292111.182636,1285300000.0,949500000.0,,,16116090.091785,87200000.0,87200000.0,91277963.821523,,,0.0,-23407150.34826,0.25,266200000,,78616090.091785,,48900000,78600000.0,335800000.0,,-135800000.0,,136200000.0,1323000000.0,560200000.0,,62500000,-32849164.249706,6041430.214308,195600000.0,-193998095.60318,,187600000.0,401600000.0,-11865293.398622,48900000,48900000,0.0,725100000.0,,248600000.0,,424000000.0,,,,,,,,,,,
1994-09-30,,,923404953.255699,,-418089373.313253,-236369384.346996,,11353640.389461,29299059.149805,197000000.0,,-74552.313358,,,110196050.218438,62698495.534316,,65122529.709096,0.7,,,-126173334.128558,1438412333.93472,986103448.790015,,,20563339.645429,,,0.0,,,152459480.817689,-56427160.898802,0.7,391300000,,411863339.645429,,137900000,,452308885.144706,,,,137250808.892599,1341494326.568952,564882878.315714,,391300000,-55264380.395723,6887182.966287,197000000.0,179942223.448194,,,398333010.273308,-13223093.324585,137900000,137900000,1e-06,873529455.619007,,,,427632069.423114,,,,,,,,,,,
1994-12-31,108100000.0,,974600000.0,9500000.0,-485700000.0,119869384.346996,,-106253640.389461,41400000.0,,,-25447.686642,,,190603949.781562,61800000.0,0.0,39877470.290904,,,,310473334.128558,1688300000.0,1036400000.0,,,18536660.354571,192200000.0,192200000.0,152459480.817689,,231300000.0,0.0,-44472839.101198,,611000000,,-321263339.645429,,236300000,,651900000.0,,227600000.0,,240800000.0,1460300000.0,680500000.0,4674552.313358,-339800000,-80835619.604277,12112817.033713,,-164342223.448194,,,398400000.0,-27976906.675415,236300000,236300000,-100000.0,1007800000.0,,12600000.0,,439700000.0,,,,,,,,,,,
1995-03-31,98600000.0,3200000.0,975900000.0,2500000.0,-485700000.0,-22700000.0,8400000.0,-115800000.0,62600000.0,193132530.0,,0.0,21600000.0,,211400000.0,62000000.0,0.0,72700000.0,0.83,76300000.0,236600000.0,188700000.0,1702900000.0,1037900000.0,,,21600000.0,265000000.0,265000000.0,192200000.0,,180200000.0,0.0,-22900000.0,0.83,541700000,,263400000.0,,160300000,263400000.0,665000000.0,-55900000.0,348800000.0,,182700000.0,1461600000.0,583100000.0,600000.0,241800000,7700000.0,21200000.0,193132530.0,-200000.0,,278300000.0,337900000.0,8100000.0,160300000,160300000,-100000.0,1119800000.0,,13100000.0,,400400000.0,,,,,,,,,,,
1995-06-30,64400000.0,7400000.0,1010900000.0,8100000.0,-485700000.0,-57600000.0,8000000.0,6900000.0,63300000.0,186875000.0,,33000000.0,23000000.0,,202400000.0,95400000.0,0.0,118900000.0,0.16,-2300000.0,27600000.0,144800000.0,1718700000.0,1106300000.0,,,23000000.0,383800000.0,383800000.0,0.0,,158400000.0,0.0,-90400000.0,0.16,259200000,,51200000.0,,29900000,51200000.0,612400000.0,-26600000.0,362600000.0,,166500000.0,1496600000.0,594500000.0,,28200000,148300000.0,700000.0,186875000.0,-32800000.0,,208000000.0,337700000.0,33600000.0,29900000,29900000,27000000.0,1124200000.0,,12500000.0,,428000000.0,,,,,,,,,,,
1995-09-30,70100000.0,-20000000.0,1000000000.0,4700000.0,-485700000.0,-49300000.0,8400000.0,80800000.0,65100000.0,170000000.0,,-100000.0,26700000.0,,10500000.0,90700000.0,0.0,85400000.0,0.03,-7700000.0,-2600000.0,-38800000.0,1783100000.0,1090700000.0,,,26700000.0,469200000.0,469200000.0,0.0,,104100000.0,0.0,-5900000.0,0.03,233100000,,52500000.0,,5100000,52500000.0,692400000.0,-2800000.0,366500000.0,,108800000.0,1485700000.0,656600000.0,,25800000,-55600000.0,1700000.0,170000000.0,100000.0,,180600000.0,455900000.0,-10800000.0,5100000,5100000,26800000.0,1126500000.0,,16400000.0,,547800000.0,,,,,,,,,,,
1995-12-31,64200000.0,-7400000.0,1014100000.0,24400000.0,-553600000.0,-52500000.0,7300000.0,-27900000.0,68400000.0,,,8300000.0,26300000.0,,85000000.0,138000000.0,-100000.0,-69600000.0,,-12000000.0,-7200000.0,32500000.0,1774900000.0,1152100000.0,,,26300000.0,399600000.0,399600000.0,0.0,,115700000.0,0.0,-126600000.0,,215100000,,33800000.0,,4800000,33800000.0,622800000.0,0.0,371400000.0,,140000000.0,1567700000.0,635300000.0,5800000.0,7500000,38100000.0,3400000.0,,-74100000.0,,181300000.0,401300000.0,14600000.0,4800000,4800000,25600000.0,1139600000.0,,13400000.0,,495300000.0,,,,,,,,,,,
1996-03-31,61873376.099114,,1035553337.34568,4770782.261497,-554438295.436196,-49689532.169751,,-23927307.957664,69066247.816449,180000000.0,,0.0,,,45065543.208607,138279288.93326,1e-06,-22973151.505365,0.08,,,-4623988.961144,1769006062.5633,1173832626.27894,,,27964123.717393,375717452.255479,375717452.255479,398690603.760844,0.0,122425612.495045,375717452.255479,-44111386.756308,0.08,217600000,,245564123.717393,,14400000,,595173436.284367,,384892033.527589,,127196394.756543,1589991632.781876,617706207.888671,-73396.650175,217600000,1688122.954068,880759.802122,180000000.0,5578145.413443,142683087.943866,,397149274.107129,73396.650176,14400000,14400000,24294291.20855,1151299854.67463,,14899519.985908,,490509813.132128,,,,,,,,,,,
1996-06-30,59313718.311096,,1066255620.15788,4759742.827433,-553155343.360524,-56562573.101114,,-1335942.434099,71103235.160586,176666667.0,,0.0,,,49543498.838228,138691583.31014,1e-06,-15983512.866861,0.06,,,-7019074.262886,1788125540.04774,1204947203.46802,,,30763780.091865,360129465.004906,360129465.004906,375717452.255479,0.0,128439829.527979,360129465.004906,-64117842.458261,0.06,227400000,,258163780.091865,,10600000,,583178336.579722,,395790922.804294,,133199572.355413,1619410963.518404,625137300.273868,146623.462907,227400000,6073919.195285,1901859.081608,176666667.0,-7555269.357147,145428450.081281,,397621593.122537,-2489881.470257,10600000,10600000,23212899.635331,1162988239.77388,,18306703.182439,,491937727.918454,,,,,,,,,,,
1996-09-30,67680156.207562,,1069155612.97521,4844783.416159,-554507483.722261,-31457193.043003,,-1162840.969107,73846244.191765,182307692.0,,0.0,,,29446775.730583,76268635.89985,1e-06,-13308271.874828,0.13,,,-2010417.31242,1774512034.88244,1145424248.87506,,,28478197.681613,347136072.348765,347136072.348765,360129465.004906,0.0,114733279.991778,347136072.348765,-41592027.639698,0.13,236400000,,264878197.681613,,23700000,,629087786.007384,,393528543.84896,,119578063.407938,1623663096.697471,613305537.000198,178.996604,236400000,-33821104.463544,2722816.816451,182307692.0,-10134834.596695,201939381.48265,,397932892.409105,-519747.553349,23700000,23700000,21948336.99139,1161206497.88224,,12332175.968407,,493727473.59226,,,,,,,,,,,
1996-12-31,68100000.0,,1020500000.0,4900000.0,-721200000.0,-36590701.686132,,6626091.36087,72500000.0,,,7900000.0,,,72144182.222582,81600000.0,0.0,36464936.247054,,,,35553480.53645,1771200000.0,1102100000.0,,,26893898.509129,383900000.0,383900000.0,347136072.348765,,119200000.0,0.0,-42278743.145733,,264300000,,-557006101.490871,,-56600000,,669100000.0,,337300000.0,,124100000.0,1741700000.0,659000000.0,,-583900000,-1640937.685809,-1305435.700181,,-5688041.459601,,,398200000.0,636232.37343,-56600000,-56600000,64200000.0,1112200000.0,,9300000.0,,534900000.0,,,,,,,,,,,
1997-03-31,66400000.0,5700000.0,1014400000.0,5000000.0,-721200000.0,-25500000.0,8500000.0,700000.0,83800000.0,187777778.0,,0.0,31200000.0,,57800000.0,79100000.0,0.0,29600000.0,0.27,14500000.0,65200000.0,32300000.0,1837600000.0,1093500000.0,,,31200000.0,413500000.0,413500000.0,383900000.0,,121500000.0,0.0,-28900000.0,0.27,332700000,,99200000.0,,50700000,99200000.0,744100000.0,,387900000.0,,126500000.0,1735600000.0,672800000.0,,68000000,-37900000.0,11300000.0,187777778.0,-3400000.0,,233500000.0,398300000.0,4200000.0,50700000,50700000,64200000.0,1164800000.0,,7800000.0,,546300000.0,,,,,,,,,,,
1997-06-30,89500000.0,8300000.0,1008800000.0,5000000.0,-721200000.0,-24100000.0,8300000.0,-57300000.0,96700000.0,190294118.0,,-55000000.0,31800000.0,,107500000.0,78500000.0,0.0,31300000.0,0.34,15300000.0,80000000.0,83400000.0,1887000000.0,1087300000.0,,,31800000.0,444800000.0,444800000.0,0.0,,150400000.0,0.0,-18900000.0,0.34,336800000,,111800000.0,,64700000,111800000.0,799700000.0,,420500000.0,,155400000.0,1730000000.0,714400000.0,,80000000,-1900000.0,12800000.0,190294118.0,5200000.0,,225000000.0,398400000.0,-31300000.0,64700000,64700000,63900000.0,1172600000.0,,15300000.0,,559000000.0,,,,,,,,,,,
1997-09-30,84100000.0,11700000.0,1002800000.0,5100000.0,-721200000.0,-19300000.0,8100000.0,-35000000.0,105200000.0,185925926.0,,-100000.0,25900000.0,,115300000.0,66500000.0,0.0,64700000.0,0.27,13600000.0,63800000.0,96000000.0,1906100000.0,1069300000.0,,,26400000.0,509500000.0,509500000.0,0.0,,146900000.0,0.0,-15500000.0,0.27,308000000,,86600000.0,,50200000,86100000.0,836800000.0,-34100000.0,451800000.0,,152000000.0,1724000000.0,717500000.0,,60200000,27100000.0,8600000.0,185925926.0,3800000.0,,221900000.0,398400000.0,7600000.0,50200000,50200000,61900000.0,1188600000.0,,13400000.0,,565500000.0,,,,,,,,,,,
1997-12-31,89300000.0,7700000.0,1064600000.0,5100000.0,-830600000.0,-84900000.0,7700000.0,-37500000.0,113400000.0,,,100000.0,27700000.0,,65800000.0,68700000.0,0.0,-17200000.0,,7900000.0,44400000.0,-19100000.0,1968900000.0,1133300000.0,,,27700000.0,492300000.0,492300000.0,0.0,,198000000.0,0.0,-45600000.0,,321900000,,72100000.0,,36500000,72100000.0,835600000.0,-33700000.0,470900000.0,,203100000.0,1895200000.0,777400000.0,-200000.0,44400000,-11400000.0,8100000.0,,39300000.0,,249800000.0,398500000.0,-7100000.0,36500000,36500000,62400000.0,1191500000.0,,12300000.0,,574300000.0,,,,,,,,,,,
1998-03-31,82900000.0,8100000.0,1071000000.0,5200000.0,-830600000.0,-28400000.0,6400000.0,-1400000.0,115300000.0,220000000.0,,0.0,24900000.0,,30000000.0,87500000.0,0.0,-53400000.0,0.01,100000.0,2300000.0,1600000.0,1888500000.0,1158500000.0,,,24900000.0,439000000.0,439000000.0,492300000.0,,113900000.0,0.0,-82000000.0,0.01,229100000,,25500000.0,,2200000,25500000.0,730000000.0,,473100000.0,,119100000.0,1901600000.0,694700000.0,-100000.0,600000,-700000.0,1900000.0,220000000.0,-53600000.0,,203600000.0,398500000.0,8100000.0,2200000,2200000,61800000.0,1193800000.0,,9100000.0,,575600000.0,,,,,,,,,,,
1998-06-30,65600000.0,7200000.0,1095000000.0,5300000.0,-830600000.0,-70900000.0,5800000.0,-9200000.0,112000000.0,175625000.0,,-100000.0,26400000.0,,23300000.0,105500000.0,-100000.0,-43800000.0,-0.16,-6200000.0,-34300000.0,-47600000.0,1847700000.0,1200500000.0,,,26400000.0,395100000.0,395100000.0,0.0,,111700000.0,0.0,-58000000.0,-0.16,151100000,,-9200000.0,,-28100000,-9200000.0,647200000.0,,441000000.0,,116900000.0,1925600000.0,689500000.0,,-35600000,25800000.0,-3200000.0,175625000.0,12900000.0,,160300000.0,398600000.0,13700000.0,-28100000,-28100000,62000000.0,1158200000.0,,13800000.0,,572600000.0,,,,,,,,,,,
1998-09-30,62700000.0,5800000.0,1116600000.0,5300000.0,-830600000.0,-27600000.0,5200000.0,-9900000.0,111000000.0,173333333.0,,100000.0,30200000.0,,6400000.0,99200000.0,0.0,-62600000.0,-0.12,-4500000.0,-25300000.0,-21200000.0,1831400000.0,1215800000.0,,,30200000.0,332500000.0,332500000.0,0.0,,125300000.0,0.0,-59000000.0,-0.12,178300000,,4300000.0,,-20800000,4300000.0,615600000.0,-8800000.0,416900000.0,,130600000.0,1947200000.0,702500000.0,,-25900000,-4600000.0,-1100000.0,173333333.0,-31400000.0,,174000000.0,398700000.0,-200000.0,-20800000,-20800000,62200000.0,1128900000.0,,14500000.0,,571900000.0,,,,,,,,,,,
1998-12-31,70700000.0,4400000.0,1140800000.0,9100000.0,-914300000.0,-51100000.0,4300000.0,-4400000.0,126400000.0,,,0.0,25300000.0,,11700000.0,88100000.0,0.0,-44800000.0,,-6900000.0,-28600000.0,-39400000.0,1799100000.0,1228900000.0,,,25300000.0,287700000.0,287700000.0,0.0,,106600000.0,0.0,-52100000.0,,162400000,,-3500000.0,,-21700000,-3500000.0,570200000.0,0.0,395100000.0,,115700000.0,2055100000.0,691500000.0,,-28800000,1500000.0,1000000.0,,-1000000.0,,165900000.0,398700000.0,-200000.0,-21700000,-21700000,50700000.0,1107600000.0,,9500000.0,,575800000.0,,,,,,,,,,,
