date,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyGrossPPE,quarterlyCapitalStock,quarterlyBasicEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetPPE,quarterlyInventory,quarterlyAccountsReceivable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyOtherNonCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyDilutedEPS,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2010-12-31,23033000000,20050000000,14372000000.0,1713000000,,3462000000,3462000000,29853000000,15651000000,2911000000,2401000000,0.0,181000000.0,0.0,70000000,9924000000,7383000000,,338000000,,122000000.0,22695000000,14202000000,4403000000,99000000,87000000.0,-4448000000.0,50000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,23555000000,18921000000,,2395000000,0.0,4772000000,4772000000,30402000000,17416000000,2704000000,4256000000,9000000.0,,0.0,32000000,12194000000,4911000000,,170000000,,,23385000000,12986000000,6577000000,99000000,138000000.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,25829000000,25162000000,18942000000.0,2721000000,,7517000000,7517000000,41346000000,19754000000,3396000000,199000000,0.0,0.0,0.0,45000000,13282000000,10259000000,,130000000,,836000000.0,25699000000,21592000000,15139000000,99000000,85000000.0,-5660000000.0,67000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,21360000000,20531000000,14405000000.0,2721000000,0.0,5946000000,5946000000,37551000000,20317000000,3218000000,405000000,0.0,,0.0,69000000,14405000000,6032000000,,154000000,,,21206000000,17234000000,15741000000,99000000,85000000.0,,106000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,27227000000,14464000000,26822000000.0,0,,7827000000,5757000000,44585000000,23089000000,9000000,402000000,208000000.0,,0.0,64000000,20066000000,10141000000,395000000.0,149000000,2070000000.0,4063000000.0,27078000000,21496000000,16830000000,99000000,0.0,-6756000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,24699000000,12002000000,21416000000.0,0,0.0,7293000000,7243000000,42815000000,24541000000,10000000,395000000,234000000.0,,0.0,96000000,21416000000,6149000000,523000000.0,185000000,50000000.0,4724000000.0,24514000000,18274000000,17494000000,99000000,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,30529000000,15951000000,32798000000.0,0,,6415000000,6271000000,49910000000,27787000000,9000000,391000000,3000000.0,,0.0,113000000,24311000000,11268000000,296000000.0,163000000,144000000.0,5749000000.0,30366000000,22123000000,18748000000,99000000,0.0,-8487000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,26537000000,12961000000,24810000000.0,0,0.0,5904000000,5791000000,45585000000,28283000000,11000000,570000000,0.0,,0.0,50000000,24810000000,7246000000,215000000.0,100000000,113000000.0,5335000000.0,26437000000,17302000000,18336000000,99000000,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,31909000000,16192000000,37010000000.0,0,,6350000000,6249000000,52443000000,31000000000,34000000,898000000,0.0,,0.0,25000000,26533000000,11161000000,274000000.0,75000000,101000000.0,6352000000.0,31834000000,21443000000,19673000000,99000000,0.0,-10477000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,29386000000,13896000000,26535000000.0,0,0.0,7430000000,7371000000,50161000000,31194000000,43000000,1668000000,0.0,,0.0,57000000,26535000000,7462000000,242000000.0,184000000,59000000.0,6605000000.0,29202000000,18967000000,19850000000,181000000,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
