date,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInventory,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyStockholdersEquity,quarterlyCapitalStock,quarterlyAccumulatedDepreciation,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyGrossPPE,quarterlyNetPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyGoodwill,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2013-12-31,0.0,0.0,0.0,62184000,104884000,1012857000,11350000,361717000.0,47368000,8580000.0,47368000,563718000,,3567000.0,770657000,12758000.0,296108000,242200000,1000,-9437000.0,233637000,,23754000.0,14317000,759307000,907973000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,0.0,0.0,0.0,422497000,118871000,1657867000,10602000,289195000.0,918097000,8444000.0,918097000,70848000,,524000.0,498216000,71700000.0,130104000,1159651000,20000000,,199571000,,,33847000,487614000,1538996000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,0.0,0.0,0.0,540229000,135389000,3152184000,10052000,1646071000.0,134039000,8580000.0,134039000,813563000,,7180000.0,2063142000,1417950000.0,316874000,1089070000,20000000,-11181000.0,128990000,,50990000.0,39809000,2053090000,3016795000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,0.0,0.0,0.0,1218703000,232387000,3671677000,8580000,1798843000.0,226631000,8580000.0,226631000,468828000,,7910000.0,2177723000,1442973000.0,151132000,1493881000,20000000,,467380000,,,70933000,2169143000,3439290000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,0.0,0.0,0.0,263475000,213833000,2333557000,8970000,1564614000.0,75631000,8621000.0,75631000,657436000,,900000.0,1823291000,954471000.0,176658000,507390000,20016000,-12136000.0,-529406000,,91586000.0,79450000,1814321000,2119724000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,,0.0,0.0,273530000,179225000,1394670000,8145000,468273000.0,110632000,8145000.0,110632000,485065000,,0.0,629855000,204157000.0,109119000,761939000,60016000,,-657896000,,,67249000,621710000,1215445000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,0.0,0.0,0.0,46306000,167664000,639222000,8381000,0.0,244523000,8131000.0,244523000,166394000,,0.0,19321000,1405000.0,7310000,619904000,68016000,-11031000.0,-1052206000,,85065000.0,74034000,10940000,471558000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,0.0,0.0,0.0,37066000,182615000,660967000,8336000,,200066000,8131000.0,209426000,95968000,,3009000.0,16291000,1123000.0,5415000,639233000,68016000,,-1032892000,9360000.0,,75976000,7955000,478352000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,,,120000.0,27069000,304989000,795734000,8283000,15032000.0,183453000,8124000.0,191483000,63682000,97274000.0,43300000.0,123031000,,36117000,665503000,68016000,-3319000.0,-1014496000,8030000.0,162008000.0,158689000,114748000,490745000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,,,21769000,327463000,724494000,8238000,0.0,172225000,8124000.0,180713000,31766000,,,51364000,,0,652587000,67882000,,-951274000,8488000.0,170576000.0,170576000,43126000,397031000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,,,,28392000,246240000,692532000,68000,0.0,138304000,0.0,145594000,41131000,,,56975000,,43603000,635557000,67710000,-2673000.0,564297000,7290000.0,6690000.0,4017000,56907000,446292000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,,,,26054000,255862000,695931000,4189000,27539000.0,158970000,,158970000,46009000,,,50464000,,11054000,645467000,67710000,,572398000,,9203000.0,9203000,46275000,440069000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
