date,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetPPE,quarterlyAccumulatedDepreciation,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyInventory,quarterlyCurrentDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyPurchaseOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2011-12-31,20942453000,1401721000,,8154585000,25301053000,0,8200535000,14044371000,-1852474000.0,7941118000,15896845000.0,4358600000,160094000.0,,42105000,,8781585000,3627509000,2443421000,2443421000,6032200000,1367020000,583734000.0,51445000,6087492000,3845000,16141653000,561339000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,21779912000,1137578000,,10203173000,26169141000,0,10300457000,14992564000,,6793776000,,4389229000,1997000.0,,93439000,,8739476000,3538982000,2276575000,2276575000,6149905000,1698347000,580001000.0,57178000,4257761000,3845000,17094233000,532613000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,26246970000,1475193000,124194000.0,13888806000,31109078000,0,14181985000,17538794000,-2466885000.0,7604768000,20005679000.0,4862108000,0.0,,268285000,1174410000.0,9046785000,4656091000,2178030000,2178030000,6149905000,1577483000,11473000.0,69858000,4266759000,24894000,21786753000,1317662000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,27662618000,1287054000,124194000.0,12856636000,31629024000,0,13151181000,18495831000,,8771754000,18495831000.0,3966406000,0.0,,267058000,1579623000.0,9451998000,4573185000,1814472000,1814472000,6149905000,2166200000,0.0,69677000,4331451000,27487000,21922935000,1607214000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,32090764000,1858614000,124194000.0,16666264000,38493152000,0,16883098000,24066974000,-3379513000.0,10645896000,27446487000.0,6402388000,0.0,,190742000,1911766000.0,10677085000,4494646000,2319504000,2319504000,6477413000,4393408000,104053000.0,84613000,5417543000,26092000,27528994000,913086000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,32859974000,1833475000,124194000.0,17814170000,39041063000,0,18028233000,24561055000,,9685228000,24561055000.0,6181089000,0.0,,189426000,1911766000.0,11066683000,4399946000,2712262000,2712262000,6477413000,2638951000,73046000.0,92731000,5946973000,24637000,27713461000,703368000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,37640795000,4020647000,190049000.0,18181162000,48082479000,0,18653138000,29584368000,-4492745000.0,16487571000,34077113000.0,10441684000,0.0,370803000.0,334742000,2583875000.0,12499837000,4353754000,4577630000,4206827000,6870423000,4592675000,18163000.0,116687000,10580403000,106236000,35140709000,663448000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,38050104000,2694751000,190049000.0,16258786000,46479207000,0,16735619000,29783061000,,14661886000,29783061000.0,8429103000,0.0,446578000.0,332609000,3270961000.0,14654828000,4254649000,4445019000,3998441000,6870423000,4282981000,79196000.0,122823000,8358111000,115962000,31397505000,881974000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,39349821000,2994101000,190049000.0,15586362000,46401607000,44266000,16105129000,31017907000,-6156208000.0,14189234000,37174115000.0,7051786000,0.0,338873000.0,372541000,3892137000.0,15624885000,4153766000,2453542000,2114669000,6870423000,1919985000,105215000.0,134170000,9557535000,98418000,30294363000,792560000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,40875857000,2652773000,190049000.0,14697529000,48117628000,43579000,15277634000,32462489000,,16233091000,32462489000.0,7241771000,0.0,256298000.0,419063000,4434425000.0,16134792000,4065547000,3547620000,3291322000,6870423000,3739512000,84020000.0,137513000,10619780000,95020000,31510725000,864694000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,40926643000,3368118000,190049000.0,9283513000,47732887000,41438000,10058316000,33475007000,-7870199000.0,20279259000,41345206000.0,6806244000,0.0,265750000.0,482082000,4969871000.0,16907457000,3884876000,2037756000,1772006000,6870423000,2015299000,97306000.0,128366000,15989740000,84230000,30337575000,188883000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,40698645000,3375703000,190049000.0,9120285000,49408958000,40173000,9928996000,33161779000,,21522842000,33161779000.0,8710313000,0.0,263903000.0,479640000,5512418000.0,17433866000,3773876000,4148506000,3884603000,6870423000,1947076000,174032000.0,138575000,16811405000,89343000,31451838000,609557000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,42160577000,3867593000,190049000.0,11497309000,50955684000,37069000,12227415000,34142417000,-9783676000.0,19823168000,43926093000.0,8795107000,,247175000.0,487769000,,18336573000,3764511000,2922262000,2675087000,6870423000,1569886000,,130374000,15922736000,196554000,32050583000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,41956769000,4623231000,190049000.0,13416247000,52086765000,31115000,14093734000,34278411000,,17062116000,34278411000.0,10129996000,70149000.0,238717000.0,440139000,,20504592000,3647718000,3434116000,3195399000,8244508000,1676165000,,138061000,12336053000,199728000,31155850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,42809938000,5364872000,190049000.0,13314548000,54941460000,31570000,14037943000,35138935000,-11755422000.0,19391917000,46894357000.0,12131522000,,227313000.0,464824000,,21114378000,3589275000,5648250000,5420937000,8244508000,2029422000,,115831000,15031496000,177799000,33429860000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
