date,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyChangeInInventory,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyNetOtherInvestingChanges,quarterlyCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyNetPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCurrentDeferredRevenue,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyAccountsReceivable,quarterlyInventory,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyResearchAndDevelopment,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue
2015-03-31,,-4945365000.0,19480599000,,,1423594000,28104146000,,,34549000.0,14017576000,281000.0,2287458000.0,1993931000,-6754729000.0,20876660000.0,,,,,,,1184882000,-3363572000.0,-94006000.0,,,-515944000.0,-10.791219,,,143821000.0,,,15130497000.0,23624000,,,-917150000.0,-1888377000,-1757063000,-7537590000.0,,838178000.0,2941945000,,-238431000,,,,18057005000,,,-10.791219,174992000.0,,8623547000,20254455000.0,194745768.0,,-8454740000.0,,,83862000.0,,-2463863000.0,785425000.0,,-1888377000,,-720723000.0,,,,,,
2015-06-30,,6325674000.0,17689532000,,,-2357515000,28070358000,,,-506258000.0,16007781000,7271000.0,3068014000.0,-1140920000,-1522348000.0,24536157000.0,,,,,,,-2228530000,-320168000.0,-35898000.0,,,-122875000.0,-19.4409,,,-1605000.0,,,-821820000.0,26383000,,,-1333559000.0,-3402002000,-998211000,5564921000.0,,3220753000.0,-1230319000,,136256000,,,,20047047000,,,-19.4409,174992000.0,,10380826000,20876660000.0,194745768.0,,4231362000.0,,,542571000.0,,-406032000.0,1061227000.0,,-3402002000,,414333000.0,,,,,,
2015-09-30,,-183407000.0,20882332000,,,2113333000,31899163000,,,543889000.0,14559761000,15819000.0,2978301000.0,3410830000,-325493000.0,28915005000.0,,,,,,,2373230000,-21621000.0,224716000.0,,,-370375000.0,-13.013749,,,5723000.0,,,4636578000.0,28000000,,,-1038218000.0,-2277302000,-202352000,1588030000.0,,5899115000.0,2575582000,,275521000,,,,18768999000,,,-13.013749,174992000.0,,11016831000,24536157000.0,194745768.0,,549812000.0,,,1148088000.0,,-640765000.0,1009600000.0,,-2277302000,,453695000.0,,,,,,
2015-12-31,22983242000.0,6970537000.0,18268555000,104626346000.0,5368524000.0,780714000,32331864000,3018891000.0,18202919000.0,510077000.0,23250244000,11710000.0,2878857000.0,-631081000,-3626007000.0,33652250000.0,8748630000.0,17743295000.0,-19204203000.0,341403000.0,3120767000.0,95877716000.0,-1859700000,-1225100000.0,292894000.0,65172865000.0,-7702169000.0,-81917000.0,,8284000.0,2454776000.0,-4666000.0,158521000.0,18888133000.0,-85360000.0,27661000,42974553000.0,,-2407193000.0,-14120000,2573512000,7364109000.0,10500750000.0,3652742000.0,-4433212000,17337810000.0,-2628509000,1843944000.0,2162889000.0,0.0,17487841000,,1475939000.0,,,7019114000.0,14063309000,28915005000.0,,12596198000.0,4956916000.0,33652250000.0,33993653000.0,747473000.0,56986366000.0,-1001036000.0,1200958000.0,122159231000.0,7642757000,1011531000.0,-3213923000.0,,,,,,
2016-03-31,21870091000.0,1389296000.0,22808879000,99397159000.0,4870329000.0,5337985000,33455853000,1320204000.0,,314410000.0,13481462000,-3202000.0,2493754000.0,5134610000,-1928504000.0,35081614000.0,8537906000.0,19616581000.0,-19301340000.0,284073000.0,3715512000.0,90859253000.0,4143010000,-432101000.0,2624000.0,62735845000.0,,-247500000.0,7.97,8533672000.0,2657472000.0,-1535000.0,170957000.0,17509579000.0,-683388000.0,23625000,42320500000.0,,-785730000.0,-122273000,1406270000,4264071000.0,9974252000.0,1652179000.0,2736740000,9433748000.0,-1198177000,1711005000.0,10376661000.0,202224000.0,17470894000,,1080709000.0,8.87,174992000.0,4930840000.0,10646974000,33652250000.0,194745768.0,12596198000.0,3478341000.0,35081614000.0,35365687000.0,100730000.0,55885606000.0,-814027000.0,967975000.0,118621451000.0,1552461000,1079676000.0,3645179000.0,,,,,,
2016-06-30,18704889000.0,122799000.0,23236691000,101353489000.0,3575430000.0,8029296000,33853755000,3777847000.0,,65040000.0,14162758000,3442000.0,2466852000.0,7827075000,1166881000.0,43048750000.0,7764494000.0,23470547000.0,-16611310000.0,485238000.0,3399680000.0,93588995000.0,6544490000,-904368000.0,-23722000.0,70173207000.0,,0.0,12.769782,202718000.0,2749061000.0,0.0,333139000.0,17952794000.0,0.0,16793000,42320500000.0,,-1996994000.0,2681552000,3126144000,7598575000.0,8445761000.0,8765456000.0,3418346000,9503805000.0,-1481364000,1327490000.0,12220076000.0,202718000.0,15207395000,,922512000.0,12.769782,209992000.0,6205874000.0,10617064000,35081614000.0,209992000.0,12596198000.0,5601581000.0,43048750000.0,43533988000.0,207407000.0,54877753000.0,-1169925000.0,1265792000.0,125050960000.0,2681552000,1598835000.0,586322000.0,,,,,,
2016-09-30,17945717000.0,-528214000.0,25038044000,61319593000.0,3978499000.0,4926566000,35929724000,3094466000.0,,107266000.0,14454390000,2475000.0,2352780000.0,6020909000,-3297797000.0,129514949000.0,8420688000.0,156480223000.0,-13834230000.0,775161000.0,3399680000.0,52898905000.0,4578207000,-788060000.0,3896000.0,160399017000.0,,-262500000.0,12.06,0.0,2830599000.0,-701514000.0,284118000.0,19075172000.0,85111210000.0,17526000,261222000.0,,-690620000.0,2755264000,2914587000,4484378000.0,8285854000.0,86297791000.0,1663620000,19547710000.0,-345884000,1461265000.0,4570253000.0,,20111478000,,840039000.0,13.23,208310694.0,6744923000.0,10891680000,43048750000.0,228419986.0,77316239000.0,3793758000.0,129514949000.0,130290110000.0,178810000.0,57689399000.0,-2024849000.0,1425176000.0,218088416000.0,2755264000,1662996000.0,-2384677000.0,,,,,,
2016-12-31,21531817000.0,7179835000.0,21926235000,95066315000.0,4151051000.0,-2588929000,37464976000,5698640000.0,20285430000.0,-79516000.0,26404624000,-25308000.0,2205191000.0,4171505000,-30026520000.0,134698255000.0,8630374000.0,160833628000.0,-12381577000.0,5782378000.0,3399680000.0,86435941000.0,2724159000,-9362393000.0,-10116000.0,174706541000.0,-11256752000.0,0.0,,146119000.0,3928749000.0,-3932000.0,290151000.0,40122931000.0,22200613000.0,6709000,21925000000.0,0.0,-2878429000.0,1448214000,1638522000,12406202000.0,9028678000.0,4580295000.0,1085637000,21025297000.0,5287780000,1160668000.0,6241795000.0,,24515164000,,960689000.0,,,9049271000.0,15538741000,129514949000.0,,77855685000.0,9527773000.0,134698255000.0,140480633000.0,957717000.0,81382566000.0,-18779382000.0,1440637000.0,256089107000.0,1448214000,1851493000.0,-2602967000.0,,,,,,
2017-03-31,23322000000.0,-5412000000.0,26279000000,92686000000.0,5320000000.0,4025000000,38916000000,1059000000.0,,-428000000.0,15886000000,-19000000.0,748000000.0,5048000000,-2055000000.0,127591000000.0,11440000000.0,165178000000.0,-10936000000.0,4999000000.0,3400000000.0,81246000000.0,3566000000,-1838000000.0,67000000.0,171715000000.0,,0.0,6.07,87000000.0,4685000000.0,-38000000.0,348000000.0,41966000000.0,-53000000.0,6000000,20868000000.0,,-2299000000.0,1437000000,1635000000,-5031000000.0,13346000000.0,-7139000000.0,1931000000,21818000000.0,-478000000,1217000000.0,5718000000.0,,22254000000,,1400000000.0,6.58,218411890.0,7872000000.0,12637000000,134698000000.0,236984101.0,79353000000.0,-7330000000.0,127591000000.0,132590000000.0,1036000000.0,86548000000.0,-220000000.0,1476000000.0,258263000000.0,1437000000,1604000000.0,-3748000000.0,,,,,,
2017-06-30,22317000000.0,919000000.0,26684000000,93420000000.0,7227000000.0,14604000000,39780000000,2980000000.0,,-1128000000.0,15622000000,-34000000.0,0.0,14944000000,-6755000000.0,125512000000.0,11468000000.0,176329000000.0,-2100000000.0,5820000000.0,5360000000.0,81952000000.0,13395000000,-4381000000.0,-2101000000.0,172377000000.0,,0.0,37.24,106000000.0,5005000000.0,-2000000.0,351000000.0,56435000000.0,-570000000.0,8000000,19955000000.0,,-3494000000.0,8836000000,8921000000,5212000000.0,12810000000.0,-2113000000.0,4474000000,21999000000.0,-1243000000,1908000000.0,5584000000.0,,12080000000,,2526000000.0,40.31,219210842.0,8098000000.0,13096000000,127591000000.0,237236636.0,79919000000.0,1718000000.0,125512000000.0,131332000000.0,4472000000.0,98235000000.0,-1655000000.0,1541000000.0,270612000000.0,8836000000,2101000000.0,554000000.0,,,,,,
2017-09-30,23601000000.0,-480000000.0,28729000000,102171000000.0,5291000000.0,5850000000,42537000000,2839000000.0,,-378000000.0,15562000000,-65000000.0,849000000.0,6111000000,-8149000000.0,123981000000.0,12114000000.0,177277000000.0,-299000000.0,5059000000.0,9337000000.0,90057000000.0,4237000000,-3716000000.0,-8000000.0,175709000000.0,,0.0,7.59,381000000.0,7237000000.0,326000000.0,430000000.0,57927000000.0,2889000000.0,4000000,22088000000.0,,-2620000000.0,1801000000,1639000000,3895000000.0,13675000000.0,-1365000000.0,2598000000,24287000000.0,-1678000000,1784000000.0,6718000000.0,,22879000000,,2915000000.0,8.19,219896199.0,9943000000.0,13808000000,125512000000.0,237313710.0,82372000000.0,1275000000.0,123981000000.0,129040000000.0,2583000000.0,107703000000.0,-4640000000.0,1870000000.0,283412000000.0,1801000000,4280000000.0,-4328000000.0,,,,,,
2017-12-31,28810000000.0,4487000000.0,26014000000,113462000000.0,7440000000.0,-9845000000,45914000000,2365000000.0,30082000000.0,-432000000.0,34269000000,-113000000.0,1089000000.0,-783000000,-17271000000.0,123606000000.0,12045000000.0,185075000000.0,-4294000000.0,12857000000.0,16767000000.0,101417000000.0,-3053000000,-12979000000.0,49000000.0,190649000000.0,-14957000000.0,0.0,,764000000.0,7438000000.0,-229000000.0,992000000.0,50493000000.0,9173000000.0,8000000,22224000000.0,0.0,-4209000000.0,-3996000000,-3972000000,6889000000.0,15125000000.0,-1209000000.0,919000000,27221000000.0,6679000000,1573000000.0,7719000000.0,,35859000000,43375000000.0,3455000000.0,,,12087000000.0,19900000000,123981000000.0,,92369000000.0,2680000000.0,123606000000.0,136463000000.0,2440000000.0,112790000000.0,-2861000000.0,2262000000.0,303439000000.0,-3996000000,6486000000.0,-6017000000.0,,,,,,
2018-03-31,27702000000.0,1383000000.0,33493000000,112770000000.0,3809000000.0,1246000000,48736000000,1263000000.0,,473000000.0,23036000000,-91000000.0,933000000.0,2199000000,-18055000000.0,107266000000.0,12283000000.0,181095000000.0,-5500000000.0,55494000000.0,16890000000.0,100487000000.0,-138000000,-9431000000.0,-209000000.0,174764000000.0,,-67000000.0,-5.82,971000000.0,8213000000.0,-1000000.0,855000000.0,58253000000.0,204000000.0,8000000,22148000000.0,,-4668000000.0,-1383000000,-1774000000,2485000000.0,18025000000.0,-15366000000.0,1636000000,24471000000.0,-1475000000,1799000000.0,11655000000.0,,32247000000,,2874000000.0,-5.82,237623721.0,11089000000.0,15243000000,123606000000.0,237623721.0,92729000000.0,-2183000000.0,107266000000.0,162760000000.0,1179000000.0,123171000000.0,-5548000000.0,2329000000.0,297935000000.0,-1383000000,6179000000.0,3013000000.0,,,,,,
2018-06-30,27998000000.0,-1452000000.0,35812000000,112646000000.0,2937000000.0,9075000000,50625000000,3164000000.0,,-443000000.0,24960000000,-71000000.0,699000000.0,9417000000,-6648000000.0,101742000000.0,11633000000.0,185848000000.0,-1202000000.0,53106000000.0,16758000000.0,101013000000.0,6772000000,-4057000000.0,1950000000.0,169104000000.0,,-26000000.0,17.88,854000000.0,8949000000.0,-609000000.0,910000000.0,67255000000.0,85000000.0,25000000,,,-3859000000.0,4295000000,3674000000,864000000.0,19145000000.0,-5699000000.0,3098000000,24544000000.0,-2374000000,1461000000.0,32545000000.0,,26737000000,,3247000000.0,18.04,238006943.0,10759000000.0,14813000000,107266000000.0,240182320.0,95453000000.0,-2995000000.0,101742000000.0,154848000000.0,2665000000.0,132863000000.0,-4101000000.0,2620000000.0,301967000000.0,4295000000,6018000000.0,-200000000.0,,,,,,
2018-09-30,32421000000.0,4631000000.0,36242000000,269238000000.0,4131000000.0,-3576000000,51850000000,3675000000.0,,-2749000000.0,27315000000,-1639000000.0,473000000.0,-3664000000,-18734000000.0,260422000000.0,154483000000.0,199866000000.0,-10161000000.0,56064000000.0,17008000000.0,114755000000.0,-6860000000,-5048000000.0,-150000000.0,334146000000.0,,-1000000.0,-37.7,1169000000.0,9764000000.0,25942000000.0,898000000.0,73816000000.0,177252000000.0,293000000,23092000000.0,15000000.0,-5949000000.0,-8980000000,-9593000000,-531000000.0,23166000000.0,157987000000.0,2733000000,25284000000.0,-3094000000,1291000000.0,13133000000.0,141925000000.0,39818000000,40303000000.0,6063000000.0,-37.7,238198099.0,14824000000.0,15608000000,101742000000.0,238198099.0,95733000000.0,-6480000000.0,260422000000.0,316486000000.0,938000000.0,146657000000.0,-8525000000.0,2903000000.0,480803000000.0,-8980000000,6231000000.0,-2282000000.0,,,,,,
2018-12-31,34985000000.0,13595000000.0,31365000000,278073000000.0,-2013000000.0,-15429000000,55971000000,4855000000.0,45856000000.0,1047000000.0,54820000000,-47000000.0,423000000.0,7056000000,-9447000000.0,256978000000.0,154847000000.0,198916000000.0,-5556000000.0,14469000000.0,17095000000.0,123226000000.0,3580000000,-2931000000.0,-248000000.0,325514000000.0,-21130000000.0,11000000.0,,1680000000.0,9751000000.0,460000000.0,639000000.0,86923000000.0,860000000.0,193000000,23000000000.0,95000000.0,-6463000000.0,2350000000,1525000000,6304000000.0,24726000000.0,-2283000000.0,2055000000,24637000000.0,19087000000,503000000.0,14763000000.0,142132000000.0,46794000000,38097000000.0,4887000000.0,,,18405000000.0,24606000000,260422000000.0,,96064000000.0,-159000000.0,256978000000.0,271447000000.0,11349000000.0,161073000000.0,-15225000000.0,3283000000.0,486587000000.0,2350000000,5298000000.0,1813000000.0,,,,,,
2019-03-31,38613000000.0,2498000000.0,37419000000,333632000000.0,-2835000000.0,-7892000000,55323000000,1769000000.0,73941000000.0,-366000000.0,31651000000,309000000.0,1131000000.0,-5634000000,-15085000000.0,248838000000.0,195929000000.0,188554000000.0,-15868000000.0,56166000000.0,17077000000.0,137703000000.0,-11270000000,-743000000.0,33000000.0,330628000000.0,,-1863000000.0,-43.23,1706000000.0,12581000000.0,9889000000.0,789000000.0,85164000000.0,9128000000.0,452000000,24002000000.0,,-6217000000.0,-10314000000,-10723000000,-2066000000.0,73941000000.0,-8023000000.0,-547000000,25206000000.0,-3069000000,644000000.0,55106000000.0,142309000000.0,45311000000,40962000000.0,5265000000.0,-43.23,238602623.0,19418000000.0,17904000000,256978000000.0,238602623.0,96199000000.0,-8283000000.0,248838000000.0,305004000000.0,2106000000.0,210373000000.0,-10587000000.0,5184000000.0,541001000000.0,-10314000000,6014000000.0,-3317000000.0,,,,,,
2019-06-30,42291000000.0,12094000000.0,36053000000,349079000000.0,-4891000000.0,-13924000000,55437000000,826000000.0,82173000000.0,912000000.0,36654000000,361000000.0,169000000.0,-11344000000,-24036000000.0,226038000000.0,203048000000.0,171708000000.0,-32128000000.0,56257000000.0,16976000000.0,146031000000.0,-17220000000,-18387000000.0,240000000.0,303833000000.0,,-2185000000.0,-68.19,1044000000.0,10333000000.0,3262000000.0,878000000.0,100901000000.0,2289000000.0,490000000,24001000000.0,,-4040000000.0,-16305000000,-17306000000,377000000.0,82173000000.0,-21370000000.0,86000000,25572000000.0,-2935000000,726000000.0,63562000000.0,142488000000.0,49977000000,39188000000.0,3855000000.0,-68.19,239107126.0,17966000000.0,19384000000,248838000000.0,239107126.0,96448000000.0,-3663000000.0,226038000000.0,282295000000.0,1584000000.0,237785000000.0,-3629000000.0,5386000000.0,541618000000.0,-16305000000,8803000000.0,1920000000.0,,,,,,
2019-09-30,39740000000.0,-4340000000.0,36205000000,347949000000.0,-4965000000.0,-5705000000,55942000000,1033000000.0,81713000000.0,-2504000000.0,29093000000,389000000.0,1219000000.0,-1463000000,-13351000000.0,200279000000.0,203793000000.0,164844000000.0,-39471000000.0,60302000000.0,16948000000.0,144156000000.0,-7734000000,-3598000000.0,3000000.0,285241000000.0,,-3508000000.0,-30.68,1205000000.0,10536000000.0,-1752000000.0,924000000.0,106931000000.0,-5170000000.0,517000000,23001000000.0,2000000.0,-3794000000.0,-7342000000,-8804000000,-7436000000.0,81713000000.0,-25957000000.0,1070000000,25020000000.0,-1640000000,1051000000.0,64060000000.0,142670000000.0,41910000000,40888000000.0,6287000000.0,-30.68,239342183.0,16607000000.0,19737000000,226038000000.0,239342183.0,96535000000.0,-11230000000.0,200279000000.0,260581000000.0,5843000000.0,245201000000.0,-11918000000.0,5754000000.0,530442000000.0,-7342000000,8127000000.0,-1480000000.0,,,,,,
2019-12-31,43710000000.0,,40042000000,366689000000.0,-71000000.0,-11476000000,60783000000,3963000000.0,79361000000.0,,32705000000,,,-8458000000,,,205030000000.0,158133000000.0,-53524000000.0,20117000000.0,17651000000.0,161659000000.0,-15392000000,,,295641000000.0,,,,1813000000.0,10518000000.0,,872000000.0,115931000000.0,,521000000,,,,-12927000000,-15167000000,,79361000000.0,,-225000000,25752000000.0,-3507000000,1071000000.0,50064000000.0,142851000000.0,51518000000,42680000000.0,4740000000.0,,,23462000000.0,20741000000,,,96737000000.0,,217345000000.0,237462000000.0,,245711000000.0,,,541352000000.0,-12927000000,7801000000.0,,,,,,,
