date,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyTaxProvision,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyChangesInAccountReceivables,quarterlyNetPPE,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDilutedEPS,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyLongTermDebt,quarterlyStockholdersEquity,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyBasicEPS,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyTotalRevenue,quarterlyTotalNonCurrentAssets,quarterlyOperatingIncome,quarterlyNonCurrentDeferredRevenue,quarterlyTotalAssets,quarterlyChangeInWorkingCapital,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,quarterlySaleOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyDilutedAverageShares,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyResearchAndDevelopment
2010-03-31,,212000000,318000000,,,0.0,,3107000000,85000000,,,-168000000,,0,52000000,0.638304,-93000000,,,235000000,,,,,18000000.0,,2848000000,,-98000000,3296000000,115000000,-33000000,,,562000000,-29000000,215000000,,198000000,,,,,,0.638304,,99000000,336830000.0,425000000,,-49000000,-100000000.0,153000000,3410000000,,350000000,,,-37000000,215000000,,246000000,,0.0,,,336830000.0,3000000,,,,189000000,8000000,,,,
2010-06-30,,216000000,289000000,,,-37000000.0,,3296000000,62000000,,,19000000,,-10000000,-99000000,0.635335,-86000000,,,233000000,,,,,-191000000.0,,2903000000,,-162000000,3383000000,50000000,16000000,,,543000000,-36000000,214000000,,199000000,,,,,,0.635335,,107000000,336830000.0,404000000,,16000000,100000000.0,294000000,3446000000,,327000000,,,122000000,214000000,,380000000,,0.0,,,336830000.0,-10000000,,,,87000000,8000000,,,,
2010-09-30,,228000000,205000000,,0.0,-55000000.0,,3383000000,62000000,,,-43000000,,-15000000,-70000000,0.377045,-102000000,,,144000000,,,,,207000000.0,,2807000000,,112000000,3705000000,80000000,-126000000,,,502000000,-72000000,127000000,,207000000,,,,,,0.377045,,105000000,336830000.0,316000000,,-57000000,-200000000.0,127000000,3309000000,,274000000,,,-31000000,127000000,,229000000,,200000000.0,,,336830000.0,-6000000,,,,322000000,6000000,,,,
2010-12-31,,229000000,132000000,665000000.0,,-7000000.0,5550000000.0,3705000000,49000000,3769000000.0,3769000000.0,8000000,2067000000.0,-2000000,-9000000,,-219000000,403000000.0,-487000000.0,91000000,555000000.0,587000000.0,428000000.0,,12000000.0,2307000000.0,3210000000,1264000000.0,-763000000,3219000000,109000000,13000000,281000000.0,988000000.0,442000000,-82000000,75000000,,211000000,,5641000000.0,3719000000.0,7666000000.0,,,,110000000,,250000000,,24000000,-550000000.0,68000000,3652000000,3416000000.0,213000000,,11082000000.0,121000000,75000000,4983000000.0,287000000,220000000.0,0.0,91000000.0,2554000000.0,,-1000000,2236000000.0,,243000000.0,-486000000,8000000,218000000.0,,,
2011-03-31,,223000000,409000000,655000000.0,,-57000000.0,1278000000.0,3219000000,116000000,1633000000.0,1633000000.0,-487000000,2162000000.0,-4557000000,-2204000000,0.863937,-181000000,507000000.0,,310000000,596000000.0,618000000.0,1312000000.0,,22000000.0,2794000000.0,3353000000,3804000000.0,433000000,1633000000,271000000,-100000000,267000000.0,1088000000.0,644000000,-15000000,291000000,,205000000,2479000000.0,1435000000.0,4013000000.0,6133000000.0,,0.863937,,117000000,336830000.0,532000000,,-21000000,-5000000.0,-25000000,3997000000,3591000000.0,421000000,,9724000000.0,-244000000,291000000,7817000000.0,156000000,,585000000.0,157000000.0,,336830000.0,2000000,2429000000.0,,0.0,-1586000000,6000000,272000000.0,,,
2011-06-30,,259000000,383000000,653000000.0,,-1492000000.0,,1633000000,73000000,1322000000.0,1322000000.0,-68000000,2231000000.0,-14000000,-553000000,0.884719,-111000000,503000000.0,,316000000,614000000.0,589000000.0,624000000.0,,554000000.0,2865000000.0,3518000000,3360000000.0,-122000000,1322000000,100000000,-49000000,283000000.0,1139000000.0,695000000,-19000000,298000000,,240000000,2056000000.0,1771000000.0,4025000000.0,5957000000.0,,0.884719,,116000000,336830000.0,540000000,,-12000000,0.0,232000000,4213000000,3670000000.0,436000000,,9627000000.0,-67000000,298000000,7385000000.0,343000000,299000000.0,-550000000.0,193000000.0,,336830000.0,-9000000,2560000000.0,,0.0,-311000000,41000000,180000000.0,,,
2011-09-30,,241000000,370000000,623000000.0,0.0,-54000000.0,1572000000.0,1322000000,87000000,1252000000.0,1252000000.0,221000000,2185000000.0,4542000000,-151000000,0.810372,-162000000,444000000.0,,285000000,621000000.0,605000000.0,398000000.0,,-539000000.0,2644000000.0,3294000000,3339000000.0,-136000000,1386000000,-186000000,-7000000,259000000.0,1146000000.0,637000000,1000000,266000000,,222000000,2051000000.0,1502000000.0,3881000000.0,5673000000.0,,0.810372,,123000000,328244510.0,530000000,,-38000000,0.0,248000000,3931000000,3511000000.0,396000000,,9184000000.0,5000000,266000000,7220000000.0,410000000,289000000.0,553000000.0,-70000000.0,,328244510.0,24000000,2385000000.0,,309000000.0,64000000,37000000,122000000.0,,,
2011-12-31,,257000000,344000000,596000000.0,0.0,-69000000.0,3000000.0,1386000000,29000000,1363000000.0,1363000000.0,185000000,2315000000.0,-4761000000,-286000000,,-176000000,459000000.0,-807000000.0,312000000,616000000.0,575000000.0,339000000.0,,528000000.0,2459000000.0,3221000000,3245000000.0,-185000000,1363000000,-87000000,92000000,257000000.0,1054000000.0,679000000,-44000000,290000000,,234000000,1996000000.0,1688000000.0,3712000000.0,5501000000.0,,,110000000.0,119000000,,502000000,,4000000,,292000000,3900000000,3627000000.0,422000000,,9128000000.0,169000000,290000000,6957000000.0,468000000,257000000.0,-516000000.0,-183000000.0,3122000000.0,,-53000000,2397000000.0,,225000000.0,-23000000,39000000,107000000.0,,,
2012-03-31,23000000.0,249000000,436000000,580000000.0,,0.0,3000000.0,1363000000,77000000,1412000000.0,1412000000.0,-395000000,2403000000.0,-5000000,-23000000,1.04,-260000000,480000000.0,,363000000,600000000.0,465000000.0,327000000.0,,33000000.0,2854000000.0,3373000000,3155000000.0,-240000000,1412000000,201000000,-83000000,209000000.0,1137000000.0,719000000,-4000000,342000000,,228000000,1996000000.0,2162000000.0,3888000000.0,6016000000.0,,1.04,452000000.0,114000000,328240000.0,585000000,4000000.0,8000000,-16000000.0,33000000,4092000000,3672000000.0,470000000,,9688000000.0,-203000000,342000000,7043000000.0,293000000,,0.0,-55000000.0,,328470000.0,3000000,2469000000.0,,184000000.0,49000000,35000000,89000000.0,,,
2012-06-30,31000000.0,249000000,440000000,552000000.0,,-38000000.0,3000000.0,1412000000,98000000,1523000000.0,1523000000.0,209000000,2367000000.0,0,-170000000,1.01,-140000000,461000000.0,,350000000,574000000.0,412000000.0,339000000.0,,-52000000.0,2635000000.0,3272000000,3078000000.0,-126000000,1523000000,-122000000,26000000,207000000.0,1106000000.0,725000000,-7000000,330000000,,230000000,1995000000.0,2185000000.0,3696000000.0,5850000000.0,,1.021681,660000000.0,113000000,322997253.0,586000000,8000000.0,12000000,,321000000,3997000000,3587000000.0,476000000,,9437000000.0,3000000,330000000,6774000000.0,461000000,,,-220000000.0,,326140000.0,4000000,2356000000.0,,110000000.0,111000000,33000000,69000000.0,,,
