date,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyDilutedEPS,quarterlyTaxProvision,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyResearchAndDevelopment,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyOtherShortTermInvestments,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyBasicEPS,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyDilutedAverageShares,quarterlyChangeInAccountPayable,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,quarterlyNetOtherInvestingChanges,quarterlyInventory,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable,quarterlyChangesInAccountReceivables,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,quarterlyGoodwill
2013-09-30,-258000.0,49491000.0,-15471000.0,127263000,0.074286,17669000.0,59000,,25561000.0,1134987000,439056000,45795000,7436000.0,-26299000,95540000,20492000.0,1808387000.0,34693000,116397000,-217156000.0,68378000,1591981000,4901325000,413756000.0,1570000.0,130075000.0,,695931000.0,370678000,100899000,162320000,1935136000,31822000,-13669000,582392000,-116116000.0,639319000,504064000,18477000.0,-876320000.0,57120000,8394000,0.077143,1105999000,301238000,-2424000.0,2849278000,344419000.0,2052047000,3696955000,1261819000.0,,1683769000,,1204370000,426930000.0,-5877000.0,46433000,1761819000,791019000,-1329000,1577514000.0,439056000,-193000.0,314980000,257860000,31822000,31822000,195823000,500000000.0,,,,,,,
2013-12-31,-264000.0,74004000.0,,133605000,,25583000.0,60000,,31004000.0,1200405000,604965000,59928000,7438000.0,-38349000,98128000,38602000.0,2091071000.0,41445000,129124000,-223591000.0,165909000,1775983000,5412563000,,3575000.0,153315000.0,0.0,595440000.0,439056000,108435000,182965000,2154203000,48421000,64622000,603275000,-52475000.0,684717000,552485000,18922000.0,-985649000.0,82288000,3096000,,1175230000,396496000,-10832000.0,3058763000,357196000.0,2353800000,4079002000,1424799000.0,,1858358000,,1333561000,,12370000.0,54018000,1924799000,811849000,2131000,1706421000.0,604965000,0.0,363381000,281093000,48421000,48421000,215767000,500000000.0,,,,,,,
2014-03-31,-267000.0,88944000.0,,133473000,0.122857,35829000.0,60000,,32448000.0,1668243000,1157450000,458186000,10052000.0,-28248000,110310000,26005000.0,2179474000.0,36359000,148375000,-234631000.0,552485000,1844897000,6048106000,418719000.0,4503000.0,146138000.0,,510793000.0,604965000,133883000,192998000,2263653000,53115000,57639000,629238000,-60546000.0,728234000,605600000,25825000.0,-747203000.0,97595000,8111000,0.127143,1270089000,121219000,-13103000.0,3586784000,368104000.0,2461322000,4569748000,1406095000.0,,1918541000,,1478358000,430836000.0,22812000.0,54858000,2306095000,869186000,295000,,1157450000,1401000.0,400903000,303308000,53115000,53115000,230015000,900000000.0,,,,,,,
2014-06-30,-271000.0,117372000.0,,141715000,0.164286,46354000.0,60000,,14469000.0,1714365000,1214244000,28473000,13328000.0,-40850000,115182000,14275000.0,2348796000.0,56024000,166931000,-245090000.0,56794000,1858020000,6325822000,419972000.0,6502000.0,181676000.0,,500121000.0,1157450000,137226000,180777000,2335124000,71018000,-28953000,668937000,-170908000.0,799637000,676618000,29285000.0,-810063000.0,129600000,15174000,0.168571,1340407000,128044000,-16569000.0,3668380000,386805000.0,2657442000,4716117000,1480993000.0,,1954015000,,1609705000,431438000.0,-3086000.0,98548000,2380993000,914848000,1129000,,1214244000,1100000.0,425559000,295959000,71018000,71018000,241330000,900000000.0,,,,,,,
2014-09-30,-275000.0,97537000.0,,144147000,0.137143,38242000.0,60000,,9877000.0,1666819000,1183217000,30662000,13486000.0,-36562000,120953000,21060000.0,2631882000.0,-37439000,178818000,-252407000.0,-31027000,2074766000,6778329000,421197000.0,1645000.0,139693000.0,,483602000.0,1214244000,150374000,223678000,2548655000,59295000,-20411000,718780000,-123883000.0,829803000,735913000,29878000.0,-1199124000.0,110407000,-74001000,0.141429,1409432000,382684000,-7892000.0,3823482000,396554000.0,2954847000,5053455000,1604800000.0,,2156663000,,1724874000,432740000.0,13003000.0,70559000,2504800000,954394000,341000,,1183217000,616000.0,455038000,344631000,59295000,59295000,252956000,900000000.0,,,,,,,
2014-12-31,-280000.0,45516000.0,,149875000,0.192857,-37855000.0,60000,,3750000.0,1608496000,1113608000,24391000,13353000.0,-38856000,125876000,20921000.0,2773326000.0,-38461000,192981000,-264816000.0,-69609000,2117241000,7056651000,422247000.0,-4446000.0,59743000.0,,494888000.0,1183217000,201581000,279474000,2663154000,83371000,-51141000,764843000,-71597000.0,823712000,819284000,30251000.0,-1001787000.0,65046000,-77317000,0.197143,1484728000,98281000,7501000.0,3940469000,414691000.0,3116182000,5198943000,1635789000.0,,2331973000,,1857708000,432516000.0,51083000.0,69746000,2535789000,1014332000,-431000,,1113608000,-6177000.0,470396000,405350000,83371000,83371000,274586000,900000000.0,,,,,,,
2015-03-31,-251000.0,38426000.0,,145816000,0.054286,14730000.0,61000,,10916000.0,2957708000,2454777000,1522434000,26737000.0,-35942000,143106000,11769000.0,3312353000.0,-127382000,243401000,-277239000.0,1341169000,2425619000,9240626000,423626000.0,-43154000.0,83835000.0,,502931000.0,1113608000,190567000,286166000,3008849000,23696000,-42822000,785870000,-90940000.0,851033000,842980000,27441000.0,-1605619000.0,97456000,-163324000,0.055714,1573129000,707273000,-37042000.0,5539056000,423055000.0,3701570000,7331412000,1922563000.0,,2581348000,,1909214000,433811000.0,-10625000.0,107323000,4322563000,1046401000,225000,,2454777000,-32293000.0,526728000,429272000,23696000,23696000,285340000,2400000000.0,,,,,,,
2015-06-30,-287000.0,40490000.0,,171396000,0.06,14155000.0,1200880000,,23804000.0,2796758000,2293872000,62547000,35217000.0,-47324000,155061000,39030000.0,3640767000.0,-181343000,242188000,-281773000.0,-160905000,2556180000,9654861000,425339999.0,-38120000.0,67582000.0,,502886000.0,2454777000,211729000,293046000,3220069000,26335000,-48330000,858994000,-67949000.0,934701000,869315000,28590000.0,-1266995000.0,74835000,-228667000,0.06,1644694000,215392000,-4232000.0,5600510000,453169000.0,4054351000,7622786000,2002717000.0,,2803752000,,2032075000,436096999.0,6447000.0,150406000,4402717000,1121752000,-639000,,2293872000,872000.0,522942000,448107000,26335000,26335000,301754000,2400000000.0,,,,,,,
2015-09-30,-61000.0,42238000.0,,181268000,0.07,12806000.0,1306461000,,35089000.0,2609642000,2115437000,72754000,35333000.0,-52287000,171762000,37726000.0,3891790000.0,-195969000,273496000,-291037000.0,-178435000,2622964000,9916267000,426869000.0,-37890000.0,75012000.0,,494205000.0,2293872000,209365000,318994000,3341418000,29432000,-47479000,906039000,-66444000.0,983610000,898747000,32834000.0,-1298077000.0,73641000,-248256000,0.07,1738355000,200946000,-29417000.0,5569713000,472305000.0,4346554000,7748949000,2007531000.0,,2960071000,,2167318000,437606000.0,6762000.0,179350000,4407531000,1173958000,-3760000,,2115437000,3930000.0,564397000,490756000,29432000,29432000,329739000,2400000000.0,,,,,,,
2015-12-31,54000.0,20731000.0,,173412000,0.1,-22447000.0,1324809000,,8171000.0,2310715000,1809330000,-17458000,35429000.0,-33653000,180859000,-25683000.0,4312817000.0,-244745000,284802000,-297346000.0,-306107000,2789023000,10202871000,427668000.0,-43308000.0,137412000.0,,501385000.0,2115437000,253491000,333215000,3529624000,43178000,-40561000,996142000,-146582000.0,1052302000,941925000,35860000.0,-1569333000.0,59894000,-278398000,0.1,1823333000,211689000,12036000.0,5431840000,470758000.0,4771031000,7979445000,2078459000.0,,3121125000,,2223426000,438257000.0,49031000.0,140389000,4449821000,1249365000,2262000,,1809330000,-3734000.0,573968000,514074000,43178000,43178000,346721000,2371362000.0,,,,,,,
2016-03-31,,39879000.0,,166254000,0.06,12221000.0,1382051000,,3536000.0,2072471000,1605244000,14907000,35537000.0,-31632000,203508000,11371000.0,5260160000.0,-228590000,292024000,-305247000.0,-204086000,3145861000,11262274000,428117000.0,-34401000.0,71213000.0,,467227000.0,1809330000,231914000,335235000,3933632000,27658000,4263000,1093760000,-34962000.0,1169176000,969583000,42422000.0,-2303842000.0,49453000,-260222000,0.06,1957736000,939331000,-16603000.0,5543836000,471501000.0,5718438000,8945041000,2639191000.0,,3471365000,,2317233000,437993000.0,-19898000.0,181634000,5011409000,1369540000,-356000,,1605244000,25963000.0,588196000,538743000,27658000,27658000,374223000,2372218000.0,,,,,,,
2016-06-30,,51232000.0,,162864000,0.09,10477000.0,1443707000,,4232000.0,1834228000,1390925000,17612000,35455000.0,-28738000,207300000,13380000.0,5742938000.0,-226293000,300787000,-311345000.0,-214319000,3242330000,11593507000,428483000.0,-38211000.0,43427000.0,,443303000.0,1605244000,240458000,354436000,4051837000,40755000,-2896000,1209513000,-18492000.0,1296200000,1010338000,44112000.0,-1782726000.0,70370000,-255031000,0.1,2105204000,293252000,-17876000.0,5386918000,474209000.0,6206589000,9177673000,2752751000.0,,3552690000,,2415834000,438154000.0,8795000.0,172073000,5125836000,1473098000,907000,,1390925000,16317000.0,632106000,561736000,40755000,40755000,396976000,2373085000.0,,,,,,,
2016-09-30,,79127000.0,,191876000,0.12,27610000.0,1503641000,,3819000.0,1343256000,969158000,16639000,35536000.0,-44615000,216099000,12820000.0,6677674000.0,-461941000,283895000,-314082000.0,-421767000,3497214000,12347338000,428937000.0,-36530000.0,196602000.0,,374098000.0,1390925000,285753000,435209000,4411405000,51517000,23976000,1257802000,-128136000.0,1372465000,1061855000,43495000.0,-2432398000.0,106036000,-506556000,0.12,2290188000,616067000,14338000.0,5193893000,505958000.0,7153445000,9818372000,3033001000.0,,3850637000,,2528966000,438389000.0,27810000.0,201232000,5406967000,1532844000,125000,,969158000,8627000.0,757344000,651308000,51517000,51517000,427206000,2373966000.0,,,,,,,
2016-12-31,,90269000.0,,250395000,0.15,23521000.0,1599762000,,25392000.0,1733782000,1467576000,1042472000,43586000.0,-79845000,225191000,17080000.0,7274501000.0,-557160000,341423000,-294209000.0,498418000,3632711000,13586610000,429738000.0,-48565000.0,111487000.0,,266206000.0,969158000,312842000,443997000,4586657000,66748000,24422000,1363903000,-5603000.0,1497758000,1128603000,43646000.0,-2093411000.0,153934000,-637005000,0.16,2477541000,116380000,-26706000.0,5720291000,544604000.0,7866319000,10906810000,2955842000.0,,3986509000,,2679800000,440063000.0,15540000.0,197632000,6320153000,1654419000,-1617000,,1467576000,-20079000.0,823122000,669188000,66748000,66748000,443472000,3364311000.0,,,,,,,
2017-03-31,,223792000.0,,275083000,0.4,45570000.0,1669132000,,24178000.0,1341229000,1077824000,24239000,46742000.0,-77895000,257108000,61000.0,8029112000.0,-343856000,394571000,-291600000.0,-389752000,3861447000,14359096000,430600000.0,-45859000.0,60848000.0,,263405000.0,1467576000,294831000,465561000,4911229000,178222000,-75590000,1339330000,-57774000.0,1609864000,1350410000,44888000.0,-2327000000.0,256942000,-421751000,0.41,2636635000,447468000,-26764000.0,5660330000,566683000.0,8698766000,11385413000,3108753000.0,,4319101000,,2973683000,445458000.0,-11000000.0,296258000,6474184000,1657024000,-769000,,1077824000,13592000.0,979611000,722669000,178222000,178222000,458693000,3365431000.0,,,,,,,
2017-06-30,,13962000.0,,309831000,0.15,-51638000.0,1727858000,,14826000.0,2164902000,1918777000,1420386000,55482000.0,-72855000,267083000,-14950000.0,9078474000.0,-534528000,428133000,-306050000.0,840953000,4095374000,16517223000,431396000.0,-31368000.0,31733000.0,,246125000.0,1077824000,273398000,488266000,5122945000,65600000,-56432000,1585856000,-14246000.0,1655300000,1416010000,44028000.0,-2652902000.0,127807000,-607383000,0.15,2785464000,379372000,-20702000.0,6700785000,615881000.0,9816438000,13404723000,3445276000.0,,4535883000,,3112500000,446262000.0,-12439000.0,248871000,8281778000,1902308000,-1064000,,1918777000,-58363000.0,883156000,755349000,65600000,65600000,505302000,4836502000.0,,,,,,,
2017-09-30,,116237000.0,,322421000,0.29,-13353000.0,1807123000,,34669000.0,1746469000,1746469000,34422000,60688000.0,-44180000,255236000,-247000.0,9739704000.0,-419607000,504067000,-321801000.0,-172308000,4142086000,16951540000,432404000.0,-25362000.0,250278000.0,,0.0,1918777000,301443000,528016000,5310677000,129590000,202192000,1659974000,-2799000.0,1836899000,1545600000,44763000.0,-2305121000.0,208627000,-463787000,0.3,2984859000,57447000,-57090000.0,6385348000,644222000.0,10566192000,13624179000,3424719000.0,,4638879000,,3327361000,447362000.0,34029000.0,331723000,8313502000,1992980000,-1107000,,1746469000,-31702000.0,991879000,783252000,129590000,129590000,535425000,4888783000.0,,,,,,,
2017-12-31,,131330000.0,,319404000,0.41,-54187000.0,1871396000,,14705000.0,2822795000,2822795000,1597943000,75292000.0,-32092000,273351000,-16762000.0,10371055000.0,-487957000,652309000,-321814000.0,1076326000,4173041000,19012742000,433108000.0,-20557000.0,0.0,,0.0,1746469000,359555000,659747000,5466312000,185517000,-35841000,1745225000,0.0,1951847000,1731117000,48530000.0,-2463533000.0,245303000,-520049000,0.43,3285755000,74696000,-104132000.0,7669974000,641218000.0,11342768000,15430786000,3465042000.0,,4847179000,,3581956000,448142000.0,63969000.0,315094000,9964474000,2107354000,-3749000,,2822795000,-38681000.0,1178401000,933098000,185517000,185517000,618622000,6499432000.0,,,,,,,
2018-03-31,,299616000.0,,341932000,0.64,9492000.0,1995225000,,56335000.0,2593666000,2593666000,56014000,81219000.0,-47966000,300730000,-321000.0,11314803000.0,-236757000,678486000,-337866000.0,-223318000,4466081000,20152797000,434174000.0,4264000.0,0.0,,,2822795000,436183000,757473000,6005587000,290124000,-49752000,1779019000,0.0,2159854000,2021241000,68395000.0,-2978538000.0,446578000,-284723000,0.67,3700856000,585212000,-22049000.0,7817576000,679798000.0,12335221000,16132067000,3584107000.0,,5223910000,,4020730000,450359000.0,74083000.0,429431000,10126480000,2196075000,-1786000,,2599477000,-65743000.0,1504781000,1058203000,290124000,290124000,673892000,6542373000.0,,,,,,,
2018-06-30,,428636000.0,,349646000,0.85,44287000.0,2103437000,,26936000.0,3906357000,3906357000,1909412000,101605000.0,-39875000,317213000,-17524000.0,12292070000.0,-518239000,674932000,-340296000.0,1314517000,4541087000,22663537000,435097000.0,-12427000.0,0.0,,,2599477000,448219000,837977000,6079641000,384349000,-40316000,1848707000,0.0,2378948000,2405590000,81232000.0,-3019800000.0,462213000,-558114000,0.88,3907270000,282222000,-9539000.0,9346889000,689942000.0,13316648000,18166937000,3745229000.0,,5440532000,,4496600000,451552000.0,7733000.0,392595000,12087296000,2289867000,-441000,,3913994000,68028000.0,1617403000,1155190000,384349000,384349000,697740000,8342067000.0,,,,,,,
2018-09-30,,378810000.0,,371152000,0.89,-24025000.0,2215736000,,29781000.0,3067534000,3067534000,29237000,108862000.0,-47064000,327026000,-544000.0,13408443000.0,-690411000,856653000,-355963000.0,-835430000,4613011000,23366229000,435809000.0,-14508000.0,0.0,,,3913994000,441427000,779334000,6298240000,402835000,-168694000,1942887000,0.0,2430559000,2808425000,82316000.0,-3229755000.0,480668000,-737475000,0.92,3999374000,158429000,-39453000.0,8729981000,727115000.0,14636248000,18356576000,3721750000.0,,5662447000,,5009653000,451919000.0,-4449000.0,527079000,12058336000,2412346000,-121630000,,3078564000,7004000.0,1587028000,1106360000,402835000,402835000,716723000,8336586000.0,,,,,,,
2018-12-31,,119396000.0,,418281000,0.3,-14538000.0,2315988000,,11450000.0,3794483000,3794483000,2053864000,128807000.0,-77627000,276845000,-19438000.0,14960954000.0,-1235072000,901030000,-368519000.0,733477000,4686019000,25974400000,436385000.0,-19582000.0,0.0,,,3078564000,562985000,624979000,6487320000,133934000,-80358000,2085844000,0.0,2334047000,2942359000,88714000.0,-3774916000.0,215767000,-1312699000,0.31,4186841000,267784000,-14479000.0,9694135000,786800000.0,16280265000,20735635000,3888257000.0,,5899652000,,5238765000,451116000.0,121831000.0,477417000,14248315000,3069250000,-2731000,,3812041000,,1117591000,901824000,133934000,133934000,760899000,10360058000.0,,,,,,,
2019-03-31,,399659000.0,,434372000,0.76,55607000.0,2439773000,,22972000.0,3348557000,3348557000,22972000,135529000.0,-69551000,372764000,,20888785000.0,-379799000,1726568000,-371023000.0,-441944000,4863351000,27218632000,436947000.0,-25600000.0,,,,3812041000,439496000,818530000,6857807000,344052000,-80103000,2156756000,,2691944000,3288885000,101200000.0,-2960547000.0,459084000,-449350000,0.79,4520992000,29713000,6627000.0,4168907000,805395000.0,23049725000,21515574000,4352744000.0,,820350000,432955000.0,5703058000,451922000.0,-124467000.0,746268000,14657767000,2870614000,-10552000,,3370097000,,1650378000,1191294000,344052000,344052000,808692000,10305023000.0,,,,,,,
2019-06-30,,500916000.0,,452399000,0.6,230266000.0,2566365000,,21896000.0,5004247000,5004247000,2246900000,152033000.0,-47382000,383233000,-18192000.0,21945740000.0,-543754000,1896043000,-385112000.0,1658108000,4848201000,30171339000,437587000.0,-20352000.0,,,,3370097000,442194000,827807000,6933984000,270650000,-50036000,2265067000,,2918016000,3559535000,103848000.0,-3272064000.0,706419000,-591136000,0.62,4923116000,-8058000,35519000.0,5877157000,837511000.0,24294182000,24065791000,4537672000.0,,872910000,492034000.0,6105548000,452195000.0,-2674000.0,750812000,17131807000,3005657000,-2654000,,5028205000,,1917459000,1211040000,270650000,270650000,892777000,12594135000.0,,,,,,,
2019-09-30,,1012323000.0,,481992000,1.47,347079000.0,2677972000,,11989000.0,4435018000,4435018000,11989000,160660000.0,-49967000,379776000,,23234994000.0,-501794000,1896967000,-402604000.0,-568484000,4860542000,30941711000,438090000.0,-41246000.0,,,,5028205000,444129000,786971000,7257900000,665244000,-49354000,2313335000,,3486318000,4224779000,100262000.0,-3597012000.0,980239000,-551761000,1.52,5244905000,135632000,52105000.0,5327758000,884596000.0,25613953000,24080206000,4396560000.0,,892740000,466168000.0,6861505000,451552000.0,-7643000.0,1037723000,16822306000,3097919000,613000,,4459721000,,2146986000,1166747000,665244000,665244000,915506000,12425746000.0,,,,,,,
2019-12-31,,149333000.0,,565221000,1.3,-437637000.0,2793929000,,15633000.0,5018437000,5018437000,2223801000,177801000.0,-107737000,409376000,-17942000.0,24504567000.0,-1461975000,2727420000,,584065000,4413561000,33975712000,438547000.0,-23521000.0,,,,4459721000,674347000,1133523000,6855696000,586970000,-207571000,2607487000,,2934621000,4811749000,100066000.0,-3881649000.0,458512000,-1569712000,1.34,5467434000,-808255000,-188694000.0,6178504000,,27797208000,26393555000,4778599000.0,,1160067000,,7582157000,451367000.0,230847000.0,843043000,19537859000,3466023000,-99834000,,5043786000,,2001411000,1542899000,586970000,586970000,924745000,14759260000.0,,,,,,,
